region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
aolinpikegongyuan11,整租·天畅园 1室1厅 东,整租,天畅园,朝阳区-奥林匹克公园-天畅园,88.00,1室1厅,东,,5800,65.9,,,https://bj.lianjia.com/zufang/BJ2127002049856929792.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·京师园 2室1厅 南/北,整租,京师园,朝阳区-奥林匹克公园-京师园,90.31,2室1厅,南/北,,6200,68.7,,,https://bj.lianjia.com/zufang/BJ2118988941209108480.html,2026-05-02 20:27:01,,
aolinpikegongyuan11,整租·林奥嘉园 2室2厅 西,整租,林奥嘉园,朝阳区-奥林匹克公园-林奥嘉园,118.97,2室2厅,西,,9000,75.6,,,https://bj.lianjia.com/zufang/BJ2153353117398204416.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·天居园 1室0厅 东,整租,天居园,朝阳区-奥林匹克公园-天居园,44.00,1室0厅,东,,5000,113.6,,,https://bj.lianjia.com/zufang/BJ2158880851901808640.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·上元君庭 1室1厅 北,整租,上元君庭,朝阳区-奥林匹克公园-上元君庭,56.52,1室1厅,北,,4500,79.6,,,https://bj.lianjia.com/zufang/BJ2116475620660609024.html,2026-05-02 20:27:01,,
aolinpikegongyuan11,独栋·安家和美 北苑路北地铁站店 地铁5号线-图片为实拍-家电全新齐全-官网力荐-可短租 1室1厅,独栋,安家和美 北苑路北地铁站店 地铁5号线-图片为实拍-家电全新齐全-官网力荐-可短租,,25.00,1室1厅,,,4600,184.0,,,https://bj.lianjia.com/apartment/79483.html,2026-05-02 20:26:15,,
aolinpikegongyuan11,整租·天溪园 3室2厅 南/北,整租,天溪园,朝阳区-奥林匹克公园-天溪园,172.92,3室2厅,南/北,,17000,98.3,,,https://bj.lianjia.com/zufang/BJ2149888538596868096.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·澳林春天三期 4室3厅 复式 南/北,整租,澳林春天三期,朝阳区-奥林匹克公园-澳林春天三期,184.15,4室3厅,,,11500,62.4,,,https://bj.lianjia.com/zufang/BJ1958457151022170112.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·林奥嘉园 2室2厅 南,整租,林奥嘉园,朝阳区-奥林匹克公园-林奥嘉园,119.82,2室2厅,南,,8800,73.4,,,https://bj.lianjia.com/zufang/BJ2154578541914619904.html,2026-05-02 20:26:38,,
aolinpikegongyuan11,整租·中东路121号院一区 2室1厅 南,整租,中东路121号院一区,昌平区-奥林匹克公园-中东路,72.35,2室1厅,南,,5000,69.1,,,https://bj.lianjia.com/zufang/BJ2145459746860171264.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·林奥嘉园 4房间 南,整租,林奥嘉园 4房间 南,朝阳区-奥林匹克公园-林奥嘉园,110.36,,,,9900,89.7,,,https://bj.lianjia.com/zufang/BJ2156675442378014720.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·倚林佳园 5室2厅 南/北,整租,倚林佳园,朝阳区-奥林匹克公园-倚林佳园,262.36,5室2厅,南/北,,25000,95.3,,,https://bj.lianjia.com/zufang/BJ2144076799573753856.html,2026-05-02 20:27:01,,
aolinpikegongyuan11,整租·倚林佳园 4室2厅 南/北,整租,倚林佳园,朝阳区-奥林匹克公园-倚林佳园,179.05,4室2厅,南/北,,22000,122.9,,,https://bj.lianjia.com/zufang/BJ2121072880413310976.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·上元君庭 2室1厅 南/北,整租,上元君庭,朝阳区-奥林匹克公园-上元君庭,135.34,2室1厅,南/北,,9800,72.4,,,https://bj.lianjia.com/zufang/BJ2142551727834923008.html,2026-05-02 20:26:34,,
aolinpikegongyuan11,整租·黄金苑 2室1厅 东/西,整租,黄金苑,朝阳区-奥林匹克公园-黄金苑,84.02,2室1厅,东/西,,5200,61.9,,,https://bj.lianjia.com/zufang/BJ2154155849667313664.html,2026-05-02 20:26:34,,
aolinpikegongyuan11,整租·天畅园 2室2厅 西,整租,天畅园,朝阳区-奥林匹克公园-天畅园,169.00,2室2厅,西,,11000,65.1,,,https://bj.lianjia.com/zufang/BJ2132458075402010624.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·林奥嘉园 2室2厅 东,整租,林奥嘉园,朝阳区-奥林匹克公园-林奥嘉园,108.00,2室2厅,东,,9300,86.1,,,https://bj.lianjia.com/zufang/BJ2123370218012016640.html,2026-05-02 20:26:11,,
aolinpikegongyuan11,整租·林萃路10号院 2室1厅 南/北,整租,林萃路10号院,朝阳区-奥林匹克公园-林萃路,68.20,2室1厅,南/北,,6000,88.0,,,https://bj.lianjia.com/zufang/BJ2144413575274299392.html,2026-05-02 20:27:01,,
aolinpikegongyuan11,整租·世纪龙祥嘉园 2室1厅 南/北,整租,世纪龙祥嘉园,朝阳区-奥林匹克公园-世纪龙祥嘉园,94.52,2室1厅,南/北,,6200,65.6,,,https://bj.lianjia.com/zufang/BJ2157766831073394688.html,2026-05-02 20:26:11,,
