region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
baizhifang1,整租·南菜园街1号院 2室1厅 南/北,整租,南菜园街1号院,西城区-白纸坊-南菜园街,57.00,2室1厅,南/北,,6000,105.3,,,https://bj.lianjia.com/zufang/BJ2155899572780531712.html,2026-05-02 20:13:11,,
baizhifang1,整租·北樱桃园17号院 2室1厅 南/北,整租,北樱桃园17号院,西城区-白纸坊-北樱桃园,73.77,2室1厅,南/北,,7500,101.7,,,https://bj.lianjia.com/zufang/BJ2124461217891221504.html,2026-05-02 20:13:11,,
baizhifang1,整租·建功北里 1室1厅 南,整租,建功北里,西城区-白纸坊-建功北里,44.76,1室1厅,南,,4200,93.8,,,https://bj.lianjia.com/zufang/BJ2156634015388401664.html,2026-05-02 20:13:11,,
baizhifang1,整租·中加大厦 2室1厅 西,整租,中加大厦,西城区-白纸坊-中加大厦,103.68,2室1厅,西,,7900,76.2,,,https://bj.lianjia.com/zufang/BJ2157446963090423808.html,2026-05-02 20:13:11,,
baizhifang1,整租·建功北里 2室1厅 东南,整租,建功北里,西城区-白纸坊-建功北里,77.54,2室1厅,东南,,7600,98.0,,,https://bj.lianjia.com/zufang/BJ1872973912220893184.html,2026-05-02 20:13:11,,
baizhifang1,整租·中加大厦 3室1厅 西,整租,中加大厦,西城区-白纸坊-中加大厦,135.79,3室1厅,西,,10690,78.7,,,https://bj.lianjia.com/zufang/BJ2155460625176723456.html,2026-05-02 20:13:11,,
baizhifang1,整租·南运巷 2室1厅 西/北,整租,南运巷,西城区-白纸坊-南运巷,58.97,2室1厅,西/北,,5900,100.1,,,https://bj.lianjia.com/zufang/BJ2148725515870011392.html,2026-05-02 20:13:11,,
baizhifang1,整租·天缘公寓 2室1厅 北,整租,天缘公寓,西城区-白纸坊-天缘公寓,74.85,2室1厅,北,,6600,88.2,,,https://bj.lianjia.com/zufang/BJ2138124068224761856.html,2026-05-02 20:13:11,,
baizhifang1,整租·白广路东里 2室1厅 西南,整租,白广路东里,西城区-白纸坊-白广路东里,66.02,2室1厅,西南,,5700,86.3,,,https://bj.lianjia.com/zufang/BJ2157458744064081920.html,2026-05-02 20:13:11,,
baizhifang1,整租·建功北里 2室1厅 南/北,整租,建功北里,西城区-白纸坊-建功北里,62.90,2室1厅,南/北,,6000,95.4,,,https://bj.lianjia.com/zufang/BJ2158474898404540416.html,2026-05-02 20:13:11,,
baizhifang1,整租·南运巷 2室1厅 西北,整租,南运巷,西城区-白纸坊-南运巷,64.98,2室1厅,西北,,6200,95.4,,,https://bj.lianjia.com/zufang/BJ2157704565607104512.html,2026-05-02 20:13:11,,
baizhifang1,整租·建功北里 1室1厅 南/北,整租,建功北里,西城区-白纸坊-建功北里,47.25,1室1厅,南/北,,5250,111.1,,,https://bj.lianjia.com/zufang/BJ1955198475733827584.html,2026-05-02 20:13:11,,
baizhifang1,整租·恬心家园 1室0厅 东/南,整租,恬心家园,西城区-白纸坊-恬心家园,49.39,1室0厅,东/南,,5200,105.3,,,https://bj.lianjia.com/zufang/BJ2155270111303303168.html,2026-05-02 20:13:11,,
baizhifang1,整租·南运巷 2室1厅 南,整租,南运巷,西城区-白纸坊-南运巷,53.64,2室1厅,南,,6000,111.9,,,https://bj.lianjia.com/zufang/BJ2160270794939170816.html,2026-05-02 20:13:11,,
baizhifang1,整租·南运巷 2室1厅 东/西/北,整租,南运巷,西城区-白纸坊-南运巷,82.86,2室1厅,东/西/北,,7800,94.1,,,https://bj.lianjia.com/zufang/BJ2058542848965345280.html,2026-05-02 20:13:11,,
baizhifang1,整租·中加大厦 2室1厅 北,整租,中加大厦,西城区-白纸坊-中加大厦,120.00,2室1厅,北,,8060,67.2,,,https://bj.lianjia.com/zufang/BJ1753025925370347520.html,2026-05-02 20:13:11,,
baizhifang1,整租·建功北里 1室1厅 南,整租,建功北里,西城区-白纸坊-建功北里,46.67,1室1厅,南,,5300,113.6,,,https://bj.lianjia.com/zufang/BJ2161014156512198656.html,2026-05-02 20:13:11,,
baizhifang1,整租·建功南里 3室1厅 西,整租,建功南里,西城区-白纸坊-建功南里,96.85,3室1厅,西,,9300,96.0,,,https://bj.lianjia.com/zufang/BJ2149161514341236736.html,2026-05-02 20:13:11,,
baizhifang1,整租·恬心家园 1室1厅 东,整租,恬心家园,西城区-白纸坊-恬心家园,57.84,1室1厅,东,,5200,89.9,,,https://bj.lianjia.com/zufang/BJ2060381073698717696.html,2026-05-02 20:13:11,,
baizhifang1,整租·中加大厦 2室1厅 东/西,整租,中加大厦,西城区-白纸坊-中加大厦,103.03,2室1厅,东/西,,7500,72.8,,,https://bj.lianjia.com/zufang/BJ2153458322412404736.html,2026-05-02 20:13:11,,
