region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
beixinjing,整租·新泾八村 2室1厅 南,整租,新泾八村,长宁-北新泾-新泾八村,56.25,2室1厅,南,,6000,106.7,,,https://sh.lianjia.com/zufang/SH2140330410255581184.html,2026-04-23 13:14:42,31.21883,121.3587
beixinjing,整租·广友小区 1室1厅 南,整租,广友小区,长宁-北新泾-广友小区,43.62,1室1厅,南,,4900,112.3,,,https://sh.lianjia.com/zufang/SH2152729367631888384.html,2026-04-23 13:14:22,31.21857,121.37184
beixinjing,整租·仙霞大郡 3室2厅 南,整租,仙霞大郡,长宁-北新泾-仙霞大郡,106.68,3室2厅,南,,8000,75.0,,,https://sh.lianjia.com/zufang/SH2148337004067160064.html,2026-04-23 13:14:45,31.21113,121.35407
beixinjing,独栋·中海友里 虹桥国际公寓 品质留学生人才公寓 最高可以减免4000元/月 开间,独栋,中海友里 虹桥国际公寓 品质留学生人才公寓,,33.00,,,,5500,166.7,,,https://sh.lianjia.com/apartment/54055.html,2026-04-23 13:14:22,39.843681,116.442366
beixinjing,整租·永馨小区 2室0厅 南,整租,永馨小区,长宁-北新泾-永馨小区,46.79,2室0厅,南,,4500,96.2,,,https://sh.lianjia.com/zufang/SH2142208543300780032.html,2026-04-23 13:14:42,31.21857,121.37184
beixinjing,独栋·城家公寓 城家公寓上海虹桥一元社区店 24H安保系统！电子门禁系统！免费班车！拎包入住！ 开间,独栋,城家公寓 城家公寓上海虹桥一元社区店,,23.80,,,,2650,111.3,,,https://sh.lianjia.com/apartment/94295.html,2026-04-23 13:14:22,40.149446,116.291188
beixinjing,整租·金菊小区 2室1厅 南/北,整租,金菊小区,长宁-北新泾-金菊小区,60.58,2室1厅,南/北,,5600,92.4,,,https://sh.lianjia.com/zufang/SH2154591460891033600.html,2026-04-23 13:14:45,31.21857,121.37184
beixinjing,整租·仙霞里 3室2厅 南,整租,仙霞里,长宁-北新泾-仙霞里,131.03,3室2厅,南,,10000,76.3,,,https://sh.lianjia.com/zufang/SH2154106552003330048.html,2026-04-23 13:14:22,31.21113,121.35407
beixinjing,整租·紫竹小区 1室1厅 南,整租,紫竹小区,长宁-北新泾-紫竹小区,33.81,1室1厅,南,,4600,136.1,,,https://sh.lianjia.com/zufang/SH2151332835837870080.html,2026-04-23 13:14:45,31.21857,121.37184
beixinjing,独栋·城家公寓 城家高级公寓上海虹桥临空淞虹路地铁站店 毕业季押金减半/近凌空SOHO广场/荟聚/大融城/地铁直达中山公园/静安寺/外滩 开间,独栋,城家公寓 城家高级公寓上海虹桥临空淞虹路地铁站店,,40.00,,,,5800,145.0,,,https://sh.lianjia.com/apartment/521.html,2026-04-23 13:14:22,39.909036,116.180058
