region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
biyun,整租·金桥爱建园 3室2厅 南,整租,金桥爱建园,浦东-碧云-金桥爱建园,97.77,3室2厅,南,,10500,107.4,,,https://sh.lianjia.com/zufang/SH2150613436688498688.html,2026-04-23 00:23:11,31.236668,121.573898
biyun,整租·金桥爱建园 4室2厅 南,整租,金桥爱建园,浦东-碧云-金桥爱建园,172.07,4室2厅,南,,16000,93.0,,,https://sh.lianjia.com/zufang/SH2139407295770001408.html,2026-04-23 00:23:11,31.236668,121.573898
biyun,整租·碧云东方公寓 2室2厅 南,整租,碧云东方公寓,浦东-碧云-碧云东方公寓,135.41,2室2厅,南,,14000,103.4,,,https://sh.lianjia.com/zufang/SH2140100052876525568.html,2026-04-23 00:23:11,31.242487,121.590234
biyun,独栋·贝壳新青年公寓 芳甸路店 【贝壳自营 长租特惠】3天无责换房/整租平层/近世纪公园/押1付1 1室1厅,独栋,贝壳新青年公寓 芳甸路店 3天无责换房/整租平层/近世纪公园/押1付1,,15.00,1室1厅,,,3190,212.7,,,https://sh.lianjia.com/apartment/72319.html,2026-04-23 00:23:11,31.230824,121.569333
biyun,整租·金桥酒店公寓 1室1厅 东南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,59.13,1室1厅,东南,,4900,82.9,,,https://sh.lianjia.com/zufang/SH2150899136935755776.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·碧云东方公寓 2室1厅 南,整租,碧云东方公寓,浦东-碧云-碧云东方公寓,85.60,2室1厅,南,,10000,116.8,,,https://sh.lianjia.com/zufang/SH2145558194338922496.html,2026-04-23 00:23:11,31.242487,121.590234
biyun,整租·碧云尊邸 5室3厅 复式 南,整租,碧云尊邸,浦东-碧云-碧云尊邸,420.00,5室3厅,,,68000,161.9,,,https://sh.lianjia.com/zufang/SH2143231893800222720.html,2026-04-23 00:23:11,31.235459,121.579077
biyun,整租·金桥酒店公寓 1室1厅 东南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,47.18,1室1厅,东南,,3675,77.9,,,https://sh.lianjia.com/zufang/SH2157530192950591488.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金桥酒店公寓 1室1厅 南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,75.22,1室1厅,南,,5040,67.0,,,https://sh.lianjia.com/zufang/SH1966838457632292864.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金桥酒店公寓 1室1厅 东南/南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,65.86,1室1厅,东南/南,,5040,76.5,,,https://sh.lianjia.com/zufang/SH2028856276162707456.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金桥酒店公寓 1室1厅 西南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,65.00,1室1厅,西南,,4830,74.3,,,https://sh.lianjia.com/zufang/SH2038270958162149376.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金桥酒店公寓 1室1厅 西南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,83.15,1室1厅,西南,,5300,63.7,,,https://sh.lianjia.com/zufang/SH2153432008439627776.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金浦小区(金桥) 2室1厅 南,整租,金浦小区(金桥),浦东-碧云-金浦小区(金桥),69.15,2室1厅,南,,5000,72.3,,,https://sh.lianjia.com/zufang/SH2155525575651885056.html,2026-04-23 00:23:11,31.234183,121.602016
biyun,整租·金桥酒店公寓 1室1厅 东南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,47.73,1室1厅,东南,,3938,82.5,,,https://sh.lianjia.com/zufang/SH1984653349093376000.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金桥爱建园 4室2厅 复式 南,整租,金桥爱建园,浦东-碧云-金桥爱建园,187.53,4室2厅,,,18000,96.0,,,https://sh.lianjia.com/zufang/SH2155902787655827456.html,2026-04-23 00:23:11,31.236668,121.573898
biyun,整租·金桥酒店公寓 1室1厅 南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,75.22,1室1厅,南,,5040,67.0,,,https://sh.lianjia.com/zufang/SH2027348316261449728.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金桥酒店公寓 1室1厅 南,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,67.40,1室1厅,南,,5040,74.8,,,https://sh.lianjia.com/zufang/SH2054966868401192960.html,2026-04-23 00:23:11,31.244347,121.587956
biyun,整租·金桥爱建园 3室2厅 南,整租,金桥爱建园,浦东-碧云-金桥爱建园,119.10,3室2厅,南,,13500,113.4,,,https://sh.lianjia.com/zufang/SH2156062762311090176.html,2026-04-23 00:23:11,31.236668,121.573898
biyun,整租·银泰花园(别墅) 3室2厅 南,整租,银泰花园(别墅),浦东-碧云-银泰花园(别墅),182.00,3室2厅,南,,25000,137.4,,,https://sh.lianjia.com/zufang/SH2139943423015124992.html,2026-04-23 00:23:11,31.239447,121.577826
biyun,整租·金桥爱建园 3室2厅 南,整租,金桥爱建园,浦东-碧云-金桥爱建园,128.15,3室2厅,南,,16800,131.1,,,https://sh.lianjia.com/zufang/SH1953809056737001472.html,2026-04-23 00:23:11,31.236668,121.573898
biyun,整租·金桥酒店公寓 2室1厅 东,整租,金桥酒店公寓,浦东-碧云-金桥酒店公寓,67.00,2室1厅,东,,5000,74.6,,,https://sh.lianjia.com/zufang/SH2107302897141153792.html,2026-04-23 00:23:11,31.244347,121.587956
