region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
buyecheng,整租·和泰花园 2室2厅 南/北,整租,和泰花园,静安-不夜城-和泰花园,102.07,2室2厅,南/北,,8400,82.3,,,https://sh.lianjia.com/zufang/SH2018314199259676672.html,2026-04-23 15:13:18,31.24691,121.45197
buyecheng,整租·灵广花园 1室2厅 南/北,整租,灵广花园,静安-不夜城-灵广花园,66.58,1室2厅,南/北,,6600,99.1,,,https://sh.lianjia.com/zufang/SH2154060072236351488.html,2026-04-23 15:12:55,31.24691,121.45197
buyecheng,整租·汉中小区 2室1厅 南,整租,汉中小区,静安-不夜城-汉中小区,40.36,2室1厅,南,,5000,123.9,,,https://sh.lianjia.com/zufang/SH2133052774038896640.html,2026-04-23 15:13:18,31.24691,121.45197
buyecheng,独栋·微音公寓 汉中路地铁站店 近嘉里不夜城企业中心马戏城 民用水电 汉中路地铁口好房押一付一 1室1厅,独栋,微音公寓 汉中路地铁站店 近嘉里不夜城企业中心马戏城,,40.00,1室1厅,,,4541-5450,,,,https://sh.lianjia.com/apartment/104386.html,2026-04-23 15:12:59,39.905113,116.453553
buyecheng,整租·一天下大厦 1室1厅 南,整租,一天下大厦,静安-不夜城-一天下大厦,49.14,1室1厅,南,,5000,101.8,,,https://sh.lianjia.com/zufang/SH2144789454164852736.html,2026-04-23 15:13:18,31.24691,121.45197
buyecheng,整租·汉中小区 2室1厅 南/北,整租,汉中小区,静安-不夜城-汉中小区,40.36,2室1厅,南/北,,5000,123.9,,,https://sh.lianjia.com/zufang/SH2146448759024779264.html,2026-04-23 15:13:18,31.24691,121.45197
buyecheng,整租·苏河融景 5室3厅 南,整租,苏河融景,静安-不夜城-苏河融景,230.51,5室3厅,南,,48000,208.2,,,https://sh.lianjia.com/zufang/SH2103049184515981312.html,2026-04-23 15:12:55,31.24691,121.45197
buyecheng,整租·汉中小区 2室1厅 南,整租,汉中小区,静安-不夜城-汉中小区,70.48,2室1厅,南,,7100,100.7,,,https://sh.lianjia.com/zufang/SH2049789409443708928.html,2026-04-23 15:13:18,31.24691,121.45197
buyecheng,独栋·瑢寓社区 恒丰路店 独栋公寓可短租月付，家电齐全拎包入住 1室1厅,独栋,瑢寓社区 恒丰路店,,20.00,1室1厅,,,3184,159.2,,,https://sh.lianjia.com/apartment/107469.html,2026-04-23 15:13:05,39.835572,116.295572
buyecheng,整租·中海万锦城(四期) 1室2厅 南,整租,中海万锦城(四期),静安-不夜城-中海万锦城(四期),44.09,1室2厅,南,,6712,152.2,,,https://sh.lianjia.com/zufang/SH1927615775959416832.html,2026-04-23 15:13:18,31.25284,121.4557
