region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
caihuying,整租·万泉盛景园 1室1厅 东/南,整租,万泉盛景园,丰台区-菜户营-万泉盛景园,59.00,1室1厅,东/南,,5300,89.8,,,https://bj.lianjia.com/zufang/BJ2161049571164160000.html,2026-05-02 20:13:40,,
caihuying,整租·丽新嘉园西区 2室1厅 南/北,整租,丽新嘉园西区,丰台区-菜户营-丽新嘉园西区,90.11,2室1厅,南/北,,7500,83.2,,,https://bj.lianjia.com/zufang/BJ2154155871897124864.html,2026-05-02 20:14:20,,
caihuying,整租·鸭子桥南里 3室1厅 南/西/北,整租,鸭子桥南里,西城区-菜户营-鸭子桥南里,60.20,3室1厅,南/西/北,,6200,103.0,,,https://bj.lianjia.com/zufang/BJ2153145920131170304.html,2026-05-02 20:13:16,,
caihuying,整租·万润风景 1室1厅 南,整租,万润风景,丰台区-菜户营-万润风景,46.80,1室1厅,南,,4200,89.7,,,https://bj.lianjia.com/zufang/BJ2113988762923958272.html,2026-05-02 20:13:16,,
caihuying,整租·顺驰蓝调 2室2厅 南/北,整租,顺驰蓝调,丰台区-菜户营-顺驰蓝调,156.60,2室2厅,南/北,,14500,92.6,,,https://bj.lianjia.com/zufang/BJ2156371845434048512.html,2026-05-02 20:14:20,,
caihuying,独栋·安家和美 广安门店 精装好房，押一付一，朝北loft，家电齐全，明亮外窗。 1室1厅,独栋,安家和美 广安门店 精装好房，押一付一，朝北loft，家电齐全，明亮外窗。,,35.00,1室1厅,,,3800,108.6,,,https://bj.lianjia.com/apartment/73398.html,2026-05-02 20:13:22,,
caihuying,整租·金兴苑 2室1厅 北,整租,金兴苑,丰台区-菜户营-金兴苑,59.00,2室1厅,北,,5300,89.8,,,https://bj.lianjia.com/zufang/BJ2156363116596690944.html,2026-05-02 20:13:16,,
caihuying,整租·万润风景 3室2厅 东南/北,整租,万润风景,丰台区-菜户营-万润风景,124.44,3室2厅,东南/北,,8500,68.3,,,https://bj.lianjia.com/zufang/BJ2143228419662413824.html,2026-05-02 20:13:16,,
caihuying,整租·丽新嘉园南区 2室2厅 南/北,整租,丽新嘉园南区,丰台区-菜户营-丽新嘉园南区,78.27,2室2厅,南/北,,7200,92.0,,,https://bj.lianjia.com/zufang/BJ2155674191662153728.html,2026-05-02 20:14:20,,
caihuying,整租·首创天阅公馆 1室0厅 东北,整租,首创天阅公馆,丰台区-菜户营-首创天阅公馆,74.20,1室0厅,东北,,7600,102.4,,,https://bj.lianjia.com/zufang/BJ2150962976503365632.html,2026-05-02 20:13:16,,
