region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
caojiadu,整租·同济佳苑 1室1厅 北,整租,同济佳苑,静安-曹家渡-同济佳苑,38.09,1室1厅,北,,3570,93.7,,,https://sh.lianjia.com/zufang/SH1929929349146869760.html,2026-04-23 15:13:26,,
caojiadu,整租·达安花园 2室2厅 南,整租,达安花园,静安-曹家渡-达安花园,101.55,2室2厅,南,,12000,118.2,,,https://sh.lianjia.com/zufang/SH2155157317375492096.html,2026-04-23 15:13:26,,
caojiadu,整租·新平公寓 2室2厅 南,整租,新平公寓,静安-曹家渡-新平公寓,110.00,2室2厅,南,,9450,85.9,,,https://sh.lianjia.com/zufang/SH2158211031850024960.html,2026-04-23 15:14:21,,
caojiadu,整租·姚西小区 2室1厅 南,整租,姚西小区,静安-曹家渡-姚西小区,46.05,2室1厅,南,,6690,145.3,,,https://sh.lianjia.com/zufang/SH1982873607453278208.html,2026-04-23 15:13:26,,
caojiadu,整租·达安花园 2室2厅 南,整租,达安花园,静安-曹家渡-达安花园,103.69,2室2厅,南,,12000,115.7,,,https://sh.lianjia.com/zufang/SH1741003070403248128.html,2026-04-23 15:14:21,,
caojiadu,整租·蓝朝部落 1室1厅 南,整租,蓝朝部落,静安-曹家渡-蓝朝部落,53.05,1室1厅,南,,5990,112.9,,,https://sh.lianjia.com/zufang/SH1823981249052540928.html,2026-04-23 15:13:26,,
caojiadu,整租·蓝朝部落 1室1厅 南,整租,蓝朝部落,静安-曹家渡-蓝朝部落,31.38,1室1厅,南,,4200,133.8,,,https://sh.lianjia.com/zufang/SH2014950339450503168.html,2026-04-23 15:13:26,,
caojiadu,整租·四和花园 2室1厅 东南,整租,四和花园,静安-曹家渡-四和花园,60.00,2室1厅,东南,,8300,138.3,,,https://sh.lianjia.com/zufang/SH2083867505876533248.html,2026-04-23 15:13:26,,
caojiadu,整租·万航公寓 1室1厅 东南,整租,万航公寓,静安-曹家渡-万航公寓,51.09,1室1厅,东南,,6200,121.4,,,https://sh.lianjia.com/zufang/SH2005286928957571072.html,2026-04-23 15:14:21,,
caojiadu,独栋·城方公寓 康定路店 地铁口 两房 独立大花园 实体墙 小区幽静 2室1厅,独栋,城方公寓 康定路店,,63.82,2室1厅,,,8500,133.2,,,https://sh.lianjia.com/apartment/20052.html,2026-04-23 15:13:26,,
