region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
caoyang,整租·曹杨五村(南杨园) 1室1厅 南/北,整租,曹杨五村(南杨园),普陀-曹杨-曹杨五村(南杨园),35.00,1室1厅,南/北,,3800,108.6,,,https://sh.lianjia.com/zufang/SH2022939631334457344.html,2026-04-23 15:26:37,,
caoyang,整租·嘉安大厦 1室1厅 东/东南,整租,嘉安大厦,普陀-曹杨-嘉安大厦,45.00,1室1厅,东/东南,,4100,91.1,,,https://sh.lianjia.com/zufang/SH2146148107836981248.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨君悦苑 2室1厅 南,整租,曹杨君悦苑,普陀-曹杨-曹杨君悦苑,101.34,2室1厅,南,,8400,82.9,,,https://sh.lianjia.com/zufang/SH1999020181749235712.html,2026-04-23 15:26:19,,
caoyang,独栋·橙子公寓 曹杨路店 经典阳光房A 开间,独栋,橙子公寓 曹杨路店 经典阳光房A 开间,,28.00,,,,3480,124.3,,,https://sh.lianjia.com/apartment/1892.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨五村(南岭园) 1室0厅 北,整租,曹杨五村(南岭园),普陀-曹杨-曹杨五村(南岭园),30.00,1室0厅,北,,3150,105.0,,,https://sh.lianjia.com/zufang/SH2146899773330817024.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨五村(芙蓉园) 1室1厅 南,整租,曹杨五村(芙蓉园),普陀-曹杨-曹杨五村(芙蓉园),50.61,1室1厅,南,,3900,77.1,,,https://sh.lianjia.com/zufang/SH1891116726288908288.html,2026-04-23 15:26:37,,
caoyang,整租·上海之春公寓 2室1厅 西南,整租,上海之春公寓,普陀-曹杨-上海之春公寓,93.64,2室1厅,西南,,9200,98.2,,,https://sh.lianjia.com/zufang/SH2147935087797207040.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨六村(兰溪园) 2室1厅 东,整租,曹杨六村(兰溪园),普陀-曹杨-曹杨六村(兰溪园),74.72,2室1厅,东,,6700,89.7,,,https://sh.lianjia.com/zufang/SH2148369135115960320.html,2026-04-23 15:26:19,,
caoyang,独栋·橙子公寓 曹杨七村店 高性价比一室户（民用水电可办居住证） 开间,独栋,橙子公寓 曹杨七村店,,17.50,,,,3200,182.9,,,https://sh.lianjia.com/apartment/6319.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨九村 1室1厅 南,整租,曹杨九村,普陀-曹杨-曹杨九村,28.86,1室1厅,南,,3650,126.5,,,https://sh.lianjia.com/zufang/SH2153443272645672960.html,2026-04-23 15:26:19,,
caoyang,独栋·橙子公寓 杏山路店 阳台休闲房 开间,独栋,橙子公寓 杏山路店 阳台休闲房 开间,,35.00,,,,3780-4480,,,,https://sh.lianjia.com/apartment/38506.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨二村(北杨园) 1室1厅 南,整租,曹杨二村(北杨园),普陀-曹杨-曹杨二村(北杨园),38.00,1室1厅,南,,4200,110.5,,,https://sh.lianjia.com/zufang/SH2153522666592534528.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨四村(枣阳园) 2室0厅 南,整租,曹杨四村(枣阳园),普陀-曹杨-曹杨四村(枣阳园),44.02,2室0厅,南,,5100,115.9,,,https://sh.lianjia.com/zufang/SH2152383120450519040.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨五村(金岭园) 1室1厅 南,整租,曹杨五村(金岭园),普陀-曹杨-曹杨五村(金岭园),43.72,1室1厅,南,,4000,91.5,,,https://sh.lianjia.com/zufang/SH2139665281587347456.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨五村(南岭园) 2室1厅 南,整租,曹杨五村(南岭园),普陀-曹杨-曹杨五村(南岭园),45.00,2室1厅,南,,4800,106.7,,,https://sh.lianjia.com/zufang/SH2142626804957970432.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨五村(梅花园) 3室1厅 南,整租,曹杨五村(梅花园),普陀-曹杨-曹杨五村(梅花园),77.55,3室1厅,南,,6825,88.0,,,https://sh.lianjia.com/zufang/SH2024063631066398720.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨一村 1室0厅 南,整租,曹杨一村,普陀-曹杨-曹杨一村,35.00,1室0厅,南,,4200,120.0,,,https://sh.lianjia.com/zufang/SH2156248091156545536.html,2026-04-23 15:26:19,,
caoyang,整租·上海之春公寓 1室2厅 南,整租,上海之春公寓,普陀-曹杨-上海之春公寓,60.19,1室2厅,南,,7140,118.6,,,https://sh.lianjia.com/zufang/SH1950804937747202048.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨五村(南杨园) 2室1厅 南,整租,曹杨五村(南杨园),普陀-曹杨-曹杨五村(南杨园),55.53,2室1厅,南,,5000,90.0,,,https://sh.lianjia.com/zufang/SH2152352263274758144.html,2026-04-23 15:26:19,,
caoyang,整租·中桥大楼 2室1厅 南,整租,中桥大楼,普陀-曹杨-中桥大楼,78.64,2室1厅,南,,6500,82.7,,,https://sh.lianjia.com/zufang/SH2157031493669486592.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨四村(兰花园) 2室1厅 南,整租,曹杨四村(兰花园),普陀-曹杨-曹杨四村(兰花园),50.03,2室1厅,南,,5200,103.9,,,https://sh.lianjia.com/zufang/SH2156263638254485504.html,2026-04-23 15:26:19,,
caoyang,整租·泰富苑 2室1厅 南,整租,泰富苑,普陀-曹杨-泰富苑,91.24,2室1厅,南,,7600,83.3,,,https://sh.lianjia.com/zufang/SH2119682561281097728.html,2026-04-23 15:26:19,,
caoyang,整租·曹杨五村(杏梅园) 1室1厅 南,整租,曹杨五村(杏梅园),普陀-曹杨-曹杨五村(杏梅园),46.31,1室1厅,南,,5100,110.1,,,https://sh.lianjia.com/zufang/SH2126515718735265792.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨三村(杏杨园) 1室0厅 南,整租,曹杨三村(杏杨园),普陀-曹杨-曹杨三村(杏杨园),30.88,1室0厅,南,,3700,119.8,,,https://sh.lianjia.com/zufang/SH1929167486586978304.html,2026-04-23 15:26:40,,
caoyang,整租·曹杨九村 1室1厅 南,整租,曹杨九村,普陀-曹杨-曹杨九村,28.68,1室1厅,南,,3350,116.8,,,https://sh.lianjia.com/zufang/SH2146813514411409408.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨六村(沙溪园) 1室1厅 南,整租,曹杨六村(沙溪园),普陀-曹杨-曹杨六村(沙溪园),33.14,1室1厅,南,,3600,108.6,,,https://sh.lianjia.com/zufang/SH2105680564777385984.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨五村(芙蓉园) 1室1厅 南,整租,曹杨五村(芙蓉园),普陀-曹杨-曹杨五村(芙蓉园),43.34,1室1厅,南,,4297,99.1,,,https://sh.lianjia.com/zufang/SH1795707919543566336.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨六村(沙溪园) 1室1厅 南,整租,曹杨六村(沙溪园),普陀-曹杨-曹杨六村(沙溪园),35.00,1室1厅,南,,3900,111.4,,,https://sh.lianjia.com/zufang/SH2097337001551331328.html,2026-04-23 15:26:37,,
caoyang,整租·五星公寓 2室2厅 南,整租,五星公寓,普陀-曹杨-五星公寓,91.00,2室2厅,南,,8500,93.4,,,https://sh.lianjia.com/zufang/SH2138595934353752064.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨四村(桐柏园) 1室0厅 南,整租,曹杨四村(桐柏园),普陀-曹杨-曹杨四村(桐柏园),33.00,1室0厅,南,,3675,111.4,,,https://sh.lianjia.com/zufang/SH2017952385992753152.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨二村（北梅园） 2室1厅 南,整租,曹杨二村（北梅园）,普陀-曹杨-曹杨二村,50.18,2室1厅,南,,5630,112.2,,,https://sh.lianjia.com/zufang/SH1890982196764737536.html,2026-04-23 15:26:22,,
caoyang,整租·常高公寓 2室1厅 南,整租,常高公寓,普陀-曹杨-常高公寓,77.47,2室1厅,南,,6510,84.0,,,https://sh.lianjia.com/zufang/SH1848030036335001600.html,2026-04-23 15:26:37,,
caoyang,整租·杏园 1室1厅 南,整租,杏园,普陀-曹杨-杏园,32.82,1室1厅,南,,4430,135.0,,,https://sh.lianjia.com/zufang/SH1824494031883730944.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨九村 1室1厅 南,整租,曹杨九村,普陀-曹杨-曹杨九村,28.68,1室1厅,南,,4000,139.5,,,https://sh.lianjia.com/zufang/SH1923782612262846464.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨五村(南杨园) 1室1厅 南,整租,曹杨五村(南杨园),普陀-曹杨-曹杨五村(南杨园),37.32,1室1厅,南,,4430,118.7,,,https://sh.lianjia.com/zufang/SH1958825723833614336.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨七村 1室0厅 南,整租,曹杨七村,普陀-曹杨-曹杨七村,33.01,1室0厅,南,,4200,127.2,,,https://sh.lianjia.com/zufang/SH1949074494425399296.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨三村(兰岭园) 1室1厅 东,整租,曹杨三村(兰岭园),普陀-曹杨-曹杨三村(兰岭园),14.90,1室1厅,东,,3230,216.8,,,https://sh.lianjia.com/zufang/SH1828699890658574336.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨一村 1室1厅 南,整租,曹杨一村,普陀-曹杨-曹杨一村,40.00,1室1厅,南,,5460,136.5,,,https://sh.lianjia.com/zufang/SH1760666229531475968.html,2026-04-23 15:26:37,,
caoyang,整租·曹杨四村(枣阳园) 2室0厅 南,整租,曹杨四村(枣阳园),普陀-曹杨-曹杨四村(枣阳园),44.02,2室0厅,南,,5200,118.1,,,https://sh.lianjia.com/zufang/SH2151604022740516864.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨六村(沙溪园) 1室1厅 西,整租,曹杨六村(沙溪园),普陀-曹杨-曹杨六村(沙溪园),22.27,1室1厅,西,,3590,161.2,,,https://sh.lianjia.com/zufang/SH1913919862695002112.html,2026-04-23 15:26:22,,
caoyang,整租·曹杨九村 2室1厅 南,整租,曹杨九村,普陀-曹杨-曹杨九村,47.80,2室1厅,南,,4500,94.1,,,https://sh.lianjia.com/zufang/SH1885282309079302144.html,2026-04-23 15:26:37,,
