region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
changchunjie,整租·锦上国际公寓 1室1厅 北,整租,锦上国际公寓,西城区-长椿街-锦上国际公寓,69.97,1室1厅,北,,6200,88.6,,,https://bj.lianjia.com/zufang/BJ2090370326507552768.html,2026-05-02 20:14:28,39.897096,116.353098
changchunjie,整租·锦上国际公寓 1室1厅 北,整租,锦上国际公寓,西城区-长椿街-锦上国际公寓,69.97,1室1厅,北,,5600,80.0,,,https://bj.lianjia.com/zufang/BJ2015450633921888256.html,2026-05-02 20:14:28,39.897096,116.353098
changchunjie,整租·核桃园 2室1厅 南/北,整租,核桃园,西城区-长椿街-核桃园,59.54,2室1厅,南/北,,6000,100.8,,,https://bj.lianjia.com/zufang/BJ2033093894748504064.html,2026-05-02 20:14:28,39.890805,116.349399
changchunjie,整租·锦上国际公寓 1室1厅 南,整租,锦上国际公寓,西城区-长椿街-锦上国际公寓,61.47,1室1厅,南,,6300,102.5,,,https://bj.lianjia.com/zufang/BJ2153046992312336384.html,2026-05-02 20:14:28,39.897096,116.353098
changchunjie,整租·宣武门西大街南区 2室1厅 南,整租,宣武门西大街南区,西城区-长椿街-宣武门西大街南区,54.99,2室1厅,南,,6800,123.7,,,https://bj.lianjia.com/zufang/BJ1878134480288350208.html,2026-05-02 20:14:28,39.894763,116.348137
changchunjie,整租·西便门内大街79号院 1室1厅 南,整租,西便门内大街79号院,西城区-长椿街-西便门内大街,41.91,1室1厅,南,,6090,145.3,,,https://bj.lianjia.com/zufang/BJ1899482199875387392.html,2026-05-02 20:14:28,39.894474,116.345441
changchunjie,整租·锦上国际公寓 2室1厅 北,整租,锦上国际公寓,西城区-长椿街-锦上国际公寓,69.97,2室1厅,北,,6200,88.6,,,https://bj.lianjia.com/zufang/BJ2155213622085681152.html,2026-05-02 20:14:28,39.897096,116.353098
changchunjie,整租·广安门北街 3室1厅 东/西,整租,广安门北街,西城区-长椿街-广安门北街,106.00,3室1厅,东/西,,9800,92.5,,,https://bj.lianjia.com/zufang/BJ2153757720769986560.html,2026-05-02 20:14:28,39.896986,116.357438
changchunjie,整租·槐柏树街南里 1室1厅 东/西,整租,槐柏树街南里,西城区-长椿街-槐柏树街南里,46.79,1室1厅,东/西,,5200,111.1,,,https://bj.lianjia.com/zufang/BJ2005937099735302144.html,2026-05-02 20:14:28,39.893515,116.350642
changchunjie,整租·广安门北街 2室1厅 南,整租,广安门北街,西城区-长椿街-广安门北街,83.00,2室1厅,南,,7500,90.4,,,https://bj.lianjia.com/zufang/BJ2107343370216013824.html,2026-05-02 20:14:28,39.896986,116.357438
