region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
changzheng,整租·建德花园百合苑 2室2厅 南,整租,建德花园百合苑,普陀-长征-建德花园百合苑,99.36,2室2厅,南,,7800,78.5,,,https://sh.lianjia.com/zufang/SH1720411829848506368.html,2026-04-23 15:26:46,31.2414,121.35351
changzheng,整租·旭辉世纪广场 1室1厅 南,整租,旭辉世纪广场,普陀-长征-旭辉世纪广场,41.10,1室1厅,南,,5000,121.7,,,https://sh.lianjia.com/zufang/SH2143929735434993664.html,2026-04-23 15:26:46,31.23925,121.36202
changzheng,整租·建德花园玫瑰苑(公寓) 2室1厅 南,整租,建德花园玫瑰苑(公寓),普陀-长征-建德花园玫瑰苑(公寓),91.32,2室1厅,南,,6500,71.2,,,https://sh.lianjia.com/zufang/SH2149075519092555776.html,2026-04-23 15:26:46,31.23645,121.35464
changzheng,整租·金沙雅苑(三期) 2室1厅 南,整租,金沙雅苑(三期),普陀-长征-金沙雅苑(三期),96.63,2室1厅,南,,8960,92.7,,,https://sh.lianjia.com/zufang/SH1840335837347184640.html,2026-04-23 15:26:46,31.23991,121.36396
changzheng,整租·建德花园百合苑 3室2厅 南/北,整租,建德花园百合苑,普陀-长征-建德花园百合苑,121.00,3室2厅,南/北,,7800,64.5,,,https://sh.lianjia.com/zufang/SH2149877754156285952.html,2026-04-23 15:26:46,31.2414,121.35351
changzheng,整租·旭辉世纪广场 1室1厅 北,整租,旭辉世纪广场,普陀-长征-旭辉世纪广场,41.89,1室1厅,北,,5760,137.5,,,https://sh.lianjia.com/zufang/SH1902056147183992832.html,2026-04-23 15:26:46,31.23925,121.36202
changzheng,整租·金莲坊 3室1厅 南,整租,金莲坊,普陀-长征-金莲坊,71.00,3室1厅,南,,5500,77.5,,,https://sh.lianjia.com/zufang/SH2015751368085602304.html,2026-04-23 15:26:46,31.235996,121.365847
changzheng,整租·中海紫御豪庭一二期 4室2厅 南,整租,中海紫御豪庭一二期,普陀-长征-中海紫御豪庭一二期,467.57,4室2厅,南,,32000,68.4,,,https://sh.lianjia.com/zufang/SH2144045178543931392.html,2026-04-23 15:26:46,31.23145,121.37692
changzheng,整租·金沙雅苑(一期) 3室2厅 南/北,整租,金沙雅苑(一期),普陀-长征-金沙雅苑(一期),110.54,3室2厅,南/北,,7000,63.3,,,https://sh.lianjia.com/zufang/SH2011776067508895744.html,2026-04-23 15:26:46,31.23991,121.36396
changzheng,整租·新长征花苑 1室1厅 南,整租,新长征花苑,普陀-长征-新长征花苑,46.88,1室1厅,南,,4790,102.2,,,https://sh.lianjia.com/zufang/SH1954426240240713728.html,2026-04-23 15:26:46,31.23802,121.3688
changzheng,整租·旭辉世纪广场 1室1厅 北,整租,旭辉世纪广场,普陀-长征-旭辉世纪广场,58.41,1室1厅,北,,5600,95.9,,,https://sh.lianjia.com/zufang/SH1989991385503105024.html,2026-04-23 15:26:46,31.23925,121.36202
changzheng,整租·金沙嘉年华 2室1厅 南,整租,金沙嘉年华,普陀-长征-金沙嘉年华,92.36,2室1厅,南,,7030,76.1,,,https://sh.lianjia.com/zufang/SH1798013856698597376.html,2026-04-23 15:26:46,31.234339,121.364379
changzheng,整租·旭辉世纪广场 1室1厅 南,整租,旭辉世纪广场,普陀-长征-旭辉世纪广场,41.40,1室1厅,南,,5000,120.8,,,https://sh.lianjia.com/zufang/SH2152691183694905344.html,2026-04-23 15:26:46,31.23925,121.36202
changzheng,整租·金江家园 2室1厅 南,整租,金江家园,普陀-长征-金江家园,64.86,2室1厅,南,,4887,75.3,,,https://sh.lianjia.com/zufang/SH1995653769857073152.html,2026-04-23 15:26:46,31.235996,121.365847
changzheng,整租·真源小区 2室1厅 南,整租,真源小区,普陀-长征-真源小区,68.61,2室1厅,南,,5500,80.2,,,https://sh.lianjia.com/zufang/SH2150877135160475648.html,2026-04-23 15:26:46,31.24043,121.37654
changzheng,整租·泰宸苑一期 2室1厅 南,整租,泰宸苑一期,普陀-长征-泰宸苑一期,99.98,2室1厅,南,,6625,66.3,,,https://sh.lianjia.com/zufang/SH1846253525240119296.html,2026-04-23 15:26:46,31.2415,121.36066
changzheng,整租·朝霞新苑 2室2厅 南,整租,朝霞新苑,普陀-长征-朝霞新苑,95.93,2室2厅,南,,6000,62.5,,,https://sh.lianjia.com/zufang/SH2458439166573420544.html,2026-04-23 15:26:46,31.246064,121.386178
