region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
chaoqing,整租·天鹅湾南区 3室1厅 南/北,整租,天鹅湾南区,朝阳区-朝青-天鹅湾南区,136.72,3室1厅,南/北,,12300,90.0,,,https://bj.lianjia.com/zufang/BJ2147258915224551424.html,2026-05-02 20:36:51,,
chaoqing,整租·珠江罗马嘉园西区 3室2厅 东南,整租,珠江罗马嘉园西区,朝阳区-朝青-珠江罗马嘉园西区,139.10,3室2厅,东南,,9900,71.2,,,https://bj.lianjia.com/zufang/BJ2151269230727659520.html,2026-05-02 20:38:16,,
chaoqing,整租·国美第一城2号院 3室2厅 南/北,整租,国美第一城2号院,朝阳区-朝青-国美第一城,140.00,3室2厅,南/北,,10000,71.4,,,https://bj.lianjia.com/zufang/BJ2158876760186290176.html,2026-05-02 20:36:30,,
chaoqing,整租·华纺易城 4室2厅 南/北,整租,华纺易城,朝阳区-朝青-华纺易城,184.00,4室2厅,南/北,,15000,81.5,,,https://bj.lianjia.com/zufang/BJ2154387419086979072.html,2026-05-02 20:36:30,,
chaoqing,整租·珠江罗马嘉园西区 1室0厅 南,整租,珠江罗马嘉园西区,朝阳区-朝青-珠江罗马嘉园西区,63.11,1室0厅,南,,4800,76.1,,,https://bj.lianjia.com/zufang/BJ2064321534750621696.html,2026-05-02 20:36:30,,
chaoqing,独栋·外泊家公寓 小悦中心租售部 租售部直租丨0中介费 租期灵活 月付 北向一居室 1室1厅,独栋,外泊家公寓 小悦中心租售部 租售部直租丨0中介费 租期灵活 月付 北向一居室,,66.00,1室1厅,,,4800,72.7,,,https://bj.lianjia.com/apartment/98172.html,2026-05-02 20:36:36,,
chaoqing,整租·珠江罗马嘉园东区 3室2厅 西南,整租,珠江罗马嘉园东区,朝阳区-朝青-珠江罗马嘉园东区,120.21,3室2厅,西南,,9400,78.2,,,https://bj.lianjia.com/zufang/BJ2154438033921802240.html,2026-05-02 20:36:30,,
chaoqing,整租·金隅汇星苑 3室1厅 东/西,整租,金隅汇星苑,朝阳区-朝青-金隅汇星苑,88.82,3室1厅,东/西,,6150,69.2,,,https://bj.lianjia.com/zufang/BJ2144649479976910848.html,2026-05-02 20:36:57,,
chaoqing,整租·金隅凤麟洲 2室2厅 南/北,整租,金隅凤麟洲,朝阳区-朝青-金隅凤麟洲,107.64,2室2厅,南/北,,7800,72.5,,,https://bj.lianjia.com/zufang/BJ2146147837254041600.html,2026-05-02 20:38:08,,
chaoqing,整租·逸翠园 2室1厅 西南,整租,逸翠园,朝阳区-朝青-逸翠园,87.18,2室1厅,西南,,8800,100.9,,,https://bj.lianjia.com/zufang/BJ2146818625149861888.html,2026-05-02 20:36:51,,
chaoqing,整租·银谷美泉家园 2室1厅 南/北,整租,银谷美泉家园,朝阳区-朝青-银谷美泉家园,110.89,2室1厅,南/北,,9000,81.2,,,https://bj.lianjia.com/zufang/BJ2143925838607810560.html,2026-05-02 20:36:51,,
chaoqing,整租·国美第一城3号院 2室1厅 东南,整租,国美第一城3号院,朝阳区-朝青-国美第一城,86.87,2室1厅,东南,,6800,78.3,,,https://bj.lianjia.com/zufang/BJ2160558452139622400.html,2026-05-02 20:36:30,,
chaoqing,整租·国美第一城3号院 2室2厅 南/北,整租,国美第一城3号院,朝阳区-朝青-国美第一城,97.78,2室2厅,南/北,,6600,67.5,,,https://bj.lianjia.com/zufang/BJ2155202080078299136.html,2026-05-02 20:37:55,,
chaoqing,整租·阿曼寓所 2室1厅 西南,整租,阿曼寓所,朝阳区-朝青-阿曼寓所,98.25,2室1厅,西南,,7500,76.3,,,https://bj.lianjia.com/zufang/BJ2157115229555654656.html,2026-05-02 20:36:30,,
chaoqing,整租·润枫水尚西区 2室1厅 南/北,整租,润枫水尚西区,朝阳区-朝青-润枫水尚西区,122.36,2室1厅,南/北,,11000,89.9,,,https://bj.lianjia.com/zufang/BJ2156372375417913344.html,2026-05-02 20:38:08,,
chaoqing,整租·国美第一城3号院 2室1厅 东南,整租,国美第一城3号院,朝阳区-朝青-国美第一城,91.85,2室1厅,东南,,7500,81.7,,,https://bj.lianjia.com/zufang/BJ2145823363249995776.html,2026-05-02 20:36:30,,
chaoqing,整租·御翠尚府 4室2厅 南/北,整租,御翠尚府,朝阳区-朝青-御翠尚府,241.72,4室2厅,南/北,,25000,103.4,,,https://bj.lianjia.com/zufang/BJ2157087850040918016.html,2026-05-02 20:37:55,,
chaoqing,整租·国美第一城3号院 2室1厅 东南,整租,国美第一城3号院,朝阳区-朝青-国美第一城,89.92,2室1厅,东南,,7600,84.5,,,https://bj.lianjia.com/zufang/BJ2154619104563036160.html,2026-05-02 20:38:08,,
chaoqing,整租·天鹅湾北区 3室3厅 南/北,整租,天鹅湾北区,朝阳区-朝青-天鹅湾北区,254.42,3室3厅,南/北,,21000,82.5,,,https://bj.lianjia.com/zufang/BJ2153011596064980992.html,2026-05-02 20:36:30,,
chaoqing,整租·金隅泰和园 2室1厅 南/北,整租,金隅泰和园,朝阳区-朝青-金隅泰和园,75.41,2室1厅,南/北,,5600,74.3,,,https://bj.lianjia.com/zufang/BJ2155218011512897536.html,2026-05-02 20:36:30,,
chaoqing,整租·南太平庄北巷 2室1厅 复式 南/北,整租,南太平庄北巷,朝阳区-朝青-南太平庄北巷,91.18,2室1厅,,,4850,53.2,,,https://bj.lianjia.com/zufang/BJ2081677716305739776.html,2026-05-02 20:36:30,,
chaoqing,整租·金隅汇星苑 2室1厅 南,整租,金隅汇星苑,朝阳区-朝青-金隅汇星苑,81.00,2室1厅,南,,6500,80.2,,,https://bj.lianjia.com/zufang/BJ2139709258445357056.html,2026-05-02 20:36:30,,
chaoqing,整租·润枫水尚东区 2室1厅 南/北,整租,润枫水尚东区,朝阳区-朝青-润枫水尚东区,119.72,2室1厅,南/北,,12000,100.2,,,https://bj.lianjia.com/zufang/BJ2150166873222676480.html,2026-05-02 20:36:30,,
