region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
chedun,整租·松南城蔷薇苑 2室1厅 南,整租,松南城蔷薇苑,松江-车墩-松南城蔷薇苑,76.53,2室1厅,南,,2300,30.1,,,https://sh.lianjia.com/zufang/SH2029856436720238592.html,2026-04-23 17:18:22,30.982817,121.246021
chedun,整租·松南城嘉泽里 1室1厅 南,整租,松南城嘉泽里,松江-车墩-松南城嘉泽里,75.00,1室1厅,南,,2100,28.0,,,https://sh.lianjia.com/zufang/SH2148378826466394112.html,2026-04-23 17:18:22,30.984817,121.248842
chedun,整租·松南城欣浪苑 3室2厅 南/北,整租,松南城欣浪苑,松江-车墩-松南城欣浪苑,98.31,3室2厅,南/北,,2940,29.9,,,https://sh.lianjia.com/zufang/SH1969032264050278400.html,2026-04-23 17:18:22,30.996513,121.271518
chedun,独栋·派米雷LINK新界 车墩 首月半价直租无中介-民水民电-预定即送租金券-G60-拎包入住 2室2厅,独栋,派米雷LINK新界 车墩,,60.00,2室2厅,,,3200-3539,,,,https://sh.lianjia.com/apartment/64661.html,2026-04-23 17:18:22,39.811687,116.295211
chedun,整租·松南城云珠雅苑 2室1厅 南,整租,松南城云珠雅苑,松江-车墩-松南城云珠雅苑,74.97,2室1厅,南,,2520,33.6,,,https://sh.lianjia.com/zufang/SH2153492731681308672.html,2026-04-23 17:18:22,30.982837,121.241251
chedun,独栋·派米雷LINK新界 车墩3店 现房实拍 送800房租券 整租大一居 采光超好 直达徐家汇 上海南站 莘庄 1室1厅,独栋,派米雷LINK新界 车墩3店,,45.00,1室1厅,,,2300,51.1,,,https://sh.lianjia.com/apartment/60972.html,2026-04-23 17:18:22,39.811687,116.295211
chedun,整租·松南城云珠雅苑 2室1厅 南,整租,松南城云珠雅苑,松江-车墩-松南城云珠雅苑,77.00,2室1厅,南,,2300,29.9,,,https://sh.lianjia.com/zufang/SH2150230989408829440.html,2026-04-23 17:18:22,30.982837,121.241251
chedun,整租·松南城辰禾东苑 1室1厅 南/北,整租,松南城辰禾东苑,松江-车墩-松南城辰禾东苑,59.55,1室1厅,南/北,,2500,42.0,,,https://sh.lianjia.com/zufang/SH2154437519985344512.html,2026-04-23 17:18:22,30.987261,121.253928
chedun,整租·松南城云珠雅苑 1室1厅 南,整租,松南城云珠雅苑,松江-车墩-松南城云珠雅苑,54.21,1室1厅,南,,1890,34.9,,,https://sh.lianjia.com/zufang/SH1807422965399158784.html,2026-04-23 17:18:22,30.982837,121.241251
chedun,独栋·派米雷LINK新界 车墩店 立减一个月房租 车墩公寓天花板 独立阳台可养宠 民用水电燃可租赁备案 地下停车场 2室2厅,独栋,派米雷LINK新界 车墩店 立减一个月房租 车墩公寓天花板,,65.00,2室2厅,,,3402-3450,,,,https://sh.lianjia.com/apartment/57053.html,2026-04-23 17:18:22,39.811687,116.295211
chedun,整租·旭辉安贝尔花园 3室1厅 南,整租,旭辉安贝尔花园,松江-车墩-旭辉安贝尔花园,89.59,3室1厅,南,,3300,36.8,,,https://sh.lianjia.com/zufang/SH2156048756036861952.html,2026-04-23 17:18:22,31.02153,121.31063
chedun,整租·松南城云珠雅苑 1室1厅 南,整租,松南城云珠雅苑,松江-车墩-松南城云珠雅苑,54.22,1室1厅,南,,1995,36.8,,,https://sh.lianjia.com/zufang/SH2019713832238186496.html,2026-04-23 17:18:22,30.982837,121.241251
chedun,整租·松南城辰禾西苑 3室1厅 南,整租,松南城辰禾西苑,松江-车墩-松南城辰禾西苑,78.00,3室1厅,南,,2600,33.3,,,https://sh.lianjia.com/zufang/SH2154825478186205184.html,2026-04-23 17:18:22,30.986769,121.25163
chedun,整租·松南城芙蓉苑 3室2厅 南/北,整租,松南城芙蓉苑,松江-车墩-松南城芙蓉苑,94.30,3室2厅,南/北,,2550,27.0,,,https://sh.lianjia.com/zufang/SH2130651412625883136.html,2026-04-23 17:18:22,30.994297,121.261672
chedun,整租·松南城善德苑 2室1厅 南,整租,松南城善德苑,松江-车墩-松南城善德苑,76.00,2室1厅,南,,2500,32.9,,,https://sh.lianjia.com/zufang/SH2154089423023636480.html,2026-04-23 17:18:22,30.994297,121.261672
chedun,整租·松南城蔷薇苑 1室1厅 南,整租,松南城蔷薇苑,松江-车墩-松南城蔷薇苑,57.00,1室1厅,南,,2205,38.7,,,https://sh.lianjia.com/zufang/SH2027736664750686208.html,2026-04-23 17:18:22,30.982817,121.246021
chedun,整租·旭辉安贝尔花园 3室1厅 南/北,整租,旭辉安贝尔花园,松江-车墩-旭辉安贝尔花园,89.59,3室1厅,南/北,,4200,46.9,,,https://sh.lianjia.com/zufang/SH2153716069628379136.html,2026-04-23 17:18:22,31.02153,121.31063
chedun,整租·松南城芙蓉苑 1室1厅 南,整租,松南城芙蓉苑,松江-车墩-松南城芙蓉苑,53.96,1室1厅,南,,2100,38.9,,,https://sh.lianjia.com/zufang/SH2073070549218623488.html,2026-04-23 17:18:22,30.994297,121.261672
chedun,整租·松南城蔷薇苑 2室1厅 南/北,整租,松南城蔷薇苑,松江-车墩-松南城蔷薇苑,76.00,2室1厅,南/北,,2400,31.6,,,https://sh.lianjia.com/zufang/SH2158167809417281536.html,2026-04-23 17:18:22,30.982817,121.246021
chedun,整租·松南城嘉泽里 2室1厅 南/北,整租,松南城嘉泽里,松江-车墩-松南城嘉泽里,77.91,2室1厅,南/北,,2400,30.8,,,https://sh.lianjia.com/zufang/SH2156750142588321792.html,2026-04-23 17:18:22,30.984817,121.248842
chedun,整租·松南城善德苑 2室1厅 南,整租,松南城善德苑,松江-车墩-松南城善德苑,76.22,2室1厅,南,,2800,36.7,,,https://sh.lianjia.com/zufang/SH2146893026557952000.html,2026-04-23 17:18:22,30.994297,121.261672
chedun,整租·松南城尚雅苑 2室1厅 南,整租,松南城尚雅苑,松江-车墩-松南城尚雅苑,76.69,2室1厅,南,,2700,35.2,,,https://sh.lianjia.com/zufang/SH2142099920373415936.html,2026-04-23 17:18:22,30.99228,121.272186
chedun,整租·同润魅影商苑 2室2厅 南,整租,同润魅影商苑,松江-车墩-同润魅影商苑,44.11,2室2厅,南,,2600,58.9,,,https://sh.lianjia.com/zufang/SH2037879487068110848.html,2026-04-23 17:18:22,31.01001,121.31168
