region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
城关,整租·富燕新村一区 2室1厅 南/北,整租,富燕新村一区,房山区-城关-富燕新村一区,92.00,2室1厅,南/北,,1800,19.6,,,https://bj.lianjia.com/zufang/BJ2159565641789472768.html,2026-05-02 23:10:19,39.717986,115.981249
城关,整租·城关北里社区 2室1厅 南,整租,城关北里社区,房山区-城关-城关北里社区,54.32,2室1厅,南,,1300,23.9,,,https://bj.lianjia.com/zufang/BJ2144443469471416320.html,2026-05-02 23:10:19,39.706144,115.980422
城关,整租·中冶蓝城西区 3室1厅 南/北,整租,中冶蓝城西区,房山区-城关-中冶蓝城西区,99.84,3室1厅,南/北,,2700,27.0,,,https://bj.lianjia.com/zufang/BJ2121502122628349952.html,2026-05-02 23:10:19,39.705966,116.004349
城关,整租·万宁小区 3室1厅 南/北,整租,万宁小区,房山区-城关-万宁小区,93.44,3室1厅,南/北,,1500,16.1,,,https://bj.lianjia.com/zufang/BJ2142497670701252608.html,2026-05-02 23:10:19,39.709809,115.978754
城关,整租·中国铁建原香漫谷一区 2房间 南,整租,中国铁建原香漫谷一区 2房间 南,房山区-城关-中国铁建原香漫谷一区,47.38,,,,1700,35.9,,,https://bj.lianjia.com/zufang/BJ1694667427347955712.html,2026-05-02 23:10:19,39.698701,115.978018
城关,整租·丁家洼村 2室1厅 南/北,整租,丁家洼村,房山区-城关-丁家洼村,88.70,2室1厅,南/北,,1800,20.3,,,https://bj.lianjia.com/zufang/BJ1858046495501058048.html,2026-05-02 23:10:19,39.715757,116.003818
城关,整租·前后朱各庄安置房小区 2室1厅 南/北,整租,前后朱各庄安置房小区,房山区-城关-前后朱各庄安置房小区,90.20,2室1厅,南/北,,1900,21.1,,,https://bj.lianjia.com/zufang/BJ2160712876455624704.html,2026-05-02 23:10:19,39.710156,116.006309
城关,整租·永安家园 3室1厅 南/北,整租,永安家园,房山区-城关-永安家园,99.68,3室1厅,南/北,,1800,18.1,,,https://bj.lianjia.com/zufang/BJ2108430021608603648.html,2026-05-02 23:10:19,39.693399,115.975774
城关,整租·北关新佳苑 2室1厅 南/北,整租,北关新佳苑,房山区-城关-北关新佳苑,76.93,2室1厅,南/北,,2150,27.9,,,https://bj.lianjia.com/zufang/BJ2026591430213894144.html,2026-05-02 23:10:19,39.708517,115.977992
城关,整租·富仕苑 2室1厅 南/北,整租,富仕苑,房山区-城关-富仕苑,81.00,2室1厅,南/北,,1500,18.5,,,https://bj.lianjia.com/zufang/BJ2131580908132630528.html,2026-05-02 23:10:19,39.690506,116.015669
城关,整租·城关西大街 2室1厅 南/北,整租,城关西大街,房山区-城关-城关西大街,74.72,2室1厅,南/北,,1380,18.5,,,https://bj.lianjia.com/zufang/BJ2121827253389099008.html,2026-05-02 23:10:19,39.701499,115.969623
城关,整租·大成岳府B区 2室1厅 南/北,整租,大成岳府B区,房山区-城关-大成岳府,71.29,2室1厅,南/北,,2200,30.9,,,https://bj.lianjia.com/zufang/BJ2038867653400985600.html,2026-05-02 23:10:19,39.696619,115.978713
城关,整租·中国铁建原香漫谷一区 2房间 南,整租,中国铁建原香漫谷一区 2房间 南,房山区-城关-中国铁建原香漫谷一区,50.09,,,,1500,29.9,,,https://bj.lianjia.com/zufang/BJ2151225996957712384.html,2026-05-02 23:10:19,39.698701,115.978018
城关,整租·中冶蓝城东区 2室1厅 南/北,整租,中冶蓝城东区,房山区-城关-中冶蓝城东区,89.26,2室1厅,南/北,,2400,26.9,,,https://bj.lianjia.com/zufang/BJ2156245696758415360.html,2026-05-02 23:10:19,39.706356,116.006119
城关,整租·大成岳府A区 2室1厅 南/北,整租,大成岳府A区,房山区-城关-大成岳府,82.93,2室1厅,南/北,,2000,24.1,,,https://bj.lianjia.com/zufang/BJ1944259924347322368.html,2026-05-02 23:10:19,39.696619,115.978713
城关,整租·中国铁建原香漫谷二区 2室1厅 南,整租,中国铁建原香漫谷二区,房山区-城关-中国铁建原香漫谷二区,87.50,2室1厅,南,,2310,26.4,,,https://bj.lianjia.com/zufang/BJ2030834761764700160.html,2026-05-02 23:10:19,39.698701,115.978018
城关,整租·中国铁建原香漫谷一区 2室1厅 南,整租,中国铁建原香漫谷一区,房山区-城关-中国铁建原香漫谷一区,87.44,2室1厅,南,,2000,22.9,,,https://bj.lianjia.com/zufang/BJ2111383978354147328.html,2026-05-02 23:10:19,39.698701,115.978018
城关,整租·西大街6号楼 2室1厅 南,整租,西大街6号楼,房山区-城关-西大街,63.63,2室1厅,南,,1300,20.4,,,https://bj.lianjia.com/zufang/BJ2154814095080030208.html,2026-05-02 23:10:19,39.701024,115.976592
城关,整租·管道局社区 2室1厅 南/北,整租,管道局社区,房山区-城关-管道局社区,63.25,2室1厅,南/北,,1300,20.6,,,https://bj.lianjia.com/zufang/BJ2034868622089781248.html,2026-05-02 23:10:19,39.694276,115.977389
城关,整租·万宁小区 3室1厅 南/北,整租,万宁小区,房山区-城关-万宁小区,72.70,3室1厅,南/北,,1900,26.1,,,https://bj.lianjia.com/zufang/BJ2141859963939586048.html,2026-05-02 23:10:19,39.709809,115.978754
城关,整租·化四小区 2室1厅 南,整租,化四小区,房山区-城关-化四小区,62.05,2室1厅,南,,1500,24.2,,,https://bj.lianjia.com/zufang/BJ2159535486169776128.html,2026-05-02 23:10:19,39.690506,116.015669
城关,整租·洪顺家园B区 2室1厅 南/北,整租,洪顺家园B区,房山区-城关-洪顺家园,85.00,2室1厅,南/北,,2000,23.5,,,https://bj.lianjia.com/zufang/BJ2137488511333302272.html,2026-05-02 23:10:19,39.702063,115.973062
城关,整租·中国铁建原香漫谷一区 2室1厅 南,整租,中国铁建原香漫谷一区,房山区-城关-中国铁建原香漫谷一区,88.78,2室1厅,南,,2200,24.8,,,https://bj.lianjia.com/zufang/BJ2147674519655940096.html,2026-05-02 23:10:19,39.698701,115.978018
城关,整租·洪恩顺城A区 2室1厅 南,整租,洪恩顺城A区,房山区-城关-洪恩顺城,88.36,2室1厅,南,,2500,28.3,,,https://bj.lianjia.com/zufang/BJ2151976753629757440.html,2026-05-02 23:10:19,39.702063,115.973062
城关,整租·永安西里 1室1厅 南,整租,永安西里,房山区-城关-永安西里,51.61,1室1厅,南,,1000,19.4,,,https://bj.lianjia.com/zufang/BJ2148708596127367168.html,2026-05-02 23:10:19,39.693399,115.975774
城关,整租·南城社区 2室1厅 南/北,整租,南城社区,房山区-城关-南城社区,71.35,2室1厅,南/北,,1400,19.6,,,https://bj.lianjia.com/zufang/BJ2138163514018103296.html,2026-05-02 23:10:19,39.695755,115.974054
城关,整租·永安西里 2室1厅 南/北,整租,永安西里,房山区-城关-永安西里,61.59,2室1厅,南/北,,1200,19.5,,,https://bj.lianjia.com/zufang/BJ2151672585765519360.html,2026-05-02 23:10:19,39.693399,115.975774
城关,整租·前后朱各庄安置房小区 1室1厅 南/北,整租,前后朱各庄安置房小区,房山区-城关-前后朱各庄安置房小区,70.01,1室1厅,南/北,,1600,22.9,,,https://bj.lianjia.com/zufang/BJ2150190792965095424.html,2026-05-02 23:10:19,39.710156,116.006309
城关,整租·顺成嘉苑 2室1厅 南,整租,顺成嘉苑,房山区-城关-顺成嘉苑,79.08,2室1厅,南,,1800,22.8,,,https://bj.lianjia.com/zufang/BJ2159904471474241536.html,2026-05-02 23:10:19,39.690506,116.015669
城关,整租·中冶蓝城东区 2室1厅 南,整租,中冶蓝城东区,房山区-城关-中冶蓝城东区,89.61,2室1厅,南,,2200,24.6,,,https://bj.lianjia.com/zufang/BJ2152374045880877056.html,2026-05-02 23:10:19,39.706356,116.006119
