region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
chengshousi1,整租·中海城圣朝菲 3室1厅 南/北,整租,中海城圣朝菲,朝阳区-成寿寺-中海城圣朝菲,100.88,3室1厅,南/北,,7300,72.4,,,https://bj.lianjia.com/zufang/BJ2132758630724796416.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·首开住总熙悦安郡 3室2厅 南/北,整租,首开住总熙悦安郡,朝阳区-成寿寺-首开住总熙悦安郡,108.77,3室2厅,南/北,,10900,100.2,,,https://bj.lianjia.com/zufang/BJ2157762244891377664.html,2026-05-02 20:33:37,39.838337,116.440385
chengshousi1,整租·方庄南路18号院 2室1厅 东南,整租,方庄南路18号院,丰台区-成寿寺-方庄南路,83.94,2室1厅,东南,,5600,66.7,,,https://bj.lianjia.com/zufang/BJ2145896267723571200.html,2026-05-02 20:33:20,39.849886,116.435538
chengshousi1,整租·钟萃路1号院 2室1厅 南/北,整租,钟萃路1号院,丰台区-成寿寺-钟萃路,90.00,2室1厅,南/北,,6300,70.0,,,https://bj.lianjia.com/zufang/BJ2146191075507699712.html,2026-05-02 20:33:20,39.848989,116.442954
chengshousi1,整租·四方景园五区 3室1厅 西南,整租,四方景园五区,丰台区-成寿寺-四方景园五区,108.39,3室1厅,西南,,7000,64.6,,,https://bj.lianjia.com/zufang/BJ2145151373753188352.html,2026-05-02 20:33:20,39.853033,116.435833
chengshousi1,整租·中海城圣朝菲 2室1厅 东,整租,中海城圣朝菲,朝阳区-成寿寺-中海城圣朝菲,97.45,2室1厅,东,,6790,69.7,,,https://bj.lianjia.com/zufang/BJ1863942987424202752.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·钟萃路1号院 1室0厅 南,整租,钟萃路1号院,丰台区-成寿寺-钟萃路,50.00,1室0厅,南,,4300,86.0,,,https://bj.lianjia.com/zufang/BJ2144271533395148800.html,2026-05-02 20:33:20,39.848989,116.442954
chengshousi1,整租·中海城紫鑫阁 1房间 北,整租,中海城紫鑫阁 1房间 北,朝阳区-成寿寺-中海城紫鑫阁,38.00,,,,3600,94.7,,,https://bj.lianjia.com/zufang/BJ2152278117270421504.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·成寿寺路25号院 2室1厅 南/北,整租,成寿寺路25号院,丰台区-成寿寺-成寿寺路,90.66,2室1厅,南/北,,6500,71.7,,,https://bj.lianjia.com/zufang/BJ2149512975076032512.html,2026-05-02 20:33:37,39.8499,116.43926
chengshousi1,整租·中海城北区 2室2厅 南,整租,中海城北区,朝阳区-成寿寺-中海城北区,101.64,2室2厅,南,,7500,73.8,,,https://bj.lianjia.com/zufang/BJ2145463156275675136.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·文成建筑 2室1厅 南/北,整租,文成建筑,丰台区-成寿寺-文成建筑,115.02,2室1厅,南/北,,10000,86.9,,,https://bj.lianjia.com/zufang/BJ2150184912383115264.html,2026-05-02 20:33:20,39.855829,116.434934
chengshousi1,整租·成寿寺路 2室1厅 南/北,整租,成寿寺路,朝阳区-成寿寺-成寿寺路,63.49,2室1厅,南/北,,5400,85.1,,,https://bj.lianjia.com/zufang/BJ2149529082105167872.html,2026-05-02 20:33:37,39.838337,116.440385
chengshousi1,整租·中海城紫鑫阁 2房间 北,整租,中海城紫鑫阁 2房间 北,朝阳区-成寿寺-中海城紫鑫阁,47.80,,,,4600,96.2,,,https://bj.lianjia.com/zufang/BJ2150108286098079744.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·鑫源国际 4房间 西南,整租,鑫源国际 4房间 西南,丰台区-成寿寺-鑫源国际,160.00,,,,10000,62.5,,,https://bj.lianjia.com/zufang/BJ2061008846482046976.html,2026-05-02 20:33:20,39.855829,116.434934
chengshousi1,整租·晶城秀府 1室1厅 西南,整租,晶城秀府,丰台区-成寿寺-晶城秀府,57.63,1室1厅,西南,,5500,95.4,,,https://bj.lianjia.com/zufang/BJ2156301204127219712.html,2026-05-02 20:33:37,39.855829,116.434934
chengshousi1,整租·方庄南路18号院 2室1厅 南,整租,方庄南路18号院,丰台区-成寿寺-方庄南路,85.18,2室1厅,南,,5990,70.3,,,https://bj.lianjia.com/zufang/BJ1807843132188917760.html,2026-05-02 20:33:20,39.849886,116.435538
chengshousi1,整租·首开住总熙悦安郡 3室2厅 南/北,整租,首开住总熙悦安郡,朝阳区-成寿寺-首开住总熙悦安郡,108.00,3室2厅,南/北,,10000,92.6,,,https://bj.lianjia.com/zufang/BJ2140505450263609344.html,2026-05-02 20:33:20,39.838337,116.440385
chengshousi1,整租·钟萃路3号院 1室1厅 南,整租,钟萃路3号院,丰台区-成寿寺-钟萃路,50.00,1室1厅,南,,4500,90.0,,,https://bj.lianjia.com/zufang/BJ2155888875438866432.html,2026-05-02 20:33:20,39.848989,116.442954
chengshousi1,整租·苇子坑1号院 2室1厅 南/北,整租,苇子坑1号院,丰台区-成寿寺-苇子坑,58.32,2室1厅,南/北,,5500,94.3,,,https://bj.lianjia.com/zufang/BJ2157012061249339392.html,2026-05-02 20:33:37,39.855829,116.434934
chengshousi1,整租·四方景园二区 2室1厅 西北,整租,四方景园二区,丰台区-成寿寺-四方景园二区,100.59,2室1厅,西北,,6500,64.6,,,https://bj.lianjia.com/zufang/BJ2159868232574435328.html,2026-05-02 20:33:20,39.856864,116.434952
chengshousi1,整租·钟萃路1号院 1室1厅 南,整租,钟萃路1号院,丰台区-成寿寺-钟萃路,50.00,1室1厅,南,,4300,86.0,,,https://bj.lianjia.com/zufang/BJ2141021414465994752.html,2026-05-02 20:33:20,39.848989,116.442954
chengshousi1,整租·中海城圣朝菲 2室1厅 东/西,整租,中海城圣朝菲,朝阳区-成寿寺-中海城圣朝菲,101.42,2室1厅,东/西,,7100,70.0,,,https://bj.lianjia.com/zufang/BJ2159170680875122688.html,2026-05-02 20:33:37,39.843808,116.441222
chengshousi1,整租·中海城紫鑫阁 2房间 西,整租,中海城紫鑫阁 2房间 西,朝阳区-成寿寺-中海城紫鑫阁,48.59,,,,4600,94.7,,,https://bj.lianjia.com/zufang/BJ2153865558787883008.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·中海城圣朝菲 3室1厅 东/西,整租,中海城圣朝菲,朝阳区-成寿寺-中海城圣朝菲,101.77,3室1厅,东/西,,7300,71.7,,,https://bj.lianjia.com/zufang/BJ2137941297015554048.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·中海城紫鑫阁 2房间 东北,整租,中海城紫鑫阁 2房间 东北,朝阳区-成寿寺-中海城紫鑫阁,55.92,,,,5500,98.4,,,https://bj.lianjia.com/zufang/BJ2156770141348560896.html,2026-05-02 20:33:37,39.843808,116.441222
chengshousi1,整租·中海城香克林 4室1厅 东/南,整租,中海城香克林,朝阳区-成寿寺-中海城香克林,138.39,4室1厅,东/南,,9000,65.0,,,https://bj.lianjia.com/zufang/BJ2130990200296308736.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,独栋·盛华青年社区 成寿寺店 近地铁通勤便利 精装修 拎包入住 开间,独栋,盛华青年社区 成寿寺店 近地铁通勤便利 精装修 拎包入住 开间,,25.00,,,,2600,104.0,,,https://bj.lianjia.com/apartment/105352.html,2026-05-02 20:33:20,39.875182,116.317333
chengshousi1,整租·中海城紫鑫阁 2房间 北,整租,中海城紫鑫阁 2房间 北,朝阳区-成寿寺-中海城紫鑫阁,46.80,,,,4500,96.2,,,https://bj.lianjia.com/zufang/BJ2026160752607363072.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·中海城香克林 3室2厅 南/北,整租,中海城香克林,朝阳区-成寿寺-中海城香克林,138.00,3室2厅,南/北,,10000,72.5,,,https://bj.lianjia.com/zufang/BJ2107763744846118912.html,2026-05-02 20:33:20,39.843808,116.441222
chengshousi1,整租·华芳园 3室1厅 南/西北,整租,华芳园,丰台区-成寿寺-华芳园,96.55,3室1厅,南/西北,,7000,72.5,,,https://bj.lianjia.com/zufang/BJ2156639961179226112.html,2026-05-02 20:33:23,39.855829,116.434934
chengshousi1,整租·中海城紫鑫阁 2房间 南,整租,中海城紫鑫阁 2房间 南,朝阳区-成寿寺-中海城紫鑫阁,46.53,,,,4900,105.3,,,https://bj.lianjia.com/zufang/BJ1900883273425354752.html,2026-05-02 20:34:05,39.843808,116.441222
chengshousi1,整租·方庄南路18号院 2室1厅 南,整租,方庄南路18号院,丰台区-成寿寺-方庄南路,84.49,2室1厅,南,,6000,71.0,,,https://bj.lianjia.com/zufang/BJ2157460804578836480.html,2026-05-02 20:33:23,39.849886,116.435538
chengshousi1,整租·中海城紫鑫阁 2房间 南,整租,中海城紫鑫阁 2房间 南,朝阳区-成寿寺-中海城紫鑫阁,58.20,,,,5300,91.1,,,https://bj.lianjia.com/zufang/BJ2157798225623384064.html,2026-05-02 20:33:23,39.843808,116.441222
chengshousi1,整租·静馨嘉苑 1室1厅 西,整租,静馨嘉苑,丰台区-成寿寺-静馨嘉苑,64.13,1室1厅,西,,4700,73.3,,,https://bj.lianjia.com/zufang/BJ2017997841292591104.html,2026-05-02 20:33:23,39.855829,116.434934
chengshousi1,整租·钟萃路3号院 2室1厅 南,整租,钟萃路3号院,丰台区-成寿寺-钟萃路,89.91,2室1厅,南,,6790,75.5,,,https://bj.lianjia.com/zufang/BJ1815812488571125760.html,2026-05-02 20:33:23,39.848989,116.442954
chengshousi1,整租·分钟寺南街2号院 2室1厅 南,整租,分钟寺南街2号院,丰台区-成寿寺-分钟寺南街,75.00,2室1厅,南,,5900,78.7,,,https://bj.lianjia.com/zufang/BJ2158068945809047552.html,2026-05-02 20:33:23,39.848957,116.445375
chengshousi1,整租·中海城紫鑫阁 2房间 西,整租,中海城紫鑫阁 2房间 西,朝阳区-成寿寺-中海城紫鑫阁,47.00,,,,4800,102.1,,,https://bj.lianjia.com/zufang/BJ2158190688137641984.html,2026-05-02 20:33:23,39.843808,116.441222
chengshousi1,整租·中海城紫鑫阁 2房间 北,整租,中海城紫鑫阁 2房间 北,朝阳区-成寿寺-中海城紫鑫阁,47.33,,,,4500,95.1,,,https://bj.lianjia.com/zufang/BJ2027286256831954944.html,2026-05-02 20:33:23,39.843808,116.441222
chengshousi1,整租·钟萃路3号院 2室1厅 南/北,整租,钟萃路3号院,丰台区-成寿寺-钟萃路,90.00,2室1厅,南/北,,6900,76.7,,,https://bj.lianjia.com/zufang/BJ2154444478973214720.html,2026-05-02 20:33:23,39.848989,116.442954
