region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
chengzi,整租·新景家园 2室1厅 南/北,整租,新景家园,门头沟区-城子-新景家园,88.19,2室1厅,南/北,,2300,26.1,,,https://bj.lianjia.com/zufang/BJ2152035038294704128.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·城子大街90号院 1室1厅 南,整租,城子大街90号院,门头沟区-城子-城子大街,46.98,1室1厅,南,,2000,42.6,,,https://bj.lianjia.com/zufang/BJ2151907208437170176.html,2026-05-02 22:21:47,39.949716,116.092396
chengzi,整租·桥东街小区 1室1厅 南/北,整租,桥东街小区,门头沟区-城子-桥东街小区,65.00,1室1厅,南/北,,2300,35.4,,,https://bj.lianjia.com/zufang/BJ2158801576263680000.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·兴合家园 1室0厅 南,整租,兴合家园,门头沟区-城子-兴合家园,47.00,1室0厅,南,,2500,53.2,,,https://bj.lianjia.com/zufang/BJ2150968775283834880.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·京铁祥园东区 2室1厅 南/北,整租,京铁祥园东区,门头沟区-城子-京铁祥园东区,89.38,2室1厅,南/北,,3100,34.7,,,https://bj.lianjia.com/zufang/BJ2000535266523086848.html,2026-05-02 22:21:29,39.949775,116.091904
chengzi,独栋·方隅服务公寓 天璟方隅公寓 超低特价仅1间 近门头沟医院 可短租 家具齐全 拎包入住 免费健身 1室1厅,独栋,方隅服务公寓 天璟方隅公寓 超低特价仅1间 近门头沟医院 可短租 家具齐全 拎包入住 免费健身,,38.00,1室1厅,,,2427,63.9,,,https://bj.lianjia.com/apartment/62563.html,2026-05-02 22:21:38,39.883029,116.33664
chengzi,整租·城子大街90号院 1室0厅 南,整租,城子大街90号院,门头沟区-城子-城子大街,45.00,1室0厅,南,,2200,48.9,,,https://bj.lianjia.com/zufang/BJ2095151841858813952.html,2026-05-02 22:21:29,39.949716,116.092396
chengzi,整租·兴合家园 3室1厅 南/北,整租,兴合家园,门头沟区-城子-兴合家园,89.89,3室1厅,南/北,,4100,45.6,,,https://bj.lianjia.com/zufang/BJ2145453654352592896.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·城子大街90号院 2室1厅 东,整租,城子大街90号院,门头沟区-城子-城子大街,60.00,2室1厅,东,,2400,40.0,,,https://bj.lianjia.com/zufang/BJ2151650550104457216.html,2026-05-02 22:21:47,39.949716,116.092396
chengzi,整租·兴合家园 1室0厅 南,整租,兴合家园,门头沟区-城子-兴合家园,47.00,1室0厅,南,,2600,55.3,,,https://bj.lianjia.com/zufang/BJ2157388443439595520.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·城子大街90号院 1室1厅 南,整租,城子大街90号院,门头沟区-城子-城子大街,45.00,1室1厅,南,,2200,48.9,,,https://bj.lianjia.com/zufang/BJ2157682323770834944.html,2026-05-02 22:21:29,39.949716,116.092396
chengzi,整租·九龙东苑3号地 1室0厅 南,整租,九龙东苑3号地,门头沟区-城子-九龙东苑,45.00,1室0厅,南,,2200,48.9,,,https://bj.lianjia.com/zufang/BJ2150917876293304320.html,2026-05-02 22:21:47,39.946449,116.094188
chengzi,整租·兴合家园 1室0厅 南,整租,兴合家园,门头沟区-城子-兴合家园,47.00,1室0厅,南,,2500,53.2,,,https://bj.lianjia.com/zufang/BJ2146465341662822400.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·滨河路87号院 2室1厅 南/北,整租,滨河路87号院,门头沟区-城子-滨河路,87.43,2室1厅,南/北,,2500,28.6,,,https://bj.lianjia.com/zufang/BJ2152003379155435520.html,2026-05-02 22:21:29,39.938167,116.10231
chengzi,整租·九龙东苑7号地 3室1厅 南,整租,九龙东苑7号地,门头沟区-城子-九龙东苑,82.06,3室1厅,南,,3255,39.7,,,https://bj.lianjia.com/zufang/BJ2108913279270125568.html,2026-05-02 22:21:47,39.950626,116.096218
chengzi,整租·三家店五十号院 2室1厅 东/西,整租,三家店五十号院,门头沟区-城子-三家店五十号院,91.00,2室1厅,东/西,,2800,30.8,,,https://bj.lianjia.com/zufang/BJ2087793632445726720.html,2026-05-02 22:21:29,39.959874,116.101867
chengzi,整租·中骏西山天璟 4室2厅 南/北,整租,中骏西山天璟,门头沟区-城子-中骏西山天璟,117.00,4室2厅,南/北,,6600,56.4,,,https://bj.lianjia.com/zufang/BJ2159204034580316160.html,2026-05-02 22:21:29,39.95554,116.089
chengzi,整租·城子大街90号院 2室1厅 南,整租,城子大街90号院,门头沟区-城子-城子大街,60.00,2室1厅,南,,2700,45.0,,,https://bj.lianjia.com/zufang/BJ2063263696603316224.html,2026-05-02 22:21:47,39.949716,116.092396
chengzi,整租·九龙东苑7号地 2室1厅 南,整租,九龙东苑7号地,门头沟区-城子-九龙东苑,64.00,2室1厅,南,,2800,43.8,,,https://bj.lianjia.com/zufang/BJ2153875738137198592.html,2026-05-02 22:21:29,39.950626,116.096218
chengzi,整租·兴合家园 1室0厅 南,整租,兴合家园,门头沟区-城子-兴合家园,48.00,1室0厅,南,,2700,56.2,,,https://bj.lianjia.com/zufang/BJ2154090245673451520.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·九龙东苑3号地 1室0厅 南,整租,九龙东苑3号地,门头沟区-城子-九龙东苑,47.00,1室0厅,南,,2300,48.9,,,https://bj.lianjia.com/zufang/BJ1893566835547176960.html,2026-05-02 22:21:29,39.946449,116.094188
chengzi,整租·京铁祥园西区 2室1厅 南,整租,京铁祥园西区,门头沟区-城子-京铁祥园西区,92.00,2室1厅,南,,4100,44.6,,,https://bj.lianjia.com/zufang/BJ2144016722691096576.html,2026-05-02 22:21:29,39.949775,116.091904
chengzi,整租·九龙东苑7号地 1室1厅 南,整租,九龙东苑7号地,门头沟区-城子-九龙东苑,45.00,1室1厅,南,,2200,48.9,,,https://bj.lianjia.com/zufang/BJ2149860314743570432.html,2026-05-02 22:21:29,39.950626,116.096218
chengzi,整租·城子大街90号院 1室1厅 南,整租,城子大街90号院,门头沟区-城子-城子大街,45.00,1室1厅,南,,2300,51.1,,,https://bj.lianjia.com/zufang/BJ2149080792997822464.html,2026-05-02 22:21:47,39.949716,116.092396
chengzi,整租·七棵树西大街 2室1厅 南/北,整租,七棵树西大街,门头沟区-城子-七棵树西大街,53.49,2室1厅,南/北,,2400,44.9,,,https://bj.lianjia.com/zufang/BJ2074719522341781504.html,2026-05-02 22:21:29,39.944874,116.086057
