region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dachangzhen,整租·乾溪二村 2室1厅 南,整租,乾溪二村,宝山-大场镇-乾溪二村,72.00,2室1厅,南,,4000,55.6,,,https://sh.lianjia.com/zufang/SH2150609078110388224.html,2026-04-23 15:55:56,,
dachangzhen,整租·联建新村(宝山) 1室1厅 南/北,整租,联建新村(宝山),宝山-大场镇-联建新村(宝山),43.61,1室1厅,南/北,,3800,87.1,,,https://sh.lianjia.com/zufang/SH2153392583890436096.html,2026-04-23 15:55:56,,
dachangzhen,整租·上大阳光乾和园 2室1厅 南,整租,上大阳光乾和园,宝山-大场镇-上大阳光乾和园,95.00,2室1厅,南,,5200,54.7,,,https://sh.lianjia.com/zufang/SH1670068221396385792.html,2026-04-23 15:55:56,,
dachangzhen,独栋·城家公寓 城家公寓上海大学场中路地铁站店 【限时特惠 租期灵活】可开票 免费健身房！免费健身！无中介费！ 开间,独栋,城家公寓 城家公寓上海大学场中路地铁站店,,36.14,,,,3600,99.6,,,https://sh.lianjia.com/apartment/28670.html,2026-04-23 15:55:56,,
dachangzhen,整租·东华苑 1室1厅 南,整租,东华苑,宝山-大场镇-东华苑,49.11,1室1厅,南,,3700,75.3,,,https://sh.lianjia.com/zufang/SH2156771048790425600.html,2026-04-23 15:55:56,,
dachangzhen,整租·大华悦庭一期 3室2厅 南/北,整租,大华悦庭一期,宝山-大场镇-大华悦庭一期,98.39,3室2厅,南/北,,7200,73.2,,,https://sh.lianjia.com/zufang/SH2030586440517156864.html,2026-04-23 15:55:56,,
dachangzhen,整租·骏华苑 3室2厅 南/北,整租,骏华苑,宝山-大场镇-骏华苑,70.69,3室2厅,南/北,,5900,83.5,,,https://sh.lianjia.com/zufang/SH2154086701155221504.html,2026-04-23 15:55:56,,
dachangzhen,整租·同济城市阳光 3室2厅 南,整租,同济城市阳光,宝山-大场镇-同济城市阳光,106.00,3室2厅,南,,6700,63.2,,,https://sh.lianjia.com/zufang/SH2016038265341083648.html,2026-04-23 15:55:56,,
dachangzhen,独栋·佳尚公寓 场中路店 可办居住证 7号线地铁直达静安寺 超大落地窗 独厨独卫 月付长短租均可 1室1厅,独栋,佳尚公寓 场中路店,,30.00,1室1厅,,,3000-3030,,,,https://sh.lianjia.com/apartment/60850.html,2026-04-23 15:55:56,,
dachangzhen,整租·和泰苑 2室1厅 南/西北,整租,和泰苑,宝山-大场镇-和泰苑,90.55,2室1厅,南/西北,,4200,46.4,,,https://sh.lianjia.com/zufang/SH2088526876359262208.html,2026-04-23 15:55:56,,
dachangzhen,独栋·佳尚公寓 旗舰店 新开放一室一厅loft户型3.20日实拍 开间,独栋,佳尚公寓 旗舰店,,29.00,,,,2480,85.5,,,https://sh.lianjia.com/apartment/63852.html,2026-04-23 15:55:56,,
dachangzhen,整租·乾溪新村 2室1厅 南,整租,乾溪新村,宝山-大场镇-乾溪新村,75.00,2室1厅,南,,4500,60.0,,,https://sh.lianjia.com/zufang/SH2154104022577971200.html,2026-04-23 15:55:56,,
dachangzhen,独栋·美寓泾品公寓 场中路店 整租，急急急。特价出租！临近地铁。工作疲倦的时候需要温馨空间 1室1厅,独栋,美寓泾品公寓 场中路店,,35.00,1室1厅,,,3280,93.7,,,https://sh.lianjia.com/apartment/63853.html,2026-04-23 15:55:56,,
dachangzhen,整租·和泰苑 1室1厅 南,整租,和泰苑,宝山-大场镇-和泰苑,59.78,1室1厅,南,,3630,60.7,,,https://sh.lianjia.com/zufang/SH2149101843710476288.html,2026-04-23 15:55:56,,
dachangzhen,整租·乾溪新村 1室1厅 南,整租,乾溪新村,宝山-大场镇-乾溪新村,42.94,1室1厅,南,,3450,80.3,,,https://sh.lianjia.com/zufang/SH2055286776284577792.html,2026-04-23 15:55:56,,
dachangzhen,整租·上大阳光乾和园 3室1厅 南,整租,上大阳光乾和园,宝山-大场镇-上大阳光乾和园,94.71,3室1厅,南,,5180,54.7,,,https://sh.lianjia.com/zufang/SH2138558775051681792.html,2026-04-23 15:55:56,,
dachangzhen,独栋·珈朵花园公寓 场中路店 落地窗一居室年签优惠 开间,独栋,珈朵花园公寓 场中路店,,25.00,,,,3180,127.2,,,https://sh.lianjia.com/apartment/61011.html,2026-04-23 15:55:56,,
dachangzhen,整租·招商中环华府 4室1厅 南,整租,招商中环华府,宝山-大场镇-招商中环华府,98.27,4室1厅,南,,6600,67.2,,,https://sh.lianjia.com/zufang/SH1735657256998928384.html,2026-04-23 15:55:56,,
dachangzhen,整租·大华悦庭一期 3室2厅 南,整租,大华悦庭一期,宝山-大场镇-大华悦庭一期,98.46,3室2厅,南,,7500,76.2,,,https://sh.lianjia.com/zufang/SH2147192304333488128.html,2026-04-23 15:55:56,,
dachangzhen,整租·和泰苑 2室1厅 南,整租,和泰苑,宝山-大场镇-和泰苑,63.83,2室1厅,南,,3450,54.0,,,https://sh.lianjia.com/zufang/SH2014942276572151808.html,2026-04-23 15:55:56,,
dachangzhen,独栋·大华享寓 场中路店 6年老店，公寓直租无中介费 地铁口电梯房 带健身 1室1厅,独栋,大华享寓 场中路店,,30.00,1室1厅,,,3380,112.7,,,https://sh.lianjia.com/apartment/32726.html,2026-04-23 15:55:56,,
dachangzhen,整租·上海朗悦酒店公寓 1室0厅 北,整租,上海朗悦酒店公寓,宝山-大场镇-上海朗悦酒店公寓,47.10,1室0厅,北,,1900,40.3,,,https://sh.lianjia.com/zufang/SH1798355161056280576.html,2026-04-23 15:55:56,,
dachangzhen,整租·中环金茂府 3室2厅 南,整租,中环金茂府,宝山-大场镇-中环金茂府,101.00,3室2厅,南,,11000,108.9,,,https://sh.lianjia.com/zufang/SH2148060285666066432.html,2026-04-23 15:55:56,,
dachangzhen,整租·乾溪二村 2室1厅 南,整租,乾溪二村,宝山-大场镇-乾溪二村,72.14,2室1厅,南,,4000,55.4,,,https://sh.lianjia.com/zufang/SH2120729083049410560.html,2026-04-23 15:55:56,,
dachangzhen,整租·招商中环华府 4室1厅 错层 南,整租,招商中环华府,宝山-大场镇-招商中环华府,140.00,4室1厅,,,8500,60.7,,,https://sh.lianjia.com/zufang/SH2128326664180989952.html,2026-04-23 15:55:56,,
dachangzhen,整租·中环置地中心润府B区 3室2厅 南/北,整租,中环置地中心润府B区,宝山-大场镇-中环置地中心润府,103.00,3室2厅,南/北,,10000,97.1,,,https://sh.lianjia.com/zufang/SH2152695782271090688.html,2026-04-23 15:55:56,,
