region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dahongmen,整租·远洋自然 2室2厅 东/西,整租,远洋自然,丰台区-大红门-远洋自然,99.21,2室2厅,东/西,,6800,68.5,,,https://bj.lianjia.com/zufang/BJ2159970821345378304.html,2026-05-02 22:03:25,,
dahongmen,整租·建欣苑三里 2室1厅 南/北,整租,建欣苑三里,丰台区-大红门-建欣苑三里,88.82,2室1厅,南/北,,5300,59.7,,,https://bj.lianjia.com/zufang/BJ2149488749468188672.html,2026-05-02 22:03:25,,
dahongmen,整租·远洋自然 3室2厅 南/北,整租,远洋自然,丰台区-大红门-远洋自然,126.16,3室2厅,南/北,,8500,67.4,,,https://bj.lianjia.com/zufang/BJ2141839735365042176.html,2026-05-02 22:03:25,,
dahongmen,整租·上海建筑 2室1厅 西南/北,整租,上海建筑,丰台区-大红门-上海建筑,88.93,2室1厅,西南/北,,6900,77.6,,,https://bj.lianjia.com/zufang/BJ2155880526093746176.html,2026-05-02 22:03:25,,
dahongmen,整租·建欣苑四里 2室1厅 东/西,整租,建欣苑四里,丰台区-大红门-建欣苑四里,68.18,2室1厅,东/西,,4200,61.6,,,https://bj.lianjia.com/zufang/BJ2009470352916217856.html,2026-05-02 22:03:25,,
dahongmen,独栋·尚居租房 尚居公寓（大红门店） 温馨复式（除水电全包） 1室1厅,独栋,尚居租房 尚居公寓（大红门店） 温馨复式（除水电全包）,,25.00,1室1厅,,,2800-2900,,,,https://bj.lianjia.com/apartment/104650.html,2026-05-02 22:03:25,,
dahongmen,整租·远洋自然 1室1厅 东,整租,远洋自然,丰台区-大红门-远洋自然,62.89,1室1厅,东,,5500,87.5,,,https://bj.lianjia.com/zufang/BJ2145084066175647744.html,2026-05-02 22:03:25,,
dahongmen,整租·珠江骏景中区 1室1厅 北/东北,整租,珠江骏景中区,丰台区-大红门-珠江骏景中区,65.60,1室1厅,北/东北,,5500,83.8,,,https://bj.lianjia.com/zufang/BJ2152025883257339904.html,2026-05-02 22:03:25,,
dahongmen,整租·远洋自然 1室1厅 西,整租,远洋自然,丰台区-大红门-远洋自然,63.58,1室1厅,西,,5000,78.6,,,https://bj.lianjia.com/zufang/BJ2151306451325288448.html,2026-05-02 22:03:25,,
dahongmen,整租·鑫宝苑 2室1厅 南/北,整租,鑫宝苑,丰台区-大红门-鑫宝苑,128.95,2室1厅,南/北,,5900,45.8,,,https://bj.lianjia.com/zufang/BJ2145828713218965504.html,2026-05-02 22:03:25,,
dahongmen,整租·中海和瑞叁號院 4室2厅 南/北,整租,中海和瑞叁號院,丰台区-大红门-中海和瑞叁號院,160.29,4室2厅,南/北,,23000,143.5,,,https://bj.lianjia.com/zufang/BJ2155322922770628608.html,2026-05-02 22:03:25,,
dahongmen,整租·苗圃西里 2室1厅 南/北,整租,苗圃西里,丰台区-大红门-苗圃西里,57.07,2室1厅,南/北,,4300,75.3,,,https://bj.lianjia.com/zufang/BJ2146463950961639424.html,2026-05-02 22:03:25,,
dahongmen,整租·建欣苑四里 1室1厅 南/北,整租,建欣苑四里,丰台区-大红门-建欣苑四里,48.91,1室1厅,南/北,,4300,87.9,,,https://bj.lianjia.com/zufang/BJ2141527271016497152.html,2026-05-02 22:03:25,,
dahongmen,整租·远洋自然 1室1厅 西,整租,远洋自然,丰台区-大红门-远洋自然,80.24,1室1厅,西,,5500,68.5,,,https://bj.lianjia.com/zufang/BJ2145488969184313344.html,2026-05-02 22:03:25,,
dahongmen,整租·建欣苑三里 2室1厅 南/北,整租,建欣苑三里,丰台区-大红门-建欣苑三里,61.56,2室1厅,南/北,,5100,82.8,,,https://bj.lianjia.com/zufang/BJ1884811734242295808.html,2026-05-02 22:03:25,,
dahongmen,整租·金胜嘉谊家园 4室1厅 南/北,整租,金胜嘉谊家园,丰台区-大红门-金胜嘉谊家园,198.23,4室1厅,南/北,,16000,80.7,,,https://bj.lianjia.com/zufang/BJ2097910460387950592.html,2026-05-02 22:03:25,,
dahongmen,整租·建欣苑五里 2室1厅 南/西,整租,建欣苑五里,丰台区-大红门-建欣苑五里,81.37,2室1厅,南/西,,5600,68.8,,,https://bj.lianjia.com/zufang/BJ2138693632704643072.html,2026-05-02 22:03:25,,
dahongmen,整租·翠源居 1室1厅 东南/南,整租,翠源居,丰台区-大红门-翠源居,77.00,1室1厅,东南/南,,5500,71.4,,,https://bj.lianjia.com/zufang/BJ2156000763946467328.html,2026-05-02 22:03:25,,
dahongmen,整租·上海建筑 2室1厅 东/北,整租,上海建筑,丰台区-大红门-上海建筑,89.16,2室1厅,东/北,,6400,71.8,,,https://bj.lianjia.com/zufang/BJ2159511974185009152.html,2026-05-02 22:03:25,,
dahongmen,整租·翠源居 2室1厅 西北,整租,翠源居,丰台区-大红门-翠源居,67.38,2室1厅,西北,,5500,81.6,,,https://bj.lianjia.com/zufang/BJ2157404314090340352.html,2026-05-02 22:03:25,,
dahongmen,整租·上海建筑 2室1厅 东/西,整租,上海建筑,丰台区-大红门-上海建筑,94.46,2室1厅,东/西,,5800,61.4,,,https://bj.lianjia.com/zufang/BJ2146920916225884160.html,2026-05-02 22:03:25,,
dahongmen,整租·珠江骏景南区 1室1厅 西,整租,珠江骏景南区,丰台区-大红门-珠江骏景南区,66.27,1室1厅,西,,5100,77.0,,,https://bj.lianjia.com/zufang/BJ2148732158087266304.html,2026-05-02 22:03:25,,
dahongmen,整租·上海建筑 3室1厅 东/南,整租,上海建筑,丰台区-大红门-上海建筑,108.00,3室1厅,东/南,,7300,67.6,,,https://bj.lianjia.com/zufang/BJ2139322129206738944.html,2026-05-02 22:03:25,,
dahongmen,整租·建欣苑四里 1室1厅 南/北,整租,建欣苑四里,丰台区-大红门-建欣苑四里,54.90,1室1厅,南/北,,4300,78.3,,,https://bj.lianjia.com/zufang/BJ2025133097351118848.html,2026-05-02 22:03:25,,
dahongmen,整租·远洋自然 2室2厅 南/西,整租,远洋自然,丰台区-大红门-远洋自然,108.00,2室2厅,南/西,,7200,66.7,,,https://bj.lianjia.com/zufang/BJ2144702259538165760.html,2026-05-02 22:03:25,,
dahongmen,独栋·福海公寓 福海公寓大红门店 品质温馨开间 保租房直租 8/10换乘线大红门地铁口 开间,独栋,福海公寓 福海公寓大红门店 品质温馨开间 保租房直租 8/10换乘线大红门地铁口 开间,,32.67,,,,4352,133.2,,,https://bj.lianjia.com/apartment/73638.html,2026-05-02 22:03:28,,
dahongmen,整租·上海建筑 2室2厅 南/北,整租,上海建筑,丰台区-大红门-上海建筑,99.78,2室2厅,南/北,,7200,72.2,,,https://bj.lianjia.com/zufang/BJ2023035691851579392.html,2026-05-02 22:03:25,,
dahongmen,整租·珠江骏景北区 3室1厅 南/北,整租,珠江骏景北区,丰台区-大红门-珠江骏景北区,134.00,3室1厅,南/北,,11000,82.1,,,https://bj.lianjia.com/zufang/BJ2155165565444947968.html,2026-05-02 22:03:25,,
dahongmen,整租·珠江骏景北区 1室0厅 北,整租,珠江骏景北区,丰台区-大红门-珠江骏景北区,48.35,1室0厅,北,,4500,93.1,,,https://bj.lianjia.com/zufang/BJ2150219836205039616.html,2026-05-02 22:03:28,,
dahongmen,整租·珠江骏景北区 1室1厅 北,整租,珠江骏景北区,丰台区-大红门-珠江骏景北区,51.43,1室1厅,北,,4600,89.4,,,https://bj.lianjia.com/zufang/BJ2148808002897969152.html,2026-05-02 22:03:28,,
dahongmen,整租·远洋自然 2室2厅 南/北,整租,远洋自然,丰台区-大红门-远洋自然,91.76,2室2厅,南/北,,6600,71.9,,,https://bj.lianjia.com/zufang/BJ2140298538624483328.html,2026-05-02 22:03:28,,
dahongmen,整租·珠江骏景中区 5室2厅 南,整租,珠江骏景中区,丰台区-大红门-珠江骏景中区,187.35,5室2厅,南,,26000,138.8,,,https://bj.lianjia.com/zufang/BJ2121881237114060800.html,2026-05-02 22:03:28,,
dahongmen,整租·福海小区 3室1厅 南,整租,福海小区,丰台区-大红门-福海小区,108.52,3室1厅,南,,7100,65.4,,,https://bj.lianjia.com/zufang/BJ1952040964457496576.html,2026-05-02 22:03:28,,
dahongmen,整租·远洋自然 3室2厅 南/北,整租,远洋自然,丰台区-大红门-远洋自然,138.88,3室2厅,南/北,,9500,68.4,,,https://bj.lianjia.com/zufang/BJ2144093488906502144.html,2026-05-02 22:03:28,,
dahongmen,整租·上海建筑 3室2厅 南/北,整租,上海建筑,丰台区-大红门-上海建筑,149.06,3室2厅,南/北,,8700,58.4,,,https://bj.lianjia.com/zufang/BJ2144051673130074112.html,2026-05-02 22:03:28,,
dahongmen,整租·大红门东门里 2室1厅 东南,整租,大红门东门里,丰台区-大红门-大红门东门里,64.24,2室1厅,东南,,4800,74.7,,,https://bj.lianjia.com/zufang/BJ1769999635276890112.html,2026-05-02 22:03:28,,
dahongmen,整租·苗圃西里 2室1厅 南/北,整租,苗圃西里,丰台区-大红门-苗圃西里,60.28,2室1厅,南/北,,4700,78.0,,,https://bj.lianjia.com/zufang/BJ2155494774331670528.html,2026-05-02 22:03:28,,
dahongmen,整租·海户屯 2室1厅 南/北,整租,海户屯,丰台区-大红门-海户屯,60.10,2室1厅,南/北,,5500,91.5,,,https://bj.lianjia.com/zufang/BJ2147568741204885504.html,2026-05-02 22:03:28,,
dahongmen,整租·上海建筑 3室2厅 南/北,整租,上海建筑,丰台区-大红门-上海建筑,137.97,3室2厅,南/北,,9000,65.2,,,https://bj.lianjia.com/zufang/BJ1895792449406631936.html,2026-05-02 22:03:28,,
dahongmen,整租·苗圃西里 2室1厅 南/北,整租,苗圃西里,丰台区-大红门-苗圃西里,60.00,2室1厅,南/北,,4200,70.0,,,https://bj.lianjia.com/zufang/BJ2113620164040720384.html,2026-05-02 22:03:28,,
dahongmen,整租·远洋自然 3室1厅 南/北,整租,远洋自然,丰台区-大红门-远洋自然,134.32,3室1厅,南/北,,9000,67.0,,,https://bj.lianjia.com/zufang/BJ2159160793763938304.html,2026-05-02 22:03:28,,
dahongmen,整租·大红门东门里 2室1厅 南/北,整租,大红门东门里,丰台区-大红门-大红门东门里,54.30,2室1厅,南/北,,4200,77.3,,,https://bj.lianjia.com/zufang/BJ1810938513592418304.html,2026-05-02 22:03:28,,
dahongmen,整租·上海建筑 2室2厅 南/北,整租,上海建筑,丰台区-大红门-上海建筑,122.32,2室2厅,南/北,,8000,65.4,,,https://bj.lianjia.com/zufang/BJ2142086895541157888.html,2026-05-02 22:03:28,,
