region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
daning,整租·静安天悦东区 3室2厅 南,整租,静安天悦东区,静安-大宁-静安天悦东区,107.00,3室2厅,南,,12500,116.8,,,https://sh.lianjia.com/zufang/SH2110991070216060928.html,2026-04-23 15:16:31,31.28241,121.45029
daning,整租·静安天悦东区 3室2厅 南,整租,静安天悦东区,静安-大宁-静安天悦东区,107.00,3室2厅,南,,14000,130.8,,,https://sh.lianjia.com/zufang/SH2111344136031305728.html,2026-04-23 15:14:58,31.28241,121.45029
daning,整租·慧芝湖花园（一二期） 2室2厅 南/北,整租,慧芝湖花园（一二期）,静安-大宁-慧芝湖花园,108.76,2室2厅,南/北,,9300,85.5,,,https://sh.lianjia.com/zufang/SH1884948402169446400.html,2026-04-23 15:16:37,31.28241,121.45029
daning,独栋·贝壳海盐公寓 汶水路店 【静安保租房】近汶水路地铁口/厅卧分离/大外窗采光无敌/干湿分离/0中介 1室1厅,独栋,贝壳海盐公寓 汶水路店,,28.20,1室1厅,,,5115-5159,,,,https://sh.lianjia.com/apartment/76791.html,2026-04-23 15:14:34,40.0389,116.29951
daning,整租·普善新苑 2室1厅 南,整租,普善新苑,静安-大宁-普善新苑,60.05,2室1厅,南,,5450,90.8,,,https://sh.lianjia.com/zufang/SH2113633337267453952.html,2026-04-23 15:16:31,31.28241,121.45029
daning,整租·悠和家园 1室2厅 南,整租,悠和家园,静安-大宁-悠和家园,66.00,1室2厅,南,,6930,105.0,,,https://sh.lianjia.com/zufang/SH2124105124996448256.html,2026-04-23 15:16:31,31.28241,121.45029
daning,整租·明园森林都市叠翠苑 5室2厅 南,整租,明园森林都市叠翠苑,静安-大宁-明园森林都市叠翠苑,275.40,5室2厅,南,,36000,130.7,,,https://sh.lianjia.com/zufang/SH2140874357038120960.html,2026-04-23 15:14:54,31.28241,121.45029
daning,整租·中山北路805弄 2室1厅 南,整租,中山北路805弄,静安-大宁-中山北路,50.00,2室1厅,南,,4300,86.0,,,https://sh.lianjia.com/zufang/SH2004836511530352640.html,2026-04-23 15:16:31,31.26229,121.45347
daning,整租·歌林春天馨园 3室2厅 南/北,整租,歌林春天馨园,静安-大宁-歌林春天馨园,141.17,3室2厅,南/北,,11500,81.5,,,https://sh.lianjia.com/zufang/SH2153773345311555584.html,2026-04-23 15:16:31,31.28241,121.45029
daning,独栋·招商壹棠 上海静安市北壹棠服务公寓 静安保租房可享优惠客卧分离一室一厅 开业特价 星级每周保洁08优选一房 1室1厅,独栋,招商壹棠 上海静安市北壹棠服务公寓,,57.37,1室1厅,,,8890,155.0,,,https://sh.lianjia.com/apartment/85366.html,2026-04-23 15:14:34,39.9027,116.53156
daning,整租·歌林春天馨园 2室2厅 南/北,整租,歌林春天馨园,静安-大宁-歌林春天馨园,97.33,2室2厅,南/北,,7802,80.2,,,https://sh.lianjia.com/zufang/SH2146997415666778112.html,2026-04-23 15:16:31,31.28241,121.45029
daning,整租·华瑞大厦 1室1厅 西,整租,华瑞大厦,静安-大宁-华瑞大厦,47.45,1室1厅,西,,4100,86.4,,,https://sh.lianjia.com/zufang/SH1983517648696115200.html,2026-04-23 15:16:31,31.28241,121.45029
daning,整租·洛川中路1100弄 1室1厅 南/北,整租,洛川中路1100弄,静安-大宁-洛川中路,36.00,1室1厅,南/北,,3600,100.0,,,https://sh.lianjia.com/zufang/SH1916491113519120384.html,2026-04-23 15:16:37,31.26559,121.44593
daning,整租·静安天悦东区 3室2厅 南,整租,静安天悦东区,静安-大宁-静安天悦东区,107.00,3室2厅,南,,13500,126.2,,,https://sh.lianjia.com/zufang/SH2151230249872916480.html,2026-04-23 15:14:34,31.28241,121.45029
daning,独栋·城家公寓 城家公寓上海大宁中山北路地铁站店 毕业季学生可享押金减半！可短租，近地铁直达人民广场！高性价比！无中介费！ 开间,独栋,城家公寓 城家公寓上海大宁中山北路地铁站店,,26.00,,,,3750,144.2,,,https://sh.lianjia.com/apartment/497.html,2026-04-23 15:14:34,31.23096,121.40591
daning,整租·宜川小区 1室2厅 南,整租,宜川小区,静安-大宁-宜川小区,59.80,1室2厅,南,,4305,72.0,,,https://sh.lianjia.com/zufang/SH2024830634144301056.html,2026-04-23 15:16:37,31.28241,121.45029
daning,整租·静安天悦西区 3室2厅 南,整租,静安天悦西区,静安-大宁-静安天悦西区,106.60,3室2厅,南,,14000,131.3,,,https://sh.lianjia.com/zufang/SH2098624249269846016.html,2026-04-23 15:14:34,31.28241,121.45029
daning,整租·象屿大宁悦府 2室2厅 南,整租,象屿大宁悦府,静安-大宁-象屿大宁悦府,89.32,2室2厅,南,,10000,112.0,,,https://sh.lianjia.com/zufang/SH2131277245178707968.html,2026-04-23 15:16:31,31.28241,121.45029
daning,整租·洛川中路1100弄 1室1厅 南,整租,洛川中路1100弄,静安-大宁-洛川中路,32.00,1室1厅,南,,3700,115.6,,,https://sh.lianjia.com/zufang/SH1804054059506728960.html,2026-04-23 15:16:37,31.26559,121.44593
daning,独栋·梦寓 沪太路店 公寓直租，女神社区，押一付一，诚意租房私聊 1室1厅,独栋,梦寓 沪太路店,,30.00,1室1厅,,,3100-3500,,,,https://sh.lianjia.com/apartment/64107.html,2026-04-23 15:14:39,39.992401,116.347798
daning,整租·静安府东区 3室2厅 南/北,整租,静安府东区,静安-大宁-静安府东区,95.10,3室2厅,南/北,,14000,147.2,,,https://sh.lianjia.com/zufang/SH2121192851323748352.html,2026-04-23 15:14:54,31.28241,121.45029
daning,整租·静安府西区 4室2厅 南/北,整租,静安府西区,静安-大宁-静安府西区,134.00,4室2厅,南/北,,21000,156.7,,,https://sh.lianjia.com/zufang/SH2127419723401396224.html,2026-04-23 15:14:51,31.29404,121.4375
daning,整租·静安天悦东区 3室2厅 南,整租,静安天悦东区,静安-大宁-静安天悦东区,107.00,3室2厅,南,,14000,130.8,,,https://sh.lianjia.com/zufang/SH2140507910239682560.html,2026-04-23 15:14:54,31.28241,121.45029
daning,整租·象屿大宁悦府 2室2厅 南/北,整租,象屿大宁悦府,静安-大宁-象屿大宁悦府,88.35,2室2厅,南/北,,10000,113.2,,,https://sh.lianjia.com/zufang/SH2141778178601910272.html,2026-04-23 15:14:54,31.28241,121.45029
daning,整租·宁和小区 1室1厅 南,整租,宁和小区,静安-大宁-宁和小区,42.04,1室1厅,南,,3800,90.4,,,https://sh.lianjia.com/zufang/SH2022230124518178816.html,2026-04-23 15:16:43,31.28309,121.43524
daning,整租·静安天悦西区 3室2厅 南,整租,静安天悦西区,静安-大宁-静安天悦西区,107.06,3室2厅,南,,14800,138.2,,,https://sh.lianjia.com/zufang/SH2122573585955422208.html,2026-04-23 15:14:51,31.28241,121.45029
daning,整租·粤秀名邸 2室1厅 南/北,整租,粤秀名邸,静安-大宁-粤秀名邸,79.18,2室1厅,南/北,,6200,78.3,,,https://sh.lianjia.com/zufang/SH1735961683626557440.html,2026-04-23 15:14:37,31.28241,121.45029
daning,独栋·祥腾公寓 祥腾公寓·一号线汶水路店 汶水路精装公寓出租，温馨舒适，交通便利 开间,独栋,祥腾公寓 祥腾公寓·一号线汶水路店,,18.00,,,,2500,138.9,,,https://sh.lianjia.com/apartment/86619.html,2026-04-23 15:14:37,39.867446,116.430601
daning,整租·广中苑 2室1厅 南,整租,广中苑,静安-大宁-广中苑,83.52,2室1厅,南,,6500,77.8,,,https://sh.lianjia.com/zufang/SH1665241941350023168.html,2026-04-23 15:14:37,31.28075,121.43436
daning,整租·洛川中路1100弄 1室0厅 南,整租,洛川中路1100弄,静安-大宁-洛川中路,32.00,1室0厅,南,,3600,112.5,,,https://sh.lianjia.com/zufang/SH1973621598715904000.html,2026-04-23 15:16:31,31.26559,121.44593
daning,整租·静安府西区 3室2厅 南/北,整租,静安府西区,静安-大宁-静安府西区,113.00,3室2厅,南/北,,16000,141.6,,,https://sh.lianjia.com/zufang/SH2125920939643240448.html,2026-04-23 15:14:51,31.29404,121.4375
daning,整租·宁和小区 2室1厅 南/北,整租,宁和小区,静安-大宁-宁和小区,56.29,2室1厅,南/北,,5250,93.3,,,https://sh.lianjia.com/zufang/SH2020465111197548544.html,2026-04-23 15:16:43,31.28309,121.43524
daning,独栋·今森青年社区 今森公寓 开春租房季!复式外窗房!近地铁!精装独卫!1号线直达市区 1室1厅,独栋,今森青年社区 今森公寓,,35.00,1室1厅,,,3000-3500,,,,https://sh.lianjia.com/apartment/98700.html,2026-04-23 15:14:37,39.83675,116.279349
daning,整租·宁和小区 1室1厅 南,整租,宁和小区,静安-大宁-宁和小区,43.78,1室1厅,南,,4100,93.7,,,https://sh.lianjia.com/zufang/SH2022189301156020224.html,2026-04-23 15:16:43,31.28309,121.43524
daning,整租·冠华大楼 2室1厅 东,整租,冠华大楼,静安-大宁-冠华大楼,98.20,2室1厅,东,,6100,62.1,,,https://sh.lianjia.com/zufang/SH2008070733841825792.html,2026-04-23 15:16:31,31.28241,121.45029
daning,整租·宁和小区 1室1厅 南/北,整租,宁和小区,静安-大宁-宁和小区,47.00,1室1厅,南/北,,3900,83.0,,,https://sh.lianjia.com/zufang/SH2062181558407659520.html,2026-04-23 15:16:31,31.28309,121.43524
daning,独栋·sweet公寓 大宁店 一号线延长路站，十院旁，宠物友好社区，女生专属朝南loft，把日子过成诗。 1室1厅,独栋,sweet公寓 大宁店,,32.00,1室1厅,,,2499,78.1,,,https://sh.lianjia.com/apartment/60368.html,2026-04-23 15:14:39,39.924646,116.471468
daning,整租·上大东村 1室1厅 西/西北,整租,上大东村,静安-大宁-上大东村,42.62,1室1厅,西/西北,,4200,98.5,,,https://sh.lianjia.com/zufang/SH2154609635091283968.html,2026-04-23 15:16:31,31.2793,121.45527
