region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
大望路,整租·珠江帝景 2室1厅 北,整租,珠江帝景,朝阳区-大望路-珠江帝景,123.26,2室1厅,北,,9900,80.3,,,https://bj.lianjia.com/zufang/BJ2120520049096654848.html,2026-05-02 20:40:23,39.88772,116.474
大望路,整租·京铁瑞园 2室1厅 南/北,整租,京铁瑞园,朝阳区-大望路-京铁瑞园,94.00,2室1厅,南/北,,7500,79.8,,,https://bj.lianjia.com/zufang/BJ2157421025443184640.html,2026-05-02 20:41:13,39.899483,116.474534
大望路,整租·万科蓝山 4室2厅 南/北,整租,万科蓝山,朝阳区-大望路-万科蓝山,240.97,4室2厅,南/北,,26700,110.8,,,https://bj.lianjia.com/zufang/BJ2093253841767104512.html,2026-05-02 20:40:23,39.885646,116.480878
大望路,整租·后现代城D区 4室2厅 西,整租,后现代城D区,朝阳区-大望路-后现代城,127.14,4室2厅,西,,13200,103.8,,,https://bj.lianjia.com/zufang/BJ2139573359002779648.html,2026-05-02 20:40:23,39.896886,116.478998
大望路,整租·后现代城C区 2室1厅 东/北,整租,后现代城C区,朝阳区-大望路-后现代城,90.64,2室1厅,东/北,,7900,87.2,,,https://bj.lianjia.com/zufang/BJ2149783495793180672.html,2026-05-02 20:42:00,39.896786,116.481438
大望路,独栋·众邦苑 百子湾店 宸光雅居 开间,独栋,众邦苑 百子湾店 宸光雅居 开间,,25.00,,,,3000,120.0,,,https://bj.lianjia.com/apartment/102408.html,2026-05-02 20:40:23,39.847129,116.558006
大望路,整租·后现代城C区 1室0厅 东,整租,后现代城C区,朝阳区-大望路-后现代城,64.00,1室0厅,东,,5500,85.9,,,https://bj.lianjia.com/zufang/BJ2144340252339208192.html,2026-05-02 20:40:23,39.896786,116.481438
大望路,整租·后现代城C区 1室0厅 南,整租,后现代城C区,朝阳区-大望路-后现代城,60.89,1室0厅,南,,5600,92.0,,,https://bj.lianjia.com/zufang/BJ2139038019628302336.html,2026-05-02 20:40:23,39.896786,116.481438
大望路,整租·金茂府东区 1房间 北,整租,金茂府东区 1房间 北,朝阳区-大望路-金茂府东区,51.79,,,,6400,123.6,,,https://bj.lianjia.com/zufang/BJ2148059668780417024.html,2026-05-02 20:41:55,39.892786,116.481068
大望路,整租·后现代城B区 1室1厅 南,整租,后现代城B区,朝阳区-大望路-后现代城,64.00,1室1厅,南,,6300,98.4,,,https://bj.lianjia.com/zufang/BJ2160758439138033664.html,2026-05-02 20:41:13,39.898516,116.479473
