region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
daxingjichangkonggang,整租·空港合苑3号院 2室1厅 南/北,整租,空港合苑3号院,大兴区-大兴机场空港-空港合苑,81.49,2室1厅,南/北,,1600,19.6,,,https://bj.lianjia.com/zufang/BJ2118934243588440064.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港新苑二区7号院 2室1厅 南,整租,空港新苑二区7号院,大兴区-大兴机场空港-空港新苑二区,78.52,2室1厅,南,,1500,19.1,,,https://bj.lianjia.com/zufang/BJ1959477307638808576.html,2026-05-02 22:49:18,39.51219,116.299614
daxingjichangkonggang,整租·空港新苑二区1号院 2室1厅 南/北,整租,空港新苑二区1号院,大兴区-大兴机场空港-空港新苑二区,89.00,2室1厅,南/北,,1600,18.0,,,https://bj.lianjia.com/zufang/BJ2149003924571422720.html,2026-05-02 22:49:18,39.511635,116.299989
daxingjichangkonggang,整租·空港新苑三区10号院 2室1厅 南/北,整租,空港新苑三区10号院,大兴区-大兴机场空港-空港新苑三区,89.00,2室1厅,南/北,,1800,20.2,,,https://bj.lianjia.com/zufang/BJ2158881092575166464.html,2026-05-02 22:49:18,39.514822,116.294801
daxingjichangkonggang,整租·榆垡新城嘉园D区 2室1厅 南/北,整租,榆垡新城嘉园D区,大兴区-大兴机场空港-榆垡新城嘉园,80.00,2室1厅,南/北,,1700,21.2,,,https://bj.lianjia.com/zufang/BJ2000076496391110656.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·榆垡新城嘉园C区 2室1厅 南/北,整租,榆垡新城嘉园C区,大兴区-大兴机场空港-榆垡新城嘉园,85.57,2室1厅,南/北,,1500,17.5,,,https://bj.lianjia.com/zufang/BJ1928430133765472256.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港茗苑1号院 3室1厅 南/北,整租,空港茗苑1号院,大兴区-大兴机场空港-空港茗苑,124.00,3室1厅,南/北,,2600,21.0,,,https://bj.lianjia.com/zufang/BJ2154568187847376896.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港新苑五区13号院 3室1厅 南/北,整租,空港新苑五区13号院,大兴区-大兴机场空港-空港新苑五区,111.52,3室1厅,南/北,,2200,19.7,,,https://bj.lianjia.com/zufang/BJ2154506092535611392.html,2026-05-02 22:49:18,39.513228,116.295407
daxingjichangkonggang,整租·空港新苑二区1号院 1室1厅 南/西,整租,空港新苑二区1号院,大兴区-大兴机场空港-空港新苑二区,54.53,1室1厅,南/西,,1450,26.6,,,https://bj.lianjia.com/zufang/BJ1643096477989339136.html,2026-05-02 22:49:18,39.511635,116.299989
daxingjichangkonggang,整租·空港新苑二区7号院 2室1厅 南/北,整租,空港新苑二区7号院,大兴区-大兴机场空港-空港新苑二区,90.00,2室1厅,南/北,,1600,17.8,,,https://bj.lianjia.com/zufang/BJ2140461412856627200.html,2026-05-02 22:49:18,39.51219,116.299614
daxingjichangkonggang,整租·空港合苑1号院 2室1厅 南/北,整租,空港合苑1号院,大兴区-大兴机场空港-空港合苑,89.06,2室1厅,南/北,,1700,19.1,,,https://bj.lianjia.com/zufang/BJ2154060658344198144.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港华苑1号院 3室1厅 南/北,整租,空港华苑1号院,大兴区-大兴机场空港-空港华苑,124.11,3室1厅,南/北,,2400,19.3,,,https://bj.lianjia.com/zufang/BJ2025564634152435712.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港合苑1号院 2室1厅 南/北,整租,空港合苑1号院,大兴区-大兴机场空港-空港合苑,88.00,2室1厅,南/北,,1700,19.3,,,https://bj.lianjia.com/zufang/BJ2159303282370019328.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港合苑3号院 2室1厅 南,整租,空港合苑3号院,大兴区-大兴机场空港-空港合苑,80.00,2室1厅,南,,1600,20.0,,,https://bj.lianjia.com/zufang/BJ2108045350043385856.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港富苑4号院 2室1厅 南/北,整租,空港富苑4号院,大兴区-大兴机场空港-空港富苑,88.41,2室1厅,南/北,,1700,19.2,,,https://bj.lianjia.com/zufang/BJ2153870498725888000.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·榆垡新城嘉园A区 2室1厅 南/北,整租,榆垡新城嘉园A区,大兴区-大兴机场空港-榆垡新城嘉园,87.27,2室1厅,南/北,,1500,17.2,,,https://bj.lianjia.com/zufang/BJ2042483189573746688.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·空港茗苑2号院 2室1厅 南,整租,空港茗苑2号院,大兴区-大兴机场空港-空港茗苑,81.49,2室1厅,南,,1700,20.9,,,https://bj.lianjia.com/zufang/BJ2125510507296194560.html,2026-05-02 22:49:18,39.504328,116.411575
daxingjichangkonggang,整租·椿蓉园 2室1厅 南/北,整租,椿蓉园,大兴区-大兴机场空港-椿蓉园,78.18,2室1厅,南/北,,1600,20.5,,,https://bj.lianjia.com/zufang/BJ2113176636282109952.html,2026-05-02 22:49:18,39.504328,116.411575
