region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
大兴其它,整租·和悦璞云 1室1厅 南,整租,和悦璞云,大兴区-大兴其它-和悦璞云,52.00,1室1厅,南,,2000,38.5,,,https://bj.lianjia.com/zufang/BJ2145423535466610688.html,2026-05-02 22:02:36,39.805326,116.487729
大兴其它,整租·i立方 3房间 南,整租,i立方 3房间 南,大兴区-大兴其它,69.05,,,,2500,36.2,,,https://bj.lianjia.com/zufang/BJ2157394474118938624.html,2026-05-02 22:02:36,39.693206,116.325718
大兴其它,整租·金鼎欣盛家园 1室1厅 南,整租,金鼎欣盛家园,大兴区-大兴其它-金鼎欣盛家园,61.00,1室1厅,南,,2600,42.6,,,https://bj.lianjia.com/zufang/BJ2157659669802254336.html,2026-05-02 22:02:36,39.805326,116.487729
大兴其它,整租·春芳北路6号院 4室2厅 南/北,整租,春芳北路6号院,大兴区-大兴其它-春芳北路,133.00,4室2厅,南/北,,4200,31.6,,,https://bj.lianjia.com/zufang/BJ2159571071626379264.html,2026-05-02 22:02:36,39.729759,116.336431
大兴其它,整租·i立方 2房间 西,整租,i立方 2房间 西,大兴区-大兴其它,62.32,,,,1900,30.5,,,https://bj.lianjia.com/zufang/BJ1912170842301661184.html,2026-05-02 22:02:36,39.693206,116.325718
大兴其它,独栋·大小房子 绿地店 精品房源特价优惠全景落地窗 免费健身 公寓智能管理房 四人间 开间,独栋,大小房子 绿地店 精品房源特价优惠全景落地窗 免费健身 公寓智能管理房 四人间 开间,,28.00,,,,2700,96.4,,,https://bj.lianjia.com/apartment/103879.html,2026-05-02 22:02:42,39.663674,116.516859
大兴其它,整租·首创·美澜湾E区 2室1厅 东/北,整租,首创·美澜湾E区,大兴区-大兴其它-首创,79.66,2室1厅,东/北,,3600,45.2,,,https://bj.lianjia.com/zufang/BJ2147319846902169600.html,2026-05-02 22:02:36,39.729636,116.364168
大兴其它,整租·春芳北路2号院 1室1厅 东,整租,春芳北路2号院,大兴区-大兴其它-春芳北路,46.00,1室1厅,东,,2300,50.0,,,https://bj.lianjia.com/zufang/BJ2157140257982644224.html,2026-05-02 22:02:36,39.729759,116.336431
大兴其它,整租·北京城建北京密码 1室1厅 东,整租,北京城建北京密码,大兴区-大兴其它-北京城建北京密码,46.76,1室1厅,东,,1800,38.5,,,https://bj.lianjia.com/zufang/BJ2002281716416249856.html,2026-05-02 22:02:36,39.805326,116.487729
大兴其它,整租·芳泽东路11号院 4室1厅 南/北,整租,芳泽东路11号院,大兴区-大兴其它-芳泽东路,133.50,4室1厅,南/北,,4300,32.2,,,https://bj.lianjia.com/zufang/BJ2159146928288301056.html,2026-05-02 22:02:36,39.804407,116.453815
大兴其它,整租·英培街2号院 1室1厅 东/西,整租,英培街2号院,大兴区-大兴其它-英培街,62.67,1室1厅,东/西,,2600,41.5,,,https://bj.lianjia.com/zufang/BJ2158931696987144192.html,2026-05-02 22:02:36,39.712159,116.314021
大兴其它,整租·i立方 2房间 南,整租,i立方 2房间 南,大兴区-大兴其它,68.01,,,,2300,33.8,,,https://bj.lianjia.com/zufang/BJ1917956751378874368.html,2026-05-02 22:02:36,39.693206,116.325718
大兴其它,整租·首创·美澜湾F区 1室1厅 南,整租,首创·美澜湾F区,大兴区-大兴其它-首创,59.75,1室1厅,南,,3500,58.6,,,https://bj.lianjia.com/zufang/BJ2154109436774318080.html,2026-05-02 22:02:36,39.729636,116.364168
大兴其它,整租·春芳北路2号院 4室1厅 南/北,整租,春芳北路2号院,大兴区-大兴其它-春芳北路,133.50,4室1厅,南/北,,4200,31.5,,,https://bj.lianjia.com/zufang/BJ2159236848700882944.html,2026-05-02 22:02:36,39.729759,116.336431
大兴其它,整租·i立方 3房间 南,整租,i立方 3房间 南,大兴区-大兴其它,64.56,,,,2500,38.7,,,https://bj.lianjia.com/zufang/BJ2154219040535478272.html,2026-05-02 22:02:36,39.693206,116.325718
大兴其它,整租·春芳南路5号院 3室1厅 南/北,整租,春芳南路5号院,大兴区-大兴其它-春芳南路,92.00,3室1厅,南/北,,3800,41.3,,,https://bj.lianjia.com/zufang/BJ2156964460869189632.html,2026-05-02 22:02:36,39.729759,116.336431
大兴其它,整租·北京城建北京密码 4房间 东,整租,北京城建北京密码 4房间 东,大兴区-大兴其它-北京城建北京密码,57.00,,,,2300,40.4,,,https://bj.lianjia.com/zufang/BJ2121864235406327808.html,2026-05-02 22:02:36,39.738254,116.349536
大兴其它,整租·北京城建北京密码 4房间 复式 东/南,整租,北京城建北京密码 4房间 复式 东/南,大兴区-大兴其它-北京城建北京密码,56.74,,,,2300,40.5,,,https://bj.lianjia.com/zufang/BJ2153019390956666880.html,2026-05-02 22:02:36,39.710741,116.336291
大兴其它,整租·春芳北路5号院 3室1厅 南/北,整租,春芳北路5号院,大兴区-大兴其它-春芳北路,90.50,3室1厅,南/北,,3300,36.5,,,https://bj.lianjia.com/zufang/BJ2158137900741427200.html,2026-05-02 22:02:36,39.729759,116.336431
大兴其它,整租·春芳北路6号院 3室1厅 南/北,整租,春芳北路6号院,大兴区-大兴其它-春芳北路,90.00,3室1厅,南/北,,3500,38.9,,,https://bj.lianjia.com/zufang/BJ2158885997381681152.html,2026-05-02 22:02:36,39.729759,116.336431
大兴其它,整租·首创·美澜湾F区 1室1厅 南,整租,首创·美澜湾F区,大兴区-大兴其它-首创,59.66,1室1厅,南,,3300,55.3,,,https://bj.lianjia.com/zufang/BJ1840042524152954880.html,2026-05-02 22:02:36,39.729636,116.364168
大兴其它,整租·英培街2号院 3室1厅 南/北,整租,英培街2号院,大兴区-大兴其它-英培街,90.00,3室1厅,南/北,,3500,38.9,,,https://bj.lianjia.com/zufang/BJ2159129517505904640.html,2026-05-02 22:02:36,39.712159,116.314021
大兴其它,整租·和悦璞云 2室1厅 南/北,整租,和悦璞云,大兴区-大兴其它-和悦璞云,67.69,2室1厅,南/北,,2200,32.5,,,https://bj.lianjia.com/zufang/BJ2147185174817800192.html,2026-05-02 22:02:36,39.805326,116.487729
大兴其它,整租·i立方 3房间 复式 南,整租,i立方 3房间 复式 南,大兴区-大兴其它,60.91,,,,2500,41.0,,,https://bj.lianjia.com/zufang/BJ2153112061599547392.html,2026-05-02 22:02:36,39.693206,116.325718
大兴其它,整租·和悦璞云 2室1厅 南/北,整租,和悦璞云,大兴区-大兴其它-和悦璞云,67.41,2室1厅,南/北,,2200,32.6,,,https://bj.lianjia.com/zufang/BJ2147305499480031232.html,2026-05-02 22:02:36,39.805326,116.487729
大兴其它,独栋·华润置地·有巢公寓 北京五福堂店 短租3个月特价房 限时优惠 仅此一间 拎包入住 可提供布草 开间,独栋,华润置地·有巢公寓 北京五福堂店 短租3个月特价房 限时优惠 仅此一间 拎包入住 可提供布草 开间,,47.00,,,,3341,71.1,,,https://bj.lianjia.com/apartment/69842.html,2026-05-02 22:03:16,39.787044,116.414224
大兴其它,整租·首创·美澜湾F区 1室1厅 南,整租,首创·美澜湾F区,大兴区-大兴其它-首创,61.32,1室1厅,南,,3200,52.2,,,https://bj.lianjia.com/zufang/BJ2027317325048315904.html,2026-05-02 22:02:36,39.729636,116.364168
大兴其它,整租·春芳南路3号院 2室1厅 南,整租,春芳南路3号院,大兴区-大兴其它-春芳南路,83.00,2室1厅,南,,3500,42.2,,,https://bj.lianjia.com/zufang/BJ2159957002627842048.html,2026-05-02 22:02:36,39.729759,116.336431
