region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dayu,整租·金泰丽湾悦栖山东区 2室2厅 南,整租,金泰丽湾悦栖山东区,门头沟区-大峪-金泰丽湾悦栖山东区,111.35,2室2厅,南,,4500,40.4,,,https://bj.lianjia.com/zufang/BJ2156291906198306816.html,2026-05-02 23:16:04,39.942381,116.089923
dayu,整租·中门寺南坡小区 1室1厅 南,整租,中门寺南坡小区,门头沟区-大峪-中门寺南坡小区,49.11,1室1厅,南,,2200,44.8,,,https://bj.lianjia.com/zufang/BJ2151278931724992512.html,2026-05-02 23:17:09,39.929897,116.078172
dayu,整租·西山艺境8号院 4室2厅 南/北,整租,西山艺境8号院,门头沟区-大峪-西山艺境,168.39,4室2厅,南/北,,6900,41.0,,,https://bj.lianjia.com/zufang/BJ2156712655711109120.html,2026-05-02 23:16:04,39.942381,116.089923
dayu,整租·西山艺境2号院 4室2厅 南/北,整租,西山艺境2号院,门头沟区-大峪-西山艺境,190.00,4室2厅,南/北,,20000,105.3,,,https://bj.lianjia.com/zufang/BJ2114927940968906752.html,2026-05-02 23:16:04,39.942381,116.089923
dayu,整租·金泰丽湾悦栖山三区 1室0厅 南,整租,金泰丽湾悦栖山三区,门头沟区-大峪-金泰丽湾悦栖山三区,45.00,1室0厅,南,,2500,55.6,,,https://bj.lianjia.com/zufang/BJ1924705386758144000.html,2026-05-02 23:16:54,39.936076,116.085068
dayu,独栋·暖悦 华远坊店 国企直租大开间!采光充足，南北通透，现送25天免租期，大峪城子街道 1室1厅,独栋,暖悦 华远坊店 国企直租大开间!采光充足，南北通透，现送25天免租期，大峪城子街道,,37.00,1室1厅,,,3000,81.1,,,https://bj.lianjia.com/apartment/104585.html,2026-05-02 23:16:07,39.944656,116.093958
dayu,整租·华远裘马四季 4室2厅 南/西/北,整租,华远裘马四季,门头沟区-大峪-华远裘马四季,191.02,4室2厅,南/西/北,,13000,68.1,,,https://bj.lianjia.com/zufang/BJ2102620919905124352.html,2026-05-02 23:16:04,39.942381,116.089923
dayu,整租·金泰丽湾悦栖山三区 1室0厅 南,整租,金泰丽湾悦栖山三区,门头沟区-大峪-金泰丽湾悦栖山三区,43.00,1室0厅,南,,2200,51.2,,,https://bj.lianjia.com/zufang/BJ2154413539433906176.html,2026-05-02 23:16:04,39.936076,116.085068
dayu,整租·黑山A2区 2室1厅 南,整租,黑山A2区,门头沟区-大峪-黑山,66.06,2室1厅,南,,2450,37.1,,,https://bj.lianjia.com/zufang/BJ1725771727578857472.html,2026-05-02 23:16:54,39.941039,116.085852
dayu,整租·中昂时代广场 3房间 南,整租,中昂时代广场 3房间 南,门头沟区-大峪-中昂时代广场,40.00,,,,2100,52.5,,,https://bj.lianjia.com/zufang/BJ2155888952513396736.html,2026-05-02 23:16:04,39.934245,116.095063
dayu,整租·峪园小区 1室1厅 南,整租,峪园小区,门头沟区-大峪-峪园小区,49.00,1室1厅,南,,2300,46.9,,,https://bj.lianjia.com/zufang/BJ2114213058132836352.html,2026-05-02 23:16:04,39.942381,116.089923
dayu,整租·金泰丽湾悦栖山东区 3室1厅 南/北,整租,金泰丽湾悦栖山东区,门头沟区-大峪-金泰丽湾悦栖山东区,121.07,3室1厅,南/北,,4800,39.6,,,https://bj.lianjia.com/zufang/BJ1991348587023302656.html,2026-05-02 23:16:04,39.942381,116.089923
dayu,整租·华远裘马四季 4室2厅 南/北,整租,华远裘马四季,门头沟区-大峪-华远裘马四季,191.00,4室2厅,南/北,,12600,66.0,,,https://bj.lianjia.com/zufang/BJ2089382049658961920.html,2026-05-02 23:16:04,39.942381,116.089923
dayu,整租·华远裘马四季 4室1厅 南,整租,华远裘马四季,门头沟区-大峪-华远裘马四季,191.00,4室1厅,南,,11000,57.6,,,https://bj.lianjia.com/zufang/BJ2092932942622883840.html,2026-05-02 23:16:04,39.942381,116.089923
