region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dinghuisi,整租·北京印象 3室3厅 南/北,整租,北京印象,海淀区-定慧寺-北京印象,171.45,3室3厅,南/北,,14000,81.7,,,https://bj.lianjia.com/zufang/BJ2147212038823215104.html,2026-05-02 21:27:43,,
dinghuisi,整租·定慧福里北区 1室1厅 西,整租,定慧福里北区,海淀区-定慧寺-定慧福里北区,66.06,1室1厅,西,,5300,80.2,,,https://bj.lianjia.com/zufang/BJ2131357306128957440.html,2026-05-02 21:27:43,,
dinghuisi,整租·恩济里小区 2室1厅 南/北,整租,恩济里小区,海淀区-定慧寺-恩济里小区,58.14,2室1厅,南/北,,6500,111.8,,,https://bj.lianjia.com/zufang/BJ2154917316410736640.html,2026-05-02 21:27:43,,
dinghuisi,整租·西钓鱼台嘉园 3室2厅 东,整租,西钓鱼台嘉园,海淀区-定慧寺-西钓鱼台嘉园,146.85,3室2厅,东,,16500,112.4,,,https://bj.lianjia.com/zufang/BJ2124337065066758144.html,2026-05-02 21:27:43,,
dinghuisi,整租·八里庄北里 2室1厅 南/北,整租,八里庄北里,海淀区-定慧寺-八里庄北里,82.00,2室1厅,南/北,,7800,95.1,,,https://bj.lianjia.com/zufang/BJ2156419807115739136.html,2026-05-02 21:28:48,,
dinghuisi,独栋·心寓公寓 定慧福里店 可月租 五路居地铁 可观西山美景 民水民电 配套齐全 1室1厅,独栋,心寓公寓 定慧福里店 可月租 五路居地铁 可观西山美景 民水民电 配套齐全,,49.00,1室1厅,,,5300,108.2,,,https://bj.lianjia.com/apartment/97708.html,2026-05-02 21:27:43,,
dinghuisi,整租·北京印象 1室1厅 西北,整租,北京印象,海淀区-定慧寺-北京印象,45.73,1室1厅,西北,,5400,118.1,,,https://bj.lianjia.com/zufang/BJ2146584898457042944.html,2026-05-02 21:27:43,,
dinghuisi,整租·恩济里小区 1室1厅 南,整租,恩济里小区,海淀区-定慧寺-恩济里小区,48.66,1室1厅,南,,5500,113.0,,,https://bj.lianjia.com/zufang/BJ2157478327978295296.html,2026-05-02 21:27:43,,
dinghuisi,整租·定慧西里 1室1厅 南,整租,定慧西里,海淀区-定慧寺-定慧西里,51.30,1室1厅,南,,5350,104.3,,,https://bj.lianjia.com/zufang/BJ2024727526307266560.html,2026-05-02 21:27:43,,
dinghuisi,整租·北京印象 2室1厅 东,整租,北京印象,海淀区-定慧寺-北京印象,100.00,2室1厅,东,,9500,95.0,,,https://bj.lianjia.com/zufang/BJ2154526549808775168.html,2026-05-02 21:27:43,,
dinghuisi,整租·恩济里小区 1室1厅 南,整租,恩济里小区,海淀区-定慧寺-恩济里小区,48.66,1室1厅,南,,5600,115.1,,,https://bj.lianjia.com/zufang/BJ2155568727490297856.html,2026-05-02 21:28:08,,
dinghuisi,整租·恩济庄46号院 3室1厅 南/北,整租,恩济庄46号院,海淀区-定慧寺-恩济庄,86.71,3室1厅,南/北,,8500,98.0,,,https://bj.lianjia.com/zufang/BJ2149379921892343808.html,2026-05-02 21:27:43,,
dinghuisi,整租·恩济花园 1室1厅 南/北,整租,恩济花园,海淀区-定慧寺-恩济花园,78.00,1室1厅,南/北,,6800,87.2,,,https://bj.lianjia.com/zufang/BJ2102265510631571456.html,2026-05-02 21:27:43,,
dinghuisi,整租·定慧福里北区 1室1厅 东/西,整租,定慧福里北区,海淀区-定慧寺-定慧福里北区,59.52,1室1厅,东/西,,5500,92.4,,,https://bj.lianjia.com/zufang/BJ2145443028867743744.html,2026-05-02 21:27:43,,
