region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dongba,整租·和光尘樾 4室2厅 南/北,整租,和光尘樾,朝阳区-东坝-和光尘樾,181.30,4室2厅,南/北,,23000,126.9,,,https://bj.lianjia.com/zufang/BJ2149861984818954240.html,2026-05-02 20:39:08,,
dongba,整租·保利首开丽湾家园 2室1厅 南/北,整租,保利首开丽湾家园,朝阳区-东坝-保利首开丽湾家园,89.20,2室1厅,南/北,,5200,58.3,,,https://bj.lianjia.com/zufang/BJ2122188273613799424.html,2026-05-02 20:40:13,,
dongba,整租·恒大江湾 3室1厅 南/北,整租,恒大江湾,朝阳区-东坝-恒大江湾,89.67,3室1厅,南/北,,7000,78.1,,,https://bj.lianjia.com/zufang/BJ2148757705471295488.html,2026-05-02 20:39:08,,
dongba,整租·奥林匹克花园四期 4室2厅 错层 南/北,整租,奥林匹克花园四期,朝阳区-东坝-奥林匹克花园四期,153.96,4室2厅,,,13500,87.7,,,https://bj.lianjia.com/zufang/BJ2139653814666395648.html,2026-05-02 20:39:25,,
dongba,整租·奥林匹克花园一期 4室2厅 南/北,整租,奥林匹克花园一期,朝阳区-东坝-奥林匹克花园一期,238.68,4室2厅,南/北,,13000,54.5,,,https://bj.lianjia.com/zufang/BJ2147552894407147520.html,2026-05-02 20:39:08,,
dongba,独栋·远亲近邻 轻遇HOME 电影学院店 大悦城整租公寓押一付一 1室1厅,独栋,远亲近邻 轻遇HOME 电影学院店 大悦城整租公寓押一付一,,20.00,1室1厅,,,1800,90.0,,,https://bj.lianjia.com/apartment/71647.html,2026-05-02 20:39:20,,
dongba,整租·首开常青藤二期 4室2厅 南/北,整租,首开常青藤二期,朝阳区-东坝-首开常青藤二期,164.80,4室2厅,南/北,,12000,72.8,,,https://bj.lianjia.com/zufang/BJ2157351700074070016.html,2026-05-02 20:39:08,,
dongba,整租·金隅景和园 3室1厅 南/北,整租,金隅景和园,朝阳区-东坝-金隅景和园,89.00,3室1厅,南/北,,7000,78.7,,,https://bj.lianjia.com/zufang/BJ2155327246577958912.html,2026-05-02 20:39:08,,
dongba,整租·首开常青藤一期 3室1厅 南/北,整租,首开常青藤一期,朝阳区-东坝-首开常青藤一期,95.48,3室1厅,南/北,,7800,81.7,,,https://bj.lianjia.com/zufang/BJ2147309309623533568.html,2026-05-02 20:39:08,,
dongba,整租·福润四季A区 3室1厅 西南/北,整租,福润四季A区,朝阳区-东坝-福润四季,90.19,3室1厅,西南/北,,6200,68.7,,,https://bj.lianjia.com/zufang/BJ2143960789428469760.html,2026-05-02 20:39:08,,
dongba,整租·坝鑫家园 2室1厅 南,整租,坝鑫家园,朝阳区-东坝-坝鑫家园,81.00,2室1厅,南,,5500,67.9,,,https://bj.lianjia.com/zufang/BJ2140364047206318080.html,2026-05-02 20:39:08,,
dongba,整租·首开常青藤一期 3室1厅 南/北,整租,首开常青藤一期,朝阳区-东坝-首开常青藤一期,96.00,3室1厅,南/北,,8000,83.3,,,https://bj.lianjia.com/zufang/BJ2145386295713595392.html,2026-05-02 20:39:28,,
dongba,整租·华瀚福园D区 1室1厅 南,整租,华瀚福园D区,朝阳区-东坝-华瀚福园,54.41,1室1厅,南,,3980,73.1,,,https://bj.lianjia.com/zufang/BJ2159968714789748736.html,2026-05-02 20:39:08,,
dongba,整租·保利首开丽湾家园 2室1厅 南,整租,保利首开丽湾家园,朝阳区-东坝-保利首开丽湾家园,89.99,2室1厅,南,,5500,61.1,,,https://bj.lianjia.com/zufang/BJ2157709444970971136.html,2026-05-02 20:39:08,,
dongba,整租·恒大江湾 2室1厅 东,整租,恒大江湾,朝阳区-东坝-恒大江湾,90.21,2室1厅,东,,5600,62.1,,,https://bj.lianjia.com/zufang/BJ2149795309067173888.html,2026-05-02 20:39:28,,
dongba,整租·金驹家园F区 1室1厅 南,整租,金驹家园F区,朝阳区-东坝-金驹家园,55.56,1室1厅,南,,4200,75.6,,,https://bj.lianjia.com/zufang/BJ2159277528143888384.html,2026-05-02 20:39:08,,
dongba,整租·金隅景和园 3室1厅 南/北,整租,金隅景和园,朝阳区-东坝-金隅景和园,89.85,3室1厅,南/北,,6500,72.3,,,https://bj.lianjia.com/zufang/BJ2153005479981219840.html,2026-05-02 20:39:08,,
dongba,整租·福润四季A区 2室1厅 南,整租,福润四季A区,朝阳区-东坝-福润四季,74.17,2室1厅,南,,4600,62.0,,,https://bj.lianjia.com/zufang/BJ1864254981041815552.html,2026-05-02 20:40:09,,
dongba,整租·奥林匹克花园二期 5室2厅 南/北,整租,奥林匹克花园二期,朝阳区-东坝-奥林匹克花园二期,180.12,5室2厅,南/北,,15500,86.1,,,https://bj.lianjia.com/zufang/BJ2103800985360007168.html,2026-05-02 20:39:08,,
dongba,整租·保利首开丽湾家园 2室1厅 东/西,整租,保利首开丽湾家园,朝阳区-东坝-保利首开丽湾家园,89.85,2室1厅,东/西,,6600,73.5,,,https://bj.lianjia.com/zufang/BJ2153471442614747136.html,2026-05-02 20:39:08,,
dongba,整租·富东嘉园 2室1厅 南/北,整租,富东嘉园,朝阳区-东坝-富东嘉园,91.77,2室1厅,南/北,,5600,61.0,,,https://bj.lianjia.com/zufang/BJ2091775078671843328.html,2026-05-02 20:39:08,,
dongba,整租·和悦园 1室1厅 西,整租,和悦园,朝阳区-东坝-和悦园,63.81,1室1厅,西,,4800,75.2,,,https://bj.lianjia.com/zufang/BJ2151611067027947520.html,2026-05-02 20:39:08,,
dongba,整租·汇景苑三区 2室1厅 南/北,整租,汇景苑三区,朝阳区-东坝-汇景苑三区,80.23,2室1厅,南/北,,5600,69.8,,,https://bj.lianjia.com/zufang/BJ2124459253220507648.html,2026-05-02 20:39:08,,
dongba,整租·朝新嘉园东里四区 2室1厅 南/北,整租,朝新嘉园东里四区,朝阳区-东坝-朝新嘉园东里四区,94.41,2室1厅,南/北,,4900,51.9,,,https://bj.lianjia.com/zufang/BJ1902375873894416384.html,2026-05-02 20:39:32,,
dongba,整租·奥林匹克花园一期 4室4厅 南/西/北,整租,奥林匹克花园一期,朝阳区-东坝-奥林匹克花园一期,235.17,4室4厅,南/西/北,,17000,72.3,,,https://bj.lianjia.com/zufang/BJ2145061233303224320.html,2026-05-02 20:39:08,,
dongba,独栋·北京松果公寓 东坝二店 朝阳区3号线东坝南地铁500米 精装公寓 朝南开间 开间,独栋,北京松果公寓 东坝二店 朝阳区3号线东坝南地铁500米 精装公寓 朝南开间 开间,,20.00,,,,2700,135.0,,,https://bj.lianjia.com/apartment/106810.html,2026-05-02 20:39:08,,
dongba,整租·奥林匹克花园二期 4室2厅 南/北,整租,奥林匹克花园二期,朝阳区-东坝-奥林匹克花园二期,205.14,4室2厅,南/北,,10500,51.2,,,https://bj.lianjia.com/zufang/BJ1829140567171268608.html,2026-05-02 20:40:09,,
dongba,整租·朝阳新城五区 3室1厅 南/北,整租,朝阳新城五区,朝阳区-东坝-朝阳新城五区,110.13,3室1厅,南/北,,6500,59.0,,,https://bj.lianjia.com/zufang/BJ2146441686132195328.html,2026-05-02 20:39:08,,
dongba,独栋·京易寓客 褡裢坡店 褡裢坡400米 小开间 配套齐全 拎包入住 开间,独栋,京易寓客 褡裢坡店 褡裢坡400米 小开间 配套齐全 拎包入住 开间,,18.00,,,,2000,111.1,,,https://bj.lianjia.com/apartment/104031.html,2026-05-02 20:39:11,,
dongba,整租·和悦园 1室1厅 南,整租,和悦园,朝阳区-东坝-和悦园,63.81,1室1厅,南,,4300,67.4,,,https://bj.lianjia.com/zufang/BJ2156392861073932288.html,2026-05-02 20:39:11,,
dongba,整租·天璞家园 2室1厅 南/北,整租,天璞家园,朝阳区-东坝-天璞家园,89.62,2室1厅,南/北,,6500,72.5,,,https://bj.lianjia.com/zufang/BJ2152720272665346048.html,2026-05-02 20:39:11,,
dongba,整租·朝阳新城五区 3室1厅 南/北,整租,朝阳新城五区,朝阳区-东坝-朝阳新城五区,119.39,3室1厅,南/北,,6000,50.3,,,https://bj.lianjia.com/zufang/BJ2122939412479213568.html,2026-05-02 20:39:11,,
dongba,整租·恒大江湾 2室1厅 东/南,整租,恒大江湾,朝阳区-东坝-恒大江湾,72.88,2室1厅,东/南,,5250,72.0,,,https://bj.lianjia.com/zufang/BJ1898569118840258560.html,2026-05-02 20:39:11,,
dongba,整租·奥林匹克花园四期 3室2厅 南/北,整租,奥林匹克花园四期,朝阳区-东坝-奥林匹克花园四期,122.62,3室2厅,南/北,,10500,85.6,,,https://bj.lianjia.com/zufang/BJ2158977444441227264.html,2026-05-02 20:39:11,,
dongba,整租·恒大江湾 2室1厅 南/北,整租,恒大江湾,朝阳区-东坝-恒大江湾,90.45,2室1厅,南/北,,5500,60.8,,,https://bj.lianjia.com/zufang/BJ2116447889289904128.html,2026-05-02 20:39:11,,
dongba,整租·坝鑫家园 3室1厅 南/北,整租,坝鑫家园,朝阳区-东坝-坝鑫家园,106.78,3室1厅,南/北,,7800,73.0,,,https://bj.lianjia.com/zufang/BJ2154154374136332288.html,2026-05-02 20:39:28,,
dongba,整租·坝鑫家园 3室1厅 南/北,整租,坝鑫家园,朝阳区-东坝-坝鑫家园,106.47,3室1厅,南/北,,7000,65.7,,,https://bj.lianjia.com/zufang/BJ2150523870723964928.html,2026-05-02 20:39:11,,
dongba,整租·首开畅颐园 1室1厅 西,整租,首开畅颐园,朝阳区-东坝-首开畅颐园,58.27,1室1厅,西,,5000,85.8,,,https://bj.lianjia.com/zufang/BJ2153103936284786688.html,2026-05-02 20:39:11,,
dongba,整租·保利首开丽湾家园 1室1厅 东,整租,保利首开丽湾家园,朝阳区-东坝-保利首开丽湾家园,81.98,1室1厅,东,,4725,57.6,,,https://bj.lianjia.com/zufang/BJ1893286998169354240.html,2026-05-02 20:39:32,,
dongba,整租·保利首开丽湾家园 1室1厅 南,整租,保利首开丽湾家园,朝阳区-东坝-保利首开丽湾家园,89.20,1室1厅,南,,6600,74.0,,,https://bj.lianjia.com/zufang/BJ2153879804603006976.html,2026-05-02 20:39:11,,
