region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dongjiadu,整租·阳光里(黄浦) 3室2厅 南,整租,阳光里(黄浦),黄浦-董家渡-阳光里(黄浦),140.56,3室2厅,南,,12915,91.9,,,https://sh.lianjia.com/zufang/SH2013886667236048896.html,2026-04-23 15:22:59,,
dongjiadu,整租·绿地海珀外滩2期 5室2厅 南,整租,绿地海珀外滩2期,黄浦-董家渡-绿地海珀外滩,292.00,5室2厅,南,,80000,274.0,,,https://sh.lianjia.com/zufang/SH2138640679121715200.html,2026-04-23 15:22:59,,
dongjiadu,整租·复兴东路404弄 1室0厅 南,整租,复兴东路404弄,黄浦-董家渡-复兴东路,9.00,1室0厅,南,,4253,472.6,,,https://sh.lianjia.com/zufang/SH1998753677048807424.html,2026-04-23 15:22:59,,
dongjiadu,独栋·桂客公寓 豫园店 黄浦豫园一室一厅/押一付一/民用水电/网络免费1515 1室1厅,独栋,桂客公寓 豫园店,,37.60,1室1厅,,,6999,186.1,,,https://sh.lianjia.com/apartment/89930.html,2026-04-23 15:22:59,,
dongjiadu,整租·明日星城(二期、三期) 2室2厅 南,整租,明日星城(二期、三期),黄浦-董家渡-明日星城(二期,97.11,2室2厅,南,,12800,131.8,,,https://sh.lianjia.com/zufang/SH2156323890245140480.html,2026-04-23 15:22:59,,
dongjiadu,整租·长峰馨园 2室2厅 南,整租,长峰馨园,黄浦-董家渡-长峰馨园,123.33,2室2厅,南,,15728,127.5,,,https://sh.lianjia.com/zufang/SH2154227515512586240.html,2026-04-23 15:22:59,,
dongjiadu,整租·明日星城（一期） 2室2厅 东南,整租,明日星城（一期）,黄浦-董家渡-明日星城,68.00,2室2厅,东南,,7500,110.3,,,https://sh.lianjia.com/zufang/SH2153102956608618496.html,2026-04-23 15:22:59,,
dongjiadu,整租·南花苑 3室1厅 南,整租,南花苑,黄浦-董家渡-南花苑,86.62,3室1厅,南,,11500,132.8,,,https://sh.lianjia.com/zufang/SH2153716820274577408.html,2026-04-23 15:22:59,,
dongjiadu,整租·阳光翠竹苑 2室2厅 南,整租,阳光翠竹苑,黄浦-董家渡-阳光翠竹苑,119.77,2室2厅,南,,12000,100.2,,,https://sh.lianjia.com/zufang/SH2148417217924956160.html,2026-04-23 15:22:59,,
dongjiadu,整租·明日星城（一期） 3室2厅 南,整租,明日星城（一期）,黄浦-董家渡-明日星城,121.77,3室2厅,南,,14500,119.1,,,https://sh.lianjia.com/zufang/SH2150893488189734912.html,2026-04-23 15:22:59,,
dongjiadu,整租·申升公寓 2室1厅 南,整租,申升公寓,黄浦-董家渡-申升公寓,102.18,2室1厅,南,,10500,102.8,,,https://sh.lianjia.com/zufang/SH2143721749223571456.html,2026-04-23 15:22:59,,
dongjiadu,整租·阳光翠竹苑 2室2厅 南/北,整租,阳光翠竹苑,黄浦-董家渡-阳光翠竹苑,119.00,2室2厅,南/北,,13000,109.2,,,https://sh.lianjia.com/zufang/SH2144358503496548352.html,2026-04-23 15:22:59,,
dongjiadu,整租·长峰馨园 3室2厅 南,整租,长峰馨园,黄浦-董家渡-长峰馨园,98.04,3室2厅,南,,12600,128.5,,,https://sh.lianjia.com/zufang/SH2145467918165475328.html,2026-04-23 15:22:59,,
dongjiadu,整租·阳光里(黄浦) 3室2厅 南,整租,阳光里(黄浦),黄浦-董家渡-阳光里(黄浦),178.17,3室2厅,南,,16000,89.8,,,https://sh.lianjia.com/zufang/SH2124091109175984128.html,2026-04-23 15:22:59,,
dongjiadu,整租·明日星城(二期、三期) 2室2厅 南,整租,明日星城(二期、三期),黄浦-董家渡-明日星城(二期,97.11,2室2厅,南,,13600,140.0,,,https://sh.lianjia.com/zufang/SH2152250382338752512.html,2026-04-23 15:22:59,,
dongjiadu,整租·秀水苑(黄浦) 2室2厅 南,整租,秀水苑(黄浦),黄浦-董家渡-秀水苑(黄浦),104.24,2室2厅,南,,11600,111.3,,,https://sh.lianjia.com/zufang/SH2140419709936336896.html,2026-04-23 15:22:59,,
dongjiadu,整租·黄家小区 2室1厅 南,整租,黄家小区,黄浦-董家渡-黄家小区,48.63,2室1厅,南,,6900,141.9,,,https://sh.lianjia.com/zufang/SH2142463680984383488.html,2026-04-23 15:22:59,,
dongjiadu,整租·长峰馨园 2室2厅 南,整租,长峰馨园,黄浦-董家渡-长峰馨园,123.00,2室2厅,南,,14000,113.8,,,https://sh.lianjia.com/zufang/SH2153130871765336064.html,2026-04-23 15:22:59,,
dongjiadu,整租·三角大楼 2室1厅 南,整租,三角大楼,黄浦-董家渡-三角大楼,71.05,2室1厅,南,,7500,105.6,,,https://sh.lianjia.com/zufang/SH2148354221173374976.html,2026-04-23 15:22:59,,
dongjiadu,整租·明日星城(二期、三期) 2室2厅 南,整租,明日星城(二期、三期),黄浦-董家渡-明日星城(二期,97.66,2室2厅,南,,13000,133.1,,,https://sh.lianjia.com/zufang/SH2144693960071708672.html,2026-04-23 15:22:59,,
dongjiadu,整租·明日星城（一期） 3室2厅 南,整租,明日星城（一期）,黄浦-董家渡-明日星城,117.44,3室2厅,南,,12500,106.4,,,https://sh.lianjia.com/zufang/SH2153732511396528128.html,2026-04-23 15:22:59,,
dongjiadu,整租·陆家浜路413弄 1室1厅 南,整租,陆家浜路413弄,黄浦-董家渡-陆家浜路,41.42,1室1厅,南,,4900,118.3,,,https://sh.lianjia.com/zufang/SH2147608102751436800.html,2026-04-23 15:22:59,,
dongjiadu,整租·明日星城(二期、三期) 3室2厅 南/北,整租,明日星城(二期、三期),黄浦-董家渡-明日星城(二期,125.24,3室2厅,南/北,,17200,137.3,,,https://sh.lianjia.com/zufang/SH2065693528129798144.html,2026-04-23 15:22:59,,
dongjiadu,整租·阳光翠竹苑 2室2厅 南,整租,阳光翠竹苑,黄浦-董家渡-阳光翠竹苑,92.48,2室2厅,南,,11500,124.4,,,https://sh.lianjia.com/zufang/SH2108464807924465664.html,2026-04-23 15:22:59,,
dongjiadu,整租·秀水苑(黄浦) 3室2厅 南,整租,秀水苑(黄浦),黄浦-董家渡-秀水苑(黄浦),155.00,3室2厅,南,,15000,96.8,,,https://sh.lianjia.com/zufang/SH2109963390809014272.html,2026-04-23 15:22:59,,
dongjiadu,整租·南花苑 2室2厅 南/北,整租,南花苑,黄浦-董家渡-南花苑,87.47,2室2厅,南/北,,8500,97.2,,,https://sh.lianjia.com/zufang/SH2143687627918802944.html,2026-04-23 15:22:59,,
dongjiadu,整租·黄家小区 2室0厅 南,整租,黄家小区,黄浦-董家渡-黄家小区,48.14,2室0厅,南,,6500,135.0,,,https://sh.lianjia.com/zufang/SH2152976997523914752.html,2026-04-23 15:22:59,,
dongjiadu,整租·浩城华苑 2室2厅 南,整租,浩城华苑,黄浦-董家渡-浩城华苑,72.66,2室2厅,南,,9600,132.1,,,https://sh.lianjia.com/zufang/SH2099488261238947840.html,2026-04-23 15:22:59,,
dongjiadu,整租·黄家小区 1室1厅 南,整租,黄家小区,黄浦-董家渡-黄家小区,34.98,1室1厅,南,,4950,141.5,,,https://sh.lianjia.com/zufang/SH2150977577274048512.html,2026-04-23 15:22:59,,
