region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dongzhimen,整租·华冠丽景 4室2厅 南/北,整租,华冠丽景,东城区-东直门-华冠丽景,213.40,4室2厅,南/北,,25000,117.2,,,https://bj.lianjia.com/zufang/BJ2145506396488073216.html,2026-05-02 19:58:38,,
dongzhimen,整租·东直门外大街(东城) 2室1厅 南,整租,东直门外大街(东城),东城区-东直门-东直门外大街(东城),62.58,2室1厅,南,,6300,100.7,,,https://bj.lianjia.com/zufang/BJ2045786569549283328.html,2026-05-02 19:59:03,,
dongzhimen,整租·东环广场 3室2厅 西南,整租,东环广场,东城区-东直门-东环广场,314.97,3室2厅,西南,,42000,133.3,,,https://bj.lianjia.com/zufang/BJ2153455706022346752.html,2026-05-02 19:58:38,,
dongzhimen,整租·万国城MOMA 3室2厅 西南,整租,万国城MOMA,东城区-东直门-万国城,153.00,3室2厅,西南,,25000,163.4,,,https://bj.lianjia.com/zufang/BJ2153520325579505664.html,2026-05-02 19:58:38,,
dongzhimen,整租·东直门北大街 2室1厅 南,整租,东直门北大街,东城区-东直门-东直门北大街,71.85,2室1厅,南,,6400,89.1,,,https://bj.lianjia.com/zufang/BJ2151906574526840832.html,2026-05-02 19:59:03,,
dongzhimen,独栋·云帆 东直门旗舰店 东直门必看三居室 无杂费 无中介 带燃气 可接待 3室2厅,独栋,云帆 东直门旗舰店 东直门必看三居室 无杂费 无中介 带燃气 可接待,,236.00,3室2厅,,,43000,182.2,,,https://bj.lianjia.com/apartment/103206.html,2026-05-02 19:58:45,,
dongzhimen,整租·元嘉国际公寓 1室0厅 东,整租,元嘉国际公寓,东城区-东直门-元嘉国际公寓,52.98,1室0厅,东,,5900,111.4,,,https://bj.lianjia.com/zufang/BJ2149754070368256000.html,2026-05-02 19:58:38,,
dongzhimen,整租·东直门南大街 2室1厅 西,整租,东直门南大街,东城区-东直门-东直门南大街,69.55,2室1厅,西,,9500,136.6,,,https://bj.lianjia.com/zufang/BJ2158513456586686464.html,2026-05-02 19:58:38,,
dongzhimen,整租·海运仓小区 2室1厅 南/北,整租,海运仓小区,东城区-东直门-海运仓小区,64.45,2室1厅,南/北,,8500,131.9,,,https://bj.lianjia.com/zufang/BJ2099115302892601344.html,2026-05-02 19:59:27,,
dongzhimen,整租·新中西里 2室1厅 东,整租,新中西里,东城区-东直门-新中西里,53.93,2室1厅,东,,7300,135.4,,,https://bj.lianjia.com/zufang/BJ2145794261709225984.html,2026-05-02 19:58:38,,
