region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
豆各庄,整租·恒大御景湾东区 3室1厅 南/北,整租,恒大御景湾东区,朝阳区-豆各庄-恒大御景湾东区,89.06,3室1厅,南/北,,5000,56.1,,,https://bj.lianjia.com/zufang/BJ2149488569125699584.html,2026-05-02 20:43:14,39.853686,116.546208
豆各庄,整租·富力又一城A区 2室1厅 东北,整租,富力又一城A区,朝阳区-豆各庄-富力又一城,88.07,2室1厅,东北,,4800,54.5,,,https://bj.lianjia.com/zufang/BJ2145157458006376448.html,2026-05-02 20:43:14,39.846125,116.559871
豆各庄,整租·青荷里晨风园二期 2室1厅 南/北,整租,青荷里晨风园二期,朝阳区-豆各庄-青荷里晨风园二期,90.10,2室1厅,南/北,,4700,52.2,,,https://bj.lianjia.com/zufang/BJ2153499891119161344.html,2026-05-02 20:43:14,39.860908,116.558626
豆各庄,整租·丽景嘉苑 2室1厅 南,整租,丽景嘉苑,朝阳区-豆各庄-丽景嘉苑,85.33,2室1厅,南,,4600,53.9,,,https://bj.lianjia.com/zufang/BJ2149027537131405312.html,2026-05-02 20:43:14,39.844887,116.559665
豆各庄,整租·恒大御景湾东区 2室1厅 南/北,整租,恒大御景湾东区,朝阳区-豆各庄-恒大御景湾东区,89.92,2室1厅,南/北,,4800,53.4,,,https://bj.lianjia.com/zufang/BJ2144421072479453184.html,2026-05-02 20:43:14,39.853686,116.546208
豆各庄,独栋·华润置地·有巢公寓 豆各庄二店 【采光好】7号线地铁口·拎包入住直租月付·无中介费网费·宠物友好【A1】 1室1厅,独栋,华润置地·有巢公寓 豆各庄二店 【采光好】7号线地铁口·拎包入住直租月付·无中介费网费·宠物友好【A1】,,32.14,1室1厅,,,3567,111.0,,,https://bj.lianjia.com/apartment/98505.html,2026-05-02 20:43:14,,
豆各庄,整租·富力又一城C区 2室1厅 东南,整租,富力又一城C区,朝阳区-豆各庄-富力又一城,89.00,2室1厅,东南,,5500,61.8,,,https://bj.lianjia.com/zufang/BJ2145854308707467264.html,2026-05-02 20:43:14,39.845593,116.551558
豆各庄,整租·恒大御景湾东区 3室1厅 南/北,整租,恒大御景湾东区,朝阳区-豆各庄-恒大御景湾东区,89.48,3室1厅,南/北,,5800,64.8,,,https://bj.lianjia.com/zufang/BJ2157081892350853120.html,2026-05-02 20:43:14,39.853686,116.546208
豆各庄,整租·朝丰家园6号院 1室1厅 南,整租,朝丰家园6号院,朝阳区-豆各庄-朝丰家园,56.52,1室1厅,南,,3700,65.5,,,https://bj.lianjia.com/zufang/BJ2078084021522268160.html,2026-05-02 20:43:14,39.854877,116.560624
豆各庄,整租·富力又一城A区 2室1厅 东,整租,富力又一城A区,朝阳区-豆各庄-富力又一城,94.73,2室1厅,东,,5800,61.2,,,https://bj.lianjia.com/zufang/BJ2144279107670638592.html,2026-05-02 20:43:14,39.846125,116.559871
