region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dujiakan,整租·珠光逸景二期 3室2厅 南/北,整租,珠光逸景二期,丰台区-杜家坎-珠光逸景二期,90.85,3室2厅,南/北,,3700,40.7,,,https://bj.lianjia.com/zufang/BJ2148654873023873024.html,2026-05-02 22:03:50,,
dujiakan,整租·中奥广场首站 2房间 东,整租,中奥广场首站 2房间 东,丰台区-杜家坎-中奥广场首站,45.23,,,,2310,51.1,,,https://bj.lianjia.com/zufang/BJ2154523497450176512.html,2026-05-02 22:03:50,,
dujiakan,整租·中体奥林匹克花园三期 5室2厅 南/北,整租,中体奥林匹克花园三期,丰台区-杜家坎-中体奥林匹克花园三期,322.44,5室2厅,南/北,,12000,37.2,,,https://bj.lianjia.com/zufang/BJ2157468953260064768.html,2026-05-02 22:03:50,,
dujiakan,整租·中体奥林匹克花园三期 4室3厅 南/北,整租,中体奥林匹克花园三期,丰台区-杜家坎-中体奥林匹克花园三期,172.00,4室3厅,南/北,,6750,39.2,,,https://bj.lianjia.com/zufang/BJ2096571351195189248.html,2026-05-02 22:03:50,,
dujiakan,整租·长馨园 2室1厅 南/北,整租,长馨园,丰台区-杜家坎-长馨园,69.88,2室1厅,南/北,,3450,49.4,,,https://bj.lianjia.com/zufang/BJ2145775261721821184.html,2026-05-02 22:03:50,,
dujiakan,整租·东山坡三里 2室1厅 南/北,整租,东山坡三里,丰台区-杜家坎-东山坡三里,76.33,2室1厅,南/北,,3100,40.6,,,https://bj.lianjia.com/zufang/BJ2153533224561672192.html,2026-05-02 22:03:50,,
dujiakan,整租·花园北里 2室1厅 南/北,整租,花园北里,丰台区-杜家坎-花园北里,62.45,2室1厅,南/北,,2400,38.4,,,https://bj.lianjia.com/zufang/BJ2138496831674384384.html,2026-05-02 22:03:50,,
dujiakan,整租·中体奥林匹克花园三期 4室1厅 复式 南,整租,中体奥林匹克花园三期,丰台区-杜家坎-中体奥林匹克花园三期,250.63,4室1厅,,,10000,39.9,,,https://bj.lianjia.com/zufang/BJ2142822540182028288.html,2026-05-02 22:03:50,,
dujiakan,整租·珠光逸景二期 2室1厅 南/北,整租,珠光逸景二期,丰台区-杜家坎-珠光逸景二期,74.58,2室1厅,南/北,,3100,41.6,,,https://bj.lianjia.com/zufang/BJ2146182702460567552.html,2026-05-02 22:03:50,,
dujiakan,整租·中体奥林匹克花园一期 3室1厅 南/北,整租,中体奥林匹克花园一期,丰台区-杜家坎-中体奥林匹克花园一期,101.78,3室1厅,南/北,,4500,44.2,,,https://bj.lianjia.com/zufang/BJ2027946458497417216.html,2026-05-02 22:03:50,,
dujiakan,整租·长馨园 2室1厅 南,整租,长馨园,丰台区-杜家坎-长馨园,79.21,2室1厅,南,,3600,45.4,,,https://bj.lianjia.com/zufang/BJ2146871992442159104.html,2026-05-02 22:03:50,,
dujiakan,整租·九安家园 2室1厅 东,整租,九安家园,丰台区-杜家坎-九安家园,72.06,2室1厅,东,,3000,41.6,,,https://bj.lianjia.com/zufang/BJ2011684644721786880.html,2026-05-02 22:03:50,,
dujiakan,整租·杜家坎小区 3室1厅 南,整租,杜家坎小区,丰台区-杜家坎-杜家坎小区,74.61,3室1厅,南,,4000,53.6,,,https://bj.lianjia.com/zufang/BJ2157390386190876672.html,2026-05-02 22:03:50,,
dujiakan,整租·长馨园 2室1厅 南,整租,长馨园,丰台区-杜家坎-长馨园,69.70,2室1厅,南,,3500,50.2,,,https://bj.lianjia.com/zufang/BJ2152352749906296832.html,2026-05-02 22:03:50,,
dujiakan,整租·建设三里 2室1厅 南/北,整租,建设三里,丰台区-杜家坎-建设三里,70.00,2室1厅,南/北,,3000,42.9,,,https://bj.lianjia.com/zufang/BJ2066483481499664384.html,2026-05-02 22:03:50,,
dujiakan,整租·东山坡一里 2室1厅 南/北,整租,东山坡一里,丰台区-杜家坎-东山坡一里,56.20,2室1厅,南/北,,2400,42.7,,,https://bj.lianjia.com/zufang/BJ2160018522938277888.html,2026-05-02 22:03:50,,
dujiakan,整租·光明里 2室1厅 南/北,整租,光明里,丰台区-杜家坎-光明里,78.52,2室1厅,南/北,,2700,34.4,,,https://bj.lianjia.com/zufang/BJ2150984482302197760.html,2026-05-02 22:03:50,,
dujiakan,整租·崔村一里 3室1厅 南/北,整租,崔村一里,丰台区-杜家坎-崔村一里,54.90,3室1厅,南/北,,3000,54.6,,,https://bj.lianjia.com/zufang/BJ2100183535376662528.html,2026-05-02 22:03:50,,
dujiakan,整租·张郭庄小区 2室1厅 南/北,整租,张郭庄小区,丰台区-杜家坎-张郭庄小区,83.70,2室1厅,南/北,,3150,37.6,,,https://bj.lianjia.com/zufang/BJ1890324864007405568.html,2026-05-02 22:03:50,,
dujiakan,整租·东山坡三里 2室1厅 南,整租,东山坡三里,丰台区-杜家坎-东山坡三里,102.00,2室1厅,南,,3600,35.3,,,https://bj.lianjia.com/zufang/BJ2123705291303288832.html,2026-05-02 22:03:50,,
dujiakan,整租·卢西嘉园 2室1厅 南/北,整租,卢西嘉园,丰台区-杜家坎-卢西嘉园,78.63,2室1厅,南/北,,3100,39.4,,,https://bj.lianjia.com/zufang/BJ2152020491257249792.html,2026-05-02 22:03:50,,
dujiakan,整租·建设二里 2室1厅 南/北,整租,建设二里,丰台区-杜家坎-建设二里,62.76,2室1厅,南/北,,2300,36.6,,,https://bj.lianjia.com/zufang/BJ2143198012342534144.html,2026-05-02 22:03:50,,
dujiakan,整租·九安家园 3室1厅 南/北,整租,九安家园,丰台区-杜家坎-九安家园,94.00,3室1厅,南/北,,3600,38.3,,,https://bj.lianjia.com/zufang/BJ2149447612246261760.html,2026-05-02 22:03:50,,
dujiakan,整租·崔村一里 2室1厅 南,整租,崔村一里,丰台区-杜家坎-崔村一里,84.00,2室1厅,南,,3200,38.1,,,https://bj.lianjia.com/zufang/BJ2139666193538088960.html,2026-05-02 22:03:50,,
dujiakan,整租·九安家园 2室1厅 南/北,整租,九安家园,丰台区-杜家坎-九安家园,70.22,2室1厅,南/北,,2800,39.9,,,https://bj.lianjia.com/zufang/BJ2019410213244764160.html,2026-05-02 22:03:50,,
dujiakan,整租·玉皇庄小区 2室1厅 南/北,整租,玉皇庄小区,丰台区-杜家坎-玉皇庄小区,66.49,2室1厅,南/北,,2600,39.1,,,https://bj.lianjia.com/zufang/BJ2077991832943329280.html,2026-05-02 22:03:50,,
dujiakan,整租·玉皇庄小区 2室1厅 南/北,整租,玉皇庄小区,丰台区-杜家坎-玉皇庄小区,66.49,2室1厅,南/北,,2900,43.6,,,https://bj.lianjia.com/zufang/BJ2027575004287205376.html,2026-05-02 22:03:50,,
dujiakan,整租·九安家园 2室1厅 南,整租,九安家园,丰台区-杜家坎-九安家园,65.44,2室1厅,南,,3000,45.8,,,https://bj.lianjia.com/zufang/BJ2013486536170930176.html,2026-05-02 22:03:50,,
dujiakan,整租·永兴里 1室1厅 南/北,整租,永兴里,丰台区-杜家坎-永兴里,59.21,1室1厅,南/北,,1500,25.3,,,https://bj.lianjia.com/zufang/BJ2122242862564245504.html,2026-05-02 22:03:50,,
dujiakan,整租·长馨园 2室1厅 南/北,整租,长馨园,丰台区-杜家坎-长馨园,70.69,2室1厅,南/北,,3500,49.5,,,https://bj.lianjia.com/zufang/BJ1827695071768608768.html,2026-05-02 22:03:50,,
