region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
fengcun,整租·润西山苑 4室2厅 南/北,整租,润西山苑,门头沟区-冯村-润西山苑,174.00,4室2厅,南/北,,8000,46.0,,,https://bj.lianjia.com/zufang/BJ2132394944189431808.html,2026-05-02 23:17:12,,
fengcun,整租·北京城建上悦居 2室1厅 南,整租,北京城建上悦居,门头沟区-冯村-北京城建上悦居,74.07,2室1厅,南,,3800,51.3,,,https://bj.lianjia.com/zufang/BJ2144381805346684928.html,2026-05-02 23:17:12,,
fengcun,整租·中建·长安麓府 4室2厅 南/北,整租,中建·长安麓府,门头沟区-冯村-中建,139.00,4室2厅,南/北,,7300,52.5,,,https://bj.lianjia.com/zufang/BJ2157796926890704896.html,2026-05-02 23:17:12,,
fengcun,整租·四季怡园南区 3室1厅 东南,整租,四季怡园南区,门头沟区-冯村-四季怡园南区,89.00,3室1厅,东南,,3500,39.3,,,https://bj.lianjia.com/zufang/BJ2097298606171095040.html,2026-05-02 23:17:12,,
fengcun,整租·北京城建上悦居 3室1厅 南/北,整租,北京城建上悦居,门头沟区-冯村-北京城建上悦居,89.84,3室1厅,南/北,,3800,42.3,,,https://bj.lianjia.com/zufang/BJ2151661026691514368.html,2026-05-02 23:17:12,,
fengcun,整租·四季怡园南区 2室1厅 西,整租,四季怡园南区,门头沟区-冯村-四季怡园南区,70.40,2室1厅,西,,3482,49.5,,,https://bj.lianjia.com/zufang/BJ1885623517643276288.html,2026-05-02 23:17:12,,
fengcun,整租·丽景长安二期 4室1厅 南/北,整租,丽景长安二期,门头沟区-冯村-丽景长安二期,155.00,4室1厅,南/北,,8200,52.9,,,https://bj.lianjia.com/zufang/BJ2058155991991582720.html,2026-05-02 23:17:12,,
fengcun,整租·丽景长安二期 4室2厅 南/北,整租,丽景长安二期,门头沟区-冯村-丽景长安二期,155.27,4室2厅,南/北,,7800,50.2,,,https://bj.lianjia.com/zufang/BJ2155211853624508416.html,2026-05-02 23:17:12,,
fengcun,整租·四季怡园北区 3室1厅 南/北,整租,四季怡园北区,门头沟区-冯村-四季怡园北区,89.71,3室1厅,南/北,,3800,42.4,,,https://bj.lianjia.com/zufang/BJ2149753387535564800.html,2026-05-02 23:17:12,,
fengcun,整租·四季怡园南区 3室1厅 东/南,整租,四季怡园南区,门头沟区-冯村-四季怡园南区,88.00,3室1厅,东/南,,3800,43.2,,,https://bj.lianjia.com/zufang/BJ2154154102320267264.html,2026-05-02 23:17:12,,
