region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
fengtaiqita1,整租·燕西华府 5室3厅 南/北,整租,燕西华府,丰台区-丰台其它-燕西华府,248.53,5室3厅,南/北,,14400,57.9,,,https://bj.lianjia.com/zufang/BJ2082333540149624832.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·红山郡 3室1厅 南/北,整租,红山郡,丰台区-丰台其它-红山郡,86.00,3室1厅,南/北,,3900,45.3,,,https://bj.lianjia.com/zufang/BJ2155663015058341888.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·万科雲庐 5室2厅 南/北,整租,万科雲庐,丰台区-丰台其它-万科雲庐,195.66,5室2厅,南/北,,13000,66.4,,,https://bj.lianjia.com/zufang/BJ2152402259957252096.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·珠江御景 4室2厅 南/北,整租,珠江御景,丰台区-丰台其它-珠江御景,160.05,4室2厅,南/北,,5500,34.4,,,https://bj.lianjia.com/zufang/BJ2128071504372432896.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·园博派 2房间 南,整租,园博派 2房间 南,丰台区-丰台其它-园博派,48.60,,,,3150,64.8,,,https://bj.lianjia.com/zufang/BJ2094052183145185280.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,独栋·青柚•公寓 张郭庄店 园博园，明窗，可养宠物，复式，地暖 1室1厅,独栋,青柚•公寓 张郭庄店 园博园，明窗，可养宠物，复式，地暖,,25.00,1室1厅,,,2100,84.0,,,https://bj.lianjia.com/apartment/101135.html,2026-05-02 22:03:58,40.64591,117.26197
fengtaiqita1,整租·燕西华府 6室1厅 复式 南/北,整租,燕西华府,丰台区-丰台其它-燕西华府,370.73,6室1厅,,,15000,40.5,,,https://bj.lianjia.com/zufang/BJ2040719192272928768.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·燕西华府 6室3厅 复式 东,整租,燕西华府,丰台区-丰台其它-燕西华府,356.43,6室3厅,,,18000,50.5,,,https://bj.lianjia.com/zufang/BJ2112113904464166912.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·翡翠西湖二期 3室1厅 东/西,整租,翡翠西湖二期,丰台区-丰台其它-翡翠西湖二期,86.79,3室1厅,东/西,,3800,43.8,,,https://bj.lianjia.com/zufang/BJ1781684298189897728.html,2026-05-02 22:03:58,39.792116,116.094138
fengtaiqita1,整租·山语城一区 3室2厅 南/北,整租,山语城一区,丰台区-丰台其它-山语城一区,138.10,3室2厅,南/北,,5500,39.8,,,https://bj.lianjia.com/zufang/BJ2117537613437992960.html,2026-05-02 22:03:58,39.809706,116.134368
fengtaiqita1,整租·西山甲一号 2室1厅 南/北,整租,西山甲一号,丰台区-丰台其它-西山甲一号,74.80,2室1厅,南/北,,4500,60.2,,,https://bj.lianjia.com/zufang/BJ2149833216335282176.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·璟博苑 2室1厅 南,整租,璟博苑,丰台区-丰台其它-璟博苑,68.00,2室1厅,南,,3200,47.1,,,https://bj.lianjia.com/zufang/BJ1767929420875563008.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·燕西华府 2室1厅 南/北,整租,燕西华府,丰台区-丰台其它-燕西华府,82.56,2室1厅,南/北,,3380,40.9,,,https://bj.lianjia.com/zufang/BJ2100817297093427200.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·西山甲一号 4室2厅 复式 南/北,整租,西山甲一号,丰台区-丰台其它-西山甲一号,118.18,4室2厅,,,8100,68.5,,,https://bj.lianjia.com/zufang/BJ2143557871546138624.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·聚源阳光新城 2室1厅 南/北,整租,聚源阳光新城,丰台区-丰台其它-聚源阳光新城,75.58,2室1厅,南/北,,2625,34.7,,,https://bj.lianjia.com/zufang/BJ2012523443391561728.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·西山甲一号时代中心 2房间 南,整租,西山甲一号时代中心 2房间 南,丰台区-丰台其它-西山甲一号时代中心,40.19,,,,3500,87.1,,,https://bj.lianjia.com/zufang/BJ2145069557427994624.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·西山甲一号 4室1厅 南/北,整租,西山甲一号,丰台区-丰台其它-西山甲一号,142.17,4室1厅,南/北,,8800,61.9,,,https://bj.lianjia.com/zufang/BJ2138669258823958528.html,2026-05-02 22:03:58,39.85336,116.39287
fengtaiqita1,整租·燕西华府 2室1厅 南,整租,燕西华府,丰台区-丰台其它-燕西华府,88.71,2室1厅,南,,3000,33.8,,,https://bj.lianjia.com/zufang/BJ2157100956909568000.html,2026-05-02 22:03:58,39.85336,116.39287
