region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
ganjiakou,整租·钓鱼台7号院 3室2厅 南/西/北,整租,钓鱼台7号院,海淀区-甘家口-钓鱼台,350.00,3室2厅,南/西/北,,120000,342.9,,,https://bj.lianjia.com/zufang/BJ2103808962112520192.html,2026-05-02 21:30:33,,
ganjiakou,整租·景王坟 1室1厅 西北/北,整租,景王坟,海淀区-甘家口-景王坟,38.32,1室1厅,西北/北,,5200,135.7,,,https://bj.lianjia.com/zufang/BJ2028838711533240320.html,2026-05-02 21:30:58,,
ganjiakou,整租·钓鱼台7号院 3室3厅 东/南/北,整租,钓鱼台7号院,海淀区-甘家口-钓鱼台,360.00,3室3厅,东/南/北,,130000,361.1,,,https://bj.lianjia.com/zufang/BJ1938799174858309632.html,2026-05-02 21:30:33,,
ganjiakou,整租·增光路36号院 2室1厅 东/西,整租,增光路36号院,海淀区-甘家口-增光路,83.98,2室1厅,东/西,,7800,92.9,,,https://bj.lianjia.com/zufang/BJ2154215244392562688.html,2026-05-02 21:30:33,,
ganjiakou,整租·水科院北小区 3室1厅 南/北,整租,水科院北小区,海淀区-甘家口-水科院北小区,58.80,3室1厅,南/北,,7500,127.6,,,https://bj.lianjia.com/zufang/BJ2143905857354596352.html,2026-05-02 21:30:58,,
ganjiakou,独栋·云逸青年社区（北京） 新苑街店 直租 0中介 6/9号线白石桥南国家图书馆 中国电工大厦 1室1厅,独栋,云逸青年社区（北京） 新苑街店 直租 0中介 6/9号线白石桥南国家图书馆 中国电工大厦,,25.00,1室1厅,,,5200,208.0,,,https://bj.lianjia.com/apartment/103606.html,2026-05-02 21:30:36,,
ganjiakou,整租·甘家口小区 2室1厅 东/西,整租,甘家口小区,海淀区-甘家口-甘家口小区,68.64,2室1厅,东/西,,6900,100.5,,,https://bj.lianjia.com/zufang/BJ2155531777966342144.html,2026-05-02 21:30:33,,
ganjiakou,整租·增光路甲34号 3室2厅 南/北,整租,增光路甲34号,海淀区-甘家口-增光路甲,77.89,3室2厅,南/北,,8800,113.0,,,https://bj.lianjia.com/zufang/BJ2157366678147563520.html,2026-05-02 21:30:33,,
ganjiakou,整租·甘家口8号院 2室1厅 东北,整租,甘家口8号院,海淀区-甘家口-甘家口,55.70,2室1厅,东北,,5600,100.5,,,https://bj.lianjia.com/zufang/BJ1844719337735192576.html,2026-05-02 21:30:55,,
ganjiakou,整租·增光路甲34号 3室1厅 南/北,整租,增光路甲34号,海淀区-甘家口-增光路甲,72.00,3室1厅,南/北,,9000,125.0,,,https://bj.lianjia.com/zufang/BJ2155685541310365696.html,2026-05-02 21:30:33,,
ganjiakou,整租·甘家口小区 1室1厅 东,整租,甘家口小区,海淀区-甘家口-甘家口小区,43.80,1室1厅,东,,5500,125.6,,,https://bj.lianjia.com/zufang/BJ2145092901468635136.html,2026-05-02 21:30:33,,
ganjiakou,整租·西三环北路82号院 2室1厅 南/北,整租,西三环北路82号院,海淀区-甘家口-西三环北路,57.30,2室1厅,南/北,,6120,106.8,,,https://bj.lianjia.com/zufang/BJ1896964433960239104.html,2026-05-02 21:30:55,,
ganjiakou,整租·工商大学家属院 3室1厅 南/北,整租,工商大学家属院,海淀区-甘家口-工商大学家属院,65.27,3室1厅,南/北,,7300,111.8,,,https://bj.lianjia.com/zufang/BJ2137852862686822400.html,2026-05-02 21:30:33,,
ganjiakou,整租·后白堆子 1室1厅 南,整租,后白堆子,海淀区-甘家口-后白堆子,41.10,1室1厅,南,,4700,114.4,,,https://bj.lianjia.com/zufang/BJ2149702336140804096.html,2026-05-02 21:30:33,,
ganjiakou,整租·高第小区 2室1厅 南/北,整租,高第小区,海淀区-甘家口-高第小区,58.50,2室1厅,南/北,,6400,109.4,,,https://bj.lianjia.com/zufang/BJ2145905460710998016.html,2026-05-02 21:30:58,,
ganjiakou,整租·建设部大院 2室2厅 南/北,整租,建设部大院,海淀区-甘家口-建设部大院,110.00,2室2厅,南/北,,8900,80.9,,,https://bj.lianjia.com/zufang/BJ2052036621993246720.html,2026-05-02 21:30:33,,
ganjiakou,整租·国兴家园 3室1厅 东,整租,国兴家园,海淀区-甘家口-国兴家园,154.78,3室1厅,东,,21000,135.7,,,https://bj.lianjia.com/zufang/BJ2147585850668482560.html,2026-05-02 21:30:33,,
ganjiakou,整租·中纺宿舍北院 3室2厅 南/北,整租,中纺宿舍北院,海淀区-甘家口-中纺宿舍北院,107.12,3室2厅,南/北,,11000,102.7,,,https://bj.lianjia.com/zufang/BJ2141418028724649984.html,2026-05-02 21:30:58,,
ganjiakou,整租·中海馥园 2室1厅 南/北,整租,中海馥园,海淀区-甘家口-中海馥园,97.49,2室1厅,南/北,,13500,138.5,,,https://bj.lianjia.com/zufang/BJ2151289135938142208.html,2026-05-02 21:30:33,,
ganjiakou,整租·劳动关系学院 2室1厅 南/北,整租,劳动关系学院,海淀区-甘家口-劳动关系学院,63.50,2室1厅,南/北,,6300,99.2,,,https://bj.lianjia.com/zufang/BJ2150184486749339648.html,2026-05-02 21:30:52,,
ganjiakou,整租·三里河路5号院 2室1厅 南/北,整租,三里河路5号院,海淀区-甘家口-三里河路,60.55,2室1厅,南/北,,6000,99.1,,,https://bj.lianjia.com/zufang/BJ1968945351083687936.html,2026-05-02 21:30:55,,
ganjiakou,整租·西三环北路86号院 2室1厅 东/南,整租,西三环北路86号院,海淀区-甘家口-西三环北路,62.00,2室1厅,东/南,,6600,106.5,,,https://bj.lianjia.com/zufang/BJ2141771104560087040.html,2026-05-02 21:30:52,,
ganjiakou,整租·建设部大院 2室1厅 东/北,整租,建设部大院,海淀区-甘家口-建设部大院,62.00,2室1厅,东/北,,8900,143.5,,,https://bj.lianjia.com/zufang/BJ2158127113687793664.html,2026-05-02 21:30:33,,
ganjiakou,整租·增光佳苑 1室1厅 西/北,整租,增光佳苑,海淀区-甘家口-增光佳苑,71.54,1室1厅,西/北,,8610,120.4,,,https://bj.lianjia.com/zufang/BJ2025603404721553408.html,2026-05-02 21:30:55,,
ganjiakou,整租·建设部大院 2室1厅 东/西,整租,建设部大院,海淀区-甘家口-建设部大院,52.30,2室1厅,东/西,,7500,143.4,,,https://bj.lianjia.com/zufang/BJ2159672423941668864.html,2026-05-02 21:30:33,,
ganjiakou,整租·甘家口小区 1室1厅 东,整租,甘家口小区,海淀区-甘家口-甘家口小区,53.11,1室1厅,东,,6000,113.0,,,https://bj.lianjia.com/zufang/BJ2021789335212261376.html,2026-05-02 21:30:55,,
ganjiakou,整租·机械研究院东区 2室1厅 南/西,整租,机械研究院东区,海淀区-甘家口-机械研究院东区,73.24,2室1厅,南/西,,8500,116.1,,,https://bj.lianjia.com/zufang/BJ2151648534833659904.html,2026-05-02 21:30:36,,
