region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
ganquanyichuan,整租·金原新苑 2室1厅 南,整租,金原新苑,普陀-甘泉宜川-金原新苑,88.51,2室1厅,南,,5200,58.8,,,https://sh.lianjia.com/zufang/SH2147346604183519232.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·延长小区(普陀) 1室1厅 南,整租,延长小区(普陀),普陀-甘泉宜川-延长小区(普陀),32.74,1室1厅,南,,3800,116.1,,,https://sh.lianjia.com/zufang/SH2153109665024573440.html,2026-04-23 15:27:20,31.26843,121.43663
ganquanyichuan,整租·龚家宅 1室1厅 南,整租,龚家宅,普陀-甘泉宜川-龚家宅,38.27,1室1厅,南,,3900,101.9,,,https://sh.lianjia.com/zufang/SH2027976642269282304.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,独栋·百航公寓 沪太路店 近同济医院/1室户/超大窗/可做饭/可付1/无中介费 开间,独栋,百航公寓 沪太路店,,38.00,,,,2899,76.3,,,https://sh.lianjia.com/apartment/86787.html,2026-04-23 15:27:20,39.648486,116.654128
ganquanyichuan,整租·和丰苑 1室1厅 南,整租,和丰苑,普陀-甘泉宜川-和丰苑,44.35,1室1厅,南,,5460,123.1,,,https://sh.lianjia.com/zufang/SH2022297042583289856.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,独栋·橙子公寓 甘泉一村店 十分钟到同济医院，柯短租，可办居住证提取公积金105 开间,独栋,橙子公寓 甘泉一村店,,16.00,,,,2800,175.0,,,https://sh.lianjia.com/apartment/1799.html,2026-04-23 15:27:20,39.930506,116.448838
ganquanyichuan,整租·龚家宅 2室1厅 南,整租,龚家宅,普陀-甘泉宜川-龚家宅,66.80,2室1厅,南,,4500,67.4,,,https://sh.lianjia.com/zufang/SH2146234924498157568.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·嘉华苑(普陀) 2室2厅 南,整租,嘉华苑(普陀),普陀-甘泉宜川-嘉华苑(普陀),99.63,2室2厅,南,,8000,80.3,,,https://sh.lianjia.com/zufang/SH2153099212512821248.html,2026-04-23 15:27:20,31.26436,121.4329
ganquanyichuan,整租·平利路38弄 1室1厅 南,整租,平利路38弄,普陀-甘泉宜川-平利路,55.27,1室1厅,南,,4000,72.4,,,https://sh.lianjia.com/zufang/SH2150085682708611072.html,2026-04-23 15:28:45,31.27109,121.42489
ganquanyichuan,独栋·橙子公寓 甘泉店 近同济医院10分钟路程，支持短租，拎包入住，阳光大窗8203 开间,独栋,橙子公寓 甘泉店,,18.00,,,,2800,155.6,,,https://sh.lianjia.com/apartment/26010.html,2026-04-23 15:27:20,39.930506,116.448838
ganquanyichuan,整租·龚家宅 1室1厅 南,整租,龚家宅,普陀-甘泉宜川-龚家宅,42.01,1室1厅,南,,4200,100.0,,,https://sh.lianjia.com/zufang/SH2155320551701217280.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·新黄小区 1室1厅 南,整租,新黄小区,普陀-甘泉宜川-新黄小区,50.00,1室1厅,南,,4935,98.7,,,https://sh.lianjia.com/zufang/SH2055926176869777408.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,独栋·橙子公寓 志丹路店 超值阳光外窗精装一室户 开间,独栋,橙子公寓 志丹路店,,20.00,,,,3680,184.0,,,https://sh.lianjia.com/apartment/1891.html,2026-04-23 15:27:20,39.930506,116.448838
ganquanyichuan,整租·甘泉一村 1室1厅 南,整租,甘泉一村,普陀-甘泉宜川-甘泉一村,29.67,1室1厅,南,,3150,106.2,,,https://sh.lianjia.com/zufang/SH2141446714425344000.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·金原新苑 2室1厅 南/北,整租,金原新苑,普陀-甘泉宜川-金原新苑,82.03,2室1厅,南/北,,6500,79.2,,,https://sh.lianjia.com/zufang/SH2152357090398568448.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·智荟苑 3室2厅 南,整租,智荟苑,普陀-甘泉宜川-智荟苑,135.22,3室2厅,南,,11600,85.8,,,https://sh.lianjia.com/zufang/SH2114224592665968640.html,2026-04-23 15:27:20,31.26436,121.4329
ganquanyichuan,整租·和丰苑 2室1厅 南/北,整租,和丰苑,普陀-甘泉宜川-和丰苑,65.16,2室1厅,南/北,,7600,116.6,,,https://sh.lianjia.com/zufang/SH2021256231187906560.html,2026-04-23 15:29:37,31.26436,121.4329
ganquanyichuan,整租·新村路350弄 1室1厅 南,整租,新村路350弄,普陀-甘泉宜川-新村路,48.15,1室1厅,南,,4500,93.5,,,https://sh.lianjia.com/zufang/SH2119008767365349376.html,2026-04-23 15:27:20,31.267107,121.428542
ganquanyichuan,整租·和丰苑 1室1厅 南,整租,和丰苑,普陀-甘泉宜川-和丰苑,43.00,1室1厅,南,,5000,116.3,,,https://sh.lianjia.com/zufang/SH1899336737826537472.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·宜川一村 1室0厅 南,整租,宜川一村,普陀-甘泉宜川-宜川一村,28.12,1室0厅,南,,3560,126.6,,,https://sh.lianjia.com/zufang/SH2054824869723373568.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·华延公寓 2室2厅 南,整租,华延公寓,普陀-甘泉宜川-华延公寓,97.50,2室2厅,南,,6300,64.6,,,https://sh.lianjia.com/zufang/SH2140314417475092480.html,2026-04-23 15:27:20,31.26436,121.4329
ganquanyichuan,整租·银都佳园 2室1厅 南,整租,银都佳园,普陀-甘泉宜川-银都佳园,90.26,2室1厅,南,,6800,75.3,,,https://sh.lianjia.com/zufang/SH2154810419460440064.html,2026-04-23 15:27:20,31.26436,121.4329
ganquanyichuan,整租·合阳小区 2室1厅 南,整租,合阳小区,普陀-甘泉宜川-合阳小区,71.88,2室1厅,南,,5800,80.7,,,https://sh.lianjia.com/zufang/SH2126538232173690880.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·平江盛世家园 2室1厅 北,整租,平江盛世家园,普陀-甘泉宜川-平江盛世家园,61.34,2室1厅,北,,5500,89.7,,,https://sh.lianjia.com/zufang/SH2142921443497738240.html,2026-04-23 15:27:20,31.26436,121.4329
ganquanyichuan,整租·合阳小区 1室1厅 南,整租,合阳小区,普陀-甘泉宜川-合阳小区,34.17,1室1厅,南,,3650,106.8,,,https://sh.lianjia.com/zufang/SH1737755649770520576.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·甘泉一村 1室1厅 南,整租,甘泉一村,普陀-甘泉宜川-甘泉一村,41.01,1室1厅,南,,3800,92.7,,,https://sh.lianjia.com/zufang/SH1903724996396580864.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·汪家井小区 1室1厅 南,整租,汪家井小区,普陀-甘泉宜川-汪家井小区,35.38,1室1厅,南,,3841,108.6,,,https://sh.lianjia.com/zufang/SH2074730333680435200.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·章家巷小区 1室1厅 南/北,整租,章家巷小区,普陀-甘泉宜川-章家巷小区,40.00,1室1厅,南/北,,4200,105.0,,,https://sh.lianjia.com/zufang/SH1695053023916589056.html,2026-04-23 15:28:42,31.26314,121.42875
ganquanyichuan,整租·龚家宅 1室1厅 南,整租,龚家宅,普陀-甘泉宜川-龚家宅,44.95,1室1厅,南,,4229,94.1,,,https://sh.lianjia.com/zufang/SH2020844361595486208.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·宜川三村 1室0厅 北,整租,宜川三村,普陀-甘泉宜川-宜川三村,30.00,1室0厅,北,,3100,103.3,,,https://sh.lianjia.com/zufang/SH1747944880832774144.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·和丰苑 2室1厅 南/北,整租,和丰苑,普陀-甘泉宜川-和丰苑,66.41,2室1厅,南/北,,7500,112.9,,,https://sh.lianjia.com/zufang/SH2154130357757149184.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·西部大楼 2室1厅 西南,整租,西部大楼,普陀-甘泉宜川-西部大楼,76.98,2室1厅,西南,,5950,77.3,,,https://sh.lianjia.com/zufang/SH2022959785875341312.html,2026-04-23 15:29:37,31.26436,121.4329
ganquanyichuan,整租·和丰苑 1室1厅 南,整租,和丰苑,普陀-甘泉宜川-和丰苑,42.54,1室1厅,南,,5230,122.9,,,https://sh.lianjia.com/zufang/SH1979576276301643776.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·新宜小区 1室1厅 南,整租,新宜小区,普陀-甘泉宜川-新宜小区,39.81,1室1厅,南,,3850,96.7,,,https://sh.lianjia.com/zufang/SH1741379369898606592.html,2026-04-23 15:28:42,31.26436,121.4329
ganquanyichuan,整租·双山小区 1室1厅 南,整租,双山小区,普陀-甘泉宜川-双山小区,53.41,1室1厅,南,,4560,85.4,,,https://sh.lianjia.com/zufang/SH1829905828128227328.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·宜川六村 1室1厅 南/北,整租,宜川六村,普陀-甘泉宜川-宜川六村,39.00,1室1厅,南/北,,3700,94.9,,,https://sh.lianjia.com/zufang/SH1773936951796170752.html,2026-04-23 15:28:42,31.26436,121.4329
ganquanyichuan,整租·宜川四村 1室1厅 南,整租,宜川四村,普陀-甘泉宜川-宜川四村,34.71,1室1厅,南,,3930,113.2,,,https://sh.lianjia.com/zufang/SH1866724488297578496.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·龚家宅 1室1厅 南,整租,龚家宅,普陀-甘泉宜川-龚家宅,40.00,1室1厅,南,,3650,91.2,,,https://sh.lianjia.com/zufang/SH1751217117497131008.html,2026-04-23 15:28:45,31.26436,121.4329
ganquanyichuan,整租·平江盛世家园 2室1厅 北,整租,平江盛世家园,普陀-甘泉宜川-平江盛世家园,61.34,2室1厅,北,,5730,93.4,,,https://sh.lianjia.com/zufang/SH1794733632133267456.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·章家巷小区 1室1厅 南,整租,章家巷小区,普陀-甘泉宜川-章家巷小区,42.00,1室1厅,南,,4000,95.2,,,https://sh.lianjia.com/zufang/SH1745759249939562496.html,2026-04-23 15:28:42,31.26314,121.42875
ganquanyichuan,整租·平江盛世家园 3室1厅 南,整租,平江盛世家园,普陀-甘泉宜川-平江盛世家园,91.81,3室1厅,南,,8500,92.6,,,https://sh.lianjia.com/zufang/SH2156294476618792960.html,2026-04-23 15:27:24,31.26436,121.4329
ganquanyichuan,整租·长新小区(普陀) 1室1厅 南,整租,长新小区(普陀),普陀-甘泉宜川-长新小区(普陀),39.88,1室1厅,南,,4390,110.1,,,https://sh.lianjia.com/zufang/SH1802594830170193920.html,2026-04-23 15:27:24,31.2696,121.429
ganquanyichuan,整租·甘泉苑 2室1厅 南,整租,甘泉苑,普陀-甘泉宜川-甘泉苑,59.85,2室1厅,南,,5090,85.0,,,https://sh.lianjia.com/zufang/SH1692414157455884288.html,2026-04-23 15:28:42,31.26436,121.4329
