region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
gaomidian,整租·泰中花园 2室1厅 东/西/北,整租,泰中花园,大兴区-高米店-泰中花园,108.00,2室1厅,东/西/北,,4200,38.9,,,https://bj.lianjia.com/zufang/BJ2148605316936237056.html,2026-05-02 22:04:03,,
gaomidian,整租·那尔水晶城 4室2厅 南/北,整租,那尔水晶城,大兴区-高米店-那尔水晶城,223.43,4室2厅,南/北,,8350,37.4,,,https://bj.lianjia.com/zufang/BJ2152675232249282560.html,2026-05-02 22:05:41,,
gaomidian,整租·原生墅 4室2厅 南/北,整租,原生墅,大兴区-高米店-原生墅,192.35,4室2厅,南/北,,9000,46.8,,,https://bj.lianjia.com/zufang/BJ2053418358694477824.html,2026-05-02 22:04:03,,
gaomidian,整租·首邑溪谷 3室1厅 西南,整租,首邑溪谷,大兴区-高米店-首邑溪谷,90.25,3室1厅,西南,,4700,52.1,,,https://bj.lianjia.com/zufang/BJ2078754708847067136.html,2026-05-02 22:04:03,,
gaomidian,整租·双高花园 3室1厅 南/北,整租,双高花园,大兴区-高米店-双高花园,125.03,3室1厅,南/北,,5300,42.4,,,https://bj.lianjia.com/zufang/BJ2146594084066689024.html,2026-05-02 22:05:31,,
gaomidian,独栋·蜂客公寓 西红门星光店 【全明开阔开间】荟聚附近+ 品牌家具家电+智能门锁+24小时管家服务+租期灵活+性价比首选 开间,独栋,蜂客公寓 西红门星光店 【全明开阔开间】荟聚附近+ 品牌家具家电+智能门锁+24小时管家服务+租期灵活+性价比首选 开间,,40.00,,,,2600,65.0,,,https://bj.lianjia.com/apartment/36109.html,2026-05-02 22:04:17,,
gaomidian,整租·新里西斯莱公馆 4室2厅 南/北,整租,新里西斯莱公馆,大兴区-高米店-新里西斯莱公馆,186.40,4室2厅,南/北,,9500,51.0,,,https://bj.lianjia.com/zufang/BJ2149392841221079040.html,2026-05-02 22:04:03,,
gaomidian,整租·原生墅 3室2厅 南/北,整租,原生墅,大兴区-高米店-原生墅,146.22,3室2厅,南/北,,6900,47.2,,,https://bj.lianjia.com/zufang/BJ2160974134069166080.html,2026-05-02 22:05:02,,
gaomidian,整租·康盛园 3室1厅 南/北,整租,康盛园,大兴区-高米店-康盛园,93.67,3室1厅,南/北,,4500,48.0,,,https://bj.lianjia.com/zufang/BJ2142184518457491456.html,2026-05-02 22:04:03,,
gaomidian,整租·天恒世界集 3房间 东,整租,天恒世界集 3房间 东,大兴区-高米店-天恒世界集,81.02,,,,4600,56.8,,,https://bj.lianjia.com/zufang/BJ2157685801004040192.html,2026-05-02 22:05:18,,
gaomidian,整租·兴创屹墅 5室2厅 南,整租,兴创屹墅,大兴区-高米店-兴创屹墅,302.56,5室2厅,南,,30000,99.2,,,https://bj.lianjia.com/zufang/BJ2114626879095832576.html,2026-05-02 22:04:29,,
gaomidian,整租·保利茉莉公馆 3室1厅 南/北,整租,保利茉莉公馆,大兴区-高米店-保利茉莉公馆,89.87,3室1厅,南/北,,6200,69.0,,,https://bj.lianjia.com/zufang/BJ2146173624183160832.html,2026-05-02 22:05:31,,
gaomidian,整租·翡翠城一期 3室2厅 南/北,整租,翡翠城一期,大兴区-高米店-翡翠城一期,186.96,3室2厅,南/北,,9000,48.1,,,https://bj.lianjia.com/zufang/BJ2154063687420215296.html,2026-05-02 22:04:26,,
