region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
guanganmen,整租·红山世家 1房间 东,整租,红山世家 1房间 东,西城区-广安门-红山世家,46.03,,,,4900,106.5,,,https://bj.lianjia.com/zufang/BJ2140752331166187520.html,2026-05-02 20:15:26,,
guanganmen,整租·京铁和园 2室1厅 西南/西,整租,京铁和园,西城区-广安门-京铁和园,69.66,2室1厅,西南/西,,7200,103.4,,,https://bj.lianjia.com/zufang/BJ2144025329470013440.html,2026-05-02 20:16:16,,
guanganmen,整租·远见国际公寓 1室0厅 西,整租,远见国际公寓,西城区-广安门-远见国际公寓,48.26,1室0厅,西,,4800,99.5,,,https://bj.lianjia.com/zufang/BJ2148013467712356352.html,2026-05-02 20:15:06,,
guanganmen,整租·远见名苑 3室1厅 东,整租,远见名苑,西城区-广安门-远见名苑,92.00,3室1厅,东,,9200,100.0,,,https://bj.lianjia.com/zufang/BJ2149751997111205888.html,2026-05-02 20:15:06,,
guanganmen,整租·京铁和园 2室1厅 东,整租,京铁和园,西城区-广安门-京铁和园,70.00,2室1厅,东,,7200,102.9,,,https://bj.lianjia.com/zufang/BJ2145030427641905152.html,2026-05-02 20:16:16,,
guanganmen,独栋·云逸青年社区（北京） 小红庙店 直租0中介小红庙 近16/7号线 红莲南路西城区通勤首选 1室1厅,独栋,云逸青年社区（北京） 小红庙店 直租0中介小红庙 近16/7号线 红莲南路西城区通勤首选,,26.00,1室1厅,,,3000,115.4,,,https://bj.lianjia.com/apartment/101065.html,2026-05-02 20:15:09,,
guanganmen,整租·小红庙南里 2室1厅 东/西,整租,小红庙南里,西城区-广安门-小红庙南里,60.48,2室1厅,东/西,,6500,107.5,,,https://bj.lianjia.com/zufang/BJ2152267781830082560.html,2026-05-02 20:15:29,,
guanganmen,整租·西豪逸景 2室1厅 东,整租,西豪逸景,西城区-广安门-西豪逸景,69.00,2室1厅,东,,7200,104.3,,,https://bj.lianjia.com/zufang/BJ2118258398343462912.html,2026-05-02 20:16:11,,
guanganmen,整租·荣丰2008 1室1厅 东,整租,荣丰2008,西城区-广安门-荣丰,36.89,1室1厅,东,,4500,122.0,,,https://bj.lianjia.com/zufang/BJ1886296692945321984.html,2026-05-02 20:16:24,,
guanganmen,整租·朗琴园 2室1厅 西北,整租,朗琴园,西城区-广安门-朗琴园,100.92,2室1厅,西北,,8800,87.2,,,https://bj.lianjia.com/zufang/BJ2116531838779392000.html,2026-05-02 20:15:06,,
guanganmen,整租·远见国际公寓 2室1厅 西,整租,远见国际公寓,西城区-广安门-远见国际公寓,84.00,2室1厅,西,,7500,89.3,,,https://bj.lianjia.com/zufang/BJ2144288548356882432.html,2026-05-02 20:15:29,,
guanganmen,整租·荣丰2008 1室0厅 南,整租,荣丰2008,西城区-广安门-荣丰,25.30,1室0厅,南,,3600,142.3,,,https://bj.lianjia.com/zufang/BJ2158579356459335680.html,2026-05-02 20:15:06,,
guanganmen,整租·恒昌花园 4室2厅 复式 西北,整租,恒昌花园,西城区-广安门-恒昌花园,220.49,4室2厅,,,16000,72.6,,,https://bj.lianjia.com/zufang/BJ2094713510901579776.html,2026-05-02 20:15:06,,
guanganmen,整租·车站西街15号院 3室1厅 东南/北,整租,车站西街15号院,西城区-广安门-车站西街,86.85,3室1厅,东南/北,,7900,91.0,,,https://bj.lianjia.com/zufang/BJ2157409881466863616.html,2026-05-02 20:15:06,,
guanganmen,整租·荣丰2008 1室0厅 北,整租,荣丰2008,西城区-广安门-荣丰,28.65,1室0厅,北,,3700,129.1,,,https://bj.lianjia.com/zufang/BJ2016088842066460672.html,2026-05-02 20:16:34,,
