region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
guangqumen,整租·冠城名敦道A区 1室0厅 东,整租,冠城名敦道A区,东城区-广渠门-冠城名敦道,68.19,1室0厅,东,,5300,77.7,,,https://bj.lianjia.com/zufang/BJ2159308156390342656.html,2026-05-02 20:01:43,39.890785,116.440467
guangqumen,整租·广渠家园 2室1厅 东,整租,广渠家园,东城区-广渠门-广渠家园,71.15,2室1厅,东,,5700,80.1,,,https://bj.lianjia.com/zufang/BJ2149166755501572096.html,2026-05-02 20:02:34,39.891536,116.442588
guangqumen,整租·冠城名敦道A区 1室0厅 东,整租,冠城名敦道A区,东城区-广渠门-冠城名敦道,68.00,1室0厅,东,,5300,77.9,,,https://bj.lianjia.com/zufang/BJ2153456931199516672.html,2026-05-02 20:01:43,39.890785,116.440467
guangqumen,整租·绿景苑 1室1厅 南,整租,绿景苑,东城区-广渠门-绿景苑,46.12,1室1厅,南,,4500,97.6,,,https://bj.lianjia.com/zufang/BJ2159325698500591616.html,2026-05-02 20:01:43,39.891382,116.42223
guangqumen,整租·绿景苑 1室0厅 北,整租,绿景苑,东城区-广渠门-绿景苑,35.76,1室0厅,北,,3500,97.9,,,https://bj.lianjia.com/zufang/BJ2154866120702558208.html,2026-05-02 20:02:34,39.891382,116.42223
guangqumen,整租·广渠家园 2室1厅 西,整租,广渠家园,东城区-广渠门-广渠家园,64.68,2室1厅,西,,6230,96.3,,,https://bj.lianjia.com/zufang/BJ1815263333037637632.html,2026-05-02 20:01:43,39.891536,116.442588
guangqumen,整租·绿景苑 3室2厅 南/西/北,整租,绿景苑,东城区-广渠门-绿景苑,134.03,3室2厅,南/西/北,,13000,97.0,,,https://bj.lianjia.com/zufang/BJ2139240351582388224.html,2026-05-02 20:02:01,39.891382,116.42223
guangqumen,整租·东环居苑 3室1厅 东/北,整租,东环居苑,东城区-广渠门-东环居苑,99.52,3室1厅,东/北,,9300,93.4,,,https://bj.lianjia.com/zufang/BJ2115810560980287488.html,2026-05-02 20:01:43,39.891064,116.439642
guangqumen,整租·广渠家园 1室1厅 西,整租,广渠家园,东城区-广渠门-广渠家园,51.27,1室1厅,西,,4800,93.6,,,https://bj.lianjia.com/zufang/BJ2150602726579372032.html,2026-05-02 20:01:43,39.891536,116.442588
guangqumen,整租·北京上舍 5室2厅 东/西,整租,北京上舍,东城区-广渠门-北京上舍,382.88,5室2厅,东/西,,33000,86.2,,,https://bj.lianjia.com/zufang/BJ2149708324663197696.html,2026-05-02 20:01:43,39.890736,116.429888
guangqumen,整租·东方财富 1室0厅 东,整租,东方财富,东城区-广渠门-东方财富,44.82,1室0厅,东,,4400,98.2,,,https://bj.lianjia.com/zufang/BJ2153512933391335424.html,2026-05-02 20:01:43,39.889254,116.422061
guangqumen,整租·金桥国际 1室1厅 东,整租,金桥国际,东城区-广渠门-金桥国际,63.35,1室1厅,东,,5600,88.4,,,https://bj.lianjia.com/zufang/BJ2153357605454479360.html,2026-05-02 20:02:34,39.891382,116.42223
guangqumen,整租·东方财富 1室0厅 东,整租,东方财富,东城区-广渠门-东方财富,45.29,1室0厅,东,,4200,92.7,,,https://bj.lianjia.com/zufang/BJ2152711555282632704.html,2026-05-02 20:01:43,39.889254,116.422061
guangqumen,整租·绿景苑 1室0厅 南,整租,绿景苑,东城区-广渠门-绿景苑,47.00,1室0厅,南,,4400,93.6,,,https://bj.lianjia.com/zufang/BJ2153102322744426496.html,2026-05-02 20:01:43,39.891382,116.42223
guangqumen,整租·金世纪嘉园 2室1厅 西南,整租,金世纪嘉园,东城区-广渠门-金世纪嘉园,66.01,2室1厅,西南,,5600,84.8,,,https://bj.lianjia.com/zufang/BJ2146835739294302208.html,2026-05-02 20:01:43,39.891382,116.42223
guangqumen,整租·东方财富 1室1厅 西,整租,东方财富,东城区-广渠门-东方财富,44.82,1室1厅,西,,4522,100.9,,,https://bj.lianjia.com/zufang/BJ1841427096975441920.html,2026-05-02 20:01:43,39.889254,116.422061
