region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
guloujiedao,整租·鸿泽园 3室1厅 南/北,整租,鸿泽园,密云区-鼓楼街道-鸿泽园,127.49,3室1厅,南/北,,1800,14.1,,,https://bj.lianjia.com/zufang/BJ2158553518011580416.html,2026-05-02 23:21:23,,
guloujiedao,整租·宾阳西里北区 2室1厅 南/北,整租,宾阳西里北区,密云区-鼓楼街道-宾阳西里北区,83.46,2室1厅,南/北,,1600,19.2,,,https://bj.lianjia.com/zufang/BJ2144293907670761472.html,2026-05-02 23:21:01,,
guloujiedao,整租·西源里 1室1厅 西北,整租,西源里,密云区-鼓楼街道-西源里,52.32,1室1厅,西北,,1800,34.4,,,https://bj.lianjia.com/zufang/BJ2157113367716691968.html,2026-05-02 23:21:01,,
guloujiedao,整租·保利花园C区 2室1厅 南/北,整租,保利花园C区,密云区-鼓楼街道-保利花园,90.00,2室1厅,南/北,,1700,18.9,,,https://bj.lianjia.com/zufang/BJ2138340250047479808.html,2026-05-02 23:21:01,,
guloujiedao,整租·蓝河湾 5室3厅 南/北,整租,蓝河湾,密云区-鼓楼街道-蓝河湾,232.12,5室3厅,南/北,,4500,19.4,,,https://bj.lianjia.com/zufang/BJ2129213579319050240.html,2026-05-02 23:21:01,,
guloujiedao,整租·保利花园C区 2室1厅 南/北,整租,保利花园C区,密云区-鼓楼街道-保利花园,89.99,2室1厅,南/北,,2000,22.2,,,https://bj.lianjia.com/zufang/BJ2154449021249257472.html,2026-05-02 23:21:01,,
guloujiedao,整租·钻石公寓 1室1厅 南/北,整租,钻石公寓,密云区-鼓楼街道-钻石公寓,47.18,1室1厅,南/北,,1600,33.9,,,https://bj.lianjia.com/zufang/BJ2143909657545015296.html,2026-05-02 23:21:01,31.195958,121.392431
guloujiedao,整租·东菜园社区 3室2厅 南/北,整租,东菜园社区,密云区-鼓楼街道-东菜园社区,124.17,3室2厅,南/北,,1800,14.5,,,https://bj.lianjia.com/zufang/BJ2098307828857962496.html,2026-05-02 23:21:01,,
guloujiedao,整租·阳光街 2房间 南,整租,阳光街 2房间 南,密云区-鼓楼街道-阳光街,821.05,,,,1300,1.6,,,https://bj.lianjia.com/zufang/BJ1999701898986258432.html,2026-05-02 23:21:01,,
guloujiedao,整租·行宫小区 2室1厅 南/北,整租,行宫小区,密云区-鼓楼街道-行宫小区,93.16,2室1厅,南/北,,1900,20.4,,,https://bj.lianjia.com/zufang/BJ2076987051399446528.html,2026-05-02 23:21:01,,
