region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
guoyuanjiedao,整租·密西花园三期 2室2厅 南/北,整租,密西花园三期,密云区-果园街道-密西花园三期,94.98,2室2厅,南/北,,2200,23.2,,,https://bj.lianjia.com/zufang/BJ2156317520510844928.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·桃源公馆 3室2厅 南/北,整租,桃源公馆,密云区-果园街道-桃源公馆,150.98,3室2厅,南/北,,2700,17.9,,,https://bj.lianjia.com/zufang/BJ2105927020683722752.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·瑞海姆公寓 2室2厅 南/北,整租,瑞海姆公寓,密云区-果园街道-瑞海姆公寓,126.42,2室2厅,南/北,,2500,19.8,,,https://bj.lianjia.com/zufang/BJ2160743663775252480.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·康居南区 2室1厅 南/北,整租,康居南区,密云区-果园街道-康居南区,91.32,2室1厅,南/北,,2100,23.0,,,https://bj.lianjia.com/zufang/BJ2156018573468762112.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·阳光水岸家园 1室1厅 南,整租,阳光水岸家园,密云区-果园街道-阳光水岸家园,55.10,1室1厅,南,,1700,30.9,,,https://bj.lianjia.com/zufang/BJ2154844272652713984.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·中加锦园 3室1厅 南/北,整租,中加锦园,密云区-果园街道-中加锦园,128.80,3室1厅,南/北,,2800,21.7,,,https://bj.lianjia.com/zufang/BJ2150878942859362304.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·涧桥山 4室2厅 南/北,整租,涧桥山,密云区-果园街道-涧桥山,179.08,4室2厅,南/北,,4500,25.1,,,https://bj.lianjia.com/zufang/BJ2138527536760487936.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·果园西里 3室2厅 南/北,整租,果园西里,密云区-果园街道-果园西里,108.00,3室2厅,南/北,,1600,14.8,,,https://bj.lianjia.com/zufang/BJ2158407567666053120.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·果园西里 2室2厅 南/北,整租,果园西里,密云区-果园街道-果园西里,86.09,2室2厅,南/北,,1800,20.9,,,https://bj.lianjia.com/zufang/BJ2151604200205713408.html,2026-05-02 23:21:57,,
guoyuanjiedao,整租·阳光水岸家园 1室1厅 南,整租,阳光水岸家园,密云区-果园街道-阳光水岸家园,50.40,1室1厅,南,,1700,33.7,,,https://bj.lianjia.com/zufang/BJ2159281705737781248.html,2026-05-02 23:21:57,,
