region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
hepingli,整租·和平里五区 1室1厅 东南,整租,和平里五区,东城区-和平里-和平里五区,40.98,1室1厅,东南,,4900,119.6,,,https://bj.lianjia.com/zufang/BJ2159924911739502592.html,2026-05-02 20:04:01,,
hepingli,整租·民旺园 3室1厅 南/北,整租,民旺园,东城区-和平里-民旺园,60.01,3室1厅,南/北,,7500,125.0,,,https://bj.lianjia.com/zufang/BJ2154160873160048640.html,2026-05-02 20:05:15,,
hepingli,整租·和平街十三区 2室1厅 东/南/北,整租,和平街十三区,朝阳区-和平里-和平街十三区,54.50,2室1厅,东/南/北,,6600,121.1,,,https://bj.lianjia.com/zufang/BJ2142973716030554112.html,2026-05-02 20:04:01,,
hepingli,整租·和平里一区 1室1厅 南,整租,和平里一区,东城区-和平里-和平里一区,43.00,1室1厅,南,,5100,118.6,,,https://bj.lianjia.com/zufang/BJ2146525210134708224.html,2026-05-02 20:04:01,,
hepingli,整租·化工大院 3室1厅 南/北,整租,化工大院,东城区-和平里-化工大院,65.49,3室1厅,南/北,,5250,80.2,,,https://bj.lianjia.com/zufang/BJ2093555883328929792.html,2026-05-02 20:05:06,,
hepingli,独栋·著宿雅集 雅诗公寓和平里店 精品舒适LOFT房间 1室1厅,独栋,著宿雅集 雅诗公寓和平里店 精品舒适LOFT房间,,20.00,1室1厅,,,4200-4500,,,,https://bj.lianjia.com/apartment/60386.html,2026-05-02 20:04:07,,
hepingli,整租·和平里一区 2室1厅 南,整租,和平里一区,东城区-和平里-和平里一区,40.31,2室1厅,南,,5000,124.0,,,https://bj.lianjia.com/zufang/BJ2138537035361681408.html,2026-05-02 20:04:01,,
hepingli,整租·砖角楼南里 1室1厅 东,整租,砖角楼南里,朝阳区-和平里-砖角楼南里,45.00,1室1厅,东,,5000,111.1,,,https://bj.lianjia.com/zufang/BJ2119673725023420416.html,2026-05-02 20:04:01,,
hepingli,整租·和平新城一期 2室1厅 南,整租,和平新城一期,东城区-和平里-和平新城一期,167.82,2室1厅,南,,15500,92.4,,,https://bj.lianjia.com/zufang/BJ2151961474791112704.html,2026-05-02 20:05:06,,
hepingli,整租·和平街十四区 3室1厅 南/北,整租,和平街十四区,朝阳区-和平里-和平街十四区,69.00,3室1厅,南/北,,7500,108.7,,,https://bj.lianjia.com/zufang/BJ2123341069557956608.html,2026-05-02 20:04:25,,
hepingli,整租·和平街十四区 2室1厅 西,整租,和平街十四区,朝阳区-和平里-和平街十四区,76.16,2室1厅,西,,8000,105.0,,,https://bj.lianjia.com/zufang/BJ2158073197138804736.html,2026-05-02 20:04:01,,
hepingli,整租·和平街十二区 2室1厅 南/北,整租,和平街十二区,朝阳区-和平里-和平街十二区,65.04,2室1厅,南/北,,5000,76.9,,,https://bj.lianjia.com/zufang/BJ1912777404292530176.html,2026-05-02 20:04:01,,
hepingli,整租·和平街十四区 2室1厅 西,整租,和平街十四区,朝阳区-和平里-和平街十四区,70.00,2室1厅,西,,7500,107.1,,,https://bj.lianjia.com/zufang/BJ2144374556209446912.html,2026-05-02 20:04:01,,
hepingli,整租·小黄庄前街13号院 2室1厅 南/北,整租,小黄庄前街13号院,朝阳区-和平里-小黄庄前街,58.10,2室1厅,南/北,,5900,101.5,,,https://bj.lianjia.com/zufang/BJ2156720310265577472.html,2026-05-02 20:04:25,,
hepingli,整租·和平里六区 3室1厅 东北,整租,和平里六区,东城区-和平里-和平里六区,123.40,3室1厅,东北,,11000,89.1,,,https://bj.lianjia.com/zufang/BJ2150214402937192448.html,2026-05-02 20:05:06,,
hepingli,独栋·缘合公寓 和平里店 短租特惠 近5号线和平里北街 拎包入住 1室1厅,独栋,缘合公寓 和平里店 短租特惠 近5号线和平里北街 拎包入住,,38.00,1室1厅,,,5600,147.4,,,https://bj.lianjia.com/apartment/6269.html,2026-05-02 20:04:03,,
hepingli,整租·和平里六区 1室1厅 南,整租,和平里六区,东城区-和平里-和平里六区,47.00,1室1厅,南,,5800,123.4,,,https://bj.lianjia.com/zufang/BJ2148269828199153664.html,2026-05-02 20:04:01,,
hepingli,整租·小黄庄前街 2室1厅 南/北,整租,小黄庄前街,朝阳区-和平里-小黄庄前街,73.62,2室1厅,南/北,,7900,107.3,,,https://bj.lianjia.com/zufang/BJ2151297276507586560.html,2026-05-02 20:04:01,,
hepingli,整租·和平西街 1室1厅 南,整租,和平西街,朝阳区-和平里-和平西街,47.30,1室1厅,南,,6500,137.4,,,https://bj.lianjia.com/zufang/BJ2012160644295426048.html,2026-05-02 20:05:11,,
hepingli,整租·和平里三区 1室1厅 西南,整租,和平里三区,东城区-和平里-和平里三区,40.57,1室1厅,西南,,5300,130.6,,,https://bj.lianjia.com/zufang/BJ2151187586276655104.html,2026-05-02 20:04:01,,
hepingli,整租·交林 1室1厅 南,整租,交林,东城区-和平里-交林,39.89,1室1厅,南,,5000,125.3,,,https://bj.lianjia.com/zufang/BJ2149799687090077696.html,2026-05-02 20:04:01,,
hepingli,整租·和平里五区 1室1厅 东南,整租,和平里五区,东城区-和平里-和平里五区,40.57,1室1厅,东南,,5230,128.9,,,https://bj.lianjia.com/zufang/BJ2141752745730768896.html,2026-05-02 20:05:03,,
