region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
和义,整租·锦苑A区 2室1厅 南,整租,锦苑A区,丰台区-和义-锦苑,100.00,2室1厅,南,,4600,46.0,,,https://bj.lianjia.com/zufang/BJ2154458120049393664.html,2026-05-02 20:51:49,39.80681,116.380296
和义,整租·久敬佳园二区 2室1厅 南/北,整租,久敬佳园二区,丰台区-和义-久敬佳园二区,102.99,2室1厅,南/北,,4500,43.7,,,https://bj.lianjia.com/zufang/BJ1871038059223449600.html,2026-05-02 20:51:49,39.818525,116.402843
和义,整租·和义西里二区 2室1厅 东/西,整租,和义西里二区,丰台区-和义-和义西里二区,60.00,2室1厅,东/西,,4000,66.7,,,https://bj.lianjia.com/zufang/BJ2159607750311542784.html,2026-05-02 20:51:49,39.816239,116.391709
和义,整租·南苑北里一区 2室1厅 南/北,整租,南苑北里一区,丰台区-和义-南苑北里一区,76.31,2室1厅,南/北,,3700,48.5,,,https://bj.lianjia.com/zufang/BJ2149710949634801664.html,2026-05-02 20:51:49,39.80782,116.39223
和义,整租·久敬佳园二区 3室2厅 南/北,整租,久敬佳园二区,丰台区-和义-久敬佳园二区,120.12,3室2厅,南/北,,5100,42.5,,,https://bj.lianjia.com/zufang/BJ2048250990703935488.html,2026-05-02 20:51:49,39.818525,116.402843
和义,独栋·大小房子 和义店 和义优质房源 开间,独栋,大小房子 和义店 和义优质房源 开间,,35.00,,,,2700,77.1,,,https://bj.lianjia.com/apartment/107408.html,2026-05-02 20:51:49,39.663674,116.516859
和义,整租·久敬佳园二区 2室2厅 错层 东/南/北,整租,久敬佳园二区,丰台区-和义-久敬佳园二区,105.26,2室2厅,,,5300,50.4,,,https://bj.lianjia.com/zufang/BJ2157788375698898944.html,2026-05-02 20:51:49,39.818525,116.402843
和义,整租·和义西里三区 2室1厅 南/北,整租,和义西里三区,丰台区-和义-和义西里三区,75.98,2室1厅,南/北,,4000,52.6,,,https://bj.lianjia.com/zufang/BJ2144641349989695488.html,2026-05-02 20:51:49,39.816239,116.391709
和义,整租·和义东里一区 1室1厅 南,整租,和义东里一区,丰台区-和义-和义东里一区,56.74,1室1厅,南,,3500,61.7,,,https://bj.lianjia.com/zufang/BJ1878391512673288192.html,2026-05-02 20:51:49,39.812136,116.399038
和义,整租·和义东里四区 3室1厅 东/南/北,整租,和义东里四区,丰台区-和义-和义东里四区,87.00,3室1厅,东/南/北,,5000,57.5,,,https://bj.lianjia.com/zufang/BJ2144788971903778816.html,2026-05-02 20:51:49,39.812136,116.399038
和义,整租·久敬佳园一区 2室2厅 南/北,整租,久敬佳园一区,丰台区-和义-久敬佳园一区,115.52,2室2厅,南/北,,5600,48.5,,,https://bj.lianjia.com/zufang/BJ2149354785558495232.html,2026-05-02 20:51:49,39.819573,116.402044
和义,整租·和义西里三区 3室1厅 南/北,整租,和义西里三区,丰台区-和义-和义西里三区,105.60,3室1厅,南/北,,4400,41.7,,,https://bj.lianjia.com/zufang/BJ2159878122705518592.html,2026-05-02 20:51:49,39.816239,116.391709
和义,整租·和义西里四区 2室1厅 南/北,整租,和义西里四区,丰台区-和义-和义西里四区,85.00,2室1厅,南/北,,4500,52.9,,,https://bj.lianjia.com/zufang/BJ2021490694421479424.html,2026-05-02 20:51:49,39.816239,116.391709
