region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
hongmiao,整租·纽约豪园 4室2厅 东北,整租,纽约豪园,朝阳区-红庙-纽约豪园,191.00,4室2厅,东北,,16500,86.4,,,https://bj.lianjia.com/zufang/BJ2143597202805620736.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·红庙北里 2室1厅 南/北,整租,红庙北里,朝阳区-红庙-红庙北里,56.15,2室1厅,南/北,,5600,99.7,,,https://bj.lianjia.com/zufang/BJ2150135918604845056.html,2026-05-02 20:52:17,39.919106,116.472258
hongmiao,整租·金台里 3室1厅 东南,整租,金台里,朝阳区-红庙-金台里,125.67,3室1厅,东南,,8500,67.6,,,https://bj.lianjia.com/zufang/BJ2125445266407424000.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·慈云寺 1室1厅 南,整租,慈云寺,朝阳区-红庙-慈云寺,47.08,1室1厅,南,,4700,99.8,,,https://bj.lianjia.com/zufang/BJ2159599493203361792.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·红庙北里 1室1厅 东南,整租,红庙北里,朝阳区-红庙-红庙北里,40.64,1室1厅,东南,,4700,115.6,,,https://bj.lianjia.com/zufang/BJ2149500339701678080.html,2026-05-02 20:52:17,39.919106,116.472258
hongmiao,独栋·云逸青年社区（北京） 金台路店（鸿北） 直租 民水民电 红庙 大望路 CCD 远洋未来汇 甜水园 1室1厅,独栋,云逸青年社区（北京） 金台路店（鸿北） 直租 民水民电 红庙 大望路 CCD 远洋未来汇 甜水园,,18.00,1室1厅,,,4400,244.4,,,https://bj.lianjia.com/apartment/103842.html,2026-05-02 20:51:52,39.892365,116.476215
hongmiao,整租·东区国际 3室1厅 西,整租,东区国际,朝阳区-红庙-东区国际,172.74,3室1厅,西,,14800,85.7,,,https://bj.lianjia.com/zufang/BJ2158512734952488960.html,2026-05-02 20:51:52,39.911629,116.480981
hongmiao,整租·华业国际公寓 2房间 西,整租,华业国际公寓 2房间 西,朝阳区-红庙-华业国际公寓,68.72,,,,6000,87.3,,,https://bj.lianjia.com/zufang/BJ2157068089324208128.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·金台里 1室1厅 南/北,整租,金台里,朝阳区-红庙-金台里,44.22,1室1厅,南/北,,4700,106.3,,,https://bj.lianjia.com/zufang/BJ2009555722190192640.html,2026-05-02 20:52:13,39.919106,116.472258
hongmiao,整租·东区国际 2室1厅 南/北,整租,东区国际,朝阳区-红庙-东区国际,130.32,2室1厅,南/北,,11000,84.4,,,https://bj.lianjia.com/zufang/BJ2145474029648084992.html,2026-05-02 20:51:52,39.911629,116.480981
hongmiao,整租·华业玫瑰东方 3室1厅 南/北,整租,华业玫瑰东方,朝阳区-红庙-华业玫瑰东方,145.00,3室1厅,南/北,,15000,103.4,,,https://bj.lianjia.com/zufang/BJ2138291870508253184.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·西大望路 1室1厅 西,整租,西大望路,朝阳区-红庙-西大望路,49.94,1室1厅,西,,5800,116.1,,,https://bj.lianjia.com/zufang/BJ2154822403576823808.html,2026-05-02 20:52:17,39.913978,116.473152
hongmiao,整租·金台里 2室1厅 东/西,整租,金台里,朝阳区-红庙-金台里,58.31,2室1厅,东/西,,6200,106.3,,,https://bj.lianjia.com/zufang/BJ2141103418553401344.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·华业玫瑰东方 3室1厅 南/北,整租,华业玫瑰东方,朝阳区-红庙-华业玫瑰东方,145.00,3室1厅,南/北,,14500,100.0,,,https://bj.lianjia.com/zufang/BJ2128428023710482432.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·呼家楼北街 2室1厅 南/北,整租,呼家楼北街,朝阳区-红庙-呼家楼北街,69.22,2室1厅,南/北,,6400,92.5,,,https://bj.lianjia.com/zufang/BJ2119419510770368512.html,2026-05-02 20:52:13,39.912496,116.470358
hongmiao,独栋·欣悦青年社区 安客社区 白领公寓 1室1厅,独栋,欣悦青年社区 安客社区 白领公寓,,35.00,1室1厅,,,2400-4999,,,,https://bj.lianjia.com/apartment/74790.html,2026-05-02 20:51:52,39.867526,116.401718
hongmiao,整租·纽约豪园 5室2厅 复式 南,整租,纽约豪园,朝阳区-红庙-纽约豪园,378.35,5室2厅,,,45000,118.9,,,https://bj.lianjia.com/zufang/BJ2088933200519757824.html,2026-05-02 20:51:52,39.919106,116.472258
hongmiao,整租·东区国际 1室1厅 西北,整租,东区国际,朝阳区-红庙-东区国际,81.95,1室1厅,西北,,8000,97.6,,,https://bj.lianjia.com/zufang/BJ2139643897935036416.html,2026-05-02 20:51:52,39.911629,116.480981
hongmiao,整租·呼家楼南里 1室1厅 南,整租,呼家楼南里,朝阳区-红庙-呼家楼南里,39.55,1室1厅,南,,4500,113.8,,,https://bj.lianjia.com/zufang/BJ2148049992240070656.html,2026-05-02 20:52:17,39.920136,116.459018
hongmiao,整租·红庙北里 1室1厅 南,整租,红庙北里,朝阳区-红庙-红庙北里,57.91,1室1厅,南,,5000,86.3,,,https://bj.lianjia.com/zufang/BJ2144640911466823680.html,2026-05-02 20:51:52,39.919106,116.472258
