region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
houshayu1,整租·江山赋 6室3厅 南/北,整租,江山赋,顺义区-后沙峪-江山赋,360.00,6室3厅,南/北,,20000,55.6,,,https://bj.lianjia.com/zufang/BJ2055634557784293376.html,2026-05-02 20:46:56,40.111016,116.548908
houshayu1,整租·东亚创展国际 1房间 东,整租,东亚创展国际 1房间 东,顺义区-后沙峪-东亚创展国际,38.57,,,,2835,73.5,,,https://bj.lianjia.com/zufang/BJ2157739978405183488.html,2026-05-02 20:50:28,40.116719,116.550273
houshayu1,整租·北京方糖 3房间 北,整租,北京方糖 3房间 北,顺义区-后沙峪-北京方糖,120.00,,,,4000,33.3,,,https://bj.lianjia.com/zufang/BJ2076580842431315968.html,2026-05-02 20:46:56,40.115232,116.531551
houshayu1,整租·北京方糖 1房间 复式 南,整租,北京方糖 1房间 复式 南,顺义区-后沙峪-北京方糖,53.07,,,,3700,69.7,,,https://bj.lianjia.com/zufang/BJ2137944296446230528.html,2026-05-02 20:46:56,40.115232,116.531551
houshayu1,整租·东亚创展国际 2房间 东,整租,东亚创展国际 2房间 东,顺义区-后沙峪-东亚创展国际,57.73,,,,3400,58.9,,,https://bj.lianjia.com/zufang/BJ2154259642920730624.html,2026-05-02 20:46:56,40.116719,116.550273
houshayu1,独栋·北京逸居公寓 古城店 顺义古城村 公交直达芍药居 通勤10号线 开间,独栋,北京逸居公寓 古城店 顺义古城村 公交直达芍药居 通勤10号线 开间,,20.00,,,,1500,75.0,,,https://bj.lianjia.com/apartment/97865.html,2026-05-02 20:46:59,40.543096,116.018958
houshayu1,整租·万科城市花园 4室2厅 南/北,整租,万科城市花园,顺义区-后沙峪-万科城市花园,160.00,4室2厅,南/北,,5600,35.0,,,https://bj.lianjia.com/zufang/BJ1986310338827517952.html,2026-05-02 20:46:56,40.105282,116.548512
houshayu1,整租·中粮祥云国际生活区北区 5室2厅 复式 南/北,整租,中粮祥云国际生活区北区,顺义区-后沙峪-中粮祥云国际生活区北区,532.00,5室2厅,,,33000,62.0,,,https://bj.lianjia.com/zufang/BJ2147947365602951168.html,2026-05-02 20:48:03,40.092006,116.530368
houshayu1,整租·国门智慧城 4房间 南,整租,国门智慧城 4房间 南,顺义区-后沙峪-国门智慧城,66.16,,,,3600,54.4,,,https://bj.lianjia.com/zufang/BJ1971874395886452736.html,2026-05-02 20:46:56,40.119095,116.556203
houshayu1,整租·公园十七区 4室2厅 南/北,整租,公园十七区,顺义区-后沙峪-公园十七区,143.62,4室2厅,南/北,,12000,83.6,,,https://bj.lianjia.com/zufang/BJ2142879552945258496.html,2026-05-02 20:48:03,40.071816,116.517648
houshayu1,整租·万科观承别墅 5室2厅 复式 南/北,整租,万科观承别墅,顺义区-后沙峪-万科观承别墅,355.29,5室2厅,,,28000,78.8,,,https://bj.lianjia.com/zufang/BJ2119062275108110336.html,2026-05-02 20:46:56,40.105282,116.548512
houshayu1,整租·IDCITY艾迪城 2房间 北,整租,IDCITY艾迪城 2房间 北,顺义区-后沙峪,422.00,,,,4300,10.2,,,https://bj.lianjia.com/zufang/BJ2083921934415822848.html,2026-05-02 20:50:18,40.092286,116.475858
houshayu1,整租·空港吉祥花园 3室1厅 南/北,整租,空港吉祥花园,顺义区-后沙峪-空港吉祥花园,111.15,3室1厅,南/北,,5800,52.2,,,https://bj.lianjia.com/zufang/BJ2152084359274823680.html,2026-05-02 20:46:56,40.095486,116.538758
houshayu1,整租·中粮祥云国际生活区北区 5室2厅 南/北,整租,中粮祥云国际生活区北区,顺义区-后沙峪-中粮祥云国际生活区北区,532.25,5室2厅,南/北,,20000,37.6,,,https://bj.lianjia.com/zufang/BJ2077591279633432576.html,2026-05-02 20:46:56,40.092006,116.530368
houshayu1,整租·蓝星花园 3室1厅 南,整租,蓝星花园,顺义区-后沙峪-蓝星花园,129.61,3室1厅,南,,5000,38.6,,,https://bj.lianjia.com/zufang/BJ2051593672171978752.html,2026-05-02 20:50:09,40.088029,116.545795
houshayu1,整租·马头庄新苑 2室1厅 南,整租,马头庄新苑,顺义区-后沙峪-马头庄新苑,80.93,2室1厅,南,,3900,48.2,,,https://bj.lianjia.com/zufang/BJ2148659974757154816.html,2026-05-02 20:48:03,40.106966,116.515728
