region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huaihaizhonglu,整租·长乐路169弄 1室1厅 南,整租,长乐路169弄,黄浦-淮海中路-长乐路,35.00,1室1厅,南,,5250,150.0,,,https://sh.lianjia.com/zufang/SH2096926035445547008.html,2026-04-23 15:23:08,31.224769,121.467054
huaihaizhonglu,整租·雁荡大厦 3室2厅 东,整租,雁荡大厦,黄浦-淮海中路-雁荡大厦,128.00,3室2厅,东,,17500,136.7,,,https://sh.lianjia.com/zufang/SH2148774328500486144.html,2026-04-23 15:23:08,31.22308,121.46537
huaihaizhonglu,整租·建国西路158弄 2室1厅 南,整租,建国西路158弄,黄浦-淮海中路-建国西路,60.50,2室1厅,南,,8800,145.5,,,https://sh.lianjia.com/zufang/SH2137407525731958784.html,2026-04-23 15:23:08,31.208843,121.458322
huaihaizhonglu,整租·渔阳里 1室1厅 南,整租,渔阳里,黄浦-淮海中路-渔阳里,50.00,1室1厅,南,,6900,138.0,,,https://sh.lianjia.com/zufang/SH2012174297463783424.html,2026-04-23 15:23:08,31.22185,121.46389
huaihaizhonglu,整租·瑞雪大楼 1室1厅 南,整租,瑞雪大楼,黄浦-淮海中路-瑞雪大楼,38.90,1室1厅,南,,5200,133.7,,,https://sh.lianjia.com/zufang/SH2141831705676218368.html,2026-04-23 15:23:08,31.2104,121.45992
huaihaizhonglu,整租·进贤路202弄 1室0厅 北,整租,进贤路202弄,黄浦-淮海中路-进贤路,24.00,1室0厅,北,,3000,125.0,,,https://sh.lianjia.com/zufang/SH1884951658249584640.html,2026-04-23 15:23:08,31.2233,121.4533
huaihaizhonglu,整租·瑞雪大楼 1室1厅 南,整租,瑞雪大楼,黄浦-淮海中路-瑞雪大楼,39.14,1室1厅,南,,5775,147.5,,,https://sh.lianjia.com/zufang/SH2095877006284554240.html,2026-04-23 15:23:08,31.2104,121.45992
huaihaizhonglu,整租·淮海坊 1室1厅 南,整租,淮海坊,黄浦-淮海中路-淮海坊,35.00,1室1厅,南,,5200,148.6,,,https://sh.lianjia.com/zufang/SH2102966243936960512.html,2026-04-23 15:23:08,31.21815,121.4562
huaihaizhonglu,整租·延安中路527号 2室1厅 南,整租,延安中路527号,黄浦-淮海中路-延安中路,54.86,2室1厅,南,,7000,127.6,,,https://sh.lianjia.com/zufang/SH2028878133922365440.html,2026-04-23 15:23:08,31.225581,121.45574
huaihaizhonglu,整租·和合坊 1室1厅 南,整租,和合坊,黄浦-淮海中路-和合坊,18.70,1室1厅,南,,4600,246.0,,,https://sh.lianjia.com/zufang/SH1784956095412830208.html,2026-04-23 15:23:08,31.2235,121.46431
huaihaizhonglu,整租·建国西路146号 2室1厅 南,整租,建国西路146号,黄浦-淮海中路-建国西路,57.50,2室1厅,南,,7300,127.0,,,https://sh.lianjia.com/zufang/SH2080292857691766784.html,2026-04-23 15:23:08,31.209458,121.459437
huaihaizhonglu,整租·卜邻公寓 1室1厅 西南,整租,卜邻公寓,黄浦-淮海中路-卜邻公寓,35.00,1室1厅,西南,,4200,120.0,,,https://sh.lianjia.com/zufang/SH1943907815273791488.html,2026-04-23 15:23:08,31.221899,121.459245
huaihaizhonglu,整租·茂名大楼 1室1厅 南,整租,茂名大楼,黄浦-淮海中路-茂名大楼,57.40,1室1厅,南,,6825,118.9,,,https://sh.lianjia.com/zufang/SH1805258918251724800.html,2026-04-23 15:23:08,31.21834,121.45724
huaihaizhonglu,整租·瑞雪大楼 1室1厅 东南,整租,瑞雪大楼,黄浦-淮海中路-瑞雪大楼,37.33,1室1厅,东南,,5775,154.7,,,https://sh.lianjia.com/zufang/SH2005490217573679104.html,2026-04-23 15:23:08,31.2104,121.45992
huaihaizhonglu,整租·陕南邨 1室0厅 西北,整租,陕南邨,黄浦-淮海中路-陕南邨,21.30,1室0厅,西北,,4890,229.6,,,https://sh.lianjia.com/zufang/SH1928104228807507968.html,2026-04-23 15:23:08,31.21911,121.45485
huaihaizhonglu,整租·复兴坊 1室1厅 南,整租,复兴坊,黄浦-淮海中路-复兴坊,14.40,1室1厅,南,,3780,262.5,,,https://sh.lianjia.com/zufang/SH1847217872661643264.html,2026-04-23 15:23:08,31.21917,121.455
huaihaizhonglu,整租·兴安路151-161号 1室0厅 北,整租,兴安路151-161号,黄浦-淮海中路-兴安路,12.00,1室0厅,北,,2625,218.8,,,https://sh.lianjia.com/zufang/SH2042192971222220800.html,2026-04-23 15:23:08,31.22349,121.46769
huaihaizhonglu,整租·茂名坊 3室2厅 南/北,整租,茂名坊,黄浦-淮海中路-茂名坊,108.05,3室2厅,南/北,,18000,166.6,,,https://sh.lianjia.com/zufang/SH2152728657125179392.html,2026-04-23 15:23:08,31.21672,121.4581
huaihaizhonglu,整租·复兴坊 1室1厅 南,整租,复兴坊,黄浦-淮海中路-复兴坊,25.00,1室1厅,南,,4515,180.6,,,https://sh.lianjia.com/zufang/SH2096255079265861632.html,2026-04-23 15:23:08,31.21917,121.455
huaihaizhonglu,整租·瑞雪大楼 1室1厅 南,整租,瑞雪大楼,黄浦-淮海中路-瑞雪大楼,37.56,1室1厅,南,,5000,133.1,,,https://sh.lianjia.com/zufang/SH2086031537647648768.html,2026-04-23 15:23:08,31.2104,121.45992
huaihaizhonglu,整租·进贤路219号 2室2厅 南,整租,进贤路219号,黄浦-淮海中路-进贤路,101.54,2室2厅,南,,18000,177.3,,,https://sh.lianjia.com/zufang/SH2112126437979848704.html,2026-04-23 15:23:08,31.223067,121.453481
