region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huangcunzhong,整租·清澄名苑北区 1室1厅 西北,整租,清澄名苑北区,大兴区-黄村中-清澄名苑北区,99.41,1室1厅,西北,,4500,45.3,,,https://bj.lianjia.com/zufang/BJ2143752810808737792.html,2026-05-02 22:52:07,,
huangcunzhong,整租·清澄名苑北区 2室1厅 南/北,整租,清澄名苑北区,大兴区-黄村中-清澄名苑北区,89.20,2室1厅,南/北,,4500,50.4,,,https://bj.lianjia.com/zufang/BJ2009580311758766080.html,2026-05-02 22:52:18,,
huangcunzhong,整租·阳光乐府 2室1厅 西,整租,阳光乐府,大兴区-黄村中-阳光乐府,69.60,2室1厅,西,,3700,53.2,,,https://bj.lianjia.com/zufang/BJ2125887073847083008.html,2026-05-02 22:50:54,,
huangcunzhong,整租·富强西里 2室1厅 南/北,整租,富强西里,大兴区-黄村中-富强西里,54.64,2室1厅,南/北,,3000,54.9,,,https://bj.lianjia.com/zufang/BJ2112403835707195392.html,2026-05-02 22:51:20,,
huangcunzhong,整租·三合北巷7号院 1室1厅 南/北,整租,三合北巷7号院,大兴区-黄村中-三合北巷,60.13,1室1厅,南/北,,3000,49.9,,,https://bj.lianjia.com/zufang/BJ2157059173685133312.html,2026-05-02 22:52:18,,
huangcunzhong,独栋·蜂客公寓 黄村西大街店 【朝南户型】年租立减699！近地铁200米+配套齐全+品牌家电+专人值班+独立卫浴 开间,独栋,蜂客公寓 黄村西大街店 【朝南户型】年租立减699！近地铁200米+配套齐全+品牌家电+专人值班+独立卫浴 开间,,23.00,,,,2469-2569,,,,https://bj.lianjia.com/apartment/61086.html,2026-05-02 22:51:00,,
huangcunzhong,整租·清澄名苑北区 1室1厅 北,整租,清澄名苑北区,大兴区-黄村中-清澄名苑北区,63.81,1室1厅,北,,3400,53.3,,,https://bj.lianjia.com/zufang/BJ2149112403600605184.html,2026-05-02 22:51:16,,
huangcunzhong,整租·三合南里 3室1厅 南/北,整租,三合南里,大兴区-黄村中-三合南里,83.00,3室1厅,南/北,,3600,43.4,,,https://bj.lianjia.com/zufang/BJ2088485329211228160.html,2026-05-02 22:50:54,,
huangcunzhong,整租·大兴星光城 3室1厅 南/北,整租,大兴星光城,大兴区-黄村中-大兴星光城,99.58,3室1厅,南/北,,5700,57.2,,,https://bj.lianjia.com/zufang/BJ1986758285893566464.html,2026-05-02 22:52:14,,
huangcunzhong,整租·兴政东里 4室1厅 复式 南/北,整租,兴政东里,大兴区-黄村中-兴政东里,111.40,4室1厅,,,4500,40.4,,,https://bj.lianjia.com/zufang/BJ2142146132552187904.html,2026-05-02 22:51:13,,
