region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huilongguan2,整租·北京城建畅悦居D区 2室1厅 西,整租,北京城建畅悦居D区,昌平区-回龙观-北京城建畅悦居,85.68,2室1厅,西,,4700,54.9,,,https://bj.lianjia.com/zufang/BJ2153823301388992512.html,2026-05-02 21:36:02,,
huilongguan2,整租·万润家园 3室1厅 西南,整租,万润家园,昌平区-回龙观-万润家园,118.39,3室1厅,西南,,8000,67.6,,,https://bj.lianjia.com/zufang/BJ2151539409634197504.html,2026-05-02 21:38:55,,
huilongguan2,整租·北京人家 4室1厅 南,整租,北京人家,昌平区-回龙观-北京人家,130.92,4室1厅,南,,6800,51.9,,,https://bj.lianjia.com/zufang/BJ2152635480317886464.html,2026-05-02 21:35:12,,
huilongguan2,整租·尚城 5房间 南,整租,尚城 5房间 南,昌平区-回龙观-尚城,126.00,,,,5200,41.3,,,https://bj.lianjia.com/zufang/BJ2090999515296301056.html,2026-05-02 21:36:30,,
huilongguan2,整租·TBD住总万科天地 3房间 东,整租,TBD住总万科天地 3房间 东,昌平区-回龙观,50.00,,,,4300,86.0,,,https://bj.lianjia.com/zufang/BJ2153878494231134208.html,2026-05-02 21:39:43,,
huilongguan2,独栋·冠寓 北京回龙观店 【一站西二旗】五一提前定优惠 无中介费 各大厂实习必看限时免采暖 品质好房13号线龙泽 长短租皆可 开间,独栋,冠寓 北京回龙观店 【一站西二旗】五一提前定优惠 无中介费 各大厂实习必看限时免采暖 品质好房13号线龙泽 长短租皆可 开间,,29.00,,,,3296,113.7,,,https://bj.lianjia.com/apartment/43398.html,2026-05-02 21:35:28,,
huilongguan2,整租·北京城建畅悦居D区 2室1厅 南,整租,北京城建畅悦居D区,昌平区-回龙观-北京城建畅悦居,85.68,2室1厅,南,,5800,67.7,,,https://bj.lianjia.com/zufang/BJ2158461162084106240.html,2026-05-02 21:35:12,,
huilongguan2,整租·流星花园三区 1室1厅 西北,整租,流星花园三区,昌平区-回龙观-流星花园三区,59.20,1室1厅,西北,,5000,84.5,,,https://bj.lianjia.com/zufang/BJ2159260542596808704.html,2026-05-02 21:35:12,,
huilongguan2,整租·建发城建·文源府 3室2厅 南/北,整租,建发城建·文源府,昌平区-回龙观-建发城建,100.00,3室2厅,南/北,,8200,82.0,,,https://bj.lianjia.com/zufang/BJ2144040274534334464.html,2026-05-02 21:38:46,,
huilongguan2,整租·融泽嘉园中路2号院 3室2厅 南/北,整租,融泽嘉园中路2号院,昌平区-回龙观-融泽嘉园中路,110.00,3室2厅,南/北,,7600,69.1,,,https://bj.lianjia.com/zufang/BJ2157395160076386304.html,2026-05-02 21:36:16,,
huilongguan2,整租·京投发展公园悦府一区 2室1厅 南/北,整租,京投发展公园悦府一区,昌平区-回龙观-京投发展公园悦府一区,94.85,2室1厅,南/北,,6400,67.5,,,https://bj.lianjia.com/zufang/BJ2154219771984347136.html,2026-05-02 21:36:20,,
huilongguan2,整租·和谐家园一区 2室1厅 南/北,整租,和谐家园一区,昌平区-回龙观-和谐家园一区,94.26,2室1厅,南/北,,5400,57.3,,,https://bj.lianjia.com/zufang/BJ1987124631286317056.html,2026-05-02 21:38:31,,
huilongguan2,整租·领秀慧谷D2区 2室1厅 南,整租,领秀慧谷D2区,昌平区-回龙观-领秀慧谷,78.00,2室1厅,南,,6000,76.9,,,https://bj.lianjia.com/zufang/BJ2151630732756254720.html,2026-05-02 21:35:12,,
huilongguan2,整租·万橡悦府一期 3室2厅 南/北,整租,万橡悦府一期,昌平区-回龙观-万橡悦府一期,89.00,3室2厅,南/北,,7300,82.0,,,https://bj.lianjia.com/zufang/BJ2155514749754802176.html,2026-05-02 21:36:20,,
