region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huinan,整租·远洋万和四季 3室1厅 南,整租,远洋万和四季,浦东-惠南-远洋万和四季,90.00,3室1厅,南,,2800,31.1,,,https://sh.lianjia.com/zufang/SH2088644307467632640.html,2026-04-23 00:31:39,31.067505,121.779756
huinan,整租·丽水雅苑 1室1厅 南,整租,丽水雅苑,浦东-惠南-丽水雅苑,51.20,1室1厅,南,,1890,36.9,,,https://sh.lianjia.com/zufang/SH2147283513483722752.html,2026-04-23 00:31:01,31.071816,121.751384
huinan,整租·彩虹雅苑 3室2厅 南/北,整租,彩虹雅苑,浦东-惠南-彩虹雅苑,112.99,3室2厅,南/北,,2800,24.8,,,https://sh.lianjia.com/zufang/SH2142903403200643072.html,2026-04-23 00:29:47,31.05828,121.7325
huinan,独栋·海家公寓 惠南店 B户型 1室1厅,独栋,海家公寓 惠南店 B户型,,28.00,1室1厅,,,1480,52.9,,,https://sh.lianjia.com/apartment/53016.html,2026-04-23 00:29:47,39.788939,116.323232
huinan,整租·博佳花园 3室2厅 南,整租,博佳花园,浦东-惠南-博佳花园,121.00,3室2厅,南,,3000,24.8,,,https://sh.lianjia.com/zufang/SH2152351612033564672.html,2026-04-23 00:31:48,31.0436,121.73998
huinan,独栋·林隐公寓 林隐公寓 一居室外窗户型 南北通透 1室1厅,独栋,林隐公寓 林隐公寓,,29.00,1室1厅,,,1700,58.6,,,https://sh.lianjia.com/apartment/64386.html,2026-04-23 00:29:50,40.454726,115.968618
huinan,整租·文益街7号 1室1厅 西,整租,文益街7号,浦东-惠南-文益街,39.00,1室1厅,西,,1500,38.5,,,https://sh.lianjia.com/zufang/SH2111025964044517376.html,2026-04-23 00:29:47,31.056366,121.760952
huinan,整租·东原逸墅 3室2厅 南/北,整租,东原逸墅,浦东-惠南-东原逸墅,152.00,3室2厅,南/北,,5800,38.2,,,https://sh.lianjia.com/zufang/SH2137971114373021696.html,2026-04-23 00:30:07,31.059646,121.770321
huinan,整租·莎海惠晨苑 2室2厅 南,整租,莎海惠晨苑,浦东-惠南-莎海惠晨苑,95.35,2室2厅,南,,2200,23.1,,,https://sh.lianjia.com/zufang/SH2147297154794782720.html,2026-04-23 00:31:39,31.04306,121.76098
huinan,整租·华钜御庭(一期) 4室2厅 南,整租,华钜御庭(一期),浦东-惠南-华钜御庭(一期),134.73,4室2厅,南,,4700,34.9,,,https://sh.lianjia.com/zufang/SH2149535478997581824.html,2026-04-23 00:31:39,31.055993,121.772918
huinan,整租·惠益新苑南苑 2室1厅 南,整租,惠益新苑南苑,浦东-惠南-惠益新苑南苑,79.00,2室1厅,南,,2200,27.8,,,https://sh.lianjia.com/zufang/SH2085691054643740672.html,2026-04-23 00:31:39,31.0603,121.73547
huinan,独栋·星创公寓 拱北路店 1室0厅（独立厨房） 开间,独栋,星创公寓 拱北路店,,44.30,1室0厅,,,2050,46.3,,,https://sh.lianjia.com/apartment/80517.html,2026-04-23 00:29:47,39.854186,116.286138
huinan,整租·浦东颐景园 3室2厅 南,整租,浦东颐景园,浦东-惠南-浦东颐景园,92.00,3室2厅,南,,4100,44.6,,,https://sh.lianjia.com/zufang/SH2139946847253299200.html,2026-04-23 00:31:39,31.05027,121.75852
huinan,整租·博佳花园 3室2厅 南,整租,博佳花园,浦东-惠南-博佳花园,121.98,3室2厅,南,,2900,23.8,,,https://sh.lianjia.com/zufang/SH2143316018070552576.html,2026-04-23 00:29:47,31.0436,121.73998
huinan,整租·东城花苑一村 2室2厅 南,整租,东城花苑一村,浦东-惠南-东城花苑一村,97.93,2室2厅,南,,2476,25.3,,,https://sh.lianjia.com/zufang/SH2142834207573934080.html,2026-04-23 00:30:35,31.05239,121.7615
huinan,独栋·圣居公寓 惠南店 标间1 开间,独栋,圣居公寓 惠南店 标间1 开间,,18.00,,,,1500,83.3,,,https://sh.lianjia.com/apartment/21019.html,2026-04-23 00:29:47,39.965296,116.474398
huinan,整租·海玥瑄邸 3室1厅 南,整租,海玥瑄邸,浦东-惠南-海玥瑄邸,91.57,3室1厅,南,,3600,39.3,,,https://sh.lianjia.com/zufang/SH2144111250429181952.html,2026-04-23 00:29:47,31.04059,121.75969
huinan,整租·碧桂园天悦 3室2厅 南,整租,碧桂园天悦,浦东-惠南-碧桂园天悦,127.55,3室2厅,南,,3800,29.8,,,https://sh.lianjia.com/zufang/SH2088961242851966976.html,2026-04-23 00:31:04,31.044169,121.755333
huinan,独栋·林隐公寓 拱极路店 林隐安居公寓 精品大户型单间 开间,独栋,林隐公寓 拱极路店 林隐安居公寓,,30.00,,,,2100,70.0,,,https://sh.lianjia.com/apartment/95098.html,2026-04-23 00:29:47,39.84957,116.2176
huinan,整租·远洋万和四季 2室1厅 南/北,整租,远洋万和四季,浦东-惠南-远洋万和四季,90.00,2室1厅,南/北,,2800,31.1,,,https://sh.lianjia.com/zufang/SH2151468505315147776.html,2026-04-23 00:31:48,31.067505,121.779756
huinan,整租·鹏润伊顿公馆 2室1厅 南,整租,鹏润伊顿公馆,浦东-惠南-鹏润伊顿公馆,88.00,2室1厅,南,,3500,39.8,,,https://sh.lianjia.com/zufang/SH2153133501916905472.html,2026-04-23 00:31:48,31.05877,121.77993
huinan,整租·长城珑湾 1室1厅 南,整租,长城珑湾,浦东-惠南-长城珑湾,69.02,1室1厅,南,,2500,36.2,,,https://sh.lianjia.com/zufang/SH2142963106001715200.html,2026-04-23 00:31:01,31.05689,121.77732
huinan,整租·东原逸墅 3室2厅 南,整租,东原逸墅,浦东-惠南-东原逸墅,125.46,3室2厅,南,,4600,36.7,,,https://sh.lianjia.com/zufang/SH2116391079514210304.html,2026-04-23 00:31:01,31.059646,121.770321
huinan,整租·布鲁斯小镇(一期) 3室2厅 南/北,整租,布鲁斯小镇(一期),浦东-惠南-布鲁斯小镇(一期),97.02,3室2厅,南/北,,3500,36.1,,,https://sh.lianjia.com/zufang/SH2144843754652041216.html,2026-04-23 00:29:47,31.03682,121.7592
huinan,整租·东城华都 3室2厅 南,整租,东城华都,浦东-惠南-东城华都,137.00,3室2厅,南,,3600,26.3,,,https://sh.lianjia.com/zufang/SH2128697783681548288.html,2026-04-23 00:29:47,31.05819,121.7623
huinan,整租·远洋万和四季 3室2厅 南/北,整租,远洋万和四季,浦东-惠南-远洋万和四季,118.47,3室2厅,南/北,,3330,28.1,,,https://sh.lianjia.com/zufang/SH2130141461742616576.html,2026-04-23 00:29:50,31.067505,121.779756
huinan,整租·民乐城颐康名苑 2室1厅 南,整租,民乐城颐康名苑,浦东-惠南-民乐城颐康名苑,75.77,2室1厅,南,,2100,27.7,,,https://sh.lianjia.com/zufang/SH2032712865865007104.html,2026-04-23 00:31:48,31.066757,121.744055
huinan,整租·乐源城 1室1厅 南,整租,乐源城,浦东-惠南-乐源城,54.00,1室1厅,南,,2000,37.0,,,https://sh.lianjia.com/zufang/SH1905886403451944960.html,2026-04-23 00:29:50,31.05047,121.7688
huinan,整租·宝业万华城 3室1厅 南,整租,宝业万华城,浦东-惠南-宝业万华城,97.00,3室1厅,南,,3100,32.0,,,https://sh.lianjia.com/zufang/SH1897996086094594048.html,2026-04-23 00:29:50,31.02866,121.73372
huinan,整租·三八新村 3室1厅 南,整租,三八新村,浦东-惠南-三八新村,86.58,3室1厅,南,,2800,32.3,,,https://sh.lianjia.com/zufang/SH2130227073518665728.html,2026-04-23 00:29:50,31.04913,121.7548
huinan,整租·方糖公寓 1室1厅 北,整租,方糖公寓,浦东-惠南-方糖公寓,57.00,1室1厅,北,,1900,33.3,,,https://sh.lianjia.com/zufang/SH1928708232222605312.html,2026-04-23 00:29:50,31.03873,121.73
huinan,整租·鹏润伊顿公馆 2室1厅 南,整租,鹏润伊顿公馆,浦东-惠南-鹏润伊顿公馆,77.00,2室1厅,南,,3350,43.5,,,https://sh.lianjia.com/zufang/SH2065762749777969152.html,2026-04-23 00:31:13,31.05877,121.77993
huinan,整租·丽水雅苑北苑 2室1厅 南,整租,丽水雅苑北苑,浦东-惠南-丽水雅苑北苑,69.00,2室1厅,南,,2200,31.9,,,https://sh.lianjia.com/zufang/SH2143738108833693696.html,2026-04-23 00:29:50,31.0726,121.75086
huinan,整租·彩虹雅苑 2室1厅 南,整租,彩虹雅苑,浦东-惠南-彩虹雅苑,78.00,2室1厅,南,,2800,35.9,,,https://sh.lianjia.com/zufang/SH2060359072577748992.html,2026-04-23 00:29:50,31.05828,121.7325
huinan,整租·良景佳苑 1室1厅 南,整租,良景佳苑,浦东-惠南-良景佳苑,55.00,1室1厅,南,,2000,36.4,,,https://sh.lianjia.com/zufang/SH2143303051841110016.html,2026-04-23 00:29:50,39.728707,116.121686
huinan,整租·德盈佳园 3室2厅 南,整租,德盈佳园,浦东-惠南-德盈佳园,130.00,3室2厅,南,,2900,22.3,,,https://sh.lianjia.com/zufang/SH2080984665258196992.html,2026-04-23 00:29:50,31.0592,121.79468
huinan,整租·艺泰一品花园 5室3厅 南/北,整租,艺泰一品花园,浦东-惠南-艺泰一品花园,354.22,5室3厅,南/北,,7000,19.8,,,https://sh.lianjia.com/zufang/SH2130890751427477504.html,2026-04-23 00:29:50,31.05043,121.72258
huinan,整租·民乐城馨园 1室1厅 南,整租,民乐城馨园,浦东-惠南-民乐城馨园,58.34,1室1厅,南,,2200,37.7,,,https://sh.lianjia.com/zufang/SH2068696630428696576.html,2026-04-23 00:31:13,31.05945,121.74401
huinan,整租·远洋万和四季 3室1厅 南,整租,远洋万和四季,浦东-惠南-远洋万和四季,90.00,3室1厅,南,,3100,34.4,,,https://sh.lianjia.com/zufang/SH2121609809525473280.html,2026-04-23 00:29:50,31.067505,121.779756
huinan,整租·远洋万和四季 3室2厅 南,整租,远洋万和四季,浦东-惠南-远洋万和四季,100.20,3室2厅,南,,2600,25.9,,,https://sh.lianjia.com/zufang/SH2132008942761410560.html,2026-04-23 00:29:50,31.067505,121.779756
huinan,整租·良景佳苑 1室1厅 南,整租,良景佳苑,浦东-惠南-良景佳苑,55.00,1室1厅,南,,2000,36.4,,,https://sh.lianjia.com/zufang/SH2143304618405265408.html,2026-04-23 00:29:50,39.728707,116.121686
huinan,整租·兴东佳苑(一期) 2室2厅 南/北,整租,兴东佳苑(一期),浦东-惠南-兴东佳苑(一期),96.00,2室2厅,南/北,,2900,30.2,,,https://sh.lianjia.com/zufang/SH2039976616041381888.html,2026-04-23 00:31:48,31.05723,121.75514
huinan,整租·听潮民乐苑 2室1厅 南/北,整租,听潮民乐苑,浦东-惠南-听潮民乐苑,75.61,2室1厅,南/北,,2100,27.8,,,https://sh.lianjia.com/zufang/SH2041450859803443200.html,2026-04-23 00:31:48,31.05424,121.73888
huinan,整租·远洋万和四季 3室1厅 南,整租,远洋万和四季,浦东-惠南-远洋万和四季,89.83,3室1厅,南,,2900,32.3,,,https://sh.lianjia.com/zufang/SH2027618504429010944.html,2026-04-23 00:31:39,31.067505,121.779756
huinan,整租·供销三村 1室1厅 南,整租,供销三村,浦东-惠南-供销三村,44.97,1室1厅,南,,2100,46.7,,,https://sh.lianjia.com/zufang/SH2058942602572464128.html,2026-04-23 00:29:50,31.001,121.81254
huinan,整租·康敏苑一期 3室2厅 南,整租,康敏苑一期,浦东-惠南-康敏苑一期,133.00,3室2厅,南,,3000,22.6,,,https://sh.lianjia.com/zufang/SH2138885591339630592.html,2026-04-23 00:29:50,31.03896,121.75962
huinan,整租·民乐城秀园(西苑) 2室1厅 南,整租,民乐城秀园(西苑),浦东-惠南-民乐城秀园(西苑),72.00,2室1厅,南,,2900,40.3,,,https://sh.lianjia.com/zufang/SH2151517472027574272.html,2026-04-23 00:30:51,31.06941,121.74057
huinan,整租·惠康苑西苑 2室1厅 南,整租,惠康苑西苑,浦东-惠南-惠康苑西苑,82.00,2室1厅,南,,2100,25.6,,,https://sh.lianjia.com/zufang/SH2123668908526272512.html,2026-04-23 00:30:04,31.07041,121.73268
huinan,整租·丽水雅苑北苑 1室1厅 南,整租,丽水雅苑北苑,浦东-惠南-丽水雅苑北苑,52.00,1室1厅,南,,2100,40.4,,,https://sh.lianjia.com/zufang/SH2130260571319173120.html,2026-04-23 00:29:50,31.0726,121.75086
huinan,整租·方糖公寓 2室1厅 南,整租,方糖公寓,浦东-惠南-方糖公寓,58.00,2室1厅,南,,1943,33.5,,,https://sh.lianjia.com/zufang/SH1770801638492078080.html,2026-04-23 00:29:52,31.03873,121.73
huinan,整租·文益街7号 1室0厅 南,整租,文益街7号,浦东-惠南-文益街,37.00,1室0厅,南,,1805,48.8,,,https://sh.lianjia.com/zufang/SH1823952334330265600.html,2026-04-23 00:29:52,31.056366,121.760952
huinan,整租·桃源二村 2室1厅 南,整租,桃源二村,浦东-惠南-桃源二村,90.68,2室1厅,南,,2600,28.7,,,https://sh.lianjia.com/zufang/SH1687321889984217088.html,2026-04-23 00:31:09,31.05745,121.75264
huinan,整租·惠益新苑 2室1厅 南,整租,惠益新苑,浦东-惠南-惠益新苑,78.00,2室1厅,南,,1950,25.0,,,https://sh.lianjia.com/zufang/SH1766379930645430272.html,2026-04-23 00:29:52,31.06234,121.73461
huinan,整租·德盈佳园 2室1厅 南,整租,德盈佳园,浦东-惠南-德盈佳园,82.77,2室1厅,南,,2223,26.9,,,https://sh.lianjia.com/zufang/SH1772601627904049152.html,2026-04-23 00:29:52,31.0592,121.79468
huinan,整租·远洋万和四季 3室2厅 南,整租,远洋万和四季,浦东-惠南-远洋万和四季,89.57,3室2厅,南,,2800,31.3,,,https://sh.lianjia.com/zufang/SH2153438335853395968.html,2026-04-23 00:31:48,31.067505,121.779756
huinan,整租·远洋万和四季 2室1厅 南,整租,远洋万和四季,浦东-惠南-远洋万和四季,80.84,2室1厅,南,,2500,30.9,,,https://sh.lianjia.com/zufang/SH2120519501903560704.html,2026-04-23 00:29:52,31.067505,121.779756
huinan,整租·听潮一村 2室1厅 南,整租,听潮一村,浦东-惠南-听潮一村,53.00,2室1厅,南,,2346,44.3,,,https://sh.lianjia.com/zufang/SH1738048751362113536.html,2026-04-23 00:31:09,31.001,121.81254
huinan,整租·惠南一方新城（三期） 2室2厅 南,整租,惠南一方新城（三期）,浦东-惠南-惠南一方新城,95.00,2室2厅,南,,3500,36.8,,,https://sh.lianjia.com/zufang/SH2021954402079735808.html,2026-04-23 00:31:39,31.03798,121.73367
huinan,整租·东城时代华庭 5室2厅 南,整租,东城时代华庭,浦东-惠南-东城时代华庭,220.00,5室2厅,南,,11000,50.0,,,https://sh.lianjia.com/zufang/SH2124372775542980608.html,2026-04-23 00:30:04,31.05366,121.76954
huinan,整租·民乐城玉秀苑西苑 2室1厅 南,整租,民乐城玉秀苑西苑,浦东-惠南-民乐城玉秀苑西苑,83.05,2室1厅,南,,2800,33.7,,,https://sh.lianjia.com/zufang/SH2141754554771832832.html,2026-04-23 00:30:11,31.07206,121.73572
huinan,整租·华钜御庭(三期) 6室2厅 复式 南,整租,华钜御庭(三期),浦东-惠南-华钜御庭(三期),241.36,6室2厅,,,8300,34.4,,,https://sh.lianjia.com/zufang/SH2108095755641159680.html,2026-04-23 00:29:52,31.05798,121.76689
huinan,整租·泰燕华庭 2室1厅 南,整租,泰燕华庭,浦东-惠南-泰燕华庭,99.31,2室1厅,南,,2500,25.2,,,https://sh.lianjia.com/zufang/SH2140460965701877760.html,2026-04-23 00:29:52,31.0392,121.73828
huinan,整租·福汇二村 2室1厅 南,整租,福汇二村,浦东-惠南-福汇二村,111.99,2室1厅,南,,2000,17.9,,,https://sh.lianjia.com/zufang/SH2067172499761659904.html,2026-04-23 00:30:04,31.04192,121.75423
huinan,整租·民乐城泓瀚苑 1室1厅 南,整租,民乐城泓瀚苑,浦东-惠南-民乐城泓瀚苑,53.79,1室1厅,南,,2500,46.5,,,https://sh.lianjia.com/zufang/SH2139619825939382272.html,2026-04-23 00:29:52,31.07206,121.73572
huinan,整租·布鲁斯小镇(一期) 2室1厅 南/北,整租,布鲁斯小镇(一期),浦东-惠南-布鲁斯小镇(一期),70.60,2室1厅,南/北,,2600,36.8,,,https://sh.lianjia.com/zufang/SH2123300222850301952.html,2026-04-23 00:30:04,31.03682,121.7592
huinan,整租·听潮六村 7室3厅 南/北,整租,听潮六村,浦东-惠南-听潮六村,245.90,7室3厅,南/北,,12000,48.8,,,https://sh.lianjia.com/zufang/SH2118980774429458432.html,2026-04-23 00:29:52,31.04713,121.73926
huinan,整租·民乐城建欣苑东苑 2室2厅 南,整租,民乐城建欣苑东苑,浦东-惠南-民乐城建欣苑东苑,82.00,2室2厅,南,,2900,35.4,,,https://sh.lianjia.com/zufang/SH2101179572950138880.html,2026-04-23 00:29:52,31.059123,121.74034
huinan,整租·绿地峰汇 2室1厅 东北,整租,绿地峰汇,浦东-惠南-绿地峰汇,96.00,2室1厅,东北,,3000,31.2,,,https://sh.lianjia.com/zufang/SH2106412291032350720.html,2026-04-23 00:29:52,31.04164,121.7452
huinan,整租·东城花苑二村一区 2室2厅 南/北,整租,东城花苑二村一区,浦东-惠南-东城花苑二村一区,97.28,2室2厅,南/北,,2500,25.7,,,https://sh.lianjia.com/zufang/SH2120782965624537088.html,2026-04-23 00:29:52,31.05248,121.76487
huinan,整租·华钜御庭(二期) 2室2厅 南,整租,华钜御庭(二期),浦东-惠南-华钜御庭(二期),90.80,2室2厅,南,,3700,40.7,,,https://sh.lianjia.com/zufang/SH2141212647771602944.html,2026-04-23 00:29:52,31.05783,121.77011
huinan,整租·新凤凰城 6室3厅 复式 南,整租,新凤凰城,浦东-惠南-新凤凰城,220.70,6室3厅,,,10000,45.3,,,https://sh.lianjia.com/zufang/SH2124375254884155392.html,2026-04-23 00:30:04,31.05576,121.76702
huinan,整租·东城时代华庭 1室1厅 南,整租,东城时代华庭,浦东-惠南-东城时代华庭,59.70,1室1厅,南,,2600,43.6,,,https://sh.lianjia.com/zufang/SH2155993906414616576.html,2026-04-23 00:29:52,31.05366,121.76954
huinan,整租·民乐城汇雅苑南苑 2室1厅 南,整租,民乐城汇雅苑南苑,浦东-惠南-民乐城汇雅苑南苑,71.61,2室1厅,南,,3200,44.7,,,https://sh.lianjia.com/zufang/SH2140334727523991552.html,2026-04-23 00:29:52,31.07285,121.74656
huinan,整租·新凤凰城 2室2厅 南,整租,新凤凰城,浦东-惠南-新凤凰城,107.00,2室2厅,南,,3500,32.7,,,https://sh.lianjia.com/zufang/SH2067104914022072320.html,2026-04-23 00:29:52,31.05576,121.76702
