region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huixinxijie,整租·世纪嘉园 4室1厅 南,整租,世纪嘉园,朝阳区-惠新西街-世纪嘉园,173.00,4室1厅,南,,14200,82.1,,,https://bj.lianjia.com/zufang/BJ2145570850596716544.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新南里1号院 3室1厅 南/北,整租,惠新南里1号院,朝阳区-惠新西街-惠新南里,80.81,3室1厅,南/北,,6800,84.1,,,https://bj.lianjia.com/zufang/BJ2159658377410510848.html,2026-05-02 20:51:10,,
huixinxijie,整租·小关东里10号院 1室1厅 南,整租,小关东里10号院,朝阳区-惠新西街-小关东里,38.80,1室1厅,南,,5300,136.6,,,https://bj.lianjia.com/zufang/BJ2156426920621768704.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新西街33号院 1室1厅 南,整租,惠新西街33号院,朝阳区-惠新西街-惠新西街,47.14,1室1厅,南,,7200,152.7,,,https://bj.lianjia.com/zufang/BJ2152249906926977024.html,2026-05-02 20:50:43,,
huixinxijie,整租·樱花园 2室1厅 南/北,整租,樱花园,朝阳区-惠新西街-樱花园,60.00,2室1厅,南/北,,5600,93.3,,,https://bj.lianjia.com/zufang/BJ2128753825366933504.html,2026-05-02 20:51:01,,
huixinxijie,独栋·好房子 安贞店 【惠新西街南口】医院旁 新装修 首次住 随时看 长短均可 1室1厅,独栋,好房子 安贞店 【惠新西街南口】医院旁 新装修 首次住 随时看 长短均可,,25.20,1室1厅,,,5280,209.5,,,https://bj.lianjia.com/apartment/107097.html,2026-05-02 20:50:45,,
huixinxijie,整租·安苑东里一区 2室1厅 南/北,整租,安苑东里一区,朝阳区-惠新西街-安苑东里一区,56.79,2室1厅,南/北,,6600,116.2,,,https://bj.lianjia.com/zufang/BJ2156582114403811328.html,2026-05-02 20:50:43,,
huixinxijie,整租·胜古南里 2室1厅 南/北,整租,胜古南里,朝阳区-惠新西街-胜古南里,57.52,2室1厅,南/北,,6800,118.2,,,https://bj.lianjia.com/zufang/BJ2154860739565715456.html,2026-05-02 20:50:43,,
huixinxijie,整租·千鹤家园 2室1厅 东,整租,千鹤家园,朝阳区-惠新西街-千鹤家园,109.80,2室1厅,东,,8500,77.4,,,https://bj.lianjia.com/zufang/BJ1970366917386436608.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新里小区 2室1厅 南/北,整租,惠新里小区,朝阳区-惠新西街-惠新里小区,58.44,2室1厅,南/北,,6000,102.7,,,https://bj.lianjia.com/zufang/BJ2146607996724051968.html,2026-05-02 20:50:43,,
huixinxijie,整租·北京书院 2室1厅 东,整租,北京书院,朝阳区-惠新西街-北京书院,94.00,2室1厅,东,,13800,146.8,,,https://bj.lianjia.com/zufang/BJ2157085385560162304.html,2026-05-02 20:50:43,,
huixinxijie,整租·小关东街 1室1厅 南,整租,小关东街,朝阳区-惠新西街-小关东街,41.80,1室1厅,南,,5400,129.2,,,https://bj.lianjia.com/zufang/BJ2028072062735613952.html,2026-05-02 20:51:01,,
huixinxijie,整租·胜古北里 1室1厅 南,整租,胜古北里,朝阳区-惠新西街-胜古北里,49.32,1室1厅,南,,5200,105.4,,,https://bj.lianjia.com/zufang/BJ2147998749668933632.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新里小区 2室1厅 南/北,整租,惠新里小区,朝阳区-惠新西街-惠新里小区,58.32,2室1厅,南/北,,6200,106.3,,,https://bj.lianjia.com/zufang/BJ2152326206190518272.html,2026-05-02 20:50:43,,
huixinxijie,整租·樱花园 1室1厅 南,整租,樱花园,朝阳区-惠新西街-樱花园,40.00,1室1厅,南,,5250,131.2,,,https://bj.lianjia.com/zufang/BJ1854129217223000064.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新里小区 3室1厅 南/北,整租,惠新里小区,朝阳区-惠新西街-惠新里小区,75.24,3室1厅,南/北,,8600,114.3,,,https://bj.lianjia.com/zufang/BJ2144301484672548864.html,2026-05-02 20:50:43,,
huixinxijie,整租·城市出品 1室1厅 南,整租,城市出品,朝阳区-惠新西街-城市出品,53.35,1室1厅,南,,6800,127.5,,,https://bj.lianjia.com/zufang/BJ2144316559131148288.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新北里 2室1厅 南,整租,惠新北里,朝阳区-惠新西街-惠新北里,68.00,2室1厅,南,,6000,88.2,,,https://bj.lianjia.com/zufang/BJ2026670723489071104.html,2026-05-02 20:51:01,,
huixinxijie,整租·胜古南里 1室1厅 南,整租,胜古南里,朝阳区-惠新西街-胜古南里,42.00,1室1厅,南,,5900,140.5,,,https://bj.lianjia.com/zufang/BJ2157712175739699200.html,2026-05-02 20:50:43,,
huixinxijie,整租·小关北里 1室1厅 南/北,整租,小关北里,朝阳区-惠新西街-小关北里,54.60,1室1厅,南/北,,6100,111.7,,,https://bj.lianjia.com/zufang/BJ2157112457523363840.html,2026-05-02 20:50:43,,
huixinxijie,整租·小关北里 2室1厅 东,整租,小关北里,朝阳区-惠新西街-小关北里,78.04,2室1厅,东,,7500,96.1,,,https://bj.lianjia.com/zufang/BJ1850824365877231616.html,2026-05-02 20:50:43,,
huixinxijie,整租·小关北里 2室1厅 南/北,整租,小关北里,朝阳区-惠新西街-小关北里,60.76,2室1厅,南/北,,7100,116.9,,,https://bj.lianjia.com/zufang/BJ2159866618631421952.html,2026-05-02 20:50:43,,
huixinxijie,整租·胜古北里 1室1厅 南,整租,胜古北里,朝阳区-惠新西街-胜古北里,58.56,1室1厅,南,,6000,102.5,,,https://bj.lianjia.com/zufang/BJ2150201401391710208.html,2026-05-02 20:50:43,,
huixinxijie,整租·安苑东里三区 2室1厅 南/北,整租,安苑东里三区,朝阳区-惠新西街-安苑东里三区,68.69,2室1厅,南/北,,7200,104.8,,,https://bj.lianjia.com/zufang/BJ1799359033618989056.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新北里2号院 2室1厅 东/西,整租,惠新北里2号院,朝阳区-惠新西街-惠新北里,53.54,2室1厅,东/西,,7000,130.7,,,https://bj.lianjia.com/zufang/BJ2152332444424994816.html,2026-05-02 20:50:43,,
huixinxijie,整租·惠新里小区 3室1厅 南/北,整租,惠新里小区,朝阳区-惠新西街-惠新里小区,63.30,3室1厅,南/北,,7500,118.5,,,https://bj.lianjia.com/zufang/BJ2083139591774142464.html,2026-05-02 20:51:01,,
huixinxijie,整租·胜古馨园 3室2厅 南/北,整租,胜古馨园,朝阳区-惠新西街-胜古馨园,166.98,3室2厅,南/北,,21000,125.8,,,https://bj.lianjia.com/zufang/BJ2155213141435219968.html,2026-05-02 20:50:43,,
huixinxijie,整租·城市出品 1室1厅 东,整租,城市出品,朝阳区-惠新西街-城市出品,53.00,1室1厅,东,,6300,118.9,,,https://bj.lianjia.com/zufang/BJ2131948040712355840.html,2026-05-02 20:50:45,,
huixinxijie,整租·小关北里 2室1厅 东南/西南,整租,小关北里,朝阳区-惠新西街-小关北里,77.11,2室1厅,东南/西南,,7000,90.8,,,https://bj.lianjia.com/zufang/BJ1895343037307944960.html,2026-05-02 20:50:45,,
huixinxijie,整租·樱花园 3室1厅 东/北,整租,樱花园,朝阳区-惠新西街-樱花园,74.74,3室1厅,东/北,,8500,113.7,,,https://bj.lianjia.com/zufang/BJ2155277516997132288.html,2026-05-02 20:50:45,,
huixinxijie,整租·城市出品 1室1厅 西,整租,城市出品,朝阳区-惠新西街-城市出品,53.35,1室1厅,西,,6000,112.5,,,https://bj.lianjia.com/zufang/BJ2138261310880612352.html,2026-05-02 20:50:45,,
huixinxijie,整租·千鹤家园 3室1厅 东南/南,整租,千鹤家园,朝阳区-惠新西街-千鹤家园,129.23,3室1厅,东南/南,,13000,100.6,,,https://bj.lianjia.com/zufang/BJ2041762308794875904.html,2026-05-02 20:50:45,,
huixinxijie,整租·惠新里小区 3室1厅 东/西,整租,惠新里小区,朝阳区-惠新西街-惠新里小区,70.20,3室1厅,东/西,,6400,91.2,,,https://bj.lianjia.com/zufang/BJ2129483330343665664.html,2026-05-02 20:50:45,,
huixinxijie,整租·惠新里小区 3室1厅 南/北,整租,惠新里小区,朝阳区-惠新西街-惠新里小区,75.30,3室1厅,南/北,,7900,104.9,,,https://bj.lianjia.com/zufang/BJ2139629290994532352.html,2026-05-02 20:50:45,,
huixinxijie,整租·小关东里8号院 2室1厅 南/北,整租,小关东里8号院,朝阳区-惠新西街-小关东里,54.48,2室1厅,南/北,,6600,121.1,,,https://bj.lianjia.com/zufang/BJ2158439762938036224.html,2026-05-02 20:51:01,,
huixinxijie,整租·樱花园 1室1厅 南,整租,樱花园,朝阳区-惠新西街-樱花园,40.00,1室1厅,南,,5900,147.5,,,https://bj.lianjia.com/zufang/BJ2148269618236489728.html,2026-05-02 20:50:45,,
huixinxijie,整租·小关东街 2室1厅 南/北,整租,小关东街,朝阳区-惠新西街-小关东街,55.00,2室1厅,南/北,,6800,123.6,,,https://bj.lianjia.com/zufang/BJ2155631782190383104.html,2026-05-02 20:50:45,,
huixinxijie,整租·胜古北里 2室1厅 南/北,整租,胜古北里,朝阳区-惠新西街-胜古北里,60.00,2室1厅,南/北,,6500,108.3,,,https://bj.lianjia.com/zufang/BJ2153802492326969344.html,2026-05-02 20:50:45,,
huixinxijie,整租·樱花园 1室1厅 南,整租,樱花园,朝阳区-惠新西街-樱花园,46.99,1室1厅,南,,5800,123.4,,,https://bj.lianjia.com/zufang/BJ2156453638006898688.html,2026-05-02 20:50:45,,
huixinxijie,整租·胜古北里 2室1厅 南/北,整租,胜古北里,朝阳区-惠新西街-胜古北里,55.00,2室1厅,南/北,,5800,105.5,,,https://bj.lianjia.com/zufang/BJ2156972868208951296.html,2026-05-02 20:50:45,,
huixinxijie,整租·惠新北里 2室1厅 东南,整租,惠新北里,朝阳区-惠新西街-惠新北里,78.68,2室1厅,东南,,6500,82.6,,,https://bj.lianjia.com/zufang/BJ2149451698853117952.html,2026-05-02 20:51:01,,
huixinxijie,整租·樱花园 2室1厅 西/北,整租,樱花园,朝阳区-惠新西街-樱花园,56.25,2室1厅,西/北,,6500,115.6,,,https://bj.lianjia.com/zufang/BJ2155945204438269952.html,2026-05-02 20:50:45,,
huixinxijie,整租·惠新西街小区 2室1厅 南,整租,惠新西街小区,朝阳区-惠新西街-惠新西街小区,64.00,2室1厅,南,,6700,104.7,,,https://bj.lianjia.com/zufang/BJ2154786385859444736.html,2026-05-02 20:50:45,,
huixinxijie,整租·安苑东里一区 1室1厅 北,整租,安苑东里一区,朝阳区-惠新西街-安苑东里一区,33.49,1室1厅,北,,5500,164.2,,,https://bj.lianjia.com/zufang/BJ2028470124599574528.html,2026-05-02 20:51:01,,
