region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
huoying,整租·紫金书院 5室1厅 西南/北,整租,紫金书院,昌平区-霍营-紫金书院,147.00,5室1厅,西南/北,,12500,85.0,,,https://bj.lianjia.com/zufang/BJ2131424637865689088.html,2026-05-02 21:40:42,,
huoying,整租·紫金新干线 4室1厅 南/北,整租,紫金新干线,昌平区-霍营-紫金新干线,150.79,4室1厅,南/北,,9900,65.7,,,https://bj.lianjia.com/zufang/BJ2157093593888587776.html,2026-05-02 21:40:42,,
huoying,整租·天鑫家园 4室1厅 南/北,整租,天鑫家园,昌平区-霍营-天鑫家园,112.78,4室1厅,南/北,,6500,57.6,,,https://bj.lianjia.com/zufang/BJ2144272422914752512.html,2026-05-02 21:40:42,,
huoying,整租·龙锦苑东二区 3室1厅 南/北,整租,龙锦苑东二区,昌平区-霍营-龙锦苑东二区,124.43,3室1厅,南/北,,6200,49.8,,,https://bj.lianjia.com/zufang/BJ2141120270822277120.html,2026-05-02 21:40:42,,
huoying,整租·紫金书院 5室1厅 南/北,整租,紫金书院,昌平区-霍营-紫金书院,146.00,5室1厅,南/北,,12800,87.7,,,https://bj.lianjia.com/zufang/BJ2151594514609864704.html,2026-05-02 21:40:42,,
huoying,合租·龙锦苑东五区 5居室 北卧,合租,龙锦苑东五区 5居室 北卧,昌平-霍营-龙锦苑东五区,13.00,,,,1500,115.4,,,https://bj.lianjia.com/zufang/BJ2158852652773933056.html,2026-05-02 21:40:42,,
huoying,整租·紫金新干线二期 2室1厅 南/北,整租,紫金新干线二期,昌平区-霍营-紫金新干线二期,89.71,2室1厅,南/北,,6100,68.0,,,https://bj.lianjia.com/zufang/BJ2146568425541992448.html,2026-05-02 21:40:42,,
huoying,整租·紫金新干线 1室1厅 南,整租,紫金新干线,昌平区-霍营-紫金新干线,46.85,1室1厅,南,,4500,96.1,,,https://bj.lianjia.com/zufang/BJ2142202996723810304.html,2026-05-02 21:40:42,,
huoying,整租·华龙苑北里 1室1厅 西南,整租,华龙苑北里,昌平区-霍营-华龙苑北里,52.37,1室1厅,西南,,4500,85.9,,,https://bj.lianjia.com/zufang/BJ2157106669165740032.html,2026-05-02 21:40:42,,
huoying,整租·紫金新干线四区 2室1厅 南,整租,紫金新干线四区,昌平区-霍营-紫金新干线四区,73.40,2室1厅,南,,5500,74.9,,,https://bj.lianjia.com/zufang/BJ2154593224214183936.html,2026-05-02 21:40:42,,
huoying,整租·紫金新干线二期 2室1厅 南/北,整租,紫金新干线二期,昌平区-霍营-紫金新干线二期,91.45,2室1厅,南/北,,6000,65.6,,,https://bj.lianjia.com/zufang/BJ2158586367188140032.html,2026-05-02 21:40:42,,
huoying,整租·龙锦苑东二区 2室1厅 南/北,整租,龙锦苑东二区,昌平区-霍营-龙锦苑东二区,101.46,2室1厅,南/北,,6090,60.0,,,https://bj.lianjia.com/zufang/BJ2157794393161990144.html,2026-05-02 21:40:42,,
huoying,整租·慧龙居 2室1厅 南/北,整租,慧龙居,昌平区-霍营-慧龙居,82.44,2室1厅,南/北,,5700,69.1,,,https://bj.lianjia.com/zufang/BJ2157019183877980160.html,2026-05-02 21:40:42,,
huoying,整租·华龙苑南里 2室1厅 南/北,整租,华龙苑南里,昌平区-霍营-华龙苑南里,76.00,2室1厅,南/北,,4900,64.5,,,https://bj.lianjia.com/zufang/BJ2160311102599069696.html,2026-05-02 21:40:42,,
huoying,整租·龙锦苑东三区 2室1厅 南/北,整租,龙锦苑东三区,昌平区-霍营-龙锦苑东三区,101.44,2室1厅,南/北,,5500,54.2,,,https://bj.lianjia.com/zufang/BJ1905921654324723712.html,2026-05-02 21:40:42,,
huoying,独栋·芷岸 芷岸乐乎霍营东店 昌平 18号霍营东带露台 直达上地 西二旗 中关村软件园 万家灯火 1室1厅,独栋,芷岸 芷岸乐乎霍营东店 昌平 18号霍营东带露台 直达上地 西二旗 中关村软件园 万家灯火,,25.00,1室1厅,,,4000,160.0,,,https://bj.lianjia.com/apartment/105736.html,2026-05-02 21:40:42,,
huoying,整租·华龙苑北里 2室1厅 南/北,整租,华龙苑北里,昌平区-霍营-华龙苑北里,90.86,2室1厅,南/北,,5900,64.9,,,https://bj.lianjia.com/zufang/BJ2157826508020776960.html,2026-05-02 21:40:42,,
huoying,整租·紫金新干线 2室1厅 南/北,整租,紫金新干线,昌平区-霍营-紫金新干线,86.23,2室1厅,南/北,,5200,60.3,,,https://bj.lianjia.com/zufang/BJ2160962633572810752.html,2026-05-02 21:40:42,,
huoying,整租·龙锦苑东四区 2室1厅 南/北,整租,龙锦苑东四区,昌平区-霍营-龙锦苑东四区,101.75,2室1厅,南/北,,5800,57.0,,,https://bj.lianjia.com/zufang/BJ2159971071749521408.html,2026-05-02 21:40:42,,
huoying,整租·华龙苑南里 3室1厅 南/北,整租,华龙苑南里,昌平区-霍营-华龙苑南里,80.00,3室1厅,南/北,,5800,72.5,,,https://bj.lianjia.com/zufang/BJ2158160101783896064.html,2026-05-02 21:40:42,,
huoying,整租·紫金书院 3室1厅 南/北,整租,紫金书院,昌平区-霍营-紫金书院,107.76,3室1厅,南/北,,8500,78.9,,,https://bj.lianjia.com/zufang/BJ2154200388155211776.html,2026-05-02 21:40:42,,
huoying,整租·龙锦苑东一区 3室2厅 南/北,整租,龙锦苑东一区,昌平区-霍营-龙锦苑东一区,124.16,3室2厅,南/北,,6300,50.7,,,https://bj.lianjia.com/zufang/BJ2154450590829117440.html,2026-05-02 21:40:42,,
huoying,整租·华龙苑南里 2室1厅 南/北,整租,华龙苑南里,昌平区-霍营-华龙苑南里,71.28,2室1厅,南/北,,5700,80.0,,,https://bj.lianjia.com/zufang/BJ2159157942912286720.html,2026-05-02 21:40:42,,
huoying,整租·华龙苑南里 1室1厅 南/北,整租,华龙苑南里,昌平区-霍营-华龙苑南里,45.00,1室1厅,南/北,,4100,91.1,,,https://bj.lianjia.com/zufang/BJ2143329375863439360.html,2026-05-02 21:40:42,,
huoying,整租·紫金书院 5室2厅 南/西/北,整租,紫金书院,昌平区-霍营-紫金书院,144.88,5室2厅,南/西/北,,12800,88.3,,,https://bj.lianjia.com/zufang/BJ2149882689388281856.html,2026-05-02 21:40:42,,
huoying,整租·龙锦苑东四区 3室1厅 南/北,整租,龙锦苑东四区,昌平区-霍营-龙锦苑东四区,100.26,3室1厅,南/北,,5800,57.8,,,https://bj.lianjia.com/zufang/BJ2141544117270740992.html,2026-05-02 21:40:42,,
huoying,独栋·城家公寓 城家公寓北京回龙观霍营地铁站店 返工季租房有礼 近地铁13&8号线霍营地铁站，免中介费！免费健身房！可开票！一居室外景大床房 开间,独栋,城家公寓 城家公寓北京回龙观霍营地铁站店 返工季租房有礼 近地铁13&8号线霍营地铁站，免中介费！免费健身房！可开票！一居室外景大床房 开间,,22.29,,,,3450,154.8,,,https://bj.lianjia.com/apartment/27843.html,2026-05-02 21:40:42,,
huoying,整租·龙锦苑东一区 2室1厅 南/北,整租,龙锦苑东一区,昌平区-霍营-龙锦苑东一区,98.87,2室1厅,南/北,,5200,52.6,,,https://bj.lianjia.com/zufang/BJ1882787221455503360.html,2026-05-02 21:40:42,,
