region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jianguomennei,整租·西总布胡同 2室1厅 南/北,整租,西总布胡同,东城区-建国门内-西总布胡同,58.47,2室1厅,南/北,,7200,123.1,,,https://bj.lianjia.com/zufang/BJ2145085313477771264.html,2026-05-02 20:07:19,39.910526,116.415998
jianguomennei,整租·西总布胡同55号院 2室1厅 南/北,整租,西总布胡同55号院,东城区-建国门内-西总布胡同,55.00,2室1厅,南/北,,7400,134.5,,,https://bj.lianjia.com/zufang/BJ1862462716921249792.html,2026-05-02 20:07:19,39.91091,116.412855
jianguomennei,整租·大羊宜宾胡同35号院 2室1厅 南/北,整租,大羊宜宾胡同35号院,东城区-建国门内-大羊宜宾胡同,59.10,2室1厅,南/北,,4900,82.9,,,https://bj.lianjia.com/zufang/BJ2150820485523308544.html,2026-05-02 20:07:19,39.911766,116.421368
jianguomennei,整租·贡院九号 2室2厅 南/北,整租,贡院九号,东城区-建国门内-贡院九号,159.89,2室2厅,南/北,,20000,125.1,,,https://bj.lianjia.com/zufang/BJ2142161086156111872.html,2026-05-02 20:07:19,39.909246,116.423681
jianguomennei,整租·恒基中心 3室1厅 东南,整租,恒基中心,东城区-建国门内-恒基中心,168.14,3室1厅,东南,,17000,101.1,,,https://bj.lianjia.com/zufang/BJ2144463082447962112.html,2026-05-02 20:07:19,39.901476,116.412831
jianguomennei,独栋·芷岸 建融家园建国门店 开间68平 1室1厅,独栋,芷岸 建融家园建国门店 开间68平,,68.00,1室1厅,,,10000,147.1,,,https://bj.lianjia.com/apartment/87274.html,2026-05-02 20:07:19,39.874882,116.630125
jianguomennei,整租·恒基中心 3室1厅 西北,整租,恒基中心,东城区-建国门内-恒基中心,160.56,3室1厅,西北,,17000,105.9,,,https://bj.lianjia.com/zufang/BJ2079513012573569024.html,2026-05-02 20:07:19,39.901476,116.412831
jianguomennei,整租·恒基中心 3室2厅 东,整租,恒基中心,东城区-建国门内-恒基中心,188.30,3室2厅,东,,22600,120.0,,,https://bj.lianjia.com/zufang/BJ2105979495981776896.html,2026-05-02 20:07:19,39.901476,116.412831
jianguomennei,整租·赵堂子胡同 1室1厅 南,整租,赵堂子胡同,东城区-建国门内-赵堂子胡同,51.17,1室1厅,南,,6300,123.1,,,https://bj.lianjia.com/zufang/BJ2159625000473067520.html,2026-05-02 20:07:19,39.912476,116.423474
jianguomennei,整租·贡院九号 2室2厅 南,整租,贡院九号,东城区-建国门内-贡院九号,156.83,2室2厅,南,,21000,133.9,,,https://bj.lianjia.com/zufang/BJ2139272347155169280.html,2026-05-02 20:07:19,39.909246,116.423681
jianguomennei,整租·恒基中心 3室2厅 东,整租,恒基中心,东城区-建国门内-恒基中心,170.00,3室2厅,东,,20000,117.6,,,https://bj.lianjia.com/zufang/BJ2123674633839312896.html,2026-05-02 20:07:19,39.901476,116.412831
jianguomennei,整租·雅安国际公寓 2室1厅 东南/东北,整租,雅安国际公寓,东城区-建国门内-雅安国际公寓,149.27,2室1厅,东南/东北,,15225,102.0,,,https://bj.lianjia.com/zufang/BJ2161123326888509440.html,2026-05-02 20:07:19,39.901476,116.412831
jianguomennei,整租·建国门北大街5号 1室1厅 南,整租,建国门北大街5号,东城区-建国门内-建国门北大街,67.44,1室1厅,南,,7500,111.2,,,https://bj.lianjia.com/zufang/BJ2125237551395504128.html,2026-05-02 20:07:19,39.912597,116.427374
jianguomennei,整租·贡院九号 2室1厅 南,整租,贡院九号,东城区-建国门内-贡院九号,156.00,2室1厅,南,,20000,128.2,,,https://bj.lianjia.com/zufang/BJ2159948925547577344.html,2026-05-02 20:07:19,39.909246,116.423681
jianguomennei,整租·外交部街33号院 3室1厅 南/北,整租,外交部街33号院,东城区-建国门内-外交部街,134.50,3室1厅,南/北,,15750,117.1,,,https://bj.lianjia.com/zufang/BJ1984947531917819904.html,2026-05-02 20:07:19,39.911485,116.414517
jianguomennei,整租·贡院九号 5室1厅 东/南/北,整租,贡院九号,东城区-建国门内-贡院九号,438.26,5室1厅,东/南/北,,100000,228.2,,,https://bj.lianjia.com/zufang/BJ2127354750759337984.html,2026-05-02 20:07:19,39.909246,116.423681
jianguomennei,整租·恒基中心 3室2厅 东,整租,恒基中心,东城区-建国门内-恒基中心,160.56,3室2厅,东,,17000,105.9,,,https://bj.lianjia.com/zufang/BJ2117226647982702592.html,2026-05-02 20:07:19,39.901476,116.412831
jianguomennei,整租·外交部街 2室1厅 南/西/北,整租,外交部街,东城区-建国门内-外交部街,67.42,2室1厅,南/西/北,,7350,109.0,,,https://bj.lianjia.com/zufang/BJ2159294137503842304.html,2026-05-02 20:07:19,39.911485,116.414517
jianguomennei,整租·贡院九号 1室1厅 南,整租,贡院九号,东城区-建国门内-贡院九号,120.00,1室1厅,南,,15000,125.0,,,https://bj.lianjia.com/zufang/BJ2138559064047616000.html,2026-05-02 20:07:19,39.909246,116.423681
jianguomennei,整租·贡院九号 2室1厅 南,整租,贡院九号,东城区-建国门内-贡院九号,144.96,2室1厅,南,,22000,151.8,,,https://bj.lianjia.com/zufang/BJ2154059949833977856.html,2026-05-02 20:07:19,39.909246,116.423681
jianguomennei,整租·东总布胡同 2室1厅 南/北,整租,东总布胡同,东城区-建国门内-东总布胡同,57.27,2室1厅,南/北,,6800,118.7,,,https://bj.lianjia.com/zufang/BJ1647903794681348096.html,2026-05-02 20:07:19,39.910656,116.425854
jianguomennei,整租·外交部街33号院 2室1厅 南/北,整租,外交部街33号院,东城区-建国门内-外交部街,64.00,2室1厅,南/北,,11000,171.9,,,https://bj.lianjia.com/zufang/BJ2149354747675541504.html,2026-05-02 20:07:19,39.911485,116.414517
jianguomennei,整租·西总布胡同55号院 2室1厅 南/北,整租,西总布胡同55号院,东城区-建国门内-西总布胡同,54.88,2室1厅,南/北,,7000,127.6,,,https://bj.lianjia.com/zufang/BJ2137864783846703104.html,2026-05-02 20:07:19,39.91091,116.412855
jianguomennei,整租·大羊宜宾胡同35号院 1室1厅 南,整租,大羊宜宾胡同35号院,东城区-建国门内-大羊宜宾胡同,41.30,1室1厅,南,,5775,139.8,,,https://bj.lianjia.com/zufang/BJ2011797528336400384.html,2026-05-02 20:07:19,39.911766,116.421368
jianguomennei,整租·雅安国际公寓 3室1厅 东南/东北,整租,雅安国际公寓,东城区-建国门内-雅安国际公寓,173.21,3室1厅,东南/东北,,20000,115.5,,,https://bj.lianjia.com/zufang/BJ2146813517896876032.html,2026-05-02 20:07:19,39.901476,116.412831
jianguomennei,整租·外交部街33号院 2室1厅 南,整租,外交部街33号院,东城区-建国门内-外交部街,63.38,2室1厅,南,,9975,157.4,,,https://bj.lianjia.com/zufang/BJ2021818476112379904.html,2026-05-02 20:07:19,39.911485,116.414517
jianguomennei,整租·恒基中心 3室1厅 西北,整租,恒基中心,东城区-建国门内-恒基中心,160.55,3室1厅,西北,,17500,109.0,,,https://bj.lianjia.com/zufang/BJ2151172346830913536.html,2026-05-02 20:07:19,39.901476,116.412831
