region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
交道口,整租·白米仓胡同 5室1厅 东/南/西/北,整租,白米仓胡同,东城区-交道口-白米仓胡同,200.00,5室1厅,东/南/西/北,,39000,195.0,,,https://bj.lianjia.com/zufang/BJ1979394309056626688.html,2026-05-02 20:05:23,39.935097,116.408294
交道口,整租·土儿胡同 2室1厅 南/北,整租,土儿胡同,东城区-交道口-土儿胡同,66.93,2室1厅,南/北,,11000,164.4,,,https://bj.lianjia.com/zufang/BJ2149485878454517760.html,2026-05-02 20:05:23,39.938669,116.40704
交道口,整租·交道口北二条35号院 2室1厅 南/北,整租,交道口北二条35号院,东城区-交道口-交道口北二条,54.81,2室1厅,南/北,,8300,151.4,,,https://bj.lianjia.com/zufang/BJ2157757074954518528.html,2026-05-02 20:05:23,39.938886,116.392888
交道口,整租·交道口东大街 2室1厅 南,整租,交道口东大街,东城区-交道口-交道口东大街,72.00,2室1厅,南,,12800,177.8,,,https://bj.lianjia.com/zufang/BJ2155981362618695680.html,2026-05-02 20:05:23,39.939166,116.409368
交道口,整租·香饵胡同 2室1厅 复式 西/北,整租,香饵胡同,东城区-交道口-香饵胡同,91.07,2室1厅,,,11000,120.8,,,https://bj.lianjia.com/zufang/BJ2144003460993908736.html,2026-05-02 20:05:23,39.937666,116.410348
交道口,独栋·青柚•公寓 南锣鼓巷店 南锣鼓巷/簋街/什刹海商圈，5/6/8号线，高端公寓，开间 开间,独栋,青柚•公寓 南锣鼓巷店 南锣鼓巷/簋街/什刹海商圈，5/6/8号线，高端公寓，开间 开间,,18.00,,,,5400,300.0,,,https://bj.lianjia.com/apartment/103895.html,2026-05-02 20:05:23,39.93577,116.38419
交道口,整租·花梗胡同1号院 2室1厅 南/北,整租,花梗胡同1号院,东城区-交道口-花梗胡同,51.00,2室1厅,南/北,,8700,170.6,,,https://bj.lianjia.com/zufang/BJ2138574270811340800.html,2026-05-02 20:05:23,39.937556,116.406548
交道口,整租·细管胡同 3室1厅 南,整租,细管胡同,东城区-交道口-细管胡同,33.00,3室1厅,南,,6000,181.8,,,https://bj.lianjia.com/zufang/BJ2145878178617360384.html,2026-05-02 20:05:23,39.935806,116.410198
交道口,整租·花梗胡同1号院 1室1厅 南,整租,花梗胡同1号院,东城区-交道口-花梗胡同,36.78,1室1厅,南,,4725,128.5,,,https://bj.lianjia.com/zufang/BJ2127240171245010944.html,2026-05-02 20:05:23,39.937556,116.406548
交道口,整租·交道口东大街 1室1厅 北,整租,交道口东大街,东城区-交道口-交道口东大街,53.46,1室1厅,北,,9500,177.7,,,https://bj.lianjia.com/zufang/BJ2155625042103238656.html,2026-05-02 20:05:23,39.939166,116.409368
交道口,整租·土儿胡同 2室1厅 南/北,整租,土儿胡同,东城区-交道口-土儿胡同,69.88,2室1厅,南/北,,11000,157.4,,,https://bj.lianjia.com/zufang/BJ2148692533973090304.html,2026-05-02 20:05:23,39.938669,116.40704
交道口,整租·香饵胡同 2室1厅 东/西,整租,香饵胡同,东城区-交道口-香饵胡同,70.00,2室1厅,东/西,,11300,161.4,,,https://bj.lianjia.com/zufang/BJ1903723545897205760.html,2026-05-02 20:05:23,39.937666,116.410348
交道口,整租·交道口东大街 3室1厅 南/北,整租,交道口东大街,东城区-交道口-交道口东大街,92.00,3室1厅,南/北,,15000,163.0,,,https://bj.lianjia.com/zufang/BJ2097237654973186048.html,2026-05-02 20:05:23,39.939166,116.409368
交道口,整租·交道口东大街 3室1厅 东/西,整租,交道口东大街,东城区-交道口-交道口东大街,100.88,3室1厅,东/西,,17000,168.5,,,https://bj.lianjia.com/zufang/BJ2123646566802653184.html,2026-05-02 20:05:23,39.939166,116.409368
交道口,整租·桃条胡同 1室1厅 东,整租,桃条胡同,东城区-交道口-桃条胡同,24.47,1室1厅,东,,3900,159.4,,,https://bj.lianjia.com/zufang/BJ1957796488843100160.html,2026-05-02 20:05:23,39.935127,116.405148
交道口,整租·张自忠路 3室1厅 东/西,整租,张自忠路,东城区-交道口-张自忠路,79.00,3室1厅,东/西,,13800,174.7,,,https://bj.lianjia.com/zufang/BJ2152995221971927040.html,2026-05-02 20:05:23,39.93195,116.406761
交道口,整租·方家胡同 2室1厅 南/西,整租,方家胡同,东城区-交道口-方家胡同,15.00,2室1厅,南/西,,3500,233.3,,,https://bj.lianjia.com/zufang/BJ2110699534299430912.html,2026-05-02 20:05:23,39.941616,116.405268
交道口,整租·香饵胡同 1室0厅 北,整租,香饵胡同,东城区-交道口-香饵胡同,6.70,1室0厅,北,,1300,194.0,,,https://bj.lianjia.com/zufang/BJ2105619926780739584.html,2026-05-02 20:05:23,39.937666,116.410348
交道口,整租·交道口东大街 2室1厅 南,整租,交道口东大街,东城区-交道口-交道口东大街,77.80,2室1厅,南,,12800,164.5,,,https://bj.lianjia.com/zufang/BJ2149806778945110016.html,2026-05-02 20:05:23,39.939166,116.409368
交道口,整租·土儿胡同 1室1厅 南,整租,土儿胡同,东城区-交道口-土儿胡同,37.97,1室1厅,南,,8000,210.7,,,https://bj.lianjia.com/zufang/BJ2093613699565617152.html,2026-05-02 20:05:23,39.938669,116.40704
交道口,整租·花梗胡同 1室1厅 复式 南,整租,花梗胡同,东城区-交道口-花梗胡同,11.02,1室1厅,,,3200,290.4,,,https://bj.lianjia.com/zufang/BJ2142942060561301504.html,2026-05-02 20:05:23,39.937446,116.407168
交道口,整租·东旺胡同 1室0厅 东,整租,东旺胡同,东城区-交道口-东旺胡同,30.00,1室0厅,东,,3600,120.0,,,https://bj.lianjia.com/zufang/BJ2113662672036691968.html,2026-05-02 20:05:23,39.935466,116.402878
交道口,整租·大兴胡同 1室1厅 南,整租,大兴胡同,东城区-交道口-大兴胡同,29.20,1室1厅,南,,5200,178.1,,,https://bj.lianjia.com/zufang/BJ2006281530925645824.html,2026-05-02 20:05:23,39.936256,116.402928
交道口,整租·交道口东大街 1室1厅 北,整租,交道口东大街,东城区-交道口-交道口东大街,52.32,1室1厅,北,,7500,143.3,,,https://bj.lianjia.com/zufang/BJ2090704929206304768.html,2026-05-02 20:05:23,39.939166,116.409368
交道口,整租·青碳局胡同 1室1厅 南,整租,青碳局胡同,东城区-交道口-青碳局胡同,11.47,1室1厅,南,,3700,322.6,,,https://bj.lianjia.com/zufang/BJ2104158010153631744.html,2026-05-02 20:05:23,39.938886,116.392888
交道口,整租·大兴胡同 1室1厅 南/北,整租,大兴胡同,东城区-交道口-大兴胡同,15.90,1室1厅,南/北,,4900,308.2,,,https://bj.lianjia.com/zufang/BJ2080994079985893376.html,2026-05-02 20:05:23,39.936256,116.402928
交道口,整租·细管胡同 1室1厅 北,整租,细管胡同,东城区-交道口-细管胡同,11.80,1室1厅,北,,2980,252.5,,,https://bj.lianjia.com/zufang/BJ2044679672851070976.html,2026-05-02 20:05:23,39.935806,116.410198
交道口,整租·白米仓胡同 1室1厅 复式 南,整租,白米仓胡同,东城区-交道口-白米仓胡同,13.60,1室1厅,,,3000,220.6,,,https://bj.lianjia.com/zufang/BJ2138548460255707136.html,2026-05-02 20:05:23,39.935097,116.408294
