region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jinbaojie,整租·凯德华玺 2房间 北,整租,凯德华玺 2房间 北,东城区-金宝街-凯德华玺,75.81,,,,8000,105.5,,,https://bj.lianjia.com/zufang/BJ2155682472115830784.html,2026-05-02 20:07:24,,
jinbaojie,整租·东罗圈胡同11号院 1室1厅 南,整租,东罗圈胡同11号院,东城区-金宝街-东罗圈胡同,43.85,1室1厅,南,,5500,125.4,,,https://bj.lianjia.com/zufang/BJ2070355356793438208.html,2026-05-02 20:07:24,,
jinbaojie,整租·凯德华玺 1房间 北,整租,凯德华玺 1房间 北,东城区-金宝街-凯德华玺,79.20,,,,8500,107.3,,,https://bj.lianjia.com/zufang/BJ2146873825470447616.html,2026-05-02 20:07:24,,
jinbaojie,整租·禾风仕家 3室1厅 东南,整租,禾风仕家,东城区-金宝街-禾风仕家,146.00,3室1厅,东南,,24000,164.4,,,https://bj.lianjia.com/zufang/BJ2103016026705756160.html,2026-05-02 20:07:24,,
jinbaojie,整租·凯德华玺 2房间 北,整租,凯德华玺 2房间 北,东城区-金宝街-凯德华玺,73.68,,,,7300,99.1,,,https://bj.lianjia.com/zufang/BJ2155254520119033856.html,2026-05-02 20:07:24,,
jinbaojie,整租·禾风仕家 1室1厅 南,整租,禾风仕家,东城区-金宝街-禾风仕家,77.67,1室1厅,南,,10690,137.6,,,https://bj.lianjia.com/zufang/BJ2160746154441048064.html,2026-05-02 20:07:24,,
jinbaojie,整租·凯德华玺 2房间 北,整租,凯德华玺 2房间 北,东城区-金宝街-凯德华玺,79.00,,,,9000,113.9,,,https://bj.lianjia.com/zufang/BJ2147971474370068480.html,2026-05-02 20:07:24,,
jinbaojie,整租·禾风仕家 1室1厅 西,整租,禾风仕家,东城区-金宝街-禾风仕家,64.41,1室1厅,西,,9500,147.5,,,https://bj.lianjia.com/zufang/BJ2140451659363385344.html,2026-05-02 20:07:24,,
jinbaojie,整租·鸿安国际大厦 4室2厅 东/西,整租,鸿安国际大厦,东城区-金宝街-鸿安国际大厦,239.35,4室2厅,东/西,,26000,108.6,,,https://bj.lianjia.com/zufang/BJ2105233766472482816.html,2026-05-02 20:07:24,,
jinbaojie,整租·演乐胡同 4室2厅 东/南/北,整租,演乐胡同,东城区-金宝街-演乐胡同,129.53,4室2厅,东/南/北,,16500,127.4,,,https://bj.lianjia.com/zufang/BJ2137485949251092480.html,2026-05-02 20:07:24,,
jinbaojie,整租·禾风仕家 2室1厅 南,整租,禾风仕家,东城区-金宝街-禾风仕家,77.76,2室1厅,南,,12000,154.3,,,https://bj.lianjia.com/zufang/BJ2148733320848998400.html,2026-05-02 20:07:24,,
jinbaojie,整租·禾风仕家 4室1厅 北,整租,禾风仕家,东城区-金宝街-禾风仕家,148.90,4室1厅,北,,16800,112.8,,,https://bj.lianjia.com/zufang/BJ2144783699055476736.html,2026-05-02 20:07:24,,
jinbaojie,整租·演乐胡同 3室1厅 南,整租,演乐胡同,东城区-金宝街-演乐胡同,44.10,3室1厅,南,,8500,192.7,,,https://bj.lianjia.com/zufang/BJ2161682716112715776.html,2026-05-02 20:07:24,,
jinbaojie,整租·干面胡同 1室1厅 南,整租,干面胡同,东城区-金宝街-干面胡同,25.00,1室1厅,南,,4800,192.0,,,https://bj.lianjia.com/zufang/BJ2132017328106242048.html,2026-05-02 20:07:24,,
jinbaojie,整租·鸿安国际大厦 3室2厅 南,整租,鸿安国际大厦,东城区-金宝街-鸿安国际大厦,220.45,3室2厅,南,,26000,117.9,,,https://bj.lianjia.com/zufang/BJ2105233671765098496.html,2026-05-02 20:07:24,,
