region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jinganxincheng,整租·大上海国际花园酒店公寓 1室1厅 南,整租,大上海国际花园酒店公寓,闵行-静安新城-大上海国际花园酒店公寓,65.01,1室1厅,南,,5000,76.9,,,https://sh.lianjia.com/zufang/SH2149510818180366336.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·大上海国际花园 4室2厅 南,整租,大上海国际花园,闵行-静安新城-大上海国际花园,177.29,4室2厅,南,,15000,84.6,,,https://sh.lianjia.com/zufang/SH2156663996868984832.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·九歌花园 1室1厅 东,整租,九歌花园,闵行-静安新城-九歌花园,48.46,1室1厅,东,,5000,103.2,,,https://sh.lianjia.com/zufang/SH2149492588950847488.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,独栋·瑞贝庭公寓 上海漕河泾瑞贝庭公寓酒店 一房行政套房 1室1厅,独栋,瑞贝庭公寓 上海漕河泾瑞贝庭公寓酒店,,52.00,1室1厅,,,13600,261.5,,,https://sh.lianjia.com/apartment/75578.html,2026-04-23 14:42:03,39.965189,116.319707
jinganxincheng,整租·九歌上郡 1室1厅 南,整租,九歌上郡,闵行-静安新城-九歌上郡,65.57,1室1厅,南,,6300,96.1,,,https://sh.lianjia.com/zufang/SH2463067173653331968.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·静安新城五区 2室1厅 南,整租,静安新城五区,闵行-静安新城-静安新城五区,66.45,2室1厅,南,,5200,78.3,,,https://sh.lianjia.com/zufang/SH2153716045527908352.html,2026-04-23 14:42:03,31.16536,121.37921
jinganxincheng,整租·大上海国际花园 1室1厅 南,整租,大上海国际花园,闵行-静安新城-大上海国际花园,70.43,1室1厅,南,,6200,88.0,,,https://sh.lianjia.com/zufang/SH2147897878138322944.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·九歌花园 2室2厅 南,整租,九歌花园,闵行-静安新城-九歌花园,82.00,2室2厅,南,,6800,82.9,,,https://sh.lianjia.com/zufang/SH1905502748556656640.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,独栋·悠享家公寓 虹梅路地铁站店 12号线沿线，拎包入住，押一付一 开间,独栋,悠享家公寓 虹梅路地铁站店,,25.00,,,,3680,147.2,,,https://sh.lianjia.com/apartment/107255.html,2026-04-23 14:42:03,40.218618,116.22774
jinganxincheng,整租·静安新城五区 1室1厅 南,整租,静安新城五区,闵行-静安新城-静安新城五区,51.00,1室1厅,南,,5100,100.0,,,https://sh.lianjia.com/zufang/SH1908432418142945280.html,2026-04-23 14:42:03,31.16536,121.37921
jinganxincheng,整租·静安新城五区 2室1厅 南,整租,静安新城五区,闵行-静安新城-静安新城五区,66.00,2室1厅,南,,5200,78.8,,,https://sh.lianjia.com/zufang/SH2147301555332710400.html,2026-04-23 14:42:03,31.16536,121.37921
jinganxincheng,整租·静安新城十二区 2室2厅 南,整租,静安新城十二区,闵行-静安新城-静安新城十二区,75.42,2室2厅,南,,5900,78.2,,,https://sh.lianjia.com/zufang/SH1985300103748911104.html,2026-04-23 14:42:03,31.16059,121.37401
jinganxincheng,整租·静安新城十区 2室1厅 南,整租,静安新城十区,闵行-静安新城-静安新城十区,71.00,2室1厅,南,,5300,74.6,,,https://sh.lianjia.com/zufang/SH2142629571302785024.html,2026-04-23 14:42:03,31.1631,121.37433
jinganxincheng,整租·大上海国际花园酒店公寓 1室1厅 南,整租,大上海国际花园酒店公寓,闵行-静安新城-大上海国际花园酒店公寓,65.01,1室1厅,南,,5200,80.0,,,https://sh.lianjia.com/zufang/SH2120143874675441664.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·大上海国际花园酒店公寓 1室0厅 东,整租,大上海国际花园酒店公寓,闵行-静安新城-大上海国际花园酒店公寓,22.83,1室0厅,东,,2600,113.9,,,https://sh.lianjia.com/zufang/SH2114704816298000384.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·九歌上郡 3室2厅 南,整租,九歌上郡,闵行-静安新城-九歌上郡,133.71,3室2厅,南,,12500,93.5,,,https://sh.lianjia.com/zufang/SH2084529327055044608.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·静安新城三区 1室1厅 南,整租,静安新城三区,闵行-静安新城-静安新城三区,50.00,1室1厅,南,,5610,112.2,,,https://sh.lianjia.com/zufang/SH1761320486408552448.html,2026-04-23 14:42:03,31.16284,121.37981
jinganxincheng,整租·九歌上郡 1室1厅 南,整租,九歌上郡,闵行-静安新城-九歌上郡,57.62,1室1厅,南,,5880,102.0,,,https://sh.lianjia.com/zufang/SH2003424979823099904.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·静安新城八区 1室1厅 南,整租,静安新城八区,闵行-静安新城-静安新城八区,70.00,1室1厅,南,,6000,85.7,,,https://sh.lianjia.com/zufang/SH2154226082318909440.html,2026-04-23 14:42:03,31.16415,121.37569
jinganxincheng,整租·九歌上郡 2室1厅 南,整租,九歌上郡,闵行-静安新城-九歌上郡,105.42,2室1厅,南,,9200,87.3,,,https://sh.lianjia.com/zufang/SH2145377079665885184.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·大上海国际花园酒店公寓 1室1厅 南,整租,大上海国际花园酒店公寓,闵行-静安新城-大上海国际花园酒店公寓,47.32,1室1厅,南,,4900,103.6,,,https://sh.lianjia.com/zufang/SH2150612290892726272.html,2026-04-23 14:42:03,31.16251,121.37432
jinganxincheng,整租·静安新城十一区 2室1厅 南,整租,静安新城十一区,闵行-静安新城-静安新城十一区,66.00,2室1厅,南,,5800,87.9,,,https://sh.lianjia.com/zufang/SH2144697182345756672.html,2026-04-23 14:42:03,31.16237,121.37334
