region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jinqiao,整租·双桥小区 3室1厅 南,整租,双桥小区,浦东-金桥-双桥小区,91.62,3室1厅,南,,6800,74.2,,,https://sh.lianjia.com/zufang/SH1806979489737998336.html,2026-04-23 00:33:13,39.88828,116.597891
jinqiao,整租·丽都成品 2室2厅 南,整租,丽都成品,浦东-金桥-丽都成品,103.71,2室2厅,南,,8000,77.1,,,https://sh.lianjia.com/zufang/SH2150601884270854144.html,2026-04-23 00:31:59,31.27752,121.58599
jinqiao,整租·长岛公寓 2室1厅 东南,整租,长岛公寓,浦东-金桥-长岛公寓,81.15,2室1厅,东南,,4725,58.2,,,https://sh.lianjia.com/zufang/SH2007116257714765824.html,2026-04-23 00:33:49,31.25566,121.61611
jinqiao,独栋·森邻寓 金桥店 【贝壳自营】地铁口/干湿分离/精致复式家电齐全/独立厨卫 1室1厅,独栋,森邻寓 金桥店,,25.00,1室1厅,,,2750-2900,,,,https://sh.lianjia.com/apartment/72268.html,2026-04-23 00:32:58,40.038166,116.491948
jinqiao,整租·禹洲金桥国际 2室1厅 南,整租,禹洲金桥国际,浦东-金桥-禹洲金桥国际,60.37,2室1厅,南,,5670,93.9,,,https://sh.lianjia.com/zufang/SH2022378878588157952.html,2026-04-23 00:33:20,31.25776,121.61052
jinqiao,独栋·九宸公寓 九宸公寓 简约loft 开间,独栋,九宸公寓 九宸公寓 简约loft 开间,,15.00,,,,1900,126.7,,,https://sh.lianjia.com/apartment/105100.html,2026-04-23 00:32:21,40.083318,116.307127
jinqiao,整租·爱法新都 3室2厅 南,整租,爱法新都,浦东-金桥-爱法新都,124.06,3室2厅,南,,7350,59.2,,,https://sh.lianjia.com/zufang/SH2041375036027174912.html,2026-04-23 00:33:26,31.23894,121.56966
jinqiao,整租·证大家园(一期) 3室2厅 南,整租,证大家园(一期),浦东-金桥-证大家园(一期),120.24,3室2厅,南,,7500,62.4,,,https://sh.lianjia.com/zufang/SH2155938631984873472.html,2026-04-23 00:31:59,31.28564,121.58952
jinqiao,整租·长岛公寓 2室1厅 西,整租,长岛公寓,浦东-金桥-长岛公寓,87.43,2室1厅,西,,5400,61.8,,,https://sh.lianjia.com/zufang/SH1765734406166675456.html,2026-04-23 00:33:13,31.25566,121.61611
jinqiao,整租·双桥小区 1室1厅 南,整租,双桥小区,浦东-金桥-双桥小区,54.48,1室1厅,南,,4200,77.1,,,https://sh.lianjia.com/zufang/SH1829817652344782848.html,2026-04-23 00:33:13,39.88828,116.597891
