region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jinze,整租·威尼斯花园 4室2厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,255.30,4室2厅,南,,8000,31.3,,,https://sh.lianjia.com/zufang/SH2127360017173577728.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 4室2厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,255.30,4室2厅,南,,8000,31.3,,,https://sh.lianjia.com/zufang/SH2123731146842832896.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·观湖御景 2室2厅 南,整租,观湖御景,青浦-金泽-观湖御景,83.35,2室2厅,南,,2500,30.0,,,https://sh.lianjia.com/zufang/SH2126952959882297344.html,2026-04-23 16:55:56,31.11555,120.91887
jinze,整租·葑漾里 3室2厅 南,整租,葑漾里,青浦-金泽-葑漾里,129.00,3室2厅,南,,4600,35.7,,,https://sh.lianjia.com/zufang/SH2153374846149459968.html,2026-04-23 16:55:56,31.048266,120.938354
jinze,整租·华岑佳苑 3室2厅 南,整租,华岑佳苑,青浦-金泽-华岑佳苑,142.00,3室2厅,南,,6200,43.7,,,https://sh.lianjia.com/zufang/SH2109883660588023808.html,2026-04-23 16:55:56,31.099358,120.887204
jinze,整租·威尼斯花园 4室2厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,255.30,4室2厅,南,,10800,42.3,,,https://sh.lianjia.com/zufang/SH2107304138839687168.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 6室2厅 南/北,整租,威尼斯花园,青浦-金泽-威尼斯花园,310.00,6室2厅,南/北,,10000,32.3,,,https://sh.lianjia.com/zufang/SH1966021994755391488.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·海图公寓 3室1厅 南,整租,海图公寓,青浦-金泽-海图公寓,122.67,3室1厅,南,,1800,14.7,,,https://sh.lianjia.com/zufang/SH2002047089302831104.html,2026-04-23 16:55:56,31.037478,120.994503
jinze,整租·观湖御景 2室1厅 南,整租,观湖御景,青浦-金泽-观湖御景,83.17,2室1厅,南,,2000,24.0,,,https://sh.lianjia.com/zufang/SH2155999963862007808.html,2026-04-23 16:55:56,31.11555,120.91887
jinze,整租·楠林水岸别墅 4室2厅 南/北,整租,楠林水岸别墅,青浦-金泽-楠林水岸别墅,197.00,4室2厅,南/北,,10800,54.8,,,https://sh.lianjia.com/zufang/SH2023693797845630976.html,2026-04-23 16:55:56,31.104655,120.867572
jinze,整租·华岑佳苑 2室1厅 南,整租,华岑佳苑,青浦-金泽-华岑佳苑,71.00,2室1厅,南,,3500,49.3,,,https://sh.lianjia.com/zufang/SH2132408094280384512.html,2026-04-23 16:55:56,31.099358,120.887204
jinze,整租·威尼斯花园 5室2厅 复式 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,180.45,5室2厅,,,10000,55.4,,,https://sh.lianjia.com/zufang/SH2110675993944391680.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 6室2厅 复式 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,316.76,6室2厅,,,9100,28.7,,,https://sh.lianjia.com/zufang/SH2024026093601685504.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 6室4厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,233.00,6室4厅,南,,12000,51.5,,,https://sh.lianjia.com/zufang/SH2112902871606362112.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 5室3厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,250.00,5室3厅,南,,11000,44.0,,,https://sh.lianjia.com/zufang/SH1960253062291390464.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·华岑佳苑 3室2厅 南,整租,华岑佳苑,青浦-金泽-华岑佳苑,116.00,3室2厅,南,,5500,47.4,,,https://sh.lianjia.com/zufang/SH2146259600502947840.html,2026-04-23 16:55:56,31.099358,120.887204
jinze,整租·华岑佳苑 2室1厅 南,整租,华岑佳苑,青浦-金泽-华岑佳苑,77.00,2室1厅,南,,4500,58.4,,,https://sh.lianjia.com/zufang/SH2131968310097477632.html,2026-04-23 16:55:56,31.099358,120.887204
jinze,整租·威尼斯花园 7室2厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,322.22,7室2厅,南,,12320,38.2,,,https://sh.lianjia.com/zufang/SH2074735188096581632.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 5室2厅 复式 南/北,整租,威尼斯花园,青浦-金泽-威尼斯花园,255.30,5室2厅,,,13000,50.9,,,https://sh.lianjia.com/zufang/SH2062472263935983616.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 5室3厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,180.45,5室3厅,南,,6000,33.3,,,https://sh.lianjia.com/zufang/SH2086769737127165952.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 4室2厅 复式 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,255.30,4室2厅,,,17000,66.6,,,https://sh.lianjia.com/zufang/SH2024025947266613248.html,2026-04-23 16:55:56,40.108106,116.408978
jinze,整租·威尼斯花园 4室2厅 南,整租,威尼斯花园,青浦-金泽-威尼斯花园,180.00,4室2厅,南,,9500,52.8,,,https://sh.lianjia.com/zufang/SH2096984486787940352.html,2026-04-23 16:55:56,40.108106,116.408978
