region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jiuxianqiao,整租·飘HOME 1室1厅 南,整租,飘HOME,朝阳区-酒仙桥-飘,64.00,1室1厅,南,,6000,93.8,,,https://bj.lianjia.com/zufang/BJ2149803029946171392.html,2026-05-02 20:54:30,,
jiuxianqiao,整租·飘HOME 1室1厅 北,整租,飘HOME,朝阳区-酒仙桥-飘,58.68,1室1厅,北,,6090,103.8,,,https://bj.lianjia.com/zufang/BJ2004789291464523776.html,2026-05-02 20:54:58,,
jiuxianqiao,整租·丽都东镇滨河1号 1房间 东,整租,丽都东镇滨河1号 1房间 东,朝阳区-酒仙桥-丽都东镇滨河,50.54,,,,4600,91.0,,,https://bj.lianjia.com/zufang/BJ2149737463495524352.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·将府家园 3室2厅 东南,整租,将府家园,朝阳区-酒仙桥-将府家园,147.03,3室2厅,东南,,9500,64.6,,,https://bj.lianjia.com/zufang/BJ2145830114061975552.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·晶都国际 1室0厅 东/南,整租,晶都国际,朝阳区-酒仙桥-晶都国际,49.35,1室0厅,东/南,,4725,95.7,,,https://bj.lianjia.com/zufang/BJ1961445877566406656.html,2026-05-02 20:54:58,,
jiuxianqiao,独栋·冠寓 北京酒仙桥店 【实习专属整租好房】近兆维/电子城/798，拎包入住 独立卫浴，打工人租房首选(北B) 开间,独栋,冠寓 北京酒仙桥店 【实习专属整租好房】近兆维/电子城/798，拎包入住 独立卫浴，打工人租房首选(北B) 开间,,26.67,,,,3659,137.2,,,https://bj.lianjia.com/apartment/9830.html,2026-05-02 20:53:35,,
jiuxianqiao,整租·将府家园 3室1厅 北,整租,将府家园,朝阳区-酒仙桥-将府家园,111.00,3室1厅,北,,8200,73.9,,,https://bj.lianjia.com/zufang/BJ2153493648853958656.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·海润国际 4室2厅 西南,整租,海润国际,朝阳区-酒仙桥-海润国际,245.00,4室2厅,西南,,25000,102.0,,,https://bj.lianjia.com/zufang/BJ2150904656476241920.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·飘HOME 1室1厅 北,整租,飘HOME,朝阳区-酒仙桥-飘,56.12,1室1厅,北,,6000,106.9,,,https://bj.lianjia.com/zufang/BJ1895751636047888384.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·银河湾 3室2厅 南/北,整租,银河湾,朝阳区-酒仙桥-银河湾,203.90,3室2厅,南/北,,22000,107.9,,,https://bj.lianjia.com/zufang/BJ2152268629666693120.html,2026-05-02 20:53:45,,
jiuxianqiao,整租·晶都国际 3室1厅 南/北,整租,晶都国际,朝阳区-酒仙桥-晶都国际,154.55,3室1厅,南/北,,14000,90.6,,,https://bj.lianjia.com/zufang/BJ2154850004580171776.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·南十里居10号院 2室1厅 南/北,整租,南十里居10号院,朝阳区-酒仙桥-南十里居,56.39,2室1厅,南/北,,4800,85.1,,,https://bj.lianjia.com/zufang/BJ2017610713681362944.html,2026-05-02 20:54:42,,
jiuxianqiao,整租·丽都壹号 5室2厅 南/北,整租,丽都壹号,朝阳区-酒仙桥-丽都壹号,136.13,5室2厅,南/北,,23000,169.0,,,https://bj.lianjia.com/zufang/BJ2160983937541734400.html,2026-05-02 20:53:49,,
jiuxianqiao,整租·丽都壹号 3室1厅 南/北,整租,丽都壹号,朝阳区-酒仙桥-丽都壹号,138.00,3室1厅,南/北,,12800,92.8,,,https://bj.lianjia.com/zufang/BJ2150926567138656256.html,2026-05-02 20:54:30,,
jiuxianqiao,整租·新华联丽港 1房间 西,整租,新华联丽港 1房间 西,朝阳区-酒仙桥-新华联丽港,47.30,,,,5000,105.7,,,https://bj.lianjia.com/zufang/BJ2139658610475532288.html,2026-05-02 20:54:42,,
jiuxianqiao,整租·高家园二区 2室1厅 东/西,整租,高家园二区,朝阳区-酒仙桥-高家园二区,57.75,2室1厅,东/西,,5200,90.0,,,https://bj.lianjia.com/zufang/BJ2156383744766771200.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·丽都壹号 3室2厅 南/北,整租,丽都壹号,朝阳区-酒仙桥-丽都壹号,122.16,3室2厅,南/北,,13500,110.5,,,https://bj.lianjia.com/zufang/BJ2156002147911598080.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·电子城小区 2室1厅 东北,整租,电子城小区,朝阳区-酒仙桥-电子城小区,103.31,2室1厅,东北,,6500,62.9,,,https://bj.lianjia.com/zufang/BJ2153467602905595904.html,2026-05-02 20:54:51,,
jiuxianqiao,整租·卡布其诺 2室1厅 南/北,整租,卡布其诺,朝阳区-酒仙桥-卡布其诺,82.95,2室1厅,南/北,,7000,84.4,,,https://bj.lianjia.com/zufang/BJ2156752281725304832.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·嘉林花园 7室3厅 南/北,整租,嘉林花园,朝阳区-酒仙桥-嘉林花园,140.66,7室3厅,南/北,,55000,391.0,,,https://bj.lianjia.com/zufang/BJ2146141652241088512.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·电子城小区 2室1厅 南,整租,电子城小区,朝阳区-酒仙桥-电子城小区,69.36,2室1厅,南,,5500,79.3,,,https://bj.lianjia.com/zufang/BJ2125278523550597120.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·丽都职工公寓 2室1厅 西南,整租,丽都职工公寓,朝阳区-酒仙桥-丽都职工公寓,67.64,2室1厅,西南,,7600,112.4,,,https://bj.lianjia.com/zufang/BJ2148072394936287232.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·大山子南里 2室1厅 南/北,整租,大山子南里,朝阳区-酒仙桥-大山子南里,58.40,2室1厅,南/北,,5600,95.9,,,https://bj.lianjia.com/zufang/BJ2158532764616359936.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·芳园南里 1室1厅 南,整租,芳园南里,朝阳区-酒仙桥-芳园南里,42.28,1室1厅,南,,4515,106.8,,,https://bj.lianjia.com/zufang/BJ1962773647743516672.html,2026-05-02 20:54:58,,
jiuxianqiao,整租·丽都壹号 2室2厅 东/北,整租,丽都壹号,朝阳区-酒仙桥-丽都壹号,102.97,2室2厅,东/北,,10500,102.0,,,https://bj.lianjia.com/zufang/BJ2156437056266436608.html,2026-05-02 20:53:26,,
jiuxianqiao,独栋·好房子 驼房营店 【预约看房/无人值班】酒仙桥 新华大厦公寓 开间1居 新装1年 预退房 1室1厅,独栋,好房子 驼房营店 【预约看房/无人值班】酒仙桥 新华大厦公寓 开间1居 新装1年 预退房,,46.00,1室1厅,,,3799-4499,,,,https://bj.lianjia.com/apartment/103755.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·晶都国际 2室1厅 南,整租,晶都国际,朝阳区-酒仙桥-晶都国际,94.73,2室1厅,南,,7350,77.6,,,https://bj.lianjia.com/zufang/BJ2109207974248448000.html,2026-05-02 20:54:42,,
jiuxianqiao,整租·驼房营南里 2室1厅 南/北,整租,驼房营南里,朝阳区-酒仙桥-驼房营南里,76.47,2室1厅,南/北,,6000,78.5,,,https://bj.lianjia.com/zufang/BJ2147205007768813568.html,2026-05-02 20:53:26,,
jiuxianqiao,独栋·青柚•公寓 将府店 限时短租特惠，12号线东坝西站，明窗，实体墙，可养宠物，北向，开间 开间,独栋,青柚•公寓 将府店 限时短租特惠，12号线东坝西站，明窗，实体墙，可养宠物，北向，开间 开间,,28.00,,,,4999,178.5,,,https://bj.lianjia.com/apartment/103148.html,2026-05-02 20:53:26,,
jiuxianqiao,整租·丽都东镇滨河1号 3房间 南,整租,丽都东镇滨河1号 3房间 南,朝阳区-酒仙桥-丽都东镇滨河,110.00,,,,7500,68.2,,,https://bj.lianjia.com/zufang/BJ2056937210711638016.html,2026-05-02 20:53:29,,
jiuxianqiao,整租·电子城小区 2室1厅 东南,整租,电子城小区,朝阳区-酒仙桥-电子城小区,84.36,2室1厅,东南,,6000,71.1,,,https://bj.lianjia.com/zufang/BJ2053704290429566976.html,2026-05-02 20:54:46,,
jiuxianqiao,整租·上东8号 1房间 南,整租,上东8号 1房间 南,朝阳区-酒仙桥-上东,56.61,,,,6500,114.8,,,https://bj.lianjia.com/zufang/BJ2112807933480796160.html,2026-05-02 20:53:29,,
jiuxianqiao,整租·星城国际 3室1厅 东,整租,星城国际,朝阳区-酒仙桥-星城国际,157.56,3室1厅,东,,12000,76.2,,,https://bj.lianjia.com/zufang/BJ2102421738607345664.html,2026-05-02 20:53:29,,
jiuxianqiao,整租·驼房营南里 1室1厅 南,整租,驼房营南里,朝阳区-酒仙桥-驼房营南里,54.80,1室1厅,南,,4800,87.6,,,https://bj.lianjia.com/zufang/BJ1898190949222187008.html,2026-05-02 20:54:58,,
