region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
看丹桥,整租·韩庄子小区 1室1厅 北,整租,韩庄子小区,丰台区-看丹桥-韩庄子小区,67.12,1室1厅,北,,4800,71.5,,,https://bj.lianjia.com/zufang/BJ2142978497461616640.html,2026-05-02 22:11:16,39.841822,116.284721
看丹桥,整租·新华街六里 2室1厅 南/北,整租,新华街六里,丰台区-看丹桥-新华街六里,63.90,2室1厅,南/北,,4800,75.1,,,https://bj.lianjia.com/zufang/BJ2022883994110001152.html,2026-05-02 22:11:16,39.841058,116.283511
看丹桥,整租·韩庄子二里 1室1厅 南,整租,韩庄子二里,丰台区-看丹桥-韩庄子二里,40.50,1室1厅,南,,3900,96.3,,,https://bj.lianjia.com/zufang/BJ2159624797372284928.html,2026-05-02 22:11:16,39.837256,116.281408
看丹桥,整租·韩庄子小区 1室1厅 南,整租,韩庄子小区,丰台区-看丹桥-韩庄子小区,69.25,1室1厅,南,,5000,72.2,,,https://bj.lianjia.com/zufang/BJ2161041337393086464.html,2026-05-02 22:11:16,39.841822,116.284721
看丹桥,整租·新华街三里 2室1厅 南,整租,新华街三里,丰台区-看丹桥-新华街三里,88.22,2室1厅,南,,5500,62.3,,,https://bj.lianjia.com/zufang/BJ2156989631688605696.html,2026-05-02 22:11:16,39.843283,116.285518
看丹桥,整租·新华街七里 1室1厅 东,整租,新华街七里,丰台区-看丹桥-新华街七里,58.10,1室1厅,东,,4630,79.7,,,https://bj.lianjia.com/zufang/BJ1823573389600620544.html,2026-05-02 22:11:16,39.841527,116.280704
看丹桥,整租·新华街东升地28号院 2室1厅 南,整租,新华街东升地28号院,丰台区-看丹桥-新华街东升地,54.70,2室1厅,南,,3800,69.5,,,https://bj.lianjia.com/zufang/BJ2151992261204770816.html,2026-05-02 22:11:16,39.84308,116.283136
看丹桥,整租·韩庄子小区 2室1厅 东/南,整租,韩庄子小区,丰台区-看丹桥-韩庄子小区,74.62,2室1厅,东/南,,5200,69.7,,,https://bj.lianjia.com/zufang/BJ2137916988100444160.html,2026-05-02 22:11:16,39.841822,116.284721
看丹桥,整租·新华街五里 2室1厅 东/西,整租,新华街五里,丰台区-看丹桥-新华街五里,68.72,2室1厅,东/西,,4400,64.0,,,https://bj.lianjia.com/zufang/BJ1893887990111928320.html,2026-05-02 22:11:16,39.841506,116.282568
看丹桥,整租·新华街三里 2室1厅 东/北,整租,新华街三里,丰台区-看丹桥-新华街三里,85.61,2室1厅,东/北,,6000,70.1,,,https://bj.lianjia.com/zufang/BJ2155667956762148864.html,2026-05-02 22:11:16,39.843283,116.285518
看丹桥,整租·新华街五里 2室1厅 东/南,整租,新华街五里,丰台区-看丹桥-新华街五里,70.58,2室1厅,东/南,,5200,73.7,,,https://bj.lianjia.com/zufang/BJ2161060540846178304.html,2026-05-02 22:11:16,39.841506,116.282568
看丹桥,整租·韩庄子西里 3室1厅 南/北,整租,韩庄子西里,丰台区-看丹桥-韩庄子西里,81.40,3室1厅,南/北,,5000,61.4,,,https://bj.lianjia.com/zufang/BJ2155996840233795584.html,2026-05-02 22:11:16,39.841822,116.284721
看丹桥,整租·新华街三里 2室1厅 东/西,整租,新华街三里,丰台区-看丹桥-新华街三里,82.31,2室1厅,东/西,,4800,58.3,,,https://bj.lianjia.com/zufang/BJ2158101198274560000.html,2026-05-02 22:11:16,39.843283,116.285518
看丹桥,整租·丰台南路130号 2室1厅 东/西,整租,丰台南路130号,丰台区-看丹桥-丰台南路,46.33,2室1厅,东/西,,4200,90.7,,,https://bj.lianjia.com/zufang/BJ2140874570071015424.html,2026-05-02 22:11:16,39.838168,116.275702
看丹桥,整租·新华街三里 2室1厅 南,整租,新华街三里,丰台区-看丹桥-新华街三里,92.37,2室1厅,南,,5800,62.8,,,https://bj.lianjia.com/zufang/BJ1876976343573331968.html,2026-05-02 22:11:16,39.843283,116.285518
看丹桥,整租·韩庄子二里 2室1厅 南,整租,韩庄子二里,丰台区-看丹桥-韩庄子二里,55.90,2室1厅,南,,4790,85.7,,,https://bj.lianjia.com/zufang/BJ1803643928210046976.html,2026-05-02 22:11:16,39.837256,116.281408
看丹桥,整租·新华街五里 2室1厅 南/西南,整租,新华街五里,丰台区-看丹桥-新华街五里,74.00,2室1厅,南/西南,,4800,64.9,,,https://bj.lianjia.com/zufang/BJ2150968855642505216.html,2026-05-02 22:11:16,39.841506,116.282568
看丹桥,整租·新华街三里 2室1厅 东,整租,新华街三里,丰台区-看丹桥-新华街三里,65.00,2室1厅,东,,4800,73.8,,,https://bj.lianjia.com/zufang/BJ2145781116345253888.html,2026-05-02 22:11:16,39.843283,116.285518
看丹桥,整租·新华街三里 2室1厅 东,整租,新华街三里,丰台区-看丹桥-新华街三里,85.63,2室1厅,东,,5600,65.4,,,https://bj.lianjia.com/zufang/BJ2155916859998732288.html,2026-05-02 22:11:16,39.843283,116.285518
看丹桥,整租·看丹苑 3室1厅 南/北,整租,看丹苑,丰台区-看丹桥-看丹苑,117.95,3室1厅,南/北,,7400,62.7,,,https://bj.lianjia.com/zufang/BJ2147978885017370624.html,2026-05-02 22:11:16,39.838168,116.275702
看丹桥,整租·韩庄子小区 2室1厅 东南,整租,韩庄子小区,丰台区-看丹桥-韩庄子小区,91.62,2室1厅,东南,,6000,65.5,,,https://bj.lianjia.com/zufang/BJ2156629054269161472.html,2026-05-02 22:11:16,39.841822,116.284721
看丹桥,整租·新华街一里 2室1厅 南/北,整租,新华街一里,丰台区-看丹桥-新华街一里,77.24,2室1厅,南/北,,4700,60.8,,,https://bj.lianjia.com/zufang/BJ2151694501536595968.html,2026-05-02 22:11:16,39.841822,116.284721
看丹桥,整租·南开西里 2室1厅 东/西,整租,南开西里,丰台区-看丹桥-南开西里,49.54,2室1厅,东/西,,3800,76.7,,,https://bj.lianjia.com/zufang/BJ2146474319679586304.html,2026-05-02 22:11:16,39.836558,116.279129
看丹桥,整租·看丹苑 3室2厅 南/北,整租,看丹苑,丰台区-看丹桥-看丹苑,132.00,3室2厅,南/北,,8500,64.4,,,https://bj.lianjia.com/zufang/BJ2128709500855648256.html,2026-05-02 22:11:16,39.838168,116.275702
看丹桥,整租·新华街三里 2室1厅 西,整租,新华街三里,丰台区-看丹桥-新华街三里,85.61,2室1厅,西,,5200,60.7,,,https://bj.lianjia.com/zufang/BJ2143675670541107200.html,2026-05-02 22:11:16,39.843283,116.285518
