region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
laominhang,整租·鹤北新村二街坊 3室2厅 北,整租,鹤北新村二街坊,闵行-老闵行-鹤北新村二街坊,149.00,3室2厅,北,,5200,34.9,,,https://sh.lianjia.com/zufang/SH2140450825179234304.html,2026-04-23 14:43:18,31.01329,121.41235
laominhang,整租·万科公园大道 4室2厅 南,整租,万科公园大道,闵行-老闵行-万科公园大道,126.00,4室2厅,南,,7500,59.5,,,https://sh.lianjia.com/zufang/SH2150238119494942720.html,2026-04-23 14:42:10,31.02677,121.37593
laominhang,整租·北欧丽景 4室2厅 南,整租,北欧丽景,闵行-老闵行-北欧丽景,161.43,4室2厅,南,,6000,37.2,,,https://sh.lianjia.com/zufang/SH2155193180637626368.html,2026-04-23 14:42:59,31.01751,121.42586
laominhang,独栋·冠寓 上海闵行星悦荟一店 精装公寓 拎包入住干湿分离 学生企业折上折 开间,独栋,冠寓 上海闵行星悦荟一店,,29.00,,,,2600,89.7,,,https://sh.lianjia.com/apartment/26321.html,2026-04-23 14:42:10,31.17128,121.36108
laominhang,整租·东川花苑 2室1厅 南,整租,东川花苑,闵行-老闵行-东川花苑,68.00,2室1厅,南,,3500,51.5,,,https://sh.lianjia.com/zufang/SH2157112503572627456.html,2026-04-23 14:42:59,31.00973,121.40038
laominhang,独栋·冠寓 上海-闵行星悦荟二店 限时优惠 月付 整租 实体墙 免费健身房自习室 1室1厅,独栋,冠寓 上海-闵行星悦荟二店,,47.00,1室1厅,,,2494,53.1,,,https://sh.lianjia.com/apartment/53518.html,2026-04-23 14:42:10,31.17128,121.36108
laominhang,整租·富仕名邸 2室2厅 南,整租,富仕名邸,闵行-老闵行-富仕名邸,90.75,2室2厅,南,,3465,38.2,,,https://sh.lianjia.com/zufang/SH2154511943837155328.html,2026-04-23 14:42:59,31.01111,121.39531
laominhang,整租·建设路29号 4室1厅 南,整租,建设路29号,闵行-老闵行-建设路,123.00,4室1厅,南,,4600,37.4,,,https://sh.lianjia.com/zufang/SH2129139020993658880.html,2026-04-23 14:42:10,31.00973,121.40038
laominhang,整租·电机五村 2室0厅 南,整租,电机五村,闵行-老闵行-电机五村,52.00,2室0厅,南,,2730,52.5,,,https://sh.lianjia.com/zufang/SH1942937092447272960.html,2026-04-23 14:43:14,31.006985,121.397514
laominhang,独栋·闲猫国际青年社区 马桥万达店 阳光边套 可短租 春节期间免房租 闲猫人才公寓马桥万达店 无物业费中介费 押一付一 1室1厅,独栋,闲猫国际青年社区 马桥万达店 阳光边套,,32.00,1室1厅,,,2250,70.3,,,https://sh.lianjia.com/apartment/55065.html,2026-04-23 14:42:19,39.9562,116.46015
laominhang,整租·友好佳苑 1室1厅 南,整租,友好佳苑,闵行-老闵行-友好佳苑,65.62,1室1厅,南,,3360,51.2,,,https://sh.lianjia.com/zufang/SH1950445591242735616.html,2026-04-23 14:43:14,31.01549,121.4152
laominhang,独栋·华润置地·有巢公寓 马桥AI店 【赠送4000】限时钜惠长租 押一付一 拎包入住 民用水电 1室1厅,独栋,华润置地·有巢公寓 马桥AI店,,35.00,1室1厅,,,1750-1980,,,,https://sh.lianjia.com/apartment/74737.html,2026-04-23 14:42:13,39.799577,116.485205
laominhang,整租·马桥景城馨苑 1室1厅 南,整租,马桥景城馨苑,闵行-老闵行-马桥景城馨苑,55.96,1室1厅,南,,2730,48.8,,,https://sh.lianjia.com/zufang/SH1871782153696575488.html,2026-04-23 14:43:14,31.0191,121.36594
laominhang,整租·红旗三村 1室1厅 西南,整租,红旗三村,闵行-老闵行-红旗三村,42.96,1室1厅,西南,,2625,61.1,,,https://sh.lianjia.com/zufang/SH2022932767737643008.html,2026-04-23 14:43:18,31.01337,121.39449
laominhang,整租·东苑佳和园 2室1厅 南,整租,东苑佳和园,闵行-老闵行-东苑佳和园,69.00,2室1厅,南,,4100,59.4,,,https://sh.lianjia.com/zufang/SH2146245914488995840.html,2026-04-23 14:43:10,31.01462,121.42929
laominhang,整租·万科城 3室1厅 南,整租,万科城,闵行-老闵行-万科城,91.00,3室1厅,南,,4800,52.7,,,https://sh.lianjia.com/zufang/SH2142891887495741440.html,2026-04-23 14:42:10,31.01549,121.4152
laominhang,整租·沧源小区 2室1厅 南,整租,沧源小区,闵行-老闵行-沧源小区,59.48,2室1厅,南,,3450,58.0,,,https://sh.lianjia.com/zufang/SH2156742077344382976.html,2026-04-23 14:42:59,31.00973,121.40038
laominhang,整租·合生城邦四街坊 3室2厅 南,整租,合生城邦四街坊,闵行-老闵行-合生城邦四街坊,138.80,3室2厅,南,,6800,49.0,,,https://sh.lianjia.com/zufang/SH2145893348009836544.html,2026-04-23 14:42:13,31.02236,121.40119
laominhang,整租·东江小区 1室1厅 南,整租,东江小区,闵行-老闵行-东江小区,48.27,1室1厅,南,,2800,58.0,,,https://sh.lianjia.com/zufang/SH1797589628346171392.html,2026-04-23 14:43:18,31.01549,121.4152
laominhang,整租·新西街82弄(闵行) 1室1厅 南,整租,新西街82弄(闵行),闵行-老闵行-新西街,31.67,1室1厅,南,,2678,84.6,,,https://sh.lianjia.com/zufang/SH2155961281243250688.html,2026-04-23 14:42:59,31.01549,121.4152
laominhang,整租·夏朵园 2室2厅 南/北,整租,夏朵园,闵行-老闵行-夏朵园,107.06,2室2厅,南/北,,4800,44.8,,,https://sh.lianjia.com/zufang/SH2146491771390001152.html,2026-04-23 14:42:10,31.02522,121.3897
laominhang,整租·红旗四街坊 3室1厅 南,整租,红旗四街坊,闵行-老闵行-红旗四街坊,77.00,3室1厅,南,,3500,45.5,,,https://sh.lianjia.com/zufang/SH2149834897307467776.html,2026-04-23 14:42:10,31.01691,121.3939
laominhang,整租·万科公园大道 3室2厅 南,整租,万科公园大道,闵行-老闵行-万科公园大道,95.00,3室2厅,南,,5800,61.1,,,https://sh.lianjia.com/zufang/SH2149853080017960960.html,2026-04-23 14:42:13,31.02677,121.37593
laominhang,整租·汽轮小区 2室1厅 南/北,整租,汽轮小区,闵行-老闵行-汽轮小区,86.45,2室1厅,南/北,,3200,37.0,,,https://sh.lianjia.com/zufang/SH2151214416845078528.html,2026-04-23 14:42:10,31.008,121.40554
laominhang,整租·丽都城假日景苑 2室2厅 南,整租,丽都城假日景苑,闵行-老闵行-丽都城假日景苑,103.00,2室2厅,南,,5378,52.2,,,https://sh.lianjia.com/zufang/SH1760331893661761536.html,2026-04-23 14:43:18,31.01518,121.40357
laominhang,整租·红旗三村 2室1厅 南,整租,红旗三村,闵行-老闵行-红旗三村,53.58,2室1厅,南,,3200,59.7,,,https://sh.lianjia.com/zufang/SH1752665225473032192.html,2026-04-23 14:43:18,31.01337,121.39449
laominhang,整租·康乐花园(闵行) 2室1厅 南/北,整租,康乐花园(闵行),闵行-老闵行-康乐花园(闵行),83.20,2室1厅,南/北,,3400,40.9,,,https://sh.lianjia.com/zufang/SH2152283569773346816.html,2026-04-23 14:42:59,31.0093,121.39668
laominhang,整租·马桥景城馨苑 1室1厅 南,整租,马桥景城馨苑,闵行-老闵行-马桥景城馨苑,55.53,1室1厅,南,,3150,56.7,,,https://sh.lianjia.com/zufang/SH1812376101540855808.html,2026-04-23 14:43:18,31.0191,121.36594
laominhang,整租·马桥景城馨苑 2室1厅 南,整租,马桥景城馨苑,闵行-老闵行-马桥景城馨苑,76.22,2室1厅,南,,4000,52.5,,,https://sh.lianjia.com/zufang/SH2144666075885731840.html,2026-04-23 14:42:13,31.0191,121.36594
laominhang,整租·高华小区 2室1厅 南,整租,高华小区,闵行-老闵行-高华小区,48.72,2室1厅,南,,2900,59.5,,,https://sh.lianjia.com/zufang/SH2137879238567526400.html,2026-04-23 14:43:10,31.0058,121.41946
laominhang,整租·凤庆小区 1室1厅 东南,整租,凤庆小区,闵行-老闵行-凤庆小区,48.59,1室1厅,东南,,2520,51.9,,,https://sh.lianjia.com/zufang/SH1832326802563923968.html,2026-04-23 14:43:18,31.01553,121.39729
laominhang,整租·飞碟苑 1室1厅 南,整租,飞碟苑,闵行-老闵行-飞碟苑,59.00,1室1厅,南,,3650,61.9,,,https://sh.lianjia.com/zufang/SH2154513291085348864.html,2026-04-23 14:42:59,31.0297,121.38991
laominhang,独栋·城家公寓 城家公寓上海江川路地铁站店 免费健身房！免费瑜伽室！【品牌家具、家电全配】毕业季押金减半！ 1室1厅,独栋,城家公寓 城家公寓上海江川路地铁站店,,28.00,1室1厅,,,2800,100.0,,,https://sh.lianjia.com/apartment/69579.html,2026-04-23 14:42:16,31.01429,121.40834
laominhang,整租·丽都城假日景苑 3室2厅 南/北,整租,丽都城假日景苑,闵行-老闵行-丽都城假日景苑,125.00,3室2厅,南/北,,6300,50.4,,,https://sh.lianjia.com/zufang/SH2154234487746068480.html,2026-04-23 14:42:59,31.01518,121.40357
laominhang,独栋·冠寓 上海闵行公园店 老闵行交大紫竹考研党最爱/优惠折上折月付不上浮/押一付一 开间,独栋,冠寓 上海闵行公园店,,27.00,,,,2200,81.5,,,https://sh.lianjia.com/apartment/18543.html,2026-04-23 14:42:13,31.11412,121.37338
laominhang,整租·沧源小区 2室1厅 南/北,整租,沧源小区,闵行-老闵行-沧源小区,59.33,2室1厅,南/北,,3400,57.3,,,https://sh.lianjia.com/zufang/SH1691744902158745600.html,2026-04-23 14:43:18,31.00973,121.40038
laominhang,独栋·福缘公寓 闵行开发区店 地铁 五号线品质公寓 开间,独栋,福缘公寓 闵行开发区店 地铁 五号线品质公寓 开间,,20.00,,,,1450,72.5,,,https://sh.lianjia.com/apartment/2502.html,2026-04-23 14:42:13,31.17112,121.3607
