region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
lingangxincheng,整租·朗诗里程 2室1厅 南,整租,朗诗里程,浦东-临港新城-朗诗里程,86.76,2室1厅,南,,2500,28.8,,,https://sh.lianjia.com/zufang/SH2149714928611622912.html,2026-04-23 10:22:16,30.866399,121.851344
lingangxincheng,整租·宜浩佳园北区 2室2厅 南/北,整租,宜浩佳园北区,浦东-临港新城-宜浩佳园北区,111.02,2室2厅,南/北,,2600,23.4,,,https://sh.lianjia.com/zufang/SH2108819410750799872.html,2026-04-23 10:20:48,30.90363,121.913005
lingangxincheng,整租·绿地临港家园(海事小区) 2室2厅 南/北,整租,绿地临港家园(海事小区),浦东-临港新城-绿地临港家园(海事小区),115.33,2室2厅,南/北,,2500,21.7,,,https://sh.lianjia.com/zufang/SH2145433194596401152.html,2026-04-23 10:22:16,30.882149,121.913416
lingangxincheng,独栋·上海滴水湖斯贤公寓 北苑 近港城广场 可申请临港租房补贴 近103总部湾 特价房源 先到先得 2室1厅,独栋,上海滴水湖斯贤公寓 北苑 近港城广场 可申请临港租房补贴 近103总部湾,,85.00,2室1厅,,,4000-4500,,,,https://sh.lianjia.com/apartment/102883.html,2026-04-23 10:20:54,30.889031,121.927809
lingangxincheng,整租·碧云壹零 3室2厅 南,整租,碧云壹零,浦东-临港新城-碧云壹零,141.95,3室2厅,南,,4500,31.7,,,https://sh.lianjia.com/zufang/SH2146210097573920768.html,2026-04-23 10:22:16,30.902812,121.899975
lingangxincheng,整租·保利蔚蓝林语 3室2厅 南/北,整租,保利蔚蓝林语,浦东-临港新城-保利蔚蓝林语,147.14,3室2厅,南/北,,3300,22.4,,,https://sh.lianjia.com/zufang/SH2147986533955665920.html,2026-04-23 10:22:16,30.902732,121.903991
lingangxincheng,整租·大名城映晖 3室2厅 南/北,整租,大名城映晖,浦东-临港新城-大名城映晖,100.61,3室2厅,南/北,,3300,32.8,,,https://sh.lianjia.com/zufang/SH2145481322917789696.html,2026-04-23 10:21:48,30.873657,121.918119
lingangxincheng,整租·特发学府里 3室2厅 南/北,整租,特发学府里,浦东-临港新城-特发学府里,126.76,3室2厅,南/北,,3700,29.2,,,https://sh.lianjia.com/zufang/SH2148689523712720896.html,2026-04-23 10:20:48,30.898555,121.894673
lingangxincheng,整租·万达钻石湾 3室2厅 南/北,整租,万达钻石湾,浦东-临港新城-万达钻石湾,95.09,3室2厅,南/北,,3000,31.5,,,https://sh.lianjia.com/zufang/SH2147659804976349184.html,2026-04-23 10:20:48,30.922236,121.919139
lingangxincheng,独栋·摩居公寓 临港店 公寓直租，0中介费。摩居4人间 开间,独栋,摩居公寓 临港店,,32.00,,,,2000,62.5,,,https://sh.lianjia.com/apartment/87399.html,2026-04-23 10:20:48,,
lingangxincheng,整租·保利玲珑公馆 4室2厅 南/北,整租,保利玲珑公馆,浦东-临港新城-保利玲珑公馆,143.19,4室2厅,南/北,,4200,29.3,,,https://sh.lianjia.com/zufang/SH2154219131241496576.html,2026-04-23 10:22:12,30.866702,121.855171
lingangxincheng,整租·绿地东岸涟城北区 2室2厅 南/北,整租,绿地东岸涟城北区,浦东-临港新城-绿地东岸涟城北区,85.54,2室2厅,南/北,,2500,29.2,,,https://sh.lianjia.com/zufang/SH2154465843826655232.html,2026-04-23 10:22:12,30.885037,121.916086
lingangxincheng,独栋·新怡豪庭酒店及服务式公寓 上海滴水湖店 新怡豪庭 【离地铁200米】一房带大露台/民用水电/0中介费 1室2厅,独栋,新怡豪庭酒店及服务式公寓 上海滴水湖店 新怡豪庭,,86.15,1室2厅,,,7999,92.8,,,https://sh.lianjia.com/apartment/98998.html,2026-04-23 10:20:51,31.20347,121.431068
lingangxincheng,整租·绿地临港家园(海事小区) 2室2厅 南/北,整租,绿地临港家园(海事小区),浦东-临港新城-绿地临港家园(海事小区),96.92,2室2厅,南/北,,2400,24.8,,,https://sh.lianjia.com/zufang/SH1927745625420464128.html,2026-04-23 10:22:16,30.882149,121.913416
lingangxincheng,整租·临港天宸 3室2厅 南/北,整租,临港天宸,浦东-临港新城-临港天宸,98.00,3室2厅,南/北,,3000,30.6,,,https://sh.lianjia.com/zufang/SH2145779321837453312.html,2026-04-23 10:20:48,30.919698,121.937575
lingangxincheng,整租·宜浩佳园北区 2室2厅 南/北,整租,宜浩佳园北区,浦东-临港新城-宜浩佳园北区,82.00,2室2厅,南/北,,2400,29.3,,,https://sh.lianjia.com/zufang/SH2153018912583712768.html,2026-04-23 10:22:16,30.90363,121.913005
lingangxincheng,整租·东宸源著 2室1厅 南,整租,东宸源著,浦东-临港新城-东宸源著,77.96,2室1厅,南,,2800,35.9,,,https://sh.lianjia.com/zufang/SH2146630528667746304.html,2026-04-23 10:20:48,30.918792,121.924187
lingangxincheng,独栋·上海滴水湖斯贤公寓 南苑 【限时特惠】【可办租赁备案】【103核心区域】【回馈客户】仅限长租 精装三房 3室1厅,独栋,上海滴水湖斯贤公寓 南苑 仅限长租,,125.00,3室1厅,,,4500-7500,,,,https://sh.lianjia.com/apartment/102983.html,2026-04-23 10:20:54,30.889552,121.924933
lingangxincheng,整租·绿地临港家园（海洋小区） 3室2厅 南,整租,绿地临港家园（海洋小区）,浦东-临港新城-绿地临港家园,113.14,3室2厅,南,,2800,24.7,,,https://sh.lianjia.com/zufang/SH2153144131130490880.html,2026-04-23 10:22:16,30.882149,121.913416
lingangxincheng,整租·朗诗里程 1室2厅 南/北,整租,朗诗里程,浦东-临港新城-朗诗里程,59.17,1室2厅,南/北,,2200,37.2,,,https://sh.lianjia.com/zufang/SH2154148067991879680.html,2026-04-23 10:20:48,30.866399,121.851344
lingangxincheng,整租·保利玲珑公馆 3室1厅 南/北,整租,保利玲珑公馆,浦东-临港新城-保利玲珑公馆,121.46,3室1厅,南/北,,3300,27.2,,,https://sh.lianjia.com/zufang/SH2152611807699664896.html,2026-04-23 10:21:56,30.866702,121.855171
lingangxincheng,整租·滴水湖馨苑创馨派 1室1厅 南,整租,滴水湖馨苑创馨派,浦东-临港新城-滴水湖馨苑创馨派,45.00,1室1厅,南,,2100,46.7,,,https://sh.lianjia.com/zufang/SH2097614608335372288.html,2026-04-23 10:21:37,30.89452,121.911077
