region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
liujiayao,整租·南三环中路 1室1厅 南,整租,南三环中路,丰台区-刘家窑-南三环中路,60.00,1室1厅,南,,4300,71.7,,,https://bj.lianjia.com/zufang/BJ2161014607672508416.html,2026-05-02 22:11:44,,
liujiayao,整租·石榴园北里小区 2室1厅 南/北,整租,石榴园北里小区,丰台区-刘家窑-石榴园北里小区,58.51,2室1厅,南/北,,4500,76.9,,,https://bj.lianjia.com/zufang/BJ2152730407576010752.html,2026-05-02 22:12:03,,
liujiayao,整租·同仁园 2室1厅 东/西,整租,同仁园,丰台区-刘家窑-同仁园,65.89,2室1厅,东/西,,5300,80.4,,,https://bj.lianjia.com/zufang/BJ2155282862570471424.html,2026-05-02 22:11:44,,
liujiayao,整租·贾家花园15号院 2室1厅 南/北,整租,贾家花园15号院,丰台区-刘家窑-贾家花园,125.70,2室1厅,南/北,,8500,67.6,,,https://bj.lianjia.com/zufang/BJ2140871831479910400.html,2026-05-02 22:11:44,,
liujiayao,整租·石榴园北里小区 3室1厅 东/西,整租,石榴园北里小区,丰台区-刘家窑-石榴园北里小区,74.47,3室1厅,东/西,,5600,75.2,,,https://bj.lianjia.com/zufang/BJ1882653361203838976.html,2026-05-02 22:12:03,,
liujiayao,独栋·来住酒店式公寓 石榴庄店 南三环 大两居 包物业取暖 拎包入住 无中介 2室1厅,独栋,来住酒店式公寓 石榴庄店 南三环 大两居 包物业取暖 拎包入住 无中介,,95.00,2室1厅,,,9500,100.0,,,https://bj.lianjia.com/apartment/85880.html,2026-05-02 22:11:44,,
liujiayao,整租·鲁能钓鱼台美高梅公馆 2房间 南,整租,鲁能钓鱼台美高梅公馆 2房间 南,丰台区-刘家窑-鲁能钓鱼台美高梅公馆,62.90,,,,7400,117.6,,,https://bj.lianjia.com/zufang/BJ2113866417773215744.html,2026-05-02 22:11:44,,
liujiayao,整租·正邦嘉园一期 2室1厅 北,整租,正邦嘉园一期,丰台区-刘家窑-正邦嘉园一期,94.06,2室1厅,北,,6600,70.2,,,https://bj.lianjia.com/zufang/BJ2158233796988633088.html,2026-05-02 22:11:44,,
liujiayao,整租·石榴园南里小区 1室1厅 西,整租,石榴园南里小区,丰台区-刘家窑-石榴园南里小区,49.69,1室1厅,西,,4200,84.5,,,https://bj.lianjia.com/zufang/BJ2145543675717877760.html,2026-05-02 22:11:44,,
liujiayao,整租·筑梦园 1室1厅 北,整租,筑梦园,丰台区-刘家窑-筑梦园,55.83,1室1厅,北,,5500,98.5,,,https://bj.lianjia.com/zufang/BJ2153865551552708608.html,2026-05-02 22:11:44,,
liujiayao,整租·宋庄路43号院 2室1厅 南/北,整租,宋庄路43号院,丰台区-刘家窑-宋庄路,62.74,2室1厅,南/北,,5500,87.7,,,https://bj.lianjia.com/zufang/BJ2156363625743253504.html,2026-05-02 22:11:44,,
liujiayao,整租·石榴园南里小区 3室1厅 南,整租,石榴园南里小区,丰台区-刘家窑-石榴园南里小区,97.01,3室1厅,南,,6500,67.0,,,https://bj.lianjia.com/zufang/BJ2158506860343197696.html,2026-05-02 22:12:07,,
liujiayao,整租·榴景秀苑 2室1厅 东/西,整租,榴景秀苑,丰台区-刘家窑-榴景秀苑,89.64,2室1厅,东/西,,6800,75.9,,,https://bj.lianjia.com/zufang/BJ2153763076350935040.html,2026-05-02 22:11:44,,
liujiayao,整租·同仁园 2室1厅 南/北,整租,同仁园,丰台区-刘家窑-同仁园,69.85,2室1厅,南/北,,5700,81.6,,,https://bj.lianjia.com/zufang/BJ2153079902264360960.html,2026-05-02 22:11:44,,
liujiayao,整租·建邦华府 3室2厅 西南,整租,建邦华府,丰台区-刘家窑-建邦华府,167.41,3室2厅,西南,,10800,64.5,,,https://bj.lianjia.com/zufang/BJ2154232381114941440.html,2026-05-02 22:12:03,,
liujiayao,整租·贾家花园15号院 2室1厅 复式 南,整租,贾家花园15号院,丰台区-刘家窑-贾家花园,135.00,2室1厅,,,7500,55.6,,,https://bj.lianjia.com/zufang/BJ2145122902792470528.html,2026-05-02 22:11:44,,
liujiayao,整租·鲁能钓鱼台美高梅公馆 4房间 复式 西,整租,鲁能钓鱼台美高梅公馆 4房间 复式 西,丰台区-刘家窑-鲁能钓鱼台美高梅公馆,67.87,,,,8450,124.5,,,https://bj.lianjia.com/zufang/BJ2109241089058668544.html,2026-05-02 22:11:44,,
liujiayao,整租·鑫兆雅园南区 1室1厅 南,整租,鑫兆雅园南区,丰台区-刘家窑-鑫兆雅园南区,57.00,1室1厅,南,,5600,98.2,,,https://bj.lianjia.com/zufang/BJ2148712089215041536.html,2026-05-02 22:11:47,,
liujiayao,整租·鲁能钓鱼台美高梅公馆 3房间 复式 西南,整租,鲁能钓鱼台美高梅公馆 3房间 复式 西南,丰台区-刘家窑-鲁能钓鱼台美高梅公馆,72.83,,,,8800,120.8,,,https://bj.lianjia.com/zufang/BJ2139766581918433280.html,2026-05-02 22:11:44,,
liujiayao,整租·贾家花园15号院 3室2厅 南/北,整租,贾家花园15号院,丰台区-刘家窑-贾家花园,172.22,3室2厅,南/北,,9800,56.9,,,https://bj.lianjia.com/zufang/BJ2143013071021408256.html,2026-05-02 22:11:44,,
liujiayao,整租·方南家园一期 2室1厅 东南,整租,方南家园一期,丰台区-刘家窑-方南家园一期,76.73,2室1厅,东南,,5000,65.2,,,https://bj.lianjia.com/zufang/BJ1824364264480047104.html,2026-05-02 22:12:03,,
liujiayao,整租·鲁能钓鱼台美高梅公馆 2房间 复式 西,整租,鲁能钓鱼台美高梅公馆 2房间 复式 西,丰台区-刘家窑-鲁能钓鱼台美高梅公馆,52.54,,,,6700,127.5,,,https://bj.lianjia.com/zufang/BJ2145095666819399680.html,2026-05-02 22:11:44,,
liujiayao,整租·建邦华府 3室1厅 东南,整租,建邦华府,丰台区-刘家窑-建邦华府,160.28,3室1厅,东南,,11000,68.6,,,https://bj.lianjia.com/zufang/BJ2154115178956849152.html,2026-05-02 22:11:44,,
liujiayao,整租·石榴园南里小区 1室1厅 西,整租,石榴园南里小区,丰台区-刘家窑-石榴园南里小区,47.05,1室1厅,西,,4000,85.0,,,https://bj.lianjia.com/zufang/BJ2155683434465329152.html,2026-05-02 22:12:03,,
liujiayao,整租·嘉业大厦一期 3室1厅 东/北,整租,嘉业大厦一期,丰台区-刘家窑-嘉业大厦一期,178.00,3室1厅,东/北,,10500,59.0,,,https://bj.lianjia.com/zufang/BJ2090372075662344192.html,2026-05-02 22:11:44,,
liujiayao,整租·石榴园南里小区 1室1厅 西,整租,石榴园南里小区,丰台区-刘家窑-石榴园南里小区,47.83,1室1厅,西,,4200,87.8,,,https://bj.lianjia.com/zufang/BJ2157440714714120192.html,2026-05-02 22:12:07,,
liujiayao,整租·鲁能钓鱼台美高梅公馆 2房间 南,整租,鲁能钓鱼台美高梅公馆 2房间 南,丰台区-刘家窑-鲁能钓鱼台美高梅公馆,62.90,,,,7800,124.0,,,https://bj.lianjia.com/zufang/BJ2126530639581675520.html,2026-05-02 22:11:44,,
liujiayao,整租·南三环中路 2室1厅 南,整租,南三环中路,丰台区-刘家窑-南三环中路,82.00,2室1厅,南,,5390,65.7,,,https://bj.lianjia.com/zufang/BJ2001782372042801152.html,2026-05-02 22:11:47,,
liujiayao,整租·鑫兆雅园南区 1室1厅 南/西,整租,鑫兆雅园南区,丰台区-刘家窑-鑫兆雅园南区,63.22,1室1厅,南/西,,5000,79.1,,,https://bj.lianjia.com/zufang/BJ2112543563832098816.html,2026-05-02 22:11:47,,
liujiayao,整租·鑫兆雅园北区 1室1厅 东,整租,鑫兆雅园北区,丰台区-刘家窑-鑫兆雅园北区,66.65,1室1厅,东,,6000,90.0,,,https://bj.lianjia.com/zufang/BJ2157490441614786560.html,2026-05-02 22:11:47,,
liujiayao,整租·嘉业大厦二期 3室1厅 南/西/北,整租,嘉业大厦二期,丰台区-刘家窑-嘉业大厦二期,176.00,3室1厅,南/西/北,,9900,56.2,,,https://bj.lianjia.com/zufang/BJ2100420384418430976.html,2026-05-02 22:11:47,,
liujiayao,整租·南三环中路 3室1厅 南/北,整租,南三环中路,丰台区-刘家窑-南三环中路,93.00,3室1厅,南/北,,5500,59.1,,,https://bj.lianjia.com/zufang/BJ2028863546753810432.html,2026-05-02 22:12:07,,
liujiayao,整租·石榴园北里小区 1室1厅 西,整租,石榴园北里小区,丰台区-刘家窑-石榴园北里小区,50.39,1室1厅,西,,4500,89.3,,,https://bj.lianjia.com/zufang/BJ2159221755921563648.html,2026-05-02 22:11:47,,
liujiayao,整租·石榴园北里小区 1室1厅 南,整租,石榴园北里小区,丰台区-刘家窑-石榴园北里小区,49.00,1室1厅,南,,4100,83.7,,,https://bj.lianjia.com/zufang/BJ2138001597119070208.html,2026-05-02 22:11:47,,
liujiayao,整租·贾家花园15号院 2室2厅 南/北,整租,贾家花园15号院,丰台区-刘家窑-贾家花园,133.00,2室2厅,南/北,,8250,62.0,,,https://bj.lianjia.com/zufang/BJ1879740877144850432.html,2026-05-02 22:12:07,,
liujiayao,整租·榴景秀苑 2室1厅 西,整租,榴景秀苑,丰台区-刘家窑-榴景秀苑,85.73,2室1厅,西,,7000,81.7,,,https://bj.lianjia.com/zufang/BJ2156638337828388864.html,2026-05-02 22:11:47,,
liujiayao,整租·贾家花园15号院 3室2厅 东/南/北,整租,贾家花园15号院,丰台区-刘家窑-贾家花园,145.00,3室2厅,东/南/北,,11000,75.9,,,https://bj.lianjia.com/zufang/BJ2138878327132258304.html,2026-05-02 22:11:47,,
