region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
maliandao1,整租·西环景苑 3室2厅 东南,整租,西环景苑,西城区-马连道-西环景苑,127.49,3室2厅,东南,,11000,86.3,,,https://bj.lianjia.com/zufang/BJ2131603395176300544.html,2026-05-02 20:19:00,,
maliandao1,整租·茶贸国际中心 1房间 东,整租,茶贸国际中心 1房间 东,西城区-马连道-茶贸国际中心,34.22,,,,3300,96.4,,,https://bj.lianjia.com/zufang/BJ2140384030992891904.html,2026-05-02 20:19:28,,
maliandao1,整租·海润花园 3室2厅 西南,整租,海润花园,西城区-马连道-海润花园,136.00,3室2厅,西南,,11000,80.9,,,https://bj.lianjia.com/zufang/BJ2141773382163628032.html,2026-05-02 20:19:00,,
maliandao1,整租·中新佳园二区 3室2厅 南/北,整租,中新佳园二区,西城区-马连道-中新佳园二区,143.47,3室2厅,南/北,,15000,104.6,,,https://bj.lianjia.com/zufang/BJ2151896811994873856.html,2026-05-02 20:19:00,,
maliandao1,整租·常青藤嘉园 2室1厅 西南,整租,常青藤嘉园,西城区-马连道-常青藤嘉园,96.15,2室1厅,西南,,8900,92.6,,,https://bj.lianjia.com/zufang/BJ2154592459508678656.html,2026-05-02 20:19:28,,
maliandao1,独栋·云逸青年社区（北京） 三义东里店 达官营地铁站100米 1室1厅,独栋,云逸青年社区（北京） 三义东里店 达官营地铁站100米,,20.00,1室1厅,,,3200,160.0,,,https://bj.lianjia.com/apartment/101204.html,2026-05-02 20:19:00,,
maliandao1,整租·康宁居 3室2厅 南/北,整租,康宁居,丰台区-马连道-康宁居,137.85,3室2厅,南/北,,10500,76.2,,,https://bj.lianjia.com/zufang/BJ2159202056307474432.html,2026-05-02 20:19:00,,
maliandao1,整租·中新佳园一区 2室1厅 南,整租,中新佳园一区,西城区-马连道-中新佳园一区,99.15,2室1厅,南,,8200,82.7,,,https://bj.lianjia.com/zufang/BJ2126586163249545216.html,2026-05-02 20:19:00,,
maliandao1,整租·康宁居 2室2厅 西南,整租,康宁居,丰台区-马连道-康宁居,86.49,2室2厅,西南,,7300,84.4,,,https://bj.lianjia.com/zufang/BJ2141837452040470528.html,2026-05-02 20:19:00,,
maliandao1,整租·建茗苑 3室1厅 东南,整租,建茗苑,丰台区-马连道-建茗苑,123.00,3室1厅,东南,,9000,73.2,,,https://bj.lianjia.com/zufang/BJ2093574881936408576.html,2026-05-02 20:19:00,,
maliandao1,整租·马连道中里 1室1厅 南/北,整租,马连道中里,西城区-马连道-马连道中里,58.46,1室1厅,南/北,,5000,85.5,,,https://bj.lianjia.com/zufang/BJ2155286596037902336.html,2026-05-02 20:19:00,,
maliandao1,整租·马连道中里 2室1厅 南,整租,马连道中里,西城区-马连道-马连道中里,83.43,2室1厅,南,,7500,89.9,,,https://bj.lianjia.com/zufang/BJ2149737053502308352.html,2026-05-02 20:19:00,,
maliandao1,整租·北欧印象 2室1厅 东/北,整租,北欧印象,西城区-马连道-北欧印象,83.25,2室1厅,东/北,,7300,87.7,,,https://bj.lianjia.com/zufang/BJ2143302011766964224.html,2026-05-02 20:19:00,,
maliandao1,整租·马连道中街 2室1厅 东/西,整租,马连道中街,西城区-马连道-马连道中街,58.32,2室1厅,东/西,,5200,89.2,,,https://bj.lianjia.com/zufang/BJ2144776490565238784.html,2026-05-02 20:19:00,,
maliandao1,整租·欣园小区 3室1厅 南/北,整租,欣园小区,丰台区-马连道-欣园小区,70.63,3室1厅,南/北,,5500,77.9,,,https://bj.lianjia.com/zufang/BJ2144785777068867584.html,2026-05-02 20:19:00,,
maliandao1,整租·丽泽雅园 2室1厅 西南,整租,丽泽雅园,丰台区-马连道-丽泽雅园,78.91,2室1厅,西南,,6000,76.0,,,https://bj.lianjia.com/zufang/BJ2150231728151592960.html,2026-05-02 20:19:00,,
maliandao1,整租·馨莲茗园 2室1厅 西北,整租,馨莲茗园,西城区-马连道-馨莲茗园,95.90,2室1厅,西北,,8000,83.4,,,https://bj.lianjia.com/zufang/BJ2143664600434868224.html,2026-05-02 20:19:24,,
maliandao1,整租·第三区 1房间 北,整租,第三区 1房间 北,西城区-马连道-第三区,35.00,,,,4600,131.4,,,https://bj.lianjia.com/zufang/BJ1892923612713713664.html,2026-05-02 20:19:28,,
maliandao1,整租·丽泽雅园 3室1厅 东南/北,整租,丽泽雅园,丰台区-马连道-丽泽雅园,115.15,3室1厅,东南/北,,9600,83.4,,,https://bj.lianjia.com/zufang/BJ2153486522228146176.html,2026-05-02 20:19:00,,
