region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
mapo,整租·鲁能7号院溪园 3室2厅 南/北,整租,鲁能7号院溪园,顺义区-马坡-鲁能,117.66,3室2厅,南/北,,3800,32.3,,,https://bj.lianjia.com/zufang/BJ2154490950880067584.html,2026-05-02 22:59:45,,
mapo,整租·中铁花溪渡 3室1厅 南/北,整租,中铁花溪渡,顺义区-马坡-中铁花溪渡,131.20,3室1厅,南/北,,4000,30.5,,,https://bj.lianjia.com/zufang/BJ2140446143467749376.html,2026-05-02 23:00:58,,
mapo,整租·马坡花园二区 4室2厅 南/北,整租,马坡花园二区,顺义区-马坡-马坡花园二区,120.02,4室2厅,南/北,,3800,31.7,,,https://bj.lianjia.com/zufang/BJ2140667926980591616.html,2026-05-02 23:00:09,,
mapo,整租·龙湖香醍漫步二区 3室2厅 南/西北,整租,龙湖香醍漫步二区,顺义区-马坡-龙湖香醍漫步二区,120.00,3室2厅,南/西北,,4300,35.8,,,https://bj.lianjia.com/zufang/BJ2123994169130090496.html,2026-05-02 22:59:45,,
mapo,整租·香悦四季西区 2房间 北,整租,香悦四季西区 2房间 北,顺义区-马坡-香悦四季西区,33.00,,,,1400,42.4,,,https://bj.lianjia.com/zufang/BJ2012003564120965120.html,2026-05-02 23:00:52,,
mapo,整租·首开中晟广场 1室1厅 东,整租,首开中晟广场,顺义区-马坡-首开中晟广场,44.01,1室1厅,东,,2630,59.8,,,https://bj.lianjia.com/zufang/BJ2825243083120320512.html,2026-05-02 22:59:45,,
mapo,整租·香悦四季西区 1房间 北,整租,香悦四季西区 1房间 北,顺义区-马坡-香悦四季西区,34.37,,,,1400,40.7,,,https://bj.lianjia.com/zufang/BJ2145737122475147264.html,2026-05-02 22:59:45,,
mapo,整租·马坡花园一区 3室1厅 南/北,整租,马坡花园一区,顺义区-马坡-马坡花园一区,107.00,3室1厅,南/北,,2800,26.2,,,https://bj.lianjia.com/zufang/BJ2154058462445699072.html,2026-05-02 23:00:09,,
mapo,整租·鲁能7号院颐景润园 3室2厅 南/北,整租,鲁能7号院颐景润园,顺义区-马坡-鲁能,139.82,3室2厅,南/北,,4900,35.0,,,https://bj.lianjia.com/zufang/BJ2033842402749317120.html,2026-05-02 23:01:02,,
mapo,整租·鲁能7号院溪园 3室1厅 南,整租,鲁能7号院溪园,顺义区-马坡-鲁能,117.99,3室1厅,南,,4000,33.9,,,https://bj.lianjia.com/zufang/BJ2103746570938744832.html,2026-05-02 22:59:45,,
mapo,整租·香悦四季东区 3室2厅 南/北,整租,香悦四季东区,顺义区-马坡-香悦四季东区,89.00,3室2厅,南/北,,3800,42.7,,,https://bj.lianjia.com/zufang/BJ2155568188601925632.html,2026-05-02 23:00:09,,
mapo,整租·维顺家园 3室1厅 南/北,整租,维顺家园,顺义区-马坡-维顺家园,84.66,3室1厅,南/北,,2400,28.3,,,https://bj.lianjia.com/zufang/BJ2129289348456120320.html,2026-05-02 23:00:58,,
mapo,整租·鲁能7号院溪园 3室2厅 南/北,整租,鲁能7号院溪园,顺义区-马坡-鲁能,135.75,3室2厅,南/北,,3200,23.6,,,https://bj.lianjia.com/zufang/BJ2144448099911729152.html,2026-05-02 23:00:48,,
mapo,整租·香悦四季东区 4室2厅 南/北,整租,香悦四季东区,顺义区-马坡-香悦四季东区,126.19,4室2厅,南/北,,4999,39.6,,,https://bj.lianjia.com/zufang/BJ2154544225755070464.html,2026-05-02 22:59:45,,
mapo,整租·恒华安纳湖 2室1厅 南/北,整租,恒华安纳湖,顺义区-马坡-恒华安纳湖,89.00,2室1厅,南/北,,2310,26.0,,,https://bj.lianjia.com/zufang/BJ2006575680610893824.html,2026-05-02 22:59:45,,
mapo,整租·香悦四季西区 1室1厅 东,整租,香悦四季西区,顺义区-马坡-香悦四季西区,32.94,1室1厅,东,,2290,69.5,,,https://bj.lianjia.com/zufang/BJ1790325870024458240.html,2026-05-02 22:59:45,,
mapo,整租·鲁能7号院溪园 3室2厅 南/北,整租,鲁能7号院溪园,顺义区-马坡-鲁能,118.00,3室2厅,南/北,,3800,32.2,,,https://bj.lianjia.com/zufang/BJ2151575159452991488.html,2026-05-02 23:00:05,,
mapo,整租·鲁能7号院溪园 2室1厅 南/北,整租,鲁能7号院溪园,顺义区-马坡-鲁能,86.00,2室1厅,南/北,,3100,36.0,,,https://bj.lianjia.com/zufang/BJ2142101420558516224.html,2026-05-02 22:59:45,,
mapo,整租·首开中晟广场 2房间 复式 西北,整租,首开中晟广场 2房间 复式 西北,顺义区-马坡-首开中晟广场,44.00,,,,2200,50.0,,,https://bj.lianjia.com/zufang/BJ1951632711500169216.html,2026-05-02 23:00:52,,
mapo,整租·龙湖香醍漫步二区 2室1厅 南/北,整租,龙湖香醍漫步二区,顺义区-马坡-龙湖香醍漫步二区,97.32,2室1厅,南/北,,3500,36.0,,,https://bj.lianjia.com/zufang/BJ2145124998161891328.html,2026-05-02 22:59:45,,
mapo,整租·合景昕悦 3室1厅 南,整租,合景昕悦,顺义区-马坡-合景昕悦,89.68,3室1厅,南,,4200,46.8,,,https://bj.lianjia.com/zufang/BJ2157786968237277184.html,2026-05-02 23:00:44,,
mapo,整租·金宝天阶 1室1厅 北,整租,金宝天阶,顺义区-马坡-金宝天阶,53.43,1室1厅,北,,2300,43.0,,,https://bj.lianjia.com/zufang/BJ2014936523761254400.html,2026-05-02 23:00:52,,
mapo,整租·香悦四季东区 1房间 西,整租,香悦四季东区 1房间 西,顺义区-马坡-香悦四季东区,32.72,,,,1600,48.9,,,https://bj.lianjia.com/zufang/BJ2143666310909788160.html,2026-05-02 22:59:45,,
mapo,整租·鲁能7号院溪园 3室2厅 南/北,整租,鲁能7号院溪园,顺义区-马坡-鲁能,117.66,3室2厅,南/北,,3800,32.3,,,https://bj.lianjia.com/zufang/BJ2140507424073711616.html,2026-05-02 23:00:09,,
mapo,整租·龙湖大名居 2室1厅 东南,整租,龙湖大名居,顺义区-马坡-龙湖大名居,89.79,2室1厅,东南,,2000,22.3,,,https://bj.lianjia.com/zufang/BJ2047267624907177984.html,2026-05-02 23:00:48,,
mapo,整租·香悦四季西区 2室1厅 东/南,整租,香悦四季西区,顺义区-马坡-香悦四季西区,77.49,2室1厅,东/南,,3100,40.0,,,https://bj.lianjia.com/zufang/BJ2157052615580450816.html,2026-05-02 23:00:09,,
mapo,整租·首开中晟广场 1室1厅 西,整租,首开中晟广场,顺义区-马坡-首开中晟广场,43.25,1室1厅,西,,2760,63.8,,,https://bj.lianjia.com/zufang/BJ1817411244806635520.html,2026-05-02 22:59:45,,
mapo,整租·中铁花溪渡 3室1厅 南/北,整租,中铁花溪渡,顺义区-马坡-中铁花溪渡,118.00,3室1厅,南/北,,4000,33.9,,,https://bj.lianjia.com/zufang/BJ2010771923729907712.html,2026-05-02 23:00:52,,
mapo,整租·马坡花园一区 2室1厅 南/北,整租,马坡花园一区,顺义区-马坡-马坡花园一区,97.40,2室1厅,南/北,,2600,26.7,,,https://bj.lianjia.com/zufang/BJ2152262070702178304.html,2026-05-02 23:00:05,,
mapo,整租·佳和宜园 2室1厅 南,整租,佳和宜园,顺义区-马坡-佳和宜园,91.22,2室1厅,南,,3290,36.1,,,https://bj.lianjia.com/zufang/BJ1859818913299169280.html,2026-05-02 22:59:45,,
mapo,整租·首创悦溪汇 2室1厅 南/北,整租,首创悦溪汇,顺义区-马坡-首创悦溪汇,79.92,2室1厅,南/北,,2350,29.4,,,https://bj.lianjia.com/zufang/BJ2143277511331545088.html,2026-05-02 22:59:49,,
mapo,整租·龙湖香醍漫步二区 2室1厅 南/北,整租,龙湖香醍漫步二区,顺义区-马坡-龙湖香醍漫步二区,97.32,2室1厅,南/北,,2800,28.8,,,https://bj.lianjia.com/zufang/BJ2143365520869556224.html,2026-05-02 22:59:49,,
