region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
miyunzhen,整租·赏星悦木 5室2厅 复式 南/北,整租,赏星悦木,密云区-密云镇-赏星悦木,269.78,5室2厅,,,18000,66.7,,,https://bj.lianjia.com/zufang/BJ1767749057381400576.html,2026-05-02 23:22:13,,
miyunzhen,整租·康馨雅苑 3室2厅 南/北,整租,康馨雅苑,密云区-密云镇-康馨雅苑,96.01,3室2厅,南/北,,2300,24.0,,,https://bj.lianjia.com/zufang/BJ2151292353824948224.html,2026-05-02 23:22:13,,
miyunzhen,整租·季庄小区 2室1厅 南/北,整租,季庄小区,密云区-密云镇-季庄小区,96.91,2室1厅,南/北,,1700,17.5,,,https://bj.lianjia.com/zufang/BJ2138271744039845888.html,2026-05-02 23:22:13,,
miyunzhen,整租·中加福园 2室1厅 南/北,整租,中加福园,密云区-密云镇-中加福园,98.91,2室1厅,南/北,,2300,23.3,,,https://bj.lianjia.com/zufang/BJ2154490312158871552.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 东,整租,华远澜悦 2房间 东,密云区-密云镇-华远澜悦,50.22,,,,1600,31.9,,,https://bj.lianjia.com/zufang/BJ2149099726891384832.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 东,整租,华远澜悦 2房间 东,密云区-密云镇-华远澜悦,48.46,,,,1800,37.1,,,https://bj.lianjia.com/zufang/BJ2145831546907525120.html,2026-05-02 23:22:13,,
miyunzhen,整租·北京液压件厂家属区 2室1厅 南/北,整租,北京液压件厂家属区,密云区-密云镇-北京液压件厂家属区,51.26,2室1厅,南/北,,1200,23.4,,,https://bj.lianjia.com/zufang/BJ2148277576626339840.html,2026-05-02 23:22:13,,
miyunzhen,整租·季庄小区 2室2厅 南/北,整租,季庄小区,密云区-密云镇-季庄小区,106.82,2室2厅,南/北,,2000,18.7,,,https://bj.lianjia.com/zufang/BJ2084844661574205440.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 东,整租,华远澜悦 2房间 东,密云区-密云镇-华远澜悦,48.48,,,,1700,35.1,,,https://bj.lianjia.com/zufang/BJ2147551408616898560.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 西,整租,华远澜悦 2房间 西,密云区-密云镇-华远澜悦,45.00,,,,1700,37.8,,,https://bj.lianjia.com/zufang/BJ2141161520405413888.html,2026-05-02 23:22:13,,
miyunzhen,整租·康馨雅苑 2室1厅 南/北,整租,康馨雅苑,密云区-密云镇-康馨雅苑,81.45,2室1厅,南/北,,1800,22.1,,,https://bj.lianjia.com/zufang/BJ2144017032901820416.html,2026-05-02 23:22:13,,
miyunzhen,整租·路劲云河上苑 2室1厅 南/北,整租,路劲云河上苑,密云区-密云镇-路劲云河上苑,88.37,2室1厅,南/北,,2300,26.0,,,https://bj.lianjia.com/zufang/BJ2145512789328789504.html,2026-05-02 23:22:13,,
miyunzhen,整租·城建上河湾北区 2室1厅 南/北,整租,城建上河湾北区,密云区-密云镇-城建上河湾北区,89.24,2室1厅,南/北,,2400,26.9,,,https://bj.lianjia.com/zufang/BJ2144073681574297600.html,2026-05-02 23:22:13,,
miyunzhen,整租·城建上河湾北区 3室1厅 南/北,整租,城建上河湾北区,密云区-密云镇-城建上河湾北区,89.83,3室1厅,南/北,,1000,11.1,,,https://bj.lianjia.com/zufang/BJ2139331648586514432.html,2026-05-02 23:22:13,,
miyunzhen,整租·博世庄园 4室2厅 南/北,整租,博世庄园,密云区-密云镇-博世庄园,148.62,4室2厅,南/北,,1700,11.4,,,https://bj.lianjia.com/zufang/BJ2101243918367588352.html,2026-05-02 23:22:13,,
miyunzhen,整租·通用博园 2室2厅 南/北,整租,通用博园,密云区-密云镇-通用博园,71.50,2室2厅,南/北,,2300,32.2,,,https://bj.lianjia.com/zufang/BJ2157473072498606080.html,2026-05-02 23:22:13,,
miyunzhen,整租·海阔水岸花墅 3室2厅 东/西,整租,海阔水岸花墅,密云区-密云镇-海阔水岸花墅,134.23,3室2厅,东/西,,4000,29.8,,,https://bj.lianjia.com/zufang/BJ2161475504790568960.html,2026-05-02 23:22:13,,
miyunzhen,整租·海阔水岸花墅 3室2厅 东,整租,海阔水岸花墅,密云区-密云镇-海阔水岸花墅,134.20,3室2厅,东,,3200,23.8,,,https://bj.lianjia.com/zufang/BJ2143233083141259264.html,2026-05-02 23:22:13,,
miyunzhen,整租·云江苑 2室1厅 南,整租,云江苑,密云区-密云镇-云江苑,82.83,2室1厅,南,,1900,22.9,,,https://bj.lianjia.com/zufang/BJ2108498314897915904.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 1室1厅 南,整租,华远澜悦,密云区-密云镇-华远澜悦,53.21,1室1厅,南,,1700,31.9,,,https://bj.lianjia.com/zufang/BJ2153714969063981056.html,2026-05-02 23:22:13,,
miyunzhen,整租·通用博园 3室1厅 南/北,整租,通用博园,密云区-密云镇-通用博园,86.54,3室1厅,南/北,,2500,28.9,,,https://bj.lianjia.com/zufang/BJ2154542653088202752.html,2026-05-02 23:22:13,,
miyunzhen,整租·富帛家属院 1室1厅 南/北,整租,富帛家属院,密云区-密云镇-富帛家属院,53.85,1室1厅,南/北,,1700,31.6,,,https://bj.lianjia.com/zufang/BJ2114228466990710784.html,2026-05-02 23:22:13,,
miyunzhen,整租·鹊巢公寓 2房间 西南,整租,鹊巢公寓 2房间 西南,密云区-密云镇-鹊巢公寓,28.79,,,,1400,48.6,,,https://bj.lianjia.com/zufang/BJ2141200713542270976.html,2026-05-02 23:22:13,,
miyunzhen,整租·通用博园 2室1厅 南/北,整租,通用博园,密云区-密云镇-通用博园,78.05,2室1厅,南/北,,1500,19.2,,,https://bj.lianjia.com/zufang/BJ2026983051602427904.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 东,整租,华远澜悦 2房间 东,密云区-密云镇-华远澜悦,50.22,,,,1800,35.8,,,https://bj.lianjia.com/zufang/BJ2102977621762506752.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 复式 东,整租,华远澜悦 2房间 复式 东,密云区-密云镇-华远澜悦,48.00,,,,1600,33.3,,,https://bj.lianjia.com/zufang/BJ2137880962296446976.html,2026-05-02 23:22:13,,
miyunzhen,整租·中加福园 2室1厅 南/北,整租,中加福园,密云区-密云镇-中加福园,97.37,2室1厅,南/北,,2300,23.6,,,https://bj.lianjia.com/zufang/BJ2151555295015337984.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 西,整租,华远澜悦 2房间 西,密云区-密云镇-华远澜悦,46.05,,,,1600,34.7,,,https://bj.lianjia.com/zufang/BJ2097270983227342848.html,2026-05-02 23:22:13,,
miyunzhen,整租·学府花园 3室2厅 南/北,整租,学府花园,密云区-密云镇-学府花园,108.25,3室2厅,南/北,,2500,23.1,,,https://bj.lianjia.com/zufang/BJ2141142485265547264.html,2026-05-02 23:22:13,,
miyunzhen,整租·华远澜悦 2房间 复式 南/北,整租,华远澜悦 2房间 复式 南/北,密云区-密云镇-华远澜悦,44.45,,,,2000,45.0,,,https://bj.lianjia.com/zufang/BJ2074525331447873536.html,2026-05-02 23:22:13,,
