region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
nanjingxilu,整租·恒丰大楼(静安) 2室1厅 南,整租,恒丰大楼(静安),静安-南京西路-恒丰大楼(静安),77.91,2室1厅,南,,7000,89.8,,,https://sh.lianjia.com/zufang/SH2150082546820448256.html,2026-04-23 15:19:45,,
nanjingxilu,整租·新闸路1213-1229号(单) 2室1厅 南,整租,新闸路1213-1229号(单),静安-南京西路-新闸路,62.80,2室1厅,南,,6800,108.3,,,https://sh.lianjia.com/zufang/SH2157147748481105920.html,2026-04-23 15:18:24,,
nanjingxilu,整租·延安中路504弄 1室1厅 南,整租,延安中路504弄,静安-南京西路-延安中路,59.30,1室1厅,南,,7600,128.2,,,https://sh.lianjia.com/zufang/SH2149462958025998336.html,2026-04-23 15:19:45,,
nanjingxilu,独栋·恩泽物业 南京西路店 近南京西路地铁+恒隆对望+品质双落地窗 1室1厅,独栋,恩泽物业 南京西路店,,58.40,1室1厅,,,8000,137.0,,,https://sh.lianjia.com/apartment/62350.html,2026-04-23 15:18:24,,
nanjingxilu,整租·康乐大楼(静安) 2室1厅 南,整租,康乐大楼(静安),静安-南京西路-康乐大楼(静安),52.56,2室1厅,南,,6288,119.6,,,https://sh.lianjia.com/zufang/SH2157780421067145216.html,2026-04-23 15:19:51,,
nanjingxilu,整租·康乐大楼(静安) 2室1厅 东/北,整租,康乐大楼(静安),静安-南京西路-康乐大楼(静安),65.96,2室1厅,东/北,,8800,133.4,,,https://sh.lianjia.com/zufang/SH2149755210317168640.html,2026-04-23 15:19:45,,
nanjingxilu,整租·重华新村 2室1厅 南,整租,重华新村,静安-南京西路-重华新村,60.00,2室1厅,南,,7200,120.0,,,https://sh.lianjia.com/zufang/SH2131696389426511872.html,2026-04-23 15:18:24,,
nanjingxilu,整租·北京西路810-820号(双) 1室1厅 南,整租,北京西路810-820号(双),静安-南京西路-北京西路,41.68,1室1厅,南,,6500,156.0,,,https://sh.lianjia.com/zufang/SH2150144229035212800.html,2026-04-23 15:19:45,,
nanjingxilu,独栋·橙子公寓 石门二路店 汉中路地铁站1.12.13号线精装外窗房 开间,独栋,橙子公寓 石门二路店,,24.00,,,,3700,154.2,,,https://sh.lianjia.com/apartment/1970.html,2026-04-23 15:18:24,,
nanjingxilu,整租·京西大楼 2室1厅 南/北,整租,京西大楼,静安-南京西路-京西大楼,55.00,2室1厅,南/北,,7350,133.6,,,https://sh.lianjia.com/zufang/SH2005262474021961728.html,2026-04-23 15:19:45,,
nanjingxilu,整租·申银发展大厦 3室2厅 南/北,整租,申银发展大厦,静安-南京西路-申银发展大厦,175.00,3室2厅,南/北,,21000,120.0,,,https://sh.lianjia.com/zufang/SH2114247115302502400.html,2026-04-23 15:19:45,,
nanjingxilu,整租·远中风华园(公寓) 1室1厅 南,整租,远中风华园(公寓),静安-南京西路-远中风华园(公寓),66.02,1室1厅,南,,10200,154.5,,,https://sh.lianjia.com/zufang/SH1907678466564685824.html,2026-04-23 15:19:45,,
nanjingxilu,整租·泰兴路355弄 1室1厅 北,整租,泰兴路355弄,静安-南京西路-泰兴路,40.90,1室1厅,北,,9390,229.6,,,https://sh.lianjia.com/zufang/SH1853956140056969216.html,2026-04-23 15:18:24,,
nanjingxilu,整租·京西大楼 1室1厅 南,整租,京西大楼,静安-南京西路-京西大楼,33.40,1室1厅,南,,4599,137.7,,,https://sh.lianjia.com/zufang/SH2022637108543356928.html,2026-04-23 15:19:45,,
nanjingxilu,整租·爱文坊 2室2厅 南/北,整租,爱文坊,静安-南京西路-爱文坊,86.35,2室2厅,南/北,,9800,113.5,,,https://sh.lianjia.com/zufang/SH2146929247527108608.html,2026-04-23 15:18:24,,
