region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
nanqiao,整租·悦达南郊华都 1室1厅 北,整租,悦达南郊华都,奉贤-南桥-悦达南郊华都,38.94,1室1厅,北,,1365,35.1,,,https://sh.lianjia.com/zufang/SH1964307687839629312.html,2026-04-23 17:38:39,,
nanqiao,整租·金水和璟园 3室2厅 南,整租,金水和璟园,奉贤-南桥-金水和璟园,118.00,3室2厅,南,,3000,25.4,,,https://sh.lianjia.com/zufang/SH2104786983585841152.html,2026-04-23 17:36:34,,
nanqiao,整租·解放新村 2室1厅 南,整租,解放新村,奉贤-南桥-解放新村,57.16,2室1厅,南,,1650,28.9,,,https://sh.lianjia.com/zufang/SH1910659442324537344.html,2026-04-23 17:38:39,,
nanqiao,独栋·冠寓 上海奉贤天街店 奉贤南桥正中心 龙湖品牌公寓直租 独厨独卫 近地铁 24h在线 管家服务更省心 1室1厅,独栋,冠寓 上海奉贤天街店 奉贤南桥正中心,,34.00,1室1厅,,,1521,44.7,,,https://sh.lianjia.com/apartment/56859.html,2026-04-23 17:36:40,,
nanqiao,整租·中心公馆 2室2厅 南,整租,中心公馆,奉贤-南桥-中心公馆,65.14,2室2厅,南,,2400,36.8,,,https://sh.lianjia.com/zufang/SH1924094803910328320.html,2026-04-23 17:38:39,,
nanqiao,独栋·南方青年社区 奉贤店 实拍落地窗loft独立厨卫 包电费 可免费停车 1室1厅,独栋,南方青年社区 奉贤店,,46.00,1室1厅,,,1400,30.4,,,https://sh.lianjia.com/apartment/49293.html,2026-04-23 17:36:40,,
nanqiao,整租·悦达南郊华都 1室1厅 南,整租,悦达南郊华都,奉贤-南桥-悦达南郊华都,39.00,1室1厅,南,,1400,35.9,,,https://sh.lianjia.com/zufang/SH2037169775871787008.html,2026-04-23 17:36:34,,
nanqiao,整租·众旺苑 2室2厅 南,整租,众旺苑,奉贤-南桥-众旺苑,89.83,2室2厅,南,,2400,26.7,,,https://sh.lianjia.com/zufang/SH2123631500875268096.html,2026-04-23 17:38:08,,
nanqiao,整租·合景万景峰 1室1厅 南,整租,合景万景峰,奉贤-南桥-合景万景峰,42.12,1室1厅,南,,1700,40.4,,,https://sh.lianjia.com/zufang/SH2141780590800666624.html,2026-04-23 17:40:02,,
nanqiao,整租·阳光春城 2室2厅 南,整租,阳光春城,奉贤-南桥-阳光春城,95.35,2室2厅,南,,3000,31.5,,,https://sh.lianjia.com/zufang/SH2153492087364911104.html,2026-04-23 17:40:02,,
nanqiao,独栋·冠寓 奉贤天街观萃店 开业早鸟优惠！步行3分钟到5号线！龙湖高品质公寓！配24H豪华健身房 1室1厅,独栋,冠寓 奉贤天街观萃店,,38.00,1室1厅,,,2559-2632,,,,https://sh.lianjia.com/apartment/103892.html,2026-04-23 17:36:38,,
nanqiao,整租·悦达南郊华都 1室1厅 北,整租,悦达南郊华都,奉贤-南桥-悦达南郊华都,41.00,1室1厅,北,,1470,35.9,,,https://sh.lianjia.com/zufang/SH2044813283797499904.html,2026-04-23 17:39:47,,
nanqiao,整租·江海花园 2室2厅 南,整租,江海花园,奉贤-南桥-江海花园,84.99,2室2厅,南,,1943,22.9,,,https://sh.lianjia.com/zufang/SH2038221285292507136.html,2026-04-23 17:36:38,,
