region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
niujie,整租·南线阁35号院 3室1厅 西北,整租,南线阁35号院,西城区-牛街-南线阁,135.00,3室1厅,西北,,11000,81.5,,,https://bj.lianjia.com/zufang/BJ2154052473013141504.html,2026-05-02 20:21:11,,
niujie,整租·春风胡同社区 1室1厅 南/北,整租,春风胡同社区,西城区-牛街-春风胡同社区,51.70,1室1厅,南/北,,5560,107.5,,,https://bj.lianjia.com/zufang/BJ2149079870750064640.html,2026-05-02 20:21:11,,
niujie,整租·牛街西里 2室1厅 南,整租,牛街西里,西城区-牛街-牛街西里,74.85,2室1厅,南,,8500,113.6,,,https://bj.lianjia.com/zufang/BJ2157065243841265664.html,2026-05-02 20:21:11,,
niujie,整租·白广路6号院 1室1厅 东/西,整租,白广路6号院,西城区-牛街-白广路,44.02,1室1厅,东/西,,5400,122.7,,,https://bj.lianjia.com/zufang/BJ2142175257472008192.html,2026-05-02 20:21:11,,
niujie,整租·平原里小区 1室1厅 南,整租,平原里小区,西城区-牛街-平原里小区,52.17,1室1厅,南,,4900,93.9,,,https://bj.lianjia.com/zufang/BJ2152985843319439360.html,2026-05-02 20:21:29,,
niujie,整租·平原里小区 1室1厅 东,整租,平原里小区,西城区-牛街-平原里小区,47.83,1室1厅,东,,5530,115.6,,,https://bj.lianjia.com/zufang/BJ1778762392943984640.html,2026-05-02 20:21:11,,
niujie,整租·似海怡家 2室1厅 东/南,整租,似海怡家,西城区-牛街-似海怡家,80.48,2室1厅,东/南,,9900,123.0,,,https://bj.lianjia.com/zufang/BJ2155949436314845184.html,2026-05-02 20:21:11,,
niujie,整租·平原里小区 2室1厅 南/北,整租,平原里小区,西城区-牛街-平原里小区,58.61,2室1厅,南/北,,5600,95.5,,,https://bj.lianjia.com/zufang/BJ2138979391328223232.html,2026-05-02 20:21:11,,
niujie,整租·白纸坊东街25号院 2室1厅 南/北,整租,白纸坊东街25号院,西城区-牛街-白纸坊东街,54.11,2室1厅,南/北,,5600,103.5,,,https://bj.lianjia.com/zufang/BJ2148419999209881600.html,2026-05-02 20:21:11,,
niujie,整租·信恒大厦 3室1厅 东/西,整租,信恒大厦,西城区-牛街-信恒大厦,127.88,3室1厅,东/西,,15000,117.3,,,https://bj.lianjia.com/zufang/BJ2145166619582660608.html,2026-05-02 20:21:11,,
niujie,整租·牛街18 1室0厅 北,整租,牛街18,西城区-牛街-牛街,52.06,1室0厅,北,,5100,98.0,,,https://bj.lianjia.com/zufang/BJ2145736219189837824.html,2026-05-02 20:21:11,,
niujie,整租·牛街西里 1室1厅 西,整租,牛街西里,西城区-牛街-牛街西里,58.27,1室1厅,西,,5400,92.7,,,https://bj.lianjia.com/zufang/BJ2153101152416169984.html,2026-05-02 20:21:29,,
niujie,整租·牛街东里 1室1厅 西南,整租,牛街东里,西城区-牛街-牛街东里,57.34,1室1厅,西南,,6300,109.9,,,https://bj.lianjia.com/zufang/BJ2154885309744021504.html,2026-05-02 20:21:11,,
niujie,整租·南线阁35号院 3室1厅 东/西/北,整租,南线阁35号院,西城区-牛街-南线阁,136.04,3室1厅,东/西/北,,12000,88.2,,,https://bj.lianjia.com/zufang/BJ2137787430034472960.html,2026-05-02 20:21:11,,
niujie,整租·双槐里 1室1厅 西南,整租,双槐里,西城区-牛街-双槐里,46.20,1室1厅,西南,,4410,95.5,,,https://bj.lianjia.com/zufang/BJ2154529477797871616.html,2026-05-02 20:21:11,,
niujie,整租·牛街18 1室1厅 北,整租,牛街18,西城区-牛街-牛街,49.85,1室1厅,北,,5519,110.7,,,https://bj.lianjia.com/zufang/BJ1857101863845888000.html,2026-05-02 20:21:11,,
